Ant59,Ant540,Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant954,Ant1,Ant17,Ant27,Ant44,Ant49,Ant51,Ant71,Ant97,Ant115,Ant117,Ant120,Ant153,Ant170,Ant176,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant298,Ant299,Ant305,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant564,Ant592,Ant593,Ant599,Ant607,Ant638,Ant647,Ant650
0,5,9,23,10,5,17,0,1,2,2,3,2,9,4,1,20,0,6,10,14,24,5,14,3,9,21,2,4,3,12,10,5,1,5,5,9,19,8,13,3,6,16,11,6,2,4,5,3,2,10,0,2,1,4
5,0,19,9,11,19,5,8,10,13,6,7,5,3,6,10,7,1,7,5,6,16,17,1,13,7,9,14,7,4,10,21,3,10,5,16,3,9,9,12,9,4,13,1,9,4,0,5,11,12,3,4,11,4,6
9,19,0,3,2,29,5,10,0,1,16,1,1,2,1,38,1,2,1,0,2,1,8,3,9,2,2,7,11,4,17,0,0,2,9,3,2,5,2,3,53,0,1,1,5,7,0,0,0,7,6,13,32,28,19
23,9,3,0,12,1,25,0,4,1,5,6,3,6,3,3,16,0,5,7,13,6,10,3,20,6,20,6,6,5,3,17,6,1,11,21,3,13,20,12,3,4,8,9,19,1,3,9,11,5,24,3,1,3,0
10,11,2,12,0,11,30,1,0,0,2,9,12,3,7,5,17,0,9,31,18,10,1,3,3,4,7,8,3,8,17,18,13,1,11,7,5,9,9,5,0,19,32,14,13,3,2,7,6,2,29,9,1,1,1
5,19,29,1,11,0,6,5,1,10,15,3,2,9,1,21,12,10,4,3,3,7,6,3,27,4,0,3,8,9,2,0,1,3,13,0,2,5,1,6,27,1,2,1,2,6,0,2,3,17,2,12,9,24,19
17,5,5,25,30,6,0,0,0,1,4,3,6,12,4,4,21,3,8,21,39,8,0,8,3,22,10,3,8,9,5,31,0,5,8,17,6,11,10,6,16,12,29,19,4,0,2,3,3,7,4,5,9,5,4
0,8,10,0,1,5,0,0,0,0,0,0,2,0,0,6,0,1,0,0,4,0,3,0,3,0,0,0,3,2,5,0,0,0,2,0,0,0,1,1,3,0,0,0,1,0,0,0,1,1,1,3,2,4,1
1,10,0,4,0,1,0,0,0,17,1,3,3,0,14,2,0,2,0,0,4,0,11,4,1,1,0,14,15,4,3,0,2,12,0,3,0,6,3,14,1,0,3,2,6,2,0,0,1,3,2,0,3,12,0
2,13,1,1,0,10,1,0,17,0,5,0,1,0,0,4,1,8,0,0,0,2,5,1,1,0,0,6,7,8,3,2,0,13,4,8,0,1,0,9,0,0,1,0,4,2,0,0,5,6,1,4,3,0,7
