Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant99,Ant102,Ant148,Ant158,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant311,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant97,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant212,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant301,Ant305,Ant313,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant507,Ant509,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
0,4,1,3,4,9,15,10,5,11,0,6,6,4,4,0,10,7,0,0,4,18,0,8,7,6,7,6,4,11,6,5,1,2,1,10,2,3,2,2,3,0,2,3,0,8,3,2,1,13,4,4,3,11,4,5,2,0,6,2,16,7,7,14,9,1,1,10,3,7,1,0,4,18,8,0,10,1,2,1,9,8,9,9,0,4,1,3,14,3,4,1,7,5,3,1,3,16,6,12,0,5,1,2,16,7,1,0,0,0,5
4,0,4,0,3,0,4,7,3,1,10,7,0,12,4,12,0,9,1,1,1,0,0,11,12,12,5,25,0,2,1,16,0,0,1,6,0,0,3,2,5,1,3,38,0,11,3,0,3,4,10,4,2,5,0,20,1,19,0,0,1,19,29,6,1,0,22,3,0,6,0,0,0,6,0,0,0,3,8,0,4,7,16,3,9,1,1,1,1,8,2,2,0,8,1,3,3,6,0,0,6,1,6,1,6,15,0,0,0,35,9
1,4,0,0,4,0,0,1,0,2,1,2,1,4,3,12,0,2,9,0,0,0,0,22,0,1,0,0,0,0,1,15,0,0,3,1,0,0,5,11,0,0,1,3,5,3,5,0,0,0,2,2,1,0,0,4,1,7,0,0,0,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14,7,0,0,0,2,0,0,0,0,1,0,3,0,0,0,25,0,0,19,0,0,0,7,7,9,0,0,0,0,0,1,4,9
3,0,0,0,1,0,0,6,4,7,0,0,0,4,0,3,3,0,0,2,9,0,0,1,3,0,3,0,9,4,0,10,0,3,0,3,0,3,0,0,6,0,0,0,0,0,0,9,1,1,0,0,0,2,0,0,7,1,4,0,6,1,6,15,12,0,0,12,0,4,0,3,2,2,0,0,0,2,2,8,0,0,1,2,0,0,6,0,0,2,1,4,1,0,0,3,0,1,8,1,0,0,0,2,0,0,0,0,0,0,0
4,3,4,1,0,0,0,14,3,7,0,6,3,6,9,3,0,3,0,2,1,2,0,3,11,0,0,3,11,2,6,3,0,0,13,1,0,0,7,1,1,4,3,2,0,1,7,2,2,12,2,3,7,1,4,0,4,7,2,0,3,5,9,3,3,0,8,16,0,19,9,2,0,10,8,0,4,15,4,1,6,0,2,6,19,1,0,8,5,22,2,1,0,7,15,11,6,0,8,2,2,18,1,1,8,9,0,0,0,0,6
9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,2,0,18,0,0,0,20,4,6,0,0,0,3,11,0,0,8,7,0,0,26,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,1,3,0,0,0,31,37,12,0,0,10,0,0,0,15,2,9,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,28,0,0,0,0,13,0,21,0,0,0,5,0,0,0,12,0,0,0
15,4,0,0,0,0,0,6,26,3,0,5,2,8,3,2,24,2,0,0,5,1,0,2,32,2,5,13,8,28,6,10,0,0,12,16,0,7,0,0,10,0,1,0,1,2,0,3,0,9,11,5,9,3,8,5,4,0,1,0,4,5,10,12,7,0,1,3,0,17,1,2,2,37,15,0,0,2,2,4,6,5,6,1,0,8,4,0,14,1,0,1,2,4,1,6,0,3,31,6,0,6,1,2,10,19,0,3,0,0,0
10,7,1,6,14,0,6,0,13,8,4,17,0,10,29,5,1,1,0,5,3,2,0,8,8,1,5,5,0,20,7,37,0,0,15,4,0,0,38,8,0,1,9,2,0,3,3,4,21,0,5,7,17,6,9,0,5,14,1,0,5,12,25,12,5,0,19,5,0,8,6,3,2,9,2,0,10,5,16,2,0,5,15,19,15,2,3,23,6,14,1,4,0,9,5,17,2,6,5,7,3,14,1,5,27,10,0,0,0,2,6
5,3,0,4,3,0,26,13,0,5,0,11,2,8,1,6,35,0,0,1,4,4,0,0,10,0,11,8,3,15,1,5,0,4,5,10,0,2,5,6,10,0,2,1,0,0,0,8,1,19,0,1,9,5,2,5,8,2,8,0,4,2,9,11,4,0,10,42,0,18,0,4,13,14,13,0,1,2,2,10,0,0,7,5,1,2,5,2,7,9,0,5,14,3,1,6,0,7,11,3,0,0,0,6,4,25,9,0,0,5,2
11,1,2,7,7,11,3,8,5,0,0,1,4,5,6,0,9,0,1,1,10,1,8,2,4,1,18,4,14,50,0,10,26,3,0,3,5,2,2,0,20,0,2,0,0,0,0,4,0,19,1,16,2,3,1,0,13,0,9,30,26,0,2,12,72,8,0,24,22,11,4,0,2,12,7,19,5,0,0,6,7,2,0,0,0,7,3,0,2,0,0,5,17,1,0,2,1,6,6,1,0,0,0,16,9,8,4,19,0,0,2
