colony,tag_ID,group,obs_interaction_nurses,obs_interaction_cleaners,obs_interaction_foragers,obs_interaction_queen,exp_random_nurses,exp_random_cleaners,exp_random_foragers,exp_space_nurses,exp_space_cleaners,exp_space_foragers
18,43,F,0.150995,0.361555,0.48745,0.000130039,0.624019,0.283213,0.0927683,0.211276,0.37914,0.409582
18,68,F,0.172054,0.377721,0.450225,0,0.624019,0.283213,0.0927683,0.293804,0.344827,0.361368
18,72,F,0.13277,0.363497,0.503734,0.000439078,0.624019,0.283213,0.0927683,0.226521,0.378161,0.395317
18,100,F,0.158226,0.383478,0.458295,0.000114561,0.624019,0.283213,0.0927683,0.257782,0.369867,0.37235
18,126,F,0.257495,0.393608,0.348897,8.61E-05,0.624019,0.283213,0.0927683,0.332157,0.373441,0.294401
18,172,F,0.251589,0.315763,0.432648,0.000124595,0.624019,0.283213,0.0927683,0.402026,0.306485,0.291489
18,176,F,0.23503,0.350092,0.414878,0.00102082,0.624019,0.283213,0.0927683,0.280337,0.369896,0.349766
18,202,F,0.0610885,0.433543,0.505368,0,0.624019,0.283213,0.0927683,0.15899,0.357799,0.483208
18,212,F,0.151692,0.374368,0.47394,0,0.624019,0.283213,0.0927683,0.240138,0.356662,0.403199
18,215,F,0.0851726,0.333616,0.581211,0,0.624019,0.283213,0.0927683,0.2242,0.350047,0.42575
18,220,F,0.208994,0.368123,0.422884,0.000128833,0.624019,0.283213,0.0927683,0.27546,0.387915,0.336624
18,243,F,0.177877,0.316393,0.50573,0.000746826,0.624019,0.283213,0.0927683,0.327964,0.313165,0.358869
18,256,F,0.249975,0.407328,0.342697,0.000101771,0.624019,0.283213,0.0927683,0.356691,0.393426,0.249882
18,268,F,0.136018,0.385384,0.478598,0,0.624019,0.283213,0.0927683,0.227222,0.394658,0.378119
18,329,F,0.277307,0.404449,0.318245,0.000432563,0.624019,0.283213,0.0927683,0.311743,0.392052,0.296204
18,398,F,0.165892,0.389212,0.444897,0.00023245,0.624019,0.283213,0.0927683,0.265202,0.401374,0.333424
18,458,F,0.281564,0.365611,0.352824,0.000744325,0.624019,0.283213,0.0927683,0.345324,0.375424,0.279251
18,507,F,0.160118,0.346885,0.492996,0.000227713,0.624019,0.283213,0.0927683,0.277508,0.318683,0.403808
18,564,F,0.183635,0.40298,0.413385,0.000236435,0.624019,0.283213,0.0927683,0.31696,0.384733,0.298306
18,607,F,0.1938,0.38899,0.41721,0.000427396,0.624019,0.283213,0.0927683,0.281497,0.420409,0.298093
21,0,F,0.0657895,0.183799,0.750411,0.000411015,0.479832,0.315082,0.205086,0.0374626,0.197759,0.764772
21,4,F,0.119409,0.373602,0.506989,0.000399202,0.479832,0.315082,0.205086,0.123748,0.467418,0.408833
21,6,F,0.10013,0.281372,0.618498,0.000162522,0.479832,0.315082,0.205086,0.0912046,0.308379,0.600416
21,7,F,0.0422535,0.0841121,0.873634,0,0.479832,0.315082,0.205086,0.0220053,0.119527,0.858465
21,12,F,0.18094,0.282944,0.536116,0.00047866,0.479832,0.315082,0.205086,0.19849,0.320044,0.481465
21,19,F,0.13891,0.314045,0.547045,0,0.479832,0.315082,0.205086,0.131141,0.328504,0.540354
21,26,F,0.0866328,0.205649,0.707718,0.000708634,0.479832,0.315082,0.205086,0.0832178,0.272285,0.644496
21,32,F,0.142025,0.369523,0.488452,0.000215796,0.479832,0.315082,0.205086,0.163311,0.370228,0.466459
