Ant59,Ant540,Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant954,Ant1,Ant17,Ant27,Ant44,Ant49,Ant51,Ant71,Ant97,Ant115,Ant117,Ant120,Ant153,Ant170,Ant176,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant298,Ant299,Ant305,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant564,Ant592,Ant593,Ant599,Ant607,Ant638,Ant647,Ant650
0,1,8,12,27,6,14,0,1,8,3,11,13,3,9,8,6,1,4,39,22,11,5,17,0,15,16,1,3,8,9,20,3,2,4,10,20,0,17,7,4,13,9,3,7,1,4,14,2,2,12,2,2,4,1
1,0,16,1,4,4,2,8,8,19,1,3,9,3,3,11,7,7,14,0,7,0,7,2,5,8,16,10,5,3,10,3,5,23,0,3,8,27,2,6,15,4,1,0,2,7,6,3,1,9,4,1,9,7,12
8,16,0,3,2,16,12,13,18,4,31,0,1,4,3,34,10,4,6,3,0,0,5,3,8,0,2,3,12,5,15,1,0,5,9,0,1,2,2,6,54,1,1,2,3,7,0,1,2,1,2,17,25,32,46
12,1,3,0,20,3,4,0,3,1,3,3,9,10,8,12,16,0,20,2,31,4,8,12,2,8,12,0,4,5,3,23,4,1,2,0,2,1,13,4,3,14,26,10,14,2,7,14,35,4,3,0,1,1,1
27,4,2,20,0,10,10,0,0,5,2,25,14,14,19,1,5,0,6,9,14,18,23,23,3,3,32,0,2,14,2,23,5,7,3,8,5,0,22,2,0,14,4,3,25,0,0,4,8,9,24,0,0,1,0
6,4,16,3,10,0,8,3,1,7,8,18,13,4,4,11,12,6,1,1,6,0,11,4,19,5,18,1,10,3,8,10,4,7,4,2,8,7,5,28,34,0,30,1,9,4,0,3,9,2,9,7,4,3,11
14,2,12,4,10,8,0,2,11,2,3,2,23,15,11,15,4,2,6,13,9,13,6,4,6,8,32,4,4,10,2,8,5,12,6,12,13,5,15,2,7,4,9,8,25,5,1,23,6,15,11,2,5,5,2
0,8,13,0,0,3,2,0,1,4,0,0,3,0,0,5,1,1,1,0,0,0,1,0,0,1,0,2,3,0,1,0,0,0,0,2,1,1,5,0,2,0,2,0,0,3,0,0,0,0,0,3,7,0,2
1,8,18,3,0,1,11,1,0,8,8,8,0,5,0,5,8,2,0,9,2,0,9,2,2,2,0,17,4,2,4,13,3,12,0,0,7,45,20,37,2,2,1,0,3,6,1,0,18,12,0,5,7,0,1
8,19,4,1,5,7,2,4,8,0,2,0,5,5,2,6,8,4,7,2,1,1,1,4,5,2,12,16,5,1,8,4,1,14,1,10,3,32,2,7,7,2,10,5,4,2,0,1,6,9,5,8,4,2,2
