Ant4,Ant5,Ant59,Ant65,Ant397,Ant540,Ant929,Ant2,Ant6,Ant14,Ant19,Ant24,Ant25,Ant26,Ant73,Ant148,Ant158,Ant191,Ant192,Ant202,Ant227,Ant237,Ant245,Ant252,Ant311,Ant518,Ant534,Ant646,Ant740,Ant838,Ant954,Ant0,Ant1,Ant17,Ant23,Ant27,Ant32,Ant44,Ant49,Ant51,Ant62,Ant71,Ant96,Ant97,Ant114,Ant115,Ant117,Ant120,Ant126,Ant140,Ant149,Ant153,Ant170,Ant172,Ant173,Ant176,Ant186,Ant210,Ant217,Ant220,Ant221,Ant242,Ant250,Ant251,Ant255,Ant256,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant298,Ant299,Ant305,Ant320,Ant326,Ant332,Ant334,Ant353,Ant356,Ant387,Ant391,Ant433,Ant475,Ant476,Ant482,Ant501,Ant502,Ant507,Ant530,Ant564,Ant592,Ant593,Ant599,Ant607,Ant610,Ant614,Ant632,Ant638,Ant647,Ant650
0,0,10,1,1,18,4,4,4,3,8,2,3,0,9,15,3,4,2,0,0,7,0,11,7,0,1,4,15,9,2,11,0,11,2,13,4,20,2,11,2,18,5,9,0,4,4,14,10,0,8,3,3,16,0,11,0,6,3,3,1,24,7,0,1,0,0,9,12,26,6,0,3,9,5,2,10,0,14,2,7,3,19,8,8,0,4,6,3,2,7,7,14,4,5,0,2,0,7,0,0,1
0,0,1,8,2,1,0,29,1,14,1,0,9,0,0,8,1,10,2,26,6,0,1,0,10,8,0,0,0,0,0,0,0,0,0,6,3,2,5,4,1,3,13,8,2,0,6,4,10,2,13,8,0,1,0,1,0,1,0,11,2,2,1,2,2,6,6,5,0,0,1,16,14,1,2,3,0,2,1,2,0,1,0,0,8,0,5,3,0,5,1,0,2,0,3,4,5,1,2,5,2,39
10,1,0,0,2,14,12,1,8,0,2,11,6,0,18,14,25,1,2,0,0,7,0,22,3,0,17,21,19,6,1,22,0,20,1,1,3,16,1,7,7,14,1,4,0,6,8,8,0,1,6,0,7,13,1,6,0,6,8,4,4,0,13,0,0,1,1,3,9,21,16,3,8,14,16,1,10,2,13,0,9,0,11,6,10,8,5,0,14,1,6,8,3,6,3,0,0,0,3,5,2,1
1,8,0,0,16,2,1,16,0,6,0,0,4,0,0,7,2,1,4,2,3,1,4,0,8,6,2,0,0,1,1,1,0,0,2,1,1,3,1,8,2,0,4,4,1,0,2,3,3,10,15,0,0,0,5,4,0,5,0,3,0,1,2,14,8,12,6,4,2,0,0,8,10,3,0,8,0,8,3,10,0,3,2,0,2,0,0,0,0,0,1,1,0,5,1,0,2,0,0,15,4,1
1,2,2,16,0,1,0,17,1,2,4,0,5,0,1,3,6,1,6,3,0,2,0,4,3,0,3,2,0,0,1,0,0,0,6,0,1,6,1,7,1,1,1,6,7,2,24,5,8,8,4,1,6,0,0,14,0,15,0,3,0,2,0,8,28,1,0,1,0,3,2,6,5,1,0,5,1,14,4,0,3,0,2,3,5,0,0,0,5,12,0,0,8,10,2,0,1,0,0,7,6,8
18,1,14,2,1,0,3,12,4,5,6,9,9,0,3,15,7,0,4,0,2,5,1,20,15,2,1,12,14,0,7,0,0,6,4,0,0,18,2,9,10,11,2,36,0,3,15,17,1,10,6,8,18,5,0,7,0,2,1,4,0,19,15,5,7,0,1,9,11,19,4,15,8,15,3,0,5,6,21,0,20,1,5,5,0,4,0,0,11,9,7,3,12,8,2,2,1,1,7,5,5,6
4,0,12,1,0,3,0,0,9,0,0,3,2,0,10,7,9,0,1,0,1,2,0,8,1,0,5,8,4,0,3,7,0,21,0,0,0,12,0,2,8,12,0,0,1,3,10,4,0,2,3,3,3,20,0,2,0,1,13,0,3,9,3,1,1,2,0,0,6,10,3,0,2,20,4,0,7,1,4,0,1,1,22,3,5,0,0,0,28,0,9,9,1,1,4,0,0,0,4,1,0,0
4,29,1,16,17,12,0,0,2,20,6,2,16,0,2,9,2,22,7,27,20,0,4,0,17,5,6,1,0,1,0,1,0,0,13,19,10,5,21,38,2,12,24,31,12,1,10,11,34,9,14,16,2,3,8,18,0,13,4,13,2,3,4,8,23,6,19,37,2,4,3,20,19,3,5,19,1,12,2,6,2,7,1,0,1,4,14,7,6,22,2,1,5,8,0,11,12,1,3,36,8,30
4,1,8,0,1,4,9,2,0,3,1,3,5,0,9,13,9,0,0,0,0,3,1,2,6,1,2,4,11,3,4,5,0,5,1,0,0,4,0,3,20,4,0,3,0,3,0,7,0,1,12,4,7,6,0,8,0,1,0,5,2,6,2,2,0,0,0,0,6,6,0,7,1,6,2,9,3,4,15,1,10,6,21,2,3,7,1,0,9,3,22,5,2,7,0,3,3,0,7,2,0,2
3,14,0,6,2,5,0,20,3,0,2,2,5,2,0,6,1,20,2,6,11,2,8,1,7,10,5,0,2,3,2,1,2,0,3,4,11,1,9,2,0,0,11,10,1,0,15,2,7,2,16,6,3,0,2,9,1,4,0,5,7,1,1,1,7,14,7,0,0,4,2,12,5,0,3,17,0,9,0,3,2,7,0,0,4,0,11,23,1,2,1,3,3,1,2,3,4,1,2,8,6,10
