Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant76,Ant99,Ant102,Ant148,Ant158,Ant161,Ant191,Ant202,Ant209,Ant227,Ant237,Ant252,Ant268,Ant278,Ant311,Ant329,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant68,Ant80,Ant91,Ant96,Ant97,Ant98,Ant100,Ant105,Ant109,Ant112,Ant114,Ant126,Ant137,Ant140,Ant142,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant219,Ant220,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant332,Ant342,Ant356,Ant394,Ant395,Ant398,Ant400,Ant433,Ant437,Ant458,Ant476,Ant492,Ant502,Ant507,Ant509,Ant527,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant635,Ant638,Ant647,Ant650,Ant665
0,18,21,0,18,0,26,5,18,2,22,8,3,11,12,20,1,20,9,42,2,7,20,19,0,14,3,8,3,4,2,14,4,4,3,16,33,2,3,11,1,5,1,11,7,17,3,13,2,18,3,2,17,6,4,10,2,23,28,4,13,9,18,18,10,19,7,4,18,3,1,11,12,9,23,0,1,0,12,0,16,0,7,10,3,14,3,10,0,22,12,17,15,4,2,13,6,12,2,9,16,7,2,17,11,13,5,13,16,5,6,12,13,5,17,11,1,4,5,18,31,18,2,1,7,2,2,2,4,18,12
18,0,9,1,15,1,12,16,0,1,20,0,2,5,1,15,0,13,3,21,5,1,3,40,0,31,6,11,15,1,4,30,1,0,0,8,7,0,0,4,3,1,2,15,12,0,11,4,0,17,2,12,18,13,1,5,7,7,4,19,5,3,11,11,5,1,6,1,49,1,0,2,14,3,0,0,0,0,7,0,0,2,0,8,2,3,0,6,1,15,18,0,30,0,9,10,0,21,19,10,6,12,0,3,13,2,0,45,5,1,2,14,6,1,5,3,2,2,4,2,7,7,2,3,2,0,24,1,1,7,21
21,9,0,0,0,0,7,0,0,0,9,2,5,3,6,9,1,8,11,15,9,0,6,7,0,2,0,5,2,1,0,5,3,0,1,5,12,0,0,13,0,4,0,15,19,1,7,10,0,1,0,3,21,23,0,20,2,1,6,2,7,1,4,6,2,2,9,0,7,1,0,5,33,5,2,0,0,0,2,0,1,0,0,1,0,0,1,0,0,13,13,3,14,2,5,2,4,19,8,5,5,9,0,4,6,1,0,19,12,0,0,14,1,17,17,0,0,0,1,22,2,1,2,11,1,0,1,0,16,21,5
0,1,0,0,0,2,1,0,7,9,1,0,2,1,1,0,2,0,2,1,0,6,0,16,10,1,0,1,4,12,3,7,17,5,3,0,1,0,2,0,1,0,1,1,0,2,0,0,0,0,13,0,0,0,0,4,9,0,0,0,2,10,0,1,0,0,2,6,2,0,0,6,2,20,1,0,0,0,0,6,1,0,5,0,6,1,12,11,0,1,0,0,0,1,0,1,0,0,0,1,4,0,1,3,0,0,7,1,1,2,2,2,0,1,0,0,4,17,4,0,5,7,2,0,9,1,2,23,0,0,0
18,15,0,0,0,0,8,20,0,0,6,3,7,7,16,5,1,12,4,1,4,4,0,15,1,12,2,14,0,2,0,2,4,4,1,2,1,1,2,11,1,10,2,12,2,20,8,2,5,25,1,9,5,11,2,10,3,16,0,6,1,13,0,16,2,3,5,0,9,3,1,8,6,0,28,0,0,0,5,0,1,0,4,3,4,0,0,14,0,6,11,3,9,4,1,5,5,3,7,11,1,1,3,15,5,5,9,3,13,3,2,17,6,1,9,4,1,10,1,9,8,7,0,0,6,0,0,0,2,6,6
0,1,0,2,0,0,0,0,1,5,0,1,2,0,1,0,15,0,1,1,0,12,0,0,13,0,0,0,0,0,0,1,6,1,1,2,0,235,17,0,0,1,10,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,5,1,1,0,1,2,0,61,0,11,0,8,0,0,0,1,1,1,30,1,1,0,0,0,1,0,0,0,1,0,0,0,4,1,0,1,0,0,0,3,0,0,0,1,0,0,11,0,0,0,0,0,1,0,1,65,0,0,0,0,1
26,12,7,1,8,0,0,30,2,2,9,13,13,12,5,16,2,13,15,4,4,1,3,10,0,8,6,7,19,1,1,13,6,2,5,3,15,0,2,12,0,12,2,18,3,17,2,1,6,10,3,1,12,5,3,7,5,5,9,7,7,2,4,13,4,6,27,7,6,0,1,8,11,7,36,0,0,0,8,4,11,0,4,4,2,1,1,6,1,11,26,7,22,5,10,6,5,23,2,16,4,2,1,19,21,10,5,13,23,13,2,41,1,14,4,4,0,11,2,12,6,13,1,0,8,0,2,0,0,30,14
5,16,0,0,20,0,30,0,1,1,20,11,1,25,15,8,4,2,3,11,10,2,13,21,1,21,8,4,8,1,4,19,3,7,2,10,33,0,11,16,3,0,1,29,10,8,13,3,2,16,1,8,7,10,1,7,4,2,5,8,11,3,4,20,10,6,52,4,16,1,1,3,11,4,5,0,0,1,6,0,3,0,2,8,2,3,0,5,0,1,32,7,5,3,2,10,5,21,1,25,11,0,1,8,11,4,4,2,13,1,4,14,9,17,4,3,0,3,2,36,9,3,7,0,9,0,7,1,0,43,2
18,0,0,7,0,1,2,1,0,2,8,7,3,0,3,0,11,5,3,1,2,15,1,26,0,3,13,1,8,20,3,11,10,2,2,2,0,0,3,1,4,10,3,10,0,2,0,0,0,5,5,7,1,4,0,4,2,2,1,1,0,8,0,4,3,9,12,1,1,3,0,24,2,8,8,3,0,0,1,4,5,0,8,1,8,1,4,6,0,2,0,0,1,2,2,1,0,2,0,8,6,6,8,5,5,12,7,1,4,4,3,2,0,4,0,5,1,16,5,3,13,11,11,0,10,4,0,7,0,7,0
2,1,0,9,0,5,2,1,2,0,2,0,3,7,10,1,43,4,2,0,2,4,1,10,15,1,3,6,4,15,3,2,15,15,18,0,1,20,33,1,10,2,23,0,0,14,0,0,15,0,10,2,0,0,11,3,15,3,1,42,1,6,5,0,22,2,0,3,1,7,23,25,2,1,3,9,12,3,5,10,16,28,12,5,9,7,0,9,9,6,0,0,1,3,8,2,5,2,1,1,7,2,16,3,2,10,5,3,1,2,18,3,13,1,4,1,27,7,6,0,6,9,31,1,11,5,1,5,0,1,11
