Ant59,Ant540,Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant954,Ant1,Ant17,Ant27,Ant44,Ant49,Ant51,Ant71,Ant97,Ant115,Ant117,Ant120,Ant153,Ant170,Ant176,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant298,Ant299,Ant305,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant564,Ant592,Ant593,Ant599,Ant607,Ant638,Ant647,Ant650
0,4,22,8,13,13,9,3,2,0,11,13,9,3,22,9,23,1,1,15,13,5,20,4,6,12,21,3,4,2,14,10,3,2,13,4,5,6,10,8,32,6,4,12,12,4,4,16,8,15,30,8,20,22,36
4,0,8,6,2,2,5,0,14,14,4,7,1,2,1,11,7,9,4,3,10,4,13,2,3,5,9,13,7,3,13,4,6,10,1,12,8,9,4,15,12,2,2,13,2,6,2,15,5,22,6,0,6,4,3
22,8,0,3,0,28,9,10,4,6,14,11,2,3,6,24,3,2,2,0,2,4,4,8,34,1,3,13,26,4,4,0,1,1,0,2,2,6,9,4,56,0,1,3,4,10,0,6,13,5,5,22,20,34,21
8,6,3,0,13,4,5,0,0,0,0,8,4,8,17,1,8,2,4,8,25,15,0,1,6,1,16,2,0,10,15,40,3,1,4,13,0,4,5,3,1,11,10,27,4,0,1,1,12,9,10,0,4,4,1
13,2,0,13,0,9,4,1,0,1,0,8,10,5,7,2,9,0,9,3,16,13,7,2,2,8,14,0,3,12,11,4,15,1,21,17,9,5,5,5,0,12,10,0,13,0,0,9,4,11,4,0,0,0,0
13,2,28,4,9,0,5,2,9,7,8,11,3,14,2,11,3,7,3,5,24,3,10,5,15,2,14,8,15,2,2,1,0,1,0,2,3,7,3,6,20,1,7,1,10,6,0,8,23,7,4,7,17,11,8
9,5,9,5,4,5,0,0,4,3,9,7,8,4,6,9,2,4,15,19,12,13,3,11,13,12,17,10,9,7,14,24,6,10,6,5,2,9,5,7,5,15,21,9,9,1,10,3,4,8,8,3,7,1,8
3,0,10,0,1,2,0,0,2,1,0,0,0,1,0,9,0,1,0,0,0,0,1,1,5,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,1,0,3,2,2,2
2,14,4,0,0,9,4,2,0,16,6,8,0,0,3,4,4,4,0,0,0,5,2,3,0,4,12,33,20,14,15,0,3,12,8,0,0,11,1,13,11,0,0,2,0,10,0,8,11,2,9,9,18,14,7
0,14,6,0,1,7,3,1,16,0,0,3,1,2,0,7,3,6,0,1,1,0,3,3,4,0,1,19,2,1,1,0,1,16,1,1,1,3,0,15,9,0,3,1,4,3,0,1,2,0,2,4,10,3,6
11,4,14,0,0,8,9,0,6,0,0,8,0,3,0,13,7,4,4,0,3,0,9,2,14,0,0,4,5,1,2,0,0,0,1,2,4,0,13,1,11,0,4,1,1,2,0,3,10,3,4,5,8,11,6
13,7,11,8,8,11,7,0,8,3,8,0,4,15,31,3,10,4,9,1,7,4,1,7,4,3,20,3,4,3,11,6,9,0,4,1,5,4,36,3,1,13,8,2,4,0,0,7,30,4,15,7,2,1,0
9,1,2,4,10,3,8,0,0,1,0,4,0,20,5,2,1,0,3,22,48,28,4,5,8,38,11,0,1,14,7,31,6,5,21,25,49,0,4,1,1,20,13,43,9,1,4,11,3,3,21,1,4,1,0
3,2,3,8,5,14,4,1,0,2,3,15,20,0,4,8,11,0,0,1,6,5,23,2,12,1,10,1,2,2,19,0,6,2,2,4,5,17,8,2,5,3,2,6,6,0,2,4,4,12,10,3,2,0,5
22,1,6,17,7,2,6,0,3,0,0,31,5,4,0,2,4,0,7,4,10,29,7,11,3,6,13,1,2,2,27,32,10,1,15,8,3,4,12,8,8,6,9,11,5,0,2,10,9,12,8,0,0,0,0
9,11,24,1,2,11,9,9,4,7,13,3,2,8,2,0,10,7,10,8,10,0,7,4,8,3,8,2,5,2,4,1,4,2,5,0,4,1,4,0,33,1,6,2,10,6,0,7,3,7,6,8,12,13,26
23,7,3,8,9,3,2,0,4,3,7,10,1,11,4,10,0,0,4,5,0,24,12,0,3,1,18,4,0,5,2,11,3,6,4,15,5,10,15,10,2,2,10,7,39,0,4,14,9,6,10,6,2,0,8
1,9,2,2,0,7,4,1,4,6,4,4,0,0,0,7,0,0,0,1,1,1,5,2,6,0,2,7,2,2,4,0,0,8,1,0,2,8,6,5,9,0,1,3,1,0,0,1,3,7,2,3,5,1,2
1,4,2,4,9,3,15,0,0,0,4,9,3,0,7,10,4,0,0,23,27,5,9,5,3,1,5,5,2,4,5,22,34,1,0,2,14,1,6,3,2,3,3,8,8,1,19,2,2,6,1,2,1,0,2
15,3,0,8,3,5,19,0,0,1,0,1,22,1,4,8,5,1,23,0,48,60,5,10,5,38,13,1,1,24,5,18,12,0,16,3,20,5,20,2,0,35,11,19,49,0,1,14,9,11,13,1,3,0,0
13,10,2,25,16,24,12,0,0,1,3,7,48,6,10,10,0,1,27,48,0,38,0,36,4,10,16,4,4,7,12,17,6,3,6,3,18,3,34,0,0,42,3,21,12,0,0,8,0,9,14,0,8,1,8
5,4,4,15,13,3,13,0,5,0,0,4,28,5,29,0,24,1,5,60,38,0,0,1,0,40,43,3,1,10,5,19,6,6,28,12,5,7,2,12,3,11,9,27,18,0,4,10,2,20,10,3,10,1,4
20,13,4,0,7,10,3,1,2,3,9,1,4,23,7,7,12,5,9,5,0,0,0,7,14,0,11,9,12,2,6,2,4,7,5,8,8,10,3,5,1,6,11,2,4,6,0,2,12,49,10,8,5,5,8
4,2,8,1,2,5,11,1,3,3,2,7,5,2,11,4,0,2,5,10,36,1,7,0,6,4,13,4,3,5,6,7,2,1,1,3,10,0,13,9,7,5,3,20,5,0,0,26,7,6,6,3,4,1,3
6,3,34,6,2,15,13,5,0,4,14,4,8,12,3,8,3,6,3,5,4,0,14,6,0,2,2,4,3,11,5,6,3,4,3,1,8,4,13,7,25,0,5,0,4,3,0,11,5,5,4,0,4,11,15
12,5,1,1,8,2,12,0,4,0,0,3,38,1,6,3,1,0,1,38,10,40,0,4,2,0,18,2,3,2,4,38,2,3,0,13,3,0,5,1,2,13,4,10,8,0,0,6,0,9,21,4,7,0,2
21,9,3,16,14,14,17,0,12,1,0,20,11,10,13,8,18,2,5,13,16,43,11,13,2,18,0,15,9,23,24,26,13,1,0,18,3,11,5,39,2,23,34,20,27,0,2,13,13,33,63,23,4,4,9
3,13,13,2,0,8,10,2,33,19,4,3,0,1,1,2,4,7,5,1,4,3,9,4,4,2,15,0,4,3,8,3,5,13,0,5,3,21,4,18,6,1,2,4,0,1,1,8,5,9,6,4,17,6,20
4,7,26,0,3,15,9,1,20,2,5,4,1,2,2,5,0,2,2,1,4,1,12,3,3,3,9,4,0,1,11,0,2,1,0,3,1,8,4,0,6,1,6,7,1,4,0,3,7,2,0,8,6,11,12
2,3,4,10,12,2,7,1,14,1,1,3,14,2,2,2,5,2,4,24,7,10,2,5,11,2,23,3,1,0,15,15,3,2,0,2,3,5,9,9,5,5,5,27,17,0,0,9,0,4,1,1,0,3,5
