Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant76,Ant99,Ant102,Ant148,Ant158,Ant161,Ant191,Ant202,Ant209,Ant227,Ant237,Ant252,Ant268,Ant278,Ant311,Ant329,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant68,Ant80,Ant91,Ant96,Ant97,Ant98,Ant100,Ant105,Ant109,Ant112,Ant114,Ant126,Ant137,Ant140,Ant142,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant219,Ant220,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant332,Ant342,Ant356,Ant394,Ant395,Ant398,Ant400,Ant433,Ant437,Ant458,Ant476,Ant492,Ant502,Ant507,Ant509,Ant527,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant635,Ant638,Ant647,Ant650,Ant665
0,14,6,1,16,33,25,20,3,1,5,12,6,12,12,7,1,13,2,11,4,3,16,10,0,28,8,17,12,1,1,14,5,2,5,3,47,0,4,14,2,6,1,13,4,16,10,10,1,9,6,22,28,1,6,23,4,2,14,0,14,5,8,16,34,3,6,1,30,0,0,9,18,8,15,1,2,0,6,5,7,3,5,5,4,7,3,2,0,14,27,14,6,6,5,15,10,2,6,8,7,21,0,24,10,6,6,11,22,4,4,22,5,21,13,16,3,11,2,9,26,16,3,0,21,0,8,6,8,37,13
14,0,10,0,8,13,0,2,0,1,19,0,7,4,4,35,0,12,0,17,10,1,4,2,0,6,5,4,8,0,3,8,3,3,0,0,13,0,0,7,0,3,0,1,15,2,1,1,0,4,0,1,4,7,0,16,0,0,19,0,4,2,0,8,11,1,5,5,26,2,0,1,18,2,9,0,0,0,11,0,2,0,1,15,0,4,0,2,0,1,5,2,19,0,7,1,10,2,5,0,4,4,0,13,8,5,2,6,0,0,1,16,3,17,15,12,0,1,3,15,4,4,0,9,13,0,18,0,3,12,11
6,10,0,0,0,14,0,4,0,0,10,4,15,1,4,10,0,2,7,4,1,0,6,5,0,4,0,1,5,0,0,2,3,0,0,33,3,0,1,9,0,4,0,1,31,2,18,4,0,1,2,1,2,4,0,11,1,0,3,0,0,0,4,3,1,4,9,3,19,0,0,0,24,4,5,0,0,0,4,1,0,1,1,0,1,0,0,3,0,1,9,3,4,0,6,2,1,15,11,4,2,2,0,1,3,2,1,15,2,0,0,7,0,0,7,5,0,0,1,2,0,1,1,10,0,0,22,0,0,4,2
1,0,0,0,3,50,1,2,1,10,0,0,2,4,7,0,4,3,2,0,3,7,0,7,8,0,3,0,1,15,4,3,20,4,10,1,0,0,5,1,4,4,4,8,0,8,0,3,3,3,7,2,0,0,8,1,10,1,0,12,2,11,0,2,7,14,1,5,8,4,2,16,0,9,7,1,0,0,2,7,3,1,7,0,2,4,11,20,0,2,2,1,0,4,10,1,6,0,1,0,4,3,14,2,1,4,9,0,0,5,2,13,0,1,0,1,5,1,1,2,6,3,6,0,11,0,0,11,0,4,0
16,8,0,3,0,45,8,1,1,7,5,0,1,8,13,1,0,14,1,13,11,6,3,16,0,5,5,6,7,0,0,12,12,3,15,0,11,0,4,21,7,3,1,29,0,11,5,14,3,15,0,3,28,8,1,5,0,8,3,7,15,12,1,8,4,9,0,3,3,4,0,2,11,2,12,3,1,0,4,12,1,1,8,7,4,2,5,7,0,4,24,5,1,2,2,1,1,0,26,8,15,10,0,3,7,13,1,3,8,1,0,43,2,3,0,5,13,3,3,2,4,11,3,0,2,0,9,2,1,9,1
33,13,14,50,45,0,29,28,62,35,27,24,9,26,67,34,34,28,24,34,29,46,30,33,16,34,43,17,34,14,15,23,40,27,49,17,58,9,22,17,31,16,35,35,22,32,10,21,23,24,28,34,31,18,29,33,18,20,13,34,16,38,11,36,18,39,33,37,39,27,22,53,24,29,45,10,7,1,29,13,43,21,43,23,30,20,21,51,0,21,18,17,16,26,30,25,14,24,30,27,49,18,26,29,27,26,30,32,28,13,30,64,24,31,18,27,43,28,25,55,62,30,35,27,61,2,17,35,3,82,30
25,0,0,1,8,29,0,4,3,2,7,2,0,23,12,1,1,4,4,1,9,14,4,14,0,16,10,2,2,0,0,4,10,9,17,0,26,0,1,1,2,2,0,30,0,22,0,6,0,13,2,1,7,6,4,2,5,18,2,9,8,15,7,8,28,6,6,0,3,0,0,7,0,5,26,0,0,0,1,3,0,0,1,6,5,12,0,3,0,0,16,2,0,2,11,3,0,0,4,6,1,0,0,12,5,8,5,1,3,1,0,32,6,6,0,7,10,1,7,3,6,5,4,0,3,0,4,2,0,10,1
20,2,4,2,1,28,4,0,4,3,1,4,2,7,9,5,7,2,16,4,0,10,1,14,0,2,8,2,8,8,1,16,5,6,7,8,5,0,1,17,0,14,2,5,2,8,0,13,8,0,12,25,1,1,6,6,13,6,1,1,6,2,1,25,12,3,5,7,4,3,0,12,2,7,12,6,0,0,9,6,2,14,17,1,0,12,1,7,0,1,12,11,2,7,2,5,3,14,5,2,5,2,1,0,8,10,8,0,0,3,10,9,11,5,20,3,0,2,4,4,0,10,4,0,6,0,31,0,1,5,3
3,0,0,1,1,62,3,4,0,5,2,0,0,2,2,1,13,0,0,1,1,14,0,9,3,0,2,0,2,2,0,6,16,4,5,0,4,0,4,0,4,1,6,4,0,9,0,1,2,1,3,1,0,0,21,1,1,2,0,8,1,4,0,1,3,2,13,0,3,1,3,14,2,13,3,10,2,9,1,0,1,7,5,0,5,1,2,21,0,7,3,0,0,4,0,2,1,0,1,2,1,0,18,0,2,6,10,0,0,9,7,13,4,0,3,4,7,4,14,0,14,3,10,0,5,0,2,21,0,3,0
1,1,0,10,7,35,2,3,5,0,1,12,1,2,6,7,19,1,7,3,5,14,1,3,23,7,7,0,1,31,6,12,31,3,22,1,4,25,14,1,9,8,19,8,1,16,0,0,18,4,16,12,1,2,12,0,20,7,0,27,6,23,2,11,9,5,6,27,5,19,22,14,3,2,2,9,31,9,2,11,22,27,26,0,5,11,8,7,0,3,2,1,0,5,3,6,0,0,1,0,27,3,16,9,0,11,11,0,7,14,9,8,17,0,1,0,38,2,4,1,2,1,28,1,25,2,0,6,0,5,0
