Ant57,Ant5,Ant52,Ant59,Ant929,Ant6,Ant25,Ant26,Ant30,Ant74,Ant99,Ant102,Ant148,Ant191,Ant196,Ant209,Ant245,Ant268,Ant308,Ant620,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant111,Ant113,Ant114,Ant126,Ant135,Ant139,Ant142,Ant156,Ant159,Ant169,Ant170,Ant174,Ant195,Ant198,Ant207,Ant218,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant376,Ant387,Ant391,Ant437,Ant492,Ant549,Ant580,Ant592,Ant607,Ant614,Ant632,Ant638,Ant650,Ant663,Ant665
0,1,2,0,16,26,0,36,1,1,95,13,5,3,2,7,12,17,7,0,12,1,3,24,7,1,1,5,1,5,15,1,0,4,2,8,0,6,3,0,64,13,5,0,6,6,6,0,3,7,8,0,7,28,6,7,11,10,3,0,25,0,10,2,5,4,0,10,29,48,0,26,19,2,0,1,3,16,1,0,2,21,2,1,0,1,60,4,6
1,0,2,6,2,0,2,4,10,10,1,0,2,13,3,14,3,1,1,0,0,30,0,1,5,19,5,2,0,2,0,5,4,12,2,0,14,3,4,8,1,0,0,12,0,0,12,0,0,3,1,11,0,0,0,1,1,1,4,1,3,1,0,2,9,7,1,0,1,1,3,3,0,2,6,7,5,1,0,0,10,1,20,1,0,6,0,2,17
2,2,0,7,2,2,0,4,0,5,3,0,5,0,0,0,5,1,0,0,8,2,1,3,5,8,1,4,0,2,0,10,20,0,27,0,6,0,1,1,3,0,2,5,2,0,22,0,1,0,1,6,2,1,1,4,6,0,4,1,0,2,0,7,5,2,7,1,8,11,22,1,0,21,0,15,0,0,1,0,0,0,1,0,0,20,8,3,5
0,6,7,0,2,0,0,0,3,13,3,0,4,11,1,4,2,0,2,0,1,15,2,4,1,4,6,15,0,10,1,14,4,35,16,0,69,3,10,24,9,0,0,2,0,1,38,0,3,3,1,23,0,1,0,2,0,2,0,3,5,10,0,10,0,4,4,0,2,2,28,1,0,0,6,5,6,0,0,0,11,1,13,0,0,7,2,1,11
16,2,2,2,0,5,11,20,1,1,16,7,2,3,11,1,7,26,11,0,12,0,8,12,2,0,1,3,11,10,1,4,2,3,2,2,1,29,6,0,34,2,18,3,21,3,0,0,8,6,5,0,10,12,28,9,0,6,6,2,4,2,1,1,0,3,1,3,11,16,0,11,5,5,2,4,3,8,4,13,11,5,2,41,9,9,21,27,9
26,0,2,0,5,0,4,12,0,2,43,4,2,1,6,2,2,2,3,15,2,2,1,2,4,2,0,0,3,5,22,0,0,1,5,3,0,19,2,0,19,17,5,0,2,4,0,0,3,2,2,0,11,8,4,3,0,2,3,0,5,2,8,3,2,1,0,8,10,8,3,9,6,2,0,0,0,4,6,4,4,16,0,3,6,0,13,7,3
0,2,0,0,11,4,0,3,5,4,9,1,3,8,7,2,5,10,6,0,13,15,14,5,2,0,6,5,4,25,0,5,3,12,0,13,0,9,28,1,17,0,13,17,2,0,1,0,6,9,8,0,5,2,27,11,1,3,9,10,5,2,5,4,2,7,0,0,0,8,1,1,0,2,6,6,8,1,7,3,20,4,5,10,4,9,11,2,7
36,4,4,0,20,12,3,0,5,7,60,14,4,5,17,4,15,11,5,0,32,6,6,24,2,0,0,4,1,8,7,5,0,0,0,3,0,15,9,4,57,32,13,0,4,13,1,0,4,6,15,2,2,32,2,16,20,7,11,1,1,1,18,10,0,1,2,18,66,37,3,17,19,4,1,0,0,5,5,3,11,17,4,17,12,2,43,20,5
1,10,0,3,1,0,5,5,0,2,11,1,2,0,10,2,5,1,2,0,12,2,6,18,0,0,1,2,0,5,0,9,5,2,0,3,4,2,7,12,4,3,2,0,1,0,2,0,1,6,2,2,2,1,1,3,10,14,12,1,10,5,0,15,4,11,13,2,4,7,3,2,1,19,28,5,2,3,2,0,4,0,10,1,2,7,6,0,0
1,10,5,13,1,2,4,7,2,0,1,5,0,12,0,2,0,5,2,0,2,11,1,15,0,2,2,7,2,8,0,11,0,4,12,7,7,2,12,0,5,5,10,36,0,0,1,0,1,7,3,5,0,1,0,2,1,1,24,3,9,2,2,21,8,2,3,2,1,4,3,2,1,6,5,2,11,0,5,0,6,1,17,0,1,7,3,0,14
