Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant252,Ant954,Ant27,Ant44,Ant49,Ant51,Ant97,Ant117,Ant170,Ant176,Ant242,Ant256,Ant262,Ant263,Ant264,Ant299,Ant305,Ant356,Ant391,Ant475,Ant476,Ant502,Ant592,Ant593,Ant599,Ant638,Ant650
0,3,1,32,11,21,0,8,7,3,1,12,0,22,30,3,4,21,3,13,17,1,6,0,2,9,2,32,15,1,6,11,12,43,21
3,0,0,4,8,0,0,0,10,6,4,10,11,2,0,15,3,17,11,1,4,14,1,11,6,13,6,2,1,9,1,7,3,1,2
1,0,0,0,13,0,0,1,16,5,41,69,2,2,0,8,1,0,18,0,0,13,7,9,1,6,31,0,0,11,8,1,2,2,0
32,4,0,0,9,9,0,6,5,2,6,9,0,23,7,11,6,3,1,2,8,5,3,4,9,8,1,12,9,2,3,15,7,23,11
11,8,13,9,0,0,0,6,11,14,18,14,27,3,6,10,18,5,10,4,5,23,4,23,4,8,21,18,3,2,36,5,7,2,9
21,0,0,9,0,0,0,0,1,1,0,1,0,0,1,1,0,2,0,5,0,0,0,0,1,1,0,4,1,0,0,2,7,9,4
0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
8,0,1,6,6,0,8,0,6,5,0,4,1,5,7,10,4,13,5,18,0,7,4,1,10,1,0,2,7,0,10,13,6,2,5
7,10,16,5,11,1,0,6,0,35,34,19,14,7,0,27,1,27,4,2,10,12,12,12,8,17,2,10,2,1,8,7,7,4,3
3,6,5,2,14,1,0,5,35,0,5,24,5,5,0,19,6,27,11,0,4,14,3,11,5,28,9,1,0,0,23,10,2,9,3
1,4,41,6,18,0,0,0,34,5,0,21,0,1,2,28,6,5,6,0,6,1,4,2,1,6,26,9,0,0,3,3,9,0,4
12,10,69,9,14,1,0,4,19,24,21,0,1,18,10,16,16,7,6,0,4,6,6,5,2,10,16,3,5,27,37,6,26,11,6
0,11,2,0,27,0,0,1,14,5,0,1,0,0,0,8,1,2,17,0,5,14,15,15,0,6,1,0,0,2,7,14,3,0,1
22,2,2,23,3,0,0,5,7,5,1,18,0,0,9,4,3,14,1,5,18,5,4,1,1,7,0,24,14,0,5,9,8,28,3
30,0,0,7,6,1,0,7,0,0,2,10,0,9,0,3,1,12,0,1,2,0,3,1,5,1,5,4,19,1,4,3,2,10,2
3,15,8,11,10,1,0,10,27,19,28,16,8,4,3,0,10,24,18,5,5,25,6,19,7,11,7,12,6,4,3,16,21,1,9
4,3,1,6,18,0,0,4,1,6,6,16,1,3,1,10,0,9,9,0,2,6,5,3,2,8,1,3,7,6,3,4,5,1,8
21,17,0,3,5,2,0,13,27,27,5,7,2,14,12,24,9,0,9,5,8,6,9,13,2,15,0,11,0,1,17,31,8,8,20
3,11,18,1,10,0,0,5,4,11,6,6,17,1,0,18,9,9,0,9,4,12,13,2,1,15,9,2,0,2,18,10,9,0,6
13,1,0,2,4,5,12,18,2,0,0,0,0,5,1,5,0,5,9,0,1,0,3,1,9,0,0,3,2,0,1,23,4,14,4
17,4,0,8,5,0,0,0,10,4,6,4,5,18,2,5,2,8,4,1,0,2,5,12,1,7,0,10,3,3,1,7,14,29,13
1,14,13,5,23,0,0,7,12,14,1,6,14,5,0,25,6,6,12,0,2,0,6,16,7,19,8,3,1,0,4,12,5,1,6
6,1,7,3,4,0,0,4,12,3,4,6,15,4,3,6,5,9,13,3,5,6,0,1,2,14,8,14,2,2,3,2,10,3,3
0,11,9,4,23,0,0,1,12,11,2,5,15,1,1,19,3,13,2,1,12,16,1,0,1,0,31,4,0,10,9,11,11,3,3
2,6,1,9,4,1,14,10,8,5,1,2,0,1,5,7,2,2,1,9,1,7,2,1,0,4,1,0,1,0,3,2,2,0,3
9,13,6,8,8,1,0,1,17,28,6,10,6,7,1,11,8,15,15,0,7,19,14,0,4,0,6,6,1,3,18,4,2,1,3
2,6,31,1,21,0,0,0,2,9,26,16,1,0,5,7,1,0,9,0,0,8,8,31,1,6,0,1,0,33,7,2,1,0,0
32,2,0,12,18,4,0,2,10,1,9,3,0,24,4,12,3,11,2,3,10,3,14,4,0,6,1,0,5,4,2,15,6,9,12
15,1,0,9,3,1,0,7,2,0,0,5,0,14,19,6,7,0,0,2,3,1,2,0,1,1,0,5,0,0,3,5,1,14,4
1,9,11,2,2,0,0,0,1,0,0,27,2,0,1,4,6,1,2,0,3,0,2,10,0,3,33,4,0,0,1,1,0,0,0
6,1,8,3,36,0,0,10,8,23,3,37,7,5,4,3,3,17,18,1,1,4,3,9,3,18,7,2,3,1,0,2,4,5,1
11,7,1,15,5,2,0,13,7,10,3,6,14,9,3,16,4,31,10,23,7,12,2,11,2,4,2,15,5,1,2,0,0,17,18
12,3,2,7,7,7,0,6,7,2,9,26,3,8,2,21,5,8,9,4,14,5,10,11,2,2,1,6,1,0,4,0,0,6,6
43,1,2,23,2,9,0,2,4,9,0,11,0,28,10,1,1,8,0,14,29,1,3,3,0,1,0,9,14,0,5,17,6,0,16
21,2,0,11,9,4,0,5,3,3,4,6,1,3,2,9,8,20,6,4,13,6,3,3,3,3,0,12,4,0,1,18,6,16,0
