Ant57,Ant260,Ant52,Ant929,Ant6,Ant7,Ant9,Ant19,Ant24,Ant26,Ant64,Ant74,Ant161,Ant196,Ant209,Ant227,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant673,Ant740,Ant838,Ant954,Ant0,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant49,Ant51,Ant54,Ant55,Ant62,Ant66,Ant70,Ant80,Ant91,Ant97,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant131,Ant135,Ant137,Ant140,Ant144,Ant149,Ant159,Ant169,Ant170,Ant174,Ant175,Ant190,Ant195,Ant206,Ant210,Ant232,Ant261,Ant262,Ant263,Ant299,Ant301,Ant313,Ant332,Ant376,Ant380,Ant433,Ant458,Ant492,Ant507,Ant509,Ant530,Ant576,Ant592,Ant593,Ant607,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,2,5,8,15,0,1,3,0,3,3,18,5,1,0,1,11,3,3,7,20,0,7,0,3,5,0,1,6,2,3,6,4,0,8,2,1,14,2,1,12,0,11,0,1,0,14,2,1,0,1,20,3,2,0,8,0,9,1,0,2,0,16,3,8,18,10,13,0,2,0,3,0,0,0,6,3,0,30,0,3,17,24,0,3,1,1,6,0,5,10
2,0,9,6,13,17,2,13,5,0,3,2,0,22,7,19,10,2,2,5,7,0,0,12,2,24,0,8,5,5,31,4,0,17,6,1,32,0,14,9,1,10,19,0,24,31,1,10,3,4,2,16,1,27,7,11,10,0,3,25,1,8,5,6,10,0,6,9,0,35,19,29,24,0,6,1,11,6,4,0,0,41,3,5,36,71,1,0,8,18,3
5,9,0,4,15,0,2,2,0,2,7,6,0,4,1,1,0,4,2,1,4,11,16,0,6,12,8,4,0,0,3,2,0,1,1,3,3,3,4,4,1,1,18,0,2,3,3,4,0,7,4,6,3,2,0,5,0,22,12,5,1,0,4,3,2,19,3,2,0,5,0,0,0,1,0,1,0,0,2,5,2,3,11,0,1,4,3,4,0,3,1
8,6,4,0,0,0,12,8,0,1,0,30,0,5,1,11,4,6,25,1,18,1,27,0,7,7,0,0,5,0,5,1,2,0,15,4,1,0,0,4,11,11,9,5,1,0,8,5,1,0,1,6,0,5,0,1,0,4,4,2,11,0,21,13,14,9,7,2,0,3,0,4,0,1,5,1,3,8,22,1,2,16,4,1,5,0,7,1,1,9,0
15,13,15,0,0,6,1,3,0,0,5,1,0,19,2,29,21,15,6,12,4,0,6,5,4,16,1,0,9,21,6,14,3,11,9,1,11,11,21,4,0,9,23,0,8,0,0,4,6,2,15,3,2,9,0,27,0,8,5,25,0,0,3,2,7,0,2,4,1,5,0,0,4,1,25,4,17,4,6,2,0,57,16,3,16,4,3,5,5,9,6
0,17,0,0,6,0,0,0,10,0,0,0,2,13,0,6,1,4,2,2,1,1,0,5,0,7,1,2,1,6,8,5,4,11,0,0,13,1,16,2,0,2,3,0,3,13,0,3,0,0,15,0,1,7,6,12,10,1,1,7,0,18,5,0,0,0,0,2,0,4,15,7,19,0,11,0,6,0,2,0,0,13,0,7,5,13,0,0,19,2,3
1,2,2,12,1,0,0,0,0,5,8,1,3,0,2,3,2,0,10,7,16,9,14,0,1,9,3,6,0,0,0,8,25,0,4,1,2,15,3,2,29,3,13,10,3,0,3,0,3,3,0,7,1,3,0,0,0,14,0,3,6,0,3,8,4,13,4,7,0,2,0,1,2,0,1,1,0,0,4,19,6,7,12,0,4,1,20,1,0,3,0
3,13,2,8,3,0,0,0,0,0,10,41,0,3,3,6,3,1,4,7,19,22,1,0,5,4,1,1,2,0,0,0,3,1,5,0,2,11,0,0,0,4,6,8,2,0,0,44,0,6,0,16,1,2,0,0,0,0,3,4,8,0,0,5,5,1,0,1,0,1,0,0,0,0,0,4,2,5,42,1,0,16,14,0,5,5,3,2,0,3,0
0,5,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,41,0,0,0,0,0,0,0,0,32,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,37,0,0
3,0,2,1,0,0,5,0,0,0,9,0,4,0,0,1,4,0,0,1,0,14,14,0,3,0,2,2,0,0,0,5,7,0,1,18,0,10,1,1,2,0,2,5,1,0,12,2,0,4,1,3,4,0,0,3,0,16,0,1,0,0,0,0,1,26,0,3,1,2,0,0,0,0,2,0,2,6,13,27,4,2,1,0,2,0,8,5,0,0,4
3,3,7,0,5,0,8,10,0,9,0,2,5,1,4,0,0,1,0,5,9,19,11,0,5,1,6,15,17,1,1,2,0,2,4,1,2,32,0,4,5,8,5,5,1,1,0,12,0,2,0,3,22,0,0,15,0,7,5,1,6,0,1,5,4,28,0,1,0,2,0,0,1,0,1,0,3,2,13,42,1,1,2,0,0,2,4,13,0,1,0
18,2,6,30,1,0,1,41,0,0,2,0,2,2,4,0,3,0,0,2,7,0,9,0,10,1,0,0,12,8,0,6,1,0,12,7,8,0,1,2,11,1,35,0,0,0,51,13,1,7,0,14,5,1,0,2,0,14,2,2,16,0,7,15,5,43,2,31,23,1,0,0,0,0,2,0,0,0,19,0,19,3,2,0,7,0,11,2,0,8,3
