Ant57,Ant5,Ant52,Ant59,Ant25,Ant30,Ant148,Ant191,Ant196,Ant209,Ant245,Ant308,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant114,Ant126,Ant135,Ant139,Ant156,Ant159,Ant174,Ant195,Ant207,Ant218,Ant226,Ant242,Ant243,Ant250,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant353,Ant376,Ant387,Ant391,Ant492,Ant549,Ant580,Ant607,Ant614,Ant632,Ant638,Ant663
9,1,12,3,1,1,0,5,1,4,19,9,0,4,6,3,5,0,1,0,4,9,4,11,0,0,0,20,2,7,0,0,1,0,0,0,0,0,0,1,5,29,10,2,0,3,3,0,0,6,0,8,1,22,15,4,1,12,1,15,1,15,1,1,23,5
2,9,5,1,6,0,5,3,1,3,2,12,0,10,2,1,3,3,11,2,18,8,7,2,7,0,0,1,3,10,10,4,14,1,0,0,7,1,3,0,12,0,0,12,1,1,1,2,5,5,1,0,1,1,9,3,9,10,2,4,5,7,3,0,6,12
0,29,9,44,25,6,2,13,0,0,10,0,0,4,0,3,22,8,3,12,6,6,11,1,2,20,1,0,0,8,6,1,1,0,0,0,0,16,0,0,4,7,16,1,0,0,20,0,0,42,0,4,0,1,21,8,5,3,0,2,3,15,4,0,38,7
10,0,2,0,0,5,0,1,9,2,9,6,0,10,0,6,3,3,1,0,10,7,0,1,2,2,3,0,0,13,0,6,6,13,0,0,18,0,32,14,56,0,8,3,3,21,1,1,14,2,1,30,1,0,1,6,2,4,3,71,8,5,21,44,0,0
7,2,8,6,3,17,0,4,3,4,20,11,0,13,16,18,6,14,6,5,8,25,7,2,6,7,10,8,13,0,9,6,11,6,0,0,18,1,0,39,21,0,6,37,2,3,2,8,23,1,0,6,3,13,9,5,16,9,4,33,6,1,14,5,3,4
1,1,2,3,0,0,8,3,9,0,7,1,0,17,2,1,12,13,5,18,4,7,2,0,3,0,10,6,0,9,0,1,3,0,0,0,2,6,0,4,3,11,1,1,0,0,1,4,0,0,1,1,0,4,14,0,9,13,0,1,5,4,0,0,30,9
2,2,6,1,0,3,2,0,1,4,9,2,0,11,3,6,3,1,17,1,0,4,6,0,10,0,4,1,6,6,1,0,6,2,0,0,26,2,12,7,50,0,8,3,0,2,2,3,10,0,0,15,2,0,1,3,0,1,4,37,9,2,1,21,0,0
0,0,7,2,0,5,24,2,3,3,8,1,0,10,0,1,7,1,11,0,1,6,3,4,21,1,14,1,6,11,3,6,0,9,0,0,3,0,5,3,6,0,2,1,0,1,3,12,2,1,0,1,2,0,0,6,1,29,1,4,6,1,1,0,0,5
1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,8,0,0,4,0,1,0,13,6,0,2,9,0,0,0,17,0,7,2,36,0,33,0,62,2,1,0,8,0,0,15,3,0,0,0,0,1,12,79,24,2,14,17,1,6
6,0,0,0,0,0,0,0,0,0,7,1,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,1,4,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,3,1,1,4,15,3,2,0,6,2,6,5,0,2,1,2,10,4,0,14,0,7,0,18,18,2,26,3,17,0,0,0,0,23,16,19,0,6,0,5,4,2,7,7,3,2,2,0,0,6,5,1,12,10,18,18,4,26,32,6,10
3,0,3,4,14,1,0,4,10,2,5,0,0,6,0,0,3,10,1,0,0,7,15,2,12,0,1,16,0,1,6,2,0,0,0,0,0,0,2,0,4,1,2,6,0,0,2,7,0,6,0,0,0,0,11,17,15,2,5,0,0,3,2,0,6,0
1,0,2,0,3,8,2,0,0,1,12,11,0,6,14,11,8,0,3,3,0,7,3,0,7,0,3,0,32,0,0,12,5,7,0,0,23,2,0,8,44,0,5,7,9,3,5,2,15,1,0,11,3,1,2,3,2,1,10,12,12,2,24,19,1,6
7,0,17,0,18,5,5,4,0,2,0,1,0,6,4,5,2,9,6,0,12,11,0,6,0,1,0,0,14,39,4,7,3,2,0,0,16,0,8,0,68,12,3,6,14,2,9,2,20,10,0,26,1,0,2,3,3,25,3,59,5,1,6,3,0,0
19,1,11,0,5,5,9,8,12,10,25,26,8,12,31,23,6,6,5,17,17,37,6,3,13,5,12,4,56,21,3,50,6,36,14,0,19,4,44,68,0,5,32,15,37,33,12,30,22,4,5,11,21,7,20,7,8,12,26,37,28,7,57,59,14,67
2,1,5,1,8,2,2,6,0,0,9,7,0,6,1,6,4,0,0,11,3,9,0,14,1,29,0,7,0,0,11,0,0,0,1,0,0,1,0,12,5,0,7,5,0,5,17,4,0,3,0,2,1,7,0,8,0,0,6,2,1,7,0,1,1,2
23,0,2,0,3,6,6,17,13,6,33,20,0,0,32,33,7,2,1,9,3,21,3,1,3,10,0,16,8,6,1,8,2,33,4,0,6,2,5,3,32,7,0,10,14,2,5,3,15,0,0,30,31,13,10,1,12,2,9,31,21,10,3,7,4,19
2,0,1,0,2,11,9,25,1,8,39,22,0,0,11,6,7,8,6,11,12,21,4,2,2,2,12,1,3,37,1,3,1,0,0,0,0,6,7,6,15,5,10,0,6,0,9,15,36,3,0,16,3,6,4,21,21,27,3,12,2,8,12,3,2,0
0,0,0,0,0,1,5,0,0,0,4,0,0,0,0,0,5,0,0,1,0,2,0,5,2,0,1,0,3,2,0,0,0,62,0,0,5,0,9,14,37,0,14,6,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,37,17,1,5,13,0,4
6,0,8,0,2,0,0,4,4,0,7,1,50,1,8,16,1,0,0,2,2,4,0,1,2,3,1,0,21,3,0,2,1,2,0,7,4,0,3,2,33,5,2,0,0,0,1,0,2,1,51,9,27,2,13,1,0,2,7,9,6,8,0,2,4,0
1,1,2,15,31,0,0,3,0,3,2,2,0,1,2,4,5,1,1,4,5,9,4,0,2,3,1,20,1,2,1,2,3,1,8,0,2,2,5,9,12,17,5,9,0,1,0,7,1,3,0,5,3,11,1,2,5,5,2,5,1,0,0,0,2,18
9,1,0,2,18,3,1,8,5,7,10,4,0,2,2,3,1,5,3,6,5,13,2,12,9,0,2,0,1,8,4,3,12,0,0,0,7,7,2,2,30,4,3,15,0,0,7,0,4,4,0,3,1,10,8,4,1,1,0,1,4,2,4,0,1,5
11,0,10,2,1,4,4,0,4,4,14,16,0,3,21,16,6,5,4,3,7,11,5,0,6,0,5,0,14,23,0,10,2,8,0,0,7,0,15,20,22,0,15,36,0,2,1,4,0,2,3,17,7,7,2,4,2,7,0,10,9,0,18,9,2,11
0,3,8,12,14,4,1,5,3,2,0,1,0,2,1,0,0,6,4,0,11,2,9,3,7,6,5,42,2,1,0,0,1,0,0,0,3,6,1,10,4,3,0,3,0,1,3,4,2,0,0,0,0,1,0,5,2,5,1,1,1,1,0,1,1,8
5,0,1,1,1,0,1,0,6,0,0,2,40,0,2,2,0,0,0,5,0,3,3,0,3,0,1,0,1,0,1,0,0,0,0,12,2,0,0,0,5,0,0,0,0,51,0,0,3,0,0,3,23,0,0,0,0,0,0,4,2,0,1,0,1,0
48,0,1,0,4,1,3,8,1,21,11,23,0,0,23,13,8,0,0,6,4,8,0,2,2,8,0,4,30,6,1,15,1,15,0,2,2,0,11,26,11,2,30,16,4,9,5,3,17,0,3,0,16,11,2,3,2,5,7,29,3,18,15,7,2,1
24,0,1,0,4,1,2,3,0,0,8,13,24,0,7,23,0,0,0,16,2,3,0,0,9,1,1,0,1,3,0,2,2,3,8,11,0,0,3,1,21,1,31,3,0,27,3,1,7,0,23,16,0,0,1,3,3,4,3,5,7,2,0,1,3,3
6,2,0,3,23,2,1,6,1,2,6,19,0,2,11,13,1,12,6,8,22,16,19,7,5,22,1,1,0,13,4,0,0,0,0,0,0,0,1,0,7,7,13,6,0,2,11,10,7,1,0,11,0,0,12,2,4,0,1,28,7,15,9,0,5,7
10,1,7,2,2,1,4,2,6,3,21,24,0,5,2,5,11,14,13,19,6,7,5,0,0,15,9,21,1,9,14,1,0,0,0,0,6,11,2,2,20,0,10,4,2,13,1,8,2,0,0,2,1,12,0,2,1,0,2,3,7,10,4,1,33,11
2,9,3,10,10,8,0,3,0,16,12,0,0,35,2,4,4,4,7,3,2,3,13,10,20,4,3,8,6,5,0,3,6,0,0,0,5,17,3,3,7,8,1,21,0,1,2,4,4,5,0,3,3,2,2,0,6,3,0,3,3,2,8,0,0,1
1,1,1,1,3,6,0,3,6,8,4,7,0,8,11,6,0,10,3,4,0,15,3,2,4,1,9,5,2,16,9,0,1,0,0,0,1,15,2,3,8,0,12,21,0,0,5,1,2,2,0,2,3,4,1,6,0,14,1,2,3,4,0,0,6,2
11,1,23,0,0,4,3,12,6,13,3,0,0,4,0,1,4,15,22,0,0,7,5,5,15,12,10,3,4,9,13,1,29,1,0,0,12,2,1,25,12,0,2,27,0,2,5,1,7,5,0,5,4,0,0,3,14,0,0,3,6,13,3,3,0,8
6,0,2,0,2,6,0,0,4,2,12,1,0,5,5,8,2,0,0,2,0,3,0,0,4,1,2,0,3,4,0,4,1,12,1,0,10,5,10,3,26,6,9,3,0,7,2,0,0,1,0,7,3,1,2,0,1,0,0,6,18,2,7,7,1,0
27,1,4,1,7,5,4,11,4,2,17,31,0,4,15,12,4,3,1,3,23,13,7,5,7,15,4,2,71,33,1,37,4,79,1,0,18,0,12,59,37,2,31,12,37,9,5,1,10,1,4,29,5,28,3,3,2,3,6,0,23,4,51,34,4,83
11,1,5,0,9,7,3,4,4,7,5,2,0,8,6,11,3,1,1,3,5,16,3,1,7,1,5,3,8,6,5,9,6,24,0,0,18,0,12,5,28,1,21,2,17,6,1,4,9,1,2,3,7,7,7,3,3,6,18,23,0,3,16,12,1,12
1,4,7,2,27,1,0,1,14,6,16,4,0,4,11,7,8,0,2,9,0,7,3,10,2,15,7,15,5,1,4,2,1,2,0,0,4,3,2,1,7,7,10,8,1,8,0,2,0,1,0,18,2,15,10,2,4,13,2,4,3,0,4,21,5,47
2,2,7,2,0,10,1,5,1,8,13,8,0,3,5,10,1,6,2,20,0,19,2,3,7,1,3,4,21,14,0,1,1,14,0,0,26,2,24,6,57,0,3,12,5,0,0,4,18,0,1,15,0,9,4,8,0,3,7,51,16,4,0,21,0,3
0,1,4,0,0,2,7,0,0,1,5,2,0,0,3,3,4,2,0,0,0,11,1,5,6,1,0,0,44,5,0,21,0,17,0,0,32,0,19,3,59,1,7,3,13,2,0,0,9,1,0,7,1,0,1,0,0,3,7,34,12,21,21,0,0,5
1,4,3,4,11,0,1,6,2,5,17,2,0,0,2,6,20,1,40,5,2,10,4,2,11,23,6,38,0,3,30,0,0,1,0,0,6,6,1,0,14,1,4,2,0,4,2,1,2,1,1,2,3,5,33,0,6,0,1,4,1,5,0,0,0,19
0,1,7,0,4,7,4,0,7,1,8,6,0,6,11,10,0,3,0,7,7,19,4,8,3,5,12,7,0,4,9,0,5,6,1,0,10,0,6,0,67,2,19,0,4,0,18,5,11,8,0,1,3,7,11,1,2,8,0,83,12,47,3,5,19,0
