Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant24,Ant25,Ant26,Ant30,Ant38,Ant73,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant1,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant44,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant85,Ant91,Ant96,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant144,Ant147,Ant149,Ant153,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant176,Ant178,Ant186,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant220,Ant221,Ant226,Ant229,Ant232,Ant238,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant398,Ant433,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant593,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,0,5,10,6,3,12,0,0,2,18,1,0,0,0,2,2,0,11,0,0,11,0,9,23,0,0,3,0,6,0,3,0,19,8,4,0,0,4,0,12,0,34,9,0,2,1,0,7,0,9,9,8,0,21,0,11,0,1,31,0,0,10,17,6,0,12,0,5,13,0,8,0,2,2,4,0,5,0,0,18,0,3,12,2,0,0,0,0,0,5,0,3,0,0,11,1,0,0,0,4,3,0,0,0,0,0,0,0,5,0,0,2,0,2,0,8,0,0,2,2,5,0,0,5,0,0,9,0,0,0,2,0,3,7,0,0,4,1,0,0,1,32,28,2,0,0,43,0,1,0,2
0,0,2,5,0,0,0,1,2,1,1,3,0,2,5,0,20,3,4,8,8,4,1,0,1,0,3,1,7,5,4,0,20,3,2,7,2,11,9,6,1,2,0,0,13,2,3,0,2,0,4,0,0,19,4,1,1,9,10,1,4,14,4,0,1,4,0,12,3,0,10,5,22,2,0,12,6,0,5,12,0,2,3,0,5,2,7,3,8,9,0,1,5,1,1,0,0,0,0,24,2,1,11,7,8,1,3,0,8,2,2,2,2,7,8,5,0,0,0,0,0,0,7,10,1,0,0,0,0,6,6,4,0,4,10,5,1,3,3,7,0,2,0,0,10,4,45,0,2,10,25,0
5,2,0,13,14,5,6,6,0,0,9,1,0,17,0,3,5,0,11,0,0,9,4,9,0,1,1,9,1,24,9,14,1,44,9,8,0,0,2,4,2,6,3,16,1,0,6,6,12,2,2,2,5,2,7,0,0,0,1,25,1,0,29,18,2,1,32,1,29,6,5,17,0,10,11,12,0,4,2,2,19,8,7,0,1,1,1,18,2,24,6,2,8,1,0,0,28,8,1,0,7,4,0,8,3,4,3,1,0,6,2,1,0,1,1,0,5,0,0,15,6,29,1,0,6,2,0,12,0,2,0,2,0,6,15,1,1,9,4,2,0,0,11,20,4,2,1,5,19,22,0,4
10,5,13,0,5,44,19,8,25,5,4,1,0,0,3,12,2,1,4,1,2,17,9,3,10,0,7,12,2,8,6,4,2,5,8,5,1,1,12,8,10,1,17,6,6,0,8,3,2,0,32,1,31,4,14,0,17,0,13,16,4,4,4,0,3,0,0,4,10,10,9,2,0,0,11,8,0,8,0,6,9,7,2,2,34,0,0,0,0,3,18,0,11,0,10,8,0,3,21,3,7,4,4,18,2,3,8,2,0,9,0,1,12,1,3,1,8,1,0,15,14,2,4,1,0,0,3,11,0,8,3,3,0,1,18,0,2,5,7,8,0,1,1,9,1,3,3,4,17,2,0,22
6,0,14,5,0,6,2,6,1,0,21,0,1,5,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,6,0,3,0,11,5,0,6,0,0,10,13,0,8,1,13,6,7,1,12,1,5,5,5,1,11,0,1,0,2,103,0,3,11,7,1,0,1,0,15,39,0,8,0,1,1,4,0,0,0,0,11,0,3,7,0,1,0,1,0,0,0,0,4,2,0,0,0,4,0,0,2,9,1,0,2,4,0,2,3,9,0,0,0,0,2,3,0,0,0,3,0,10,2,0,2,0,0,12,0,1,1,1,0,0,0,0,0,3,0,2,0,1,20,2,0,3,0,15,31,5,0,3
3,0,5,44,6,0,10,14,6,6,1,0,1,8,0,13,2,0,34,0,0,0,6,17,3,0,3,16,2,26,0,5,0,30,4,1,0,0,13,6,6,1,16,8,12,3,5,1,9,0,29,2,8,1,7,0,11,0,1,35,1,2,1,10,1,2,6,1,15,23,0,1,0,15,10,2,1,14,0,0,28,7,2,11,5,0,0,4,0,1,2,1,4,0,14,18,6,4,1,2,15,14,0,3,2,8,2,2,0,9,0,2,23,0,0,4,24,0,0,23,9,3,9,1,9,0,0,6,0,2,3,0,0,1,24,0,0,6,2,1,0,2,10,6,2,2,1,8,1,8,0,0
12,0,6,19,2,10,0,5,11,2,28,0,0,12,1,0,0,0,9,0,1,1,0,19,5,0,2,26,3,21,11,8,1,2,17,0,0,1,3,7,0,2,11,8,0,1,4,0,1,0,10,7,7,1,34,0,0,5,1,22,0,4,6,9,0,0,0,2,10,38,0,12,0,12,22,3,0,25,0,7,11,0,4,27,2,0,0,1,0,2,0,0,4,0,17,0,8,1,3,3,5,14,0,3,0,1,2,1,0,7,0,0,4,0,3,1,8,0,1,2,20,19,0,0,6,0,1,4,0,1,1,1,0,1,3,1,0,25,11,0,0,2,22,3,0,1,4,14,12,2,3,25
0,1,6,8,6,14,5,0,1,7,9,11,0,4,1,6,2,0,55,1,0,16,1,4,17,0,6,3,3,5,5,15,1,19,27,3,2,2,11,0,4,3,0,8,9,4,2,5,16,3,7,6,6,1,2,0,2,6,6,15,3,5,11,7,7,0,16,4,22,7,0,0,5,2,6,0,2,5,0,0,20,3,3,6,7,3,1,3,1,6,6,1,17,1,4,7,10,1,1,7,0,11,0,2,1,15,6,0,3,8,3,1,8,0,1,7,3,2,2,1,9,4,6,0,1,4,6,0,1,2,0,9,0,9,31,0,0,4,2,6,0,5,14,27,0,9,0,10,11,20,3,1
0,2,0,25,1,6,11,1,0,1,1,0,0,6,1,5,2,2,16,0,0,6,1,2,1,0,12,3,0,10,0,3,1,0,8,0,0,0,4,4,0,0,0,10,6,0,3,0,8,0,1,4,2,0,17,0,5,2,0,6,0,0,2,0,3,3,0,4,8,0,0,4,0,4,10,2,1,16,0,2,1,4,1,10,1,0,0,2,0,6,9,0,0,0,19,2,8,0,11,8,5,0,0,5,0,0,5,9,3,11,0,1,4,0,1,0,0,1,1,19,0,0,0,0,6,0,1,7,0,1,1,10,0,2,0,0,0,2,5,2,0,3,1,3,0,2,1,2,7,1,0,16
2,1,0,5,0,6,2,7,1,0,7,8,5,5,5,1,1,1,15,0,5,2,7,6,19,2,5,1,0,18,3,11,2,4,14,2,3,9,5,13,2,5,12,2,6,12,8,0,14,2,4,3,2,6,11,0,6,3,2,35,1,4,1,5,15,1,1,2,9,12,5,5,4,1,3,0,5,4,0,4,12,3,12,2,4,6,3,5,0,6,8,6,15,4,7,7,8,21,0,13,3,7,1,5,2,0,9,2,0,3,1,0,18,4,5,3,2,1,1,3,16,4,1,1,7,6,6,4,0,6,2,10,0,2,11,2,3,14,6,9,0,3,9,10,2,3,1,8,2,10,1,3
18,1,9,4,21,1,28,9,1,7,0,1,0,0,4,8,0,1,7,0,1,26,3,30,3,0,3,8,0,20,0,10,0,0,17,0,0,2,12,4,0,1,15,9,3,2,4,8,14,2,10,15,5,1,4,0,4,1,5,43,0,0,1,5,9,0,0,2,2,24,1,9,1,2,20,1,0,7,0,0,4,2,4,12,5,0,5,1,0,0,1,2,1,0,15,11,0,2,3,8,2,15,1,8,3,0,0,0,0,5,0,0,40,0,1,0,15,4,3,9,21,10,1,1,2,4,7,1,0,1,0,1,0,5,5,0,0,4,3,0,0,0,26,2,2,0,1,7,0,7,1,13
1,3,1,1,0,0,0,11,0,8,1,0,9,1,20,2,2,2,3,8,2,3,3,0,12,16,2,0,1,1,2,20,0,0,2,7,9,2,4,5,1,7,5,1,0,2,8,17,4,16,3,0,0,4,0,12,3,5,1,0,24,17,3,0,13,29,9,0,1,2,17,3,22,2,1,23,6,0,8,7,0,2,11,0,0,5,13,8,8,3,1,15,3,2,0,9,0,4,3,4,2,5,4,2,12,29,5,2,5,2,16,18,2,1,5,1,0,16,20,0,1,0,2,18,2,11,3,0,12,1,9,3,2,1,15,2,12,2,1,27,2,27,2,10,19,6,3,3,2,33,2,1
