Ant4,Ant57,Ant260,Ant52,Ant59,Ant65,Ant244,Ant397,Ant540,Ant2,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant534,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant32,Ant35,Ant43,Ant44,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant68,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant118,Ant124,Ant126,Ant127,Ant131,Ant137,Ant149,Ant159,Ant169,Ant172,Ant175,Ant176,Ant178,Ant186,Ant190,Ant194,Ant198,Ant206,Ant207,Ant210,Ant215,Ant218,Ant219,Ant220,Ant221,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant298,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant391,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant492,Ant501,Ant509,Ant538,Ant556,Ant560,Ant564,Ant576,Ant580,Ant592,Ant599,Ant607,Ant610,Ant614,Ant621,Ant632,Ant638,Ant650,Ant663
0,14,7,0,0,21,0,0,0,0,0,11,0,0,4,0,0,5,0,0,0,0,2,0,0,2,0,0,6,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,13,0,7,1,0,7,0,0,1,0,4,0,0,0,4,3,0,0,0,2,0,1,0,0,0,0,11,0,19,0,0,0,6,0,0,1,3,0,0,0,53,11,0,0,0,0,0,0,0,0,0,0,0,6,13,3,0
14,0,14,8,0,5,1,0,0,0,0,36,1,0,5,5,0,16,0,0,0,9,5,0,0,6,7,0,6,11,1,0,8,0,0,3,0,0,18,0,9,0,0,0,0,6,0,0,0,6,25,3,0,0,2,1,1,7,0,2,0,1,0,5,1,8,0,4,2,3,0,8,0,2,5,0,2,0,0,9,0,3,1,3,17,0,3,5,16,5,0,0,12,2,3,0,5,0,0,9,1,0,0,10,0,10,0,0,0,0,17,0,26,0,7,1,5,0,11,3,1,0,0,0,27,3,0,0,0,0,0,1,0,0,0,0,7,4,13,6,0
7,14,0,0,1,12,1,2,0,0,3,10,0,1,2,0,0,6,0,3,2,4,5,0,0,11,3,0,15,0,0,0,14,0,4,0,7,0,5,0,3,0,0,1,1,7,5,0,0,16,6,0,10,0,3,0,0,6,1,2,0,1,0,1,0,14,0,2,0,0,2,8,0,0,4,0,1,1,0,7,0,4,1,0,15,0,41,2,2,21,1,0,0,0,44,0,0,0,8,0,1,1,0,13,0,21,0,0,0,0,0,0,22,0,19,4,1,0,9,3,8,0,0,2,105,21,1,0,0,1,0,0,0,1,0,0,9,3,12,2,3
0,8,0,0,36,6,3,17,6,15,17,7,27,10,9,12,23,11,2,7,7,9,2,1,5,2,49,0,7,8,14,11,5,10,0,6,12,5,14,14,11,1,1,13,9,2,5,0,17,7,10,15,19,33,2,4,6,21,8,11,1,15,9,18,3,0,12,2,12,31,11,11,13,3,4,0,9,1,3,13,2,8,15,23,11,0,0,5,15,7,2,4,0,17,0,11,39,3,14,7,8,3,4,9,5,18,5,18,9,10,13,1,5,13,0,19,8,10,9,30,17,8,1,6,5,8,17,20,7,2,1,13,2,3,5,4,13,4,4,0,58
0,0,1,36,0,4,2,11,6,48,8,1,7,4,2,7,5,7,5,3,7,0,0,4,5,2,14,0,3,14,5,2,1,9,1,4,16,7,12,27,8,0,1,7,3,0,9,4,4,4,5,2,3,4,19,3,3,11,3,7,9,3,2,6,9,0,20,9,11,15,9,6,5,6,0,0,1,4,8,6,3,8,16,11,2,2,2,8,16,6,5,3,3,11,3,7,46,52,4,6,14,4,4,5,4,13,6,11,9,2,14,2,6,4,0,11,8,9,25,14,9,4,4,2,2,12,12,9,4,5,0,16,1,4,2,6,7,0,5,0,10
21,5,12,6,4,0,1,5,0,1,3,63,0,0,6,15,0,18,0,2,0,10,10,0,0,7,3,0,15,3,1,0,18,0,0,1,5,0,15,3,15,0,2,2,1,5,4,0,1,4,17,0,6,1,3,3,0,4,0,8,0,1,0,0,1,8,2,12,2,2,5,4,1,0,1,0,10,0,0,13,0,3,1,0,18,0,11,1,14,11,0,0,3,0,12,0,2,0,4,10,11,1,0,15,1,8,0,1,1,1,12,1,21,2,11,0,9,0,15,3,6,1,0,0,43,14,0,1,0,0,0,1,0,0,1,1,2,3,8,8,6
0,1,1,3,2,1,0,0,8,5,0,2,8,4,7,1,2,0,3,8,1,2,1,0,0,2,15,0,0,0,4,4,0,9,0,0,1,6,7,1,5,0,16,0,3,0,2,5,12,0,8,11,5,2,0,1,6,12,7,1,2,0,5,14,1,4,17,0,1,6,0,1,3,2,0,4,1,9,3,3,3,3,3,1,1,0,0,0,0,7,0,4,2,2,5,6,0,0,2,2,2,0,1,0,2,2,11,10,5,2,2,2,0,9,0,15,0,0,2,2,0,0,1,0,2,0,4,6,0,2,0,0,2,5,1,10,4,3,2,0,14
0,0,2,17,11,5,0,0,3,11,1,1,7,0,5,1,6,0,5,0,2,3,2,4,6,0,23,0,2,4,3,2,3,6,0,4,22,17,4,10,8,2,11,9,3,0,0,1,9,1,7,3,3,5,12,11,10,18,5,15,8,4,0,13,1,0,14,5,4,16,15,8,2,3,5,0,2,3,9,0,0,9,2,13,3,3,2,5,11,5,8,2,1,22,0,1,13,0,0,3,16,3,6,20,1,3,6,11,10,7,13,2,13,4,0,18,8,1,1,13,5,7,1,1,3,0,8,0,3,5,0,10,1,3,3,9,9,0,3,0,30
0,0,0,6,6,0,8,3,0,8,0,0,10,1,0,3,8,0,28,6,6,0,0,11,8,0,4,0,0,1,9,27,0,0,9,3,1,6,0,5,4,15,8,4,7,0,1,8,7,0,4,0,1,36,4,1,9,0,10,0,13,20,15,3,0,1,9,2,7,4,0,1,12,29,0,23,0,18,2,0,12,6,0,5,0,11,0,1,2,1,18,4,0,6,0,33,6,1,0,0,0,8,7,2,12,1,7,10,10,13,1,23,0,9,0,4,2,17,5,7,0,2,14,12,0,3,30,0,15,6,7,4,32,25,29,4,3,2,0,0,12
0,0,0,15,48,1,5,11,8,0,3,17,7,2,0,2,6,3,34,6,3,2,0,11,9,0,21,0,14,15,12,2,0,6,1,3,29,12,3,38,2,2,5,12,5,0,2,1,9,2,2,4,12,20,13,3,1,8,0,1,9,13,6,6,6,1,13,5,20,12,2,8,7,10,4,8,3,4,7,2,9,3,7,8,1,2,7,19,14,1,7,4,2,19,2,7,52,65,1,3,9,4,3,0,1,1,5,21,7,5,0,2,2,3,0,10,1,4,2,20,6,1,2,4,0,2,12,6,5,7,6,46,6,3,4,1,6,0,0,0,23
0,0,3,17,8,3,0,1,0,3,0,4,2,1,6,14,1,4,0,1,1,6,2,0,0,17,0,0,5,14,2,0,0,5,0,3,7,0,12,1,26,0,1,0,0,0,4,1,1,6,17,10,4,1,2,3,1,6,1,6,1,4,0,2,0,0,0,2,4,6,3,25,0,3,10,0,13,1,1,4,2,7,13,6,6,0,1,8,20,7,0,1,0,1,1,1,2,0,9,2,8,0,0,11,0,6,0,0,0,0,34,0,21,1,0,2,4,1,33,12,11,0,0,1,9,5,0,13,0,0,0,1,0,0,0,0,10,16,2,0,7
11,36,10,7,1,63,2,1,0,17,4,0,0,0,3,1,1,53,0,1,1,26,8,0,0,29,2,0,17,3,0,0,26,0,0,0,9,4,20,6,3,1,1,0,0,8,2,0,0,2,18,0,1,0,7,1,2,0,1,9,0,1,2,0,0,6,1,10,7,3,2,17,1,0,1,0,9,0,0,5,1,3,0,2,35,1,29,2,2,28,0,0,14,0,9,0,0,1,7,13,2,0,0,14,0,11,0,0,0,3,15,0,92,0,10,9,8,2,3,4,5,3,0,1,86,3,0,1,2,0,0,0,0,0,1,0,15,26,8,13,13
0,1,0,27,7,0,8,7,10,7,2,0,0,6,2,3,2,2,4,5,7,4,0,10,9,8,12,0,2,4,6,6,0,1,1,5,13,5,0,9,1,6,22,12,1,4,0,2,8,3,8,12,2,9,0,2,10,27,2,1,6,10,7,29,0,0,14,2,2,8,0,1,10,1,0,0,0,5,14,2,5,2,2,8,2,8,0,2,15,2,6,4,1,18,0,13,8,0,0,1,4,6,0,2,13,10,2,1,8,8,5,1,4,7,0,15,0,1,4,8,1,6,5,7,5,0,13,10,1,6,2,7,3,5,16,5,11,3,2,0,27
0,0,1,10,4,0,4,0,1,2,1,0,6,0,1,7,11,5,3,2,4,1,1,10,4,1,15,0,1,0,5,2,0,0,0,4,1,2,0,5,6,0,2,4,0,0,2,6,15,0,2,5,4,6,3,6,3,15,1,3,10,1,2,14,2,2,20,2,4,3,2,6,5,7,0,1,0,1,1,2,0,2,2,4,1,2,1,2,7,1,4,10,0,6,1,6,1,0,0,2,2,4,3,2,3,3,2,2,13,2,4,0,0,2,0,3,2,3,1,3,3,9,9,3,0,3,5,7,2,3,0,4,13,3,5,6,5,0,0,0,18
4,5,2,9,2,6,7,5,0,0,6,3,2,1,0,3,0,18,1,2,0,7,3,0,0,5,6,0,3,1,1,1,3,5,0,4,16,0,19,1,0,0,1,0,1,1,0,0,6,10,4,5,4,0,3,1,0,9,0,2,0,3,0,4,0,6,3,4,1,3,8,6,0,0,9,0,1,2,0,3,2,4,2,1,8,4,8,4,15,12,0,2,4,3,3,0,4,0,8,1,13,0,1,1,2,6,3,0,1,3,12,0,5,2,3,4,0,0,17,12,8,2,0,0,11,6,1,18,0,2,0,0,0,0,1,4,9,6,5,1,11
