Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant99,Ant102,Ant148,Ant158,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant311,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant97,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant212,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant301,Ant305,Ant313,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant507,Ant509,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
0,15,0,7,5,0,9,18,8,3,1,17,3,18,0,3,1,5,0,7,22,4,1,10,15,1,0,10,5,8,10,8,0,6,12,10,0,1,16,16,0,0,6,2,8,3,7,3,5,9,3,14,19,22,5,13,3,16,4,3,16,5,11,0,0,0,3,5,0,3,1,4,0,3,11,2,7,20,17,7,12,9,9,10,8,18,0,11,11,14,2,8,0,0,9,7,1,0,5,12,5,6,20,3,2,22,0,0,0,19,6
15,0,5,3,1,0,13,4,4,0,16,2,10,5,14,9,1,6,2,5,11,1,1,7,13,51,0,14,2,0,6,12,0,1,12,6,0,2,49,37,0,0,15,16,5,5,15,1,2,8,2,9,9,8,20,19,0,25,0,4,12,11,0,1,0,0,2,1,0,0,6,0,0,0,4,0,12,30,28,8,2,3,1,15,9,4,4,4,1,1,6,0,0,0,3,1,19,0,0,10,7,1,30,0,0,3,0,0,0,22,25
0,5,0,0,3,0,0,1,0,0,0,3,1,4,3,4,0,3,20,0,1,0,0,33,2,10,0,0,0,0,2,3,0,1,0,0,0,0,15,3,0,13,1,1,1,6,1,0,5,0,0,0,4,1,0,3,0,3,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,2,3,0,6,0,0,1,1,15,2,0,0,13,0,55,2,0,0,1,9,18,1,1,0,0,0,0,0,3,0
7,3,0,0,1,0,0,11,6,10,1,5,0,1,0,4,3,2,0,3,5,5,0,1,4,0,0,12,8,1,2,1,0,3,2,2,7,1,1,2,0,0,3,0,0,0,0,0,1,9,0,0,3,0,0,2,4,1,0,0,0,0,1,0,0,0,0,19,3,3,3,2,0,2,3,0,1,1,1,0,5,0,2,2,0,0,4,6,2,0,0,0,0,0,2,0,1,0,2,3,1,5,1,0,0,1,0,0,0,0,2
5,1,3,1,0,0,2,3,1,0,18,5,10,15,2,11,4,25,2,1,4,12,0,5,2,0,0,7,1,1,1,6,0,0,2,0,0,0,14,2,0,0,13,3,2,14,4,0,6,0,0,3,8,4,2,9,0,5,0,0,4,14,4,0,0,0,2,4,1,0,1,0,0,0,8,0,3,8,4,1,18,6,19,9,0,4,1,2,3,3,3,0,0,4,0,4,7,0,0,3,5,2,11,4,4,6,0,0,0,7,0
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,25,0,0,0,0,0,29,0,0,0,12,2,0,0,0,0,11,5,0,0,15,60,0,0,18,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,9,12,0,0,0,40,21,55,0,0,37,6,0,0,4,0,22,29,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,29,0,0,0,0,54,0,14,0,0,0,32,0,0,0,11,0,0,0
9,13,0,0,2,0,0,2,17,1,0,4,0,6,0,0,3,4,2,5,4,2,2,1,11,0,0,13,3,1,4,4,0,8,0,4,0,4,3,1,0,1,4,3,1,1,3,4,2,9,2,6,5,2,8,2,4,0,3,0,7,1,3,0,0,0,0,20,0,8,1,5,5,8,6,1,1,6,2,1,0,5,5,7,0,2,4,4,1,3,0,4,2,1,3,1,3,0,0,11,3,1,5,5,4,6,0,0,0,5,0
18,4,1,11,3,0,2,0,16,6,5,7,20,6,4,7,1,4,1,2,7,8,0,1,8,0,0,10,12,7,18,11,0,2,6,7,0,0,17,12,0,0,3,3,2,5,4,2,9,9,0,4,17,23,1,7,4,11,2,3,0,5,21,0,0,0,1,12,0,8,2,4,2,3,0,0,3,20,7,3,6,8,21,17,6,5,1,3,9,4,0,0,0,3,1,2,7,0,2,7,6,4,6,5,2,19,0,0,0,26,2
8,4,0,6,1,0,17,16,0,2,6,11,1,13,0,5,6,2,0,4,7,4,0,2,19,0,4,23,13,3,9,11,0,25,8,12,1,8,3,2,0,0,11,15,10,5,0,7,0,12,4,10,4,2,6,1,14,9,1,0,22,0,8,0,0,0,3,2,0,5,3,6,1,5,3,7,8,0,5,5,15,1,9,7,0,9,6,0,6,0,0,0,1,0,8,0,6,0,3,14,0,6,12,0,12,16,1,0,0,4,4
3,0,0,10,0,7,1,6,2,0,3,7,8,0,0,1,7,0,0,2,9,2,3,0,5,1,6,23,8,25,12,5,1,5,1,17,9,13,11,1,5,0,1,2,2,1,2,3,3,4,0,6,4,3,7,6,6,0,9,6,13,0,9,14,28,17,1,8,26,25,6,4,10,13,20,15,3,0,0,3,6,2,3,8,0,11,12,2,10,1,2,9,22,0,2,1,1,2,6,5,1,11,2,25,0,29,0,4,0,1,3
