Ant57,Ant260,Ant52,Ant397,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant190,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant229,Ant232,Ant242,Ant250,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant324,Ant326,Ant331,Ant332,Ant334,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant560,Ant576,Ant592,Ant593,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,4,18,3,14,7,2,1,8,3,8,0,16,0,0,0,12,9,17,25,13,18,1,0,0,5,7,24,8,0,2,3,7,15,0,24,1,22,5,8,1,1,3,1,3,3,3,8,0,2,1,6,22,0,19,9,0,0,3,19,5,8,3,20,14,1,0,0,5,3,2,4,2,13,5,6,0,2,10,2,0,13,0,8,1,6,9,0,15,5,1,0,13,24,12,3,1,0,3,19,5,4,1,0,6,2,6,0,2,2,1,1,4,21,3,0,0,6,45,12,1,3,1,2,0,0,2,8,4,0,0,20,0,30,0,3,1,1,10,27,1,11,13
4,0,0,11,9,16,21,11,3,4,2,4,1,22,14,16,2,0,2,1,4,2,49,22,3,15,4,1,0,12,1,0,2,2,12,0,8,4,6,0,66,1,0,1,25,7,6,21,25,19,21,0,0,34,0,13,11,0,3,0,8,3,9,0,0,7,24,0,25,0,11,5,16,13,0,7,61,22,0,33,8,5,5,3,4,2,1,11,17,15,1,4,2,0,1,0,1,23,1,2,1,4,4,12,0,19,6,2,11,13,6,4,22,0,10,0,1,3,0,8,16,0,12,22,7,11,0,11,0,34,4,1,13,0,13,2,45,68,7,2,9,7,2
18,0,0,0,4,1,0,0,17,0,6,7,4,0,0,0,5,0,29,28,4,18,0,0,27,0,30,7,0,1,16,0,2,11,1,13,0,1,1,0,0,16,4,0,1,2,18,1,0,1,0,3,16,0,39,1,1,4,0,29,11,4,13,25,6,0,0,13,1,4,0,4,0,4,17,1,0,0,0,1,0,3,0,3,0,1,0,0,3,0,10,0,29,4,7,7,6,0,9,3,11,5,0,2,3,3,4,0,0,0,3,0,0,3,0,0,0,0,10,8,0,0,1,0,0,0,0,4,6,0,0,4,0,2,1,0,2,0,10,11,0,1,4
3,11,0,0,7,14,13,3,0,4,0,1,0,46,10,10,1,1,0,2,1,0,6,40,1,1,1,0,4,1,2,4,0,0,14,0,12,5,23,0,35,1,1,3,11,5,8,5,24,13,8,1,0,7,0,23,7,2,9,0,2,4,0,0,0,11,9,0,10,0,2,1,19,0,0,15,7,18,2,9,24,0,2,0,34,0,9,3,10,3,4,10,0,3,5,0,0,19,0,0,3,4,3,3,0,18,21,3,11,12,14,1,8,4,8,0,4,3,3,5,15,0,6,18,6,1,0,0,0,7,8,1,17,6,18,10,21,3,14,4,10,9,0
14,9,4,7,0,22,1,1,1,0,8,1,0,0,1,0,14,16,17,6,13,19,1,0,0,8,4,9,4,1,10,28,22,8,4,24,4,6,3,5,4,2,9,0,5,18,7,7,0,1,0,7,13,0,6,2,2,2,2,6,3,28,14,24,3,0,1,7,6,0,5,5,2,26,2,1,3,0,8,3,0,10,1,9,2,6,12,0,14,2,3,0,4,3,12,16,4,2,5,10,2,18,2,1,1,0,2,0,0,4,0,0,1,5,1,0,2,4,7,10,0,2,4,0,0,0,0,26,6,2,0,28,3,1,1,2,4,0,4,34,0,5,5
7,16,1,14,22,0,13,6,1,15,3,2,8,0,7,2,5,3,4,10,4,8,13,0,0,16,3,0,1,16,7,5,0,8,1,5,12,6,3,0,17,3,3,12,4,4,10,4,4,5,3,0,0,0,0,7,6,1,16,1,29,1,0,1,0,17,1,1,16,2,10,4,5,9,1,6,3,3,3,12,3,6,0,8,6,0,4,2,1,10,2,2,1,2,14,0,2,7,1,3,1,18,8,10,6,5,10,0,1,4,1,3,7,0,8,0,1,5,0,4,0,3,2,9,7,1,3,14,2,1,0,2,11,5,0,1,17,15,8,7,7,18,3
2,21,0,13,1,13,0,6,1,5,2,15,2,1,8,9,2,11,1,0,9,2,21,7,0,21,0,1,6,11,0,4,2,3,18,0,6,2,19,0,40,4,0,3,10,2,15,30,3,5,6,1,0,0,0,8,4,3,10,5,8,6,2,0,2,26,6,0,9,1,12,4,8,0,1,9,2,9,3,13,6,3,1,7,2,0,1,9,20,14,1,6,0,0,7,0,0,14,5,0,1,8,20,2,0,7,32,0,11,9,5,2,6,0,16,0,7,12,0,24,12,4,8,2,11,0,1,17,1,12,0,1,5,3,5,7,13,15,8,0,2,20,7
1,11,0,3,1,6,6,0,0,2,0,5,0,4,18,11,0,0,0,0,1,1,41,10,0,5,1,0,0,0,0,1,0,1,10,0,6,0,15,0,48,0,0,0,17,1,0,25,15,8,16,0,0,37,0,1,5,0,1,0,5,1,0,0,2,8,34,0,5,0,14,0,3,1,0,2,42,28,0,3,10,1,4,0,6,0,0,30,0,5,0,8,0,1,1,0,0,5,0,0,0,0,0,13,0,3,7,5,26,12,2,0,14,0,6,0,0,4,0,2,21,0,2,2,7,12,0,2,0,33,27,6,9,0,4,6,6,6,0,0,17,4,1
8,3,17,0,1,1,1,0,0,0,2,0,32,0,0,0,28,0,4,36,11,27,2,0,6,2,4,2,3,0,15,2,25,16,0,15,0,0,2,16,2,5,12,3,1,27,1,0,0,3,0,6,37,0,7,5,0,12,3,8,11,18,2,10,15,1,1,6,22,2,0,19,1,6,28,0,0,0,30,1,0,3,0,12,0,8,32,0,6,0,12,0,46,6,12,3,38,0,21,22,13,0,21,6,7,0,0,1,0,2,2,4,3,21,1,0,6,5,8,2,0,2,0,1,0,0,0,9,31,1,0,0,0,6,0,0,1,1,12,3,0,6,13
3,4,0,4,0,15,5,2,0,0,0,0,1,1,0,0,3,4,6,2,1,1,3,22,3,14,4,0,6,13,1,2,1,0,9,1,7,2,9,0,4,5,0,3,2,9,19,11,4,16,1,0,2,0,0,19,2,4,6,1,20,2,4,1,2,7,5,0,0,8,3,6,6,5,0,7,2,2,3,3,6,3,1,2,3,0,0,1,7,14,2,2,0,2,4,0,0,5,23,1,0,13,1,9,1,1,4,0,0,4,3,6,4,0,0,0,2,3,0,6,2,3,0,5,3,0,0,5,2,7,0,0,5,0,1,3,8,8,5,1,4,12,7
