Ant52,Ant65,Ant244,Ant2,Ant6,Ant15,Ant19,Ant60,Ant99,Ant102,Ant148,Ant202,Ant209,Ant227,Ant237,Ant268,Ant604,Ant673,Ant35,Ant50,Ant63,Ant96,Ant98,Ant126,Ant137,Ant140,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant232,Ant256,Ant262,Ant289,Ant296,Ant298,Ant324,Ant332,Ant356,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant592,Ant593,Ant599,Ant621,Ant638,Ant650
0,0,1,0,0,2,8,4,3,5,0,0,0,0,4,0,1,4,0,1,0,2,13,0,1,2,8,0,1,2,0,0,0,3,0,0,0,0,0,0,8,0,1,5,4,0,3,15,0,0,1,0,3,3,3,2,1,0,5
0,0,3,0,8,0,2,0,3,3,1,0,2,0,1,0,1,0,0,0,0,0,5,0,2,0,0,1,0,8,0,0,4,2,15,0,3,1,0,0,3,1,3,7,0,9,0,0,1,4,2,15,1,0,0,1,1,0,0
1,3,0,0,5,4,10,3,6,1,1,0,8,0,1,3,6,5,9,1,0,4,6,3,2,14,0,10,3,0,0,0,17,15,20,0,10,4,0,1,1,9,13,0,0,9,3,26,2,20,3,4,1,0,5,7,5,0,0
0,0,0,0,0,0,4,0,0,0,0,17,0,15,0,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
0,8,5,0,0,19,5,6,1,1,8,0,4,1,2,0,7,1,3,8,5,0,0,2,1,0,1,1,0,8,0,0,15,5,2,9,5,5,0,4,15,0,7,0,0,4,3,0,0,5,5,15,7,0,3,8,7,0,0
2,0,4,0,19,0,7,4,0,0,0,0,3,0,15,0,2,3,0,15,0,0,5,0,7,3,7,1,0,29,0,0,0,1,3,0,0,0,0,4,30,0,6,5,1,0,1,0,3,3,19,2,3,0,0,0,2,0,8
8,2,10,4,5,7,0,5,10,0,14,1,13,5,4,3,2,6,6,6,0,7,1,3,2,4,13,2,6,15,0,0,11,38,10,7,12,1,0,9,3,13,4,1,0,16,4,15,3,18,7,6,5,5,0,21,11,3,10
4,0,3,0,6,4,5,0,15,6,6,0,29,0,2,0,1,5,0,0,15,3,2,0,2,2,2,1,0,5,0,0,7,36,4,1,2,0,0,1,31,0,5,2,0,1,14,2,1,4,2,9,0,0,6,10,2,0,22
3,3,6,0,1,0,10,15,0,8,5,0,2,0,1,0,1,5,2,2,4,0,2,2,0,1,6,0,1,2,0,0,2,10,11,8,1,0,0,8,11,5,7,1,0,2,1,1,0,3,19,2,4,0,2,2,21,0,13
5,3,1,0,1,0,0,6,8,0,5,0,7,0,0,0,0,11,2,6,1,3,2,0,0,5,1,3,1,1,0,0,2,7,0,8,0,0,0,1,18,0,15,5,6,6,8,9,0,0,6,4,0,0,4,0,1,0,10
0,1,1,0,8,0,14,6,5,5,0,0,7,0,2,0,4,10,1,0,0,0,1,0,1,0,2,5,4,6,0,0,25,4,7,0,5,0,0,2,1,3,6,0,1,1,3,0,0,5,22,16,0,0,0,3,46,0,6
0,0,0,17,0,0,1,0,0,0,0,0,0,41,0,16,0,0,0,0,0,0,0,33,0,0,0,0,0,0,27,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
0,2,8,0,4,3,13,29,2,7,7,0,0,0,5,0,2,13,1,1,0,2,26,2,2,1,6,5,0,17,0,0,4,35,9,0,1,0,0,1,34,1,11,0,2,1,4,6,1,1,3,3,3,23,0,6,3,0,2
0,0,0,15,1,0,5,0,0,0,0,41,0,0,0,19,0,0,0,0,0,0,0,25,0,0,0,0,1,0,31,0,0,0,0,0,2,0,48,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,58,0
4,1,1,0,2,15,4,2,1,0,2,0,5,0,0,0,0,8,0,0,0,0,2,0,30,2,7,1,0,3,0,0,3,13,11,0,4,0,0,1,3,5,3,9,6,0,15,5,0,0,2,8,0,0,18,0,2,0,0
0,0,3,11,0,0,3,0,0,0,0,16,0,19,0,0,0,0,0,0,7,3,1,24,0,0,0,0,1,0,19,0,0,0,4,7,8,0,33,0,0,0,0,0,0,13,0,0,3,0,0,2,22,0,0,0,0,25,0
1,1,6,0,7,2,2,1,1,0,4,0,2,0,0,0,0,1,7,5,0,2,2,1,1,0,1,11,7,0,0,0,11,9,8,14,21,1,0,7,0,1,1,0,0,12,1,1,5,20,1,0,25,0,3,0,4,0,2
4,0,5,0,1,3,6,5,5,11,10,0,13,0,8,0,1,0,1,0,0,0,1,0,11,0,0,4,4,7,0,0,2,2,3,0,7,0,0,0,3,1,14,17,4,0,12,0,0,0,14,11,0,0,17,1,0,0,0
0,0,9,0,3,0,6,0,2,2,1,0,1,0,0,0,7,1,0,0,1,1,2,12,2,7,2,9,3,4,0,0,4,0,10,4,0,1,0,0,1,2,3,0,2,12,0,0,7,0,4,7,2,0,0,1,3,0,0
1,0,1,0,8,15,6,0,2,6,0,0,1,0,0,0,5,0,0,0,20,26,10,2,4,0,3,0,0,9,0,0,0,3,5,7,0,0,0,28,10,1,0,1,1,0,0,0,6,1,1,0,2,1,0,0,15,0,9
0,0,0,0,5,0,0,15,4,1,0,0,0,0,0,7,0,0,1,20,0,11,12,7,0,0,0,11,3,4,0,0,0,2,1,15,11,0,0,16,14,3,0,0,0,1,0,0,5,5,0,0,5,0,2,0,12,0,21
2,0,4,0,0,0,7,3,0,3,0,0,2,0,0,3,2,0,1,26,11,0,16,6,0,1,2,0,4,0,0,0,0,3,1,9,12,0,0,20,1,0,0,0,0,12,2,1,5,4,0,1,15,0,1,4,1,0,3
13,5,6,0,0,5,1,2,2,2,1,0,26,0,2,1,2,1,2,10,12,16,0,26,2,0,1,2,0,6,0,0,3,26,3,3,3,2,0,12,3,2,1,1,3,3,2,20,0,2,3,1,8,8,6,13,5,0,25
0,0,3,12,2,0,3,0,2,0,0,33,2,25,0,24,1,0,12,2,7,6,26,0,0,0,1,8,3,0,8,0,6,0,1,10,2,6,14,0,0,13,0,2,0,8,0,0,3,0,1,0,10,0,0,3,3,18,0
1,2,2,0,1,7,2,2,0,0,1,0,2,0,30,0,1,11,2,4,0,0,2,0,0,1,0,3,1,4,0,0,5,7,5,0,10,0,0,1,5,3,1,1,4,1,6,0,0,3,1,8,6,0,1,0,4,0,0
2,0,14,0,0,3,4,2,1,5,0,0,1,0,2,0,0,0,7,0,0,1,0,0,1,0,0,2,0,3,0,0,25,3,15,5,0,0,0,0,18,0,2,6,11,3,3,0,2,7,7,8,0,0,2,1,7,0,0
