Ant57,Ant260,Ant52,Ant397,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant190,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant229,Ant232,Ant242,Ant250,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant324,Ant326,Ant331,Ant332,Ant334,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant560,Ant576,Ant592,Ant593,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,3,19,1,17,2,0,0,9,9,8,0,1,0,0,0,5,9,2,8,7,1,0,4,5,36,27,20,4,2,15,11,10,3,0,7,2,3,2,4,0,5,7,9,0,46,20,4,2,3,4,7,20,0,5,3,1,11,4,15,11,10,11,3,15,5,0,2,8,2,10,10,0,18,1,5,3,1,1,4,0,31,1,27,0,2,3,1,4,4,0,0,15,3,27,24,16,0,19,12,12,2,12,1,12,6,0,0,0,1,1,4,0,0,0,0,1,15,13,5,3,7,6,2,1,0,6,11,9,2,1,7,0,12,1,0,11,1,7,3,0,5,12
3,0,3,6,4,7,19,27,0,2,1,1,0,3,5,16,1,0,0,1,0,0,11,3,1,4,2,0,1,5,1,0,1,0,32,0,1,0,5,2,54,1,0,0,6,1,7,67,9,32,15,0,0,16,1,0,5,0,4,0,1,4,2,2,0,4,8,0,7,0,7,0,18,1,0,2,30,20,0,6,20,9,10,0,20,0,1,2,2,6,4,8,0,0,0,0,0,10,2,1,0,0,9,10,0,10,10,1,24,1,14,7,8,0,20,0,0,1,1,9,19,0,22,8,10,3,0,3,2,16,5,0,5,1,18,18,5,22,1,0,14,6,6
19,3,0,0,1,10,0,1,3,5,5,3,7,0,1,0,8,11,4,2,5,7,4,0,6,4,6,0,7,1,3,3,26,17,0,3,0,1,13,6,0,22,2,19,1,3,6,14,0,0,6,4,6,0,4,1,5,13,2,4,6,23,13,7,4,2,0,1,4,1,6,1,11,4,4,9,2,0,9,5,0,5,1,10,0,3,0,5,6,6,8,3,9,0,16,5,5,0,7,7,6,15,2,3,1,7,6,0,0,2,1,6,2,1,4,0,0,10,0,6,0,2,4,12,3,0,3,26,8,5,0,13,7,2,0,0,6,5,8,0,0,2,9
1,6,0,0,0,2,19,1,0,5,0,5,0,0,24,5,0,0,0,0,0,5,27,11,1,2,3,6,1,6,17,0,0,2,18,0,3,2,18,0,8,1,2,12,8,1,4,7,6,30,5,0,0,10,1,7,48,2,1,4,0,3,3,0,2,19,18,0,9,1,10,0,10,1,2,7,9,11,2,19,1,2,20,2,9,0,0,19,15,2,10,12,0,1,3,1,0,9,0,11,1,1,2,9,0,7,17,5,8,6,12,4,12,5,21,0,0,5,0,13,7,3,1,1,13,0,0,1,0,13,11,0,8,7,9,4,5,13,3,0,6,11,0
17,4,1,0,0,4,4,0,7,7,29,0,8,0,2,2,40,14,34,8,1,4,5,1,11,4,7,11,31,0,7,5,0,10,0,22,0,3,5,13,2,3,5,5,1,39,27,2,1,0,5,7,3,0,5,6,0,8,13,2,33,7,35,8,19,2,0,0,2,4,30,21,0,3,5,2,1,0,3,17,0,19,2,29,0,4,1,0,22,4,3,3,9,8,35,13,1,0,43,4,3,2,21,0,7,4,4,9,1,1,0,5,7,3,3,0,6,18,19,2,6,13,0,3,2,0,6,15,14,8,7,21,0,9,0,0,2,2,10,0,0,3,12
2,7,10,2,4,0,1,0,0,16,3,5,0,0,4,1,1,5,0,1,4,3,6,6,0,21,0,7,5,7,8,4,2,3,2,18,0,0,14,1,4,22,2,7,6,4,10,37,3,8,4,0,5,0,1,5,0,1,13,1,5,26,14,3,1,8,0,0,7,12,43,0,7,3,0,4,8,3,0,0,0,11,15,11,1,0,9,1,1,5,0,2,6,7,4,1,2,3,2,3,1,4,16,14,0,7,11,5,1,2,3,0,10,2,3,0,1,13,4,2,2,2,3,30,3,0,7,34,7,1,3,14,5,1,0,0,3,12,5,0,2,13,10
0,19,0,19,4,1,0,7,0,3,2,12,1,0,4,16,0,1,0,0,0,3,66,7,1,4,0,0,0,2,11,0,0,1,8,4,20,2,13,0,10,0,2,4,1,2,2,16,11,3,5,1,0,2,0,5,20,1,4,0,5,2,3,0,0,8,9,0,9,0,2,0,12,4,1,9,0,16,0,12,2,2,17,0,19,0,1,22,7,8,3,10,2,1,1,4,1,14,0,2,0,1,19,7,0,8,2,0,18,13,11,2,7,1,14,0,0,2,2,13,2,0,25,0,10,0,0,1,0,9,26,0,6,1,2,0,11,39,1,1,13,3,0
0,27,1,1,0,0,7,0,0,2,1,0,0,0,3,9,0,1,0,0,0,0,6,8,0,3,0,0,1,1,4,6,1,0,3,0,1,0,1,0,28,0,0,6,18,0,11,28,12,19,32,0,0,21,0,1,2,0,3,0,0,0,9,0,0,6,11,0,3,0,5,0,19,0,1,7,17,11,0,14,6,0,4,0,1,0,0,1,3,2,3,12,1,0,0,0,1,8,0,2,0,1,2,0,0,5,2,1,32,6,5,3,1,0,5,0,0,1,0,6,18,2,10,0,2,15,0,1,0,9,2,0,0,0,8,14,5,5,0,0,1,3,0
9,0,3,0,7,0,0,0,0,0,4,0,5,0,0,0,28,12,78,2,29,9,0,0,0,0,11,6,1,0,0,10,23,25,0,4,0,5,0,6,0,0,3,0,0,11,1,0,0,0,0,13,4,0,0,0,0,3,1,26,10,7,1,5,2,0,0,7,1,1,0,32,0,4,9,1,0,0,8,0,0,30,0,18,0,16,31,0,0,0,1,0,6,3,0,4,21,0,17,4,1,2,1,1,0,2,0,0,0,0,0,4,0,12,0,0,8,0,8,4,0,12,0,0,1,0,9,18,11,0,0,2,0,3,0,0,2,0,12,0,0,0,4
9,2,5,5,7,16,3,2,0,0,4,4,4,0,4,5,3,2,3,3,13,5,3,5,4,13,1,3,6,4,17,1,8,1,3,9,3,4,5,0,2,20,3,11,0,2,8,13,4,1,15,3,5,0,3,12,4,1,8,4,3,4,15,4,0,10,2,0,6,3,18,3,8,7,8,5,3,7,0,16,0,6,5,3,2,0,3,12,8,24,1,1,5,3,2,0,0,4,4,1,9,5,8,5,2,4,8,2,5,3,8,5,8,3,2,0,5,21,20,2,0,5,1,2,2,0,0,2,2,2,5,0,6,7,1,3,9,4,5,0,2,23,5
