Ant4,Ant57,Ant260,Ant52,Ant59,Ant65,Ant244,Ant397,Ant540,Ant2,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant534,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant32,Ant35,Ant43,Ant44,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant68,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant118,Ant124,Ant126,Ant127,Ant131,Ant137,Ant149,Ant159,Ant169,Ant172,Ant175,Ant176,Ant178,Ant186,Ant190,Ant194,Ant198,Ant206,Ant207,Ant210,Ant215,Ant218,Ant219,Ant220,Ant221,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant298,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant391,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant492,Ant501,Ant509,Ant538,Ant556,Ant560,Ant564,Ant576,Ant580,Ant592,Ant599,Ant607,Ant610,Ant614,Ant621,Ant632,Ant638,Ant650,Ant663
0,3,18,2,4,22,0,9,0,0,19,22,1,0,3,11,0,1,0,0,0,0,6,0,0,7,0,0,2,0,1,0,10,2,0,0,1,1,14,0,1,2,0,0,2,0,2,0,0,0,9,0,0,0,0,5,0,10,0,7,1,0,1,1,0,2,3,0,2,1,0,12,1,0,0,0,1,0,0,1,0,1,0,0,2,0,5,1,10,8,0,0,2,3,1,1,0,0,7,2,10,0,0,3,5,2,1,0,0,0,18,0,19,2,1,0,2,0,12,8,13,0,0,0,27,9,0,10,1,0,0,5,0,0,0,1,1,40,6,1,2
3,0,4,0,0,3,0,0,0,0,3,10,0,0,4,0,0,12,0,0,0,4,4,0,0,2,0,0,4,0,0,0,3,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,1,10,0,1,5,0,6,2,0,1,0,0,0,4,9,0,7,1,2,7,0,0,1,0,1,0,0,0,4,3,1,0,0,0,0,5,0,0,0,1,11,0,13,0,8,0,5,0,0,4,0,0,0,0,23,3,1,0,0,1,0,12,0,0,0,0,0,7,16,2,0
18,4,0,8,16,20,2,0,1,1,8,23,10,9,2,20,0,11,0,0,2,0,2,0,0,4,4,0,14,0,0,1,3,6,0,8,0,4,24,0,6,0,0,0,3,15,6,0,0,2,11,12,1,0,2,1,0,39,0,14,2,1,0,11,2,22,1,9,15,5,5,11,2,0,16,0,14,2,0,3,5,3,0,3,8,0,40,10,9,12,0,3,2,14,8,0,1,0,15,7,13,0,0,5,7,27,5,0,12,7,33,2,25,4,15,0,12,1,17,10,7,0,0,0,10,28,1,22,0,0,0,7,0,0,1,3,10,23,21,3,4
2,0,8,0,19,1,7,1,5,7,0,1,2,13,0,11,11,6,12,6,9,3,0,5,8,1,21,1,8,9,12,1,4,14,0,12,7,1,9,10,7,4,3,2,2,17,2,3,6,0,7,7,2,3,5,4,2,7,2,8,8,14,7,7,4,9,12,11,23,23,4,1,7,0,4,1,0,42,2,0,9,3,5,4,8,18,6,10,4,0,3,7,0,4,3,7,11,10,1,13,0,1,0,5,6,15,13,3,12,4,1,4,3,5,6,10,3,0,2,1,9,2,5,2,0,1,3,21,7,2,0,13,5,1,5,10,4,6,8,4,16
4,0,16,19,0,4,0,0,3,13,14,0,11,2,0,7,0,19,11,0,2,0,4,1,0,1,15,0,3,7,8,1,2,2,0,17,6,8,9,9,0,3,1,1,3,6,15,1,2,0,9,10,6,1,3,0,7,22,1,12,9,7,18,9,2,5,6,4,10,12,1,6,4,0,14,3,0,12,2,0,2,5,1,5,15,1,7,9,7,3,1,2,0,5,2,0,22,61,2,2,7,0,0,3,3,7,4,2,6,4,4,2,8,1,5,4,0,4,15,12,2,0,0,1,0,3,10,14,3,9,0,12,1,3,2,4,2,7,2,4,22
22,3,20,1,4,0,0,0,0,2,5,58,0,0,6,0,1,8,0,0,0,9,11,0,0,15,0,0,13,1,0,0,15,1,0,0,0,0,7,2,1,0,0,0,0,6,7,0,1,7,3,5,2,0,7,0,0,5,0,10,1,0,0,2,0,14,0,3,1,2,5,13,0,0,6,0,12,2,0,9,0,2,2,0,18,2,53,6,9,11,1,2,8,0,10,0,0,0,19,5,1,0,0,7,0,10,0,1,0,0,23,2,35,0,12,0,8,0,15,12,2,0,0,0,63,20,0,3,0,0,0,1,1,0,0,5,1,19,13,14,1
0,0,2,7,0,0,0,8,6,2,0,0,1,2,0,0,0,1,7,5,2,0,0,12,3,1,9,1,0,8,2,1,1,2,0,1,3,7,1,0,12,4,2,16,2,9,3,0,3,0,2,0,10,1,0,0,6,0,1,0,4,4,1,11,0,1,18,4,6,4,0,9,4,0,1,0,0,10,4,0,10,1,6,3,1,4,0,1,16,0,6,20,0,2,1,0,4,0,1,2,8,5,0,1,1,2,6,2,1,8,1,2,0,11,0,8,0,2,0,3,3,7,0,0,0,0,8,3,3,3,1,1,6,1,2,4,2,2,0,3,18
9,0,0,1,0,0,8,0,10,3,0,0,9,9,0,6,8,1,14,11,3,0,8,9,4,4,29,0,0,5,16,9,0,0,0,4,7,0,0,9,14,11,6,26,9,2,5,0,10,0,6,2,16,12,0,7,8,9,16,6,15,22,14,9,2,0,18,11,14,12,8,0,15,1,2,3,0,22,7,0,10,5,14,14,0,14,1,0,3,4,9,10,0,12,0,8,4,0,0,0,6,4,0,1,3,0,16,22,1,13,1,8,0,8,0,21,6,16,0,0,2,7,1,1,0,1,5,0,7,1,1,1,6,5,1,16,1,0,0,0,12
0,0,1,5,3,0,6,10,0,0,1,0,1,5,0,3,3,0,3,21,28,0,2,3,9,1,6,0,1,0,3,4,1,0,26,0,3,2,1,0,15,1,23,12,14,1,0,12,8,0,1,0,5,18,0,0,7,5,17,0,12,18,14,7,0,0,19,1,0,1,1,0,16,19,0,22,0,1,8,0,5,0,1,4,2,6,1,1,1,0,19,2,0,7,0,28,3,0,0,0,2,7,8,2,13,0,10,10,5,12,0,9,0,0,0,14,0,14,0,1,0,0,8,7,0,0,14,0,9,11,7,0,29,20,13,11,1,0,0,0,5
0,0,1,7,13,2,2,3,0,0,3,1,6,2,0,6,1,1,4,0,2,2,2,1,3,2,8,1,3,5,1,0,0,8,0,6,10,10,3,4,1,2,2,0,2,3,0,0,1,0,2,3,5,1,2,2,1,10,2,5,3,4,3,5,0,4,1,2,9,14,2,11,1,0,2,0,0,15,0,0,0,4,5,7,7,4,2,3,9,5,1,4,0,7,0,1,29,7,4,3,4,2,0,2,3,4,3,0,3,5,0,2,3,0,0,8,0,0,4,2,1,1,0,0,1,4,1,7,0,0,0,2,3,1,1,4,2,4,3,4,8
19,3,8,0,14,5,0,0,1,3,0,7,5,1,0,3,1,9,0,0,0,3,4,0,1,8,0,0,10,1,2,0,3,1,0,3,3,1,12,1,12,0,0,0,1,4,4,0,0,0,14,0,11,0,3,2,1,3,4,8,0,5,2,4,2,3,1,2,2,4,0,10,0,0,5,0,0,5,0,2,2,0,0,6,7,0,5,13,21,16,0,1,1,1,5,3,4,4,11,4,25,2,0,3,0,14,4,1,1,0,12,0,24,1,1,1,4,0,18,5,6,1,0,0,17,9,1,13,0,0,0,13,1,0,0,0,13,12,2,0,5
22,10,23,1,0,58,0,0,0,1,7,0,1,0,3,1,0,45,0,0,0,20,21,0,0,44,0,0,12,0,0,0,35,0,0,2,0,0,17,1,0,0,0,0,0,1,0,0,0,1,12,0,0,0,9,0,0,0,0,28,1,0,0,0,0,5,0,6,0,1,0,28,0,0,0,0,9,0,0,22,0,2,0,0,17,0,19,5,25,18,0,0,8,0,21,0,1,2,35,11,12,0,0,1,1,5,0,0,0,0,15,0,110,0,30,0,13,0,0,6,8,0,0,0,80,19,0,1,0,0,0,4,0,0,0,0,0,158,9,1,0
1,0,10,2,11,0,1,9,1,6,5,1,0,5,0,3,4,2,14,3,11,0,2,14,10,5,21,0,4,4,8,4,0,2,2,1,4,2,5,13,18,0,9,7,1,0,2,6,10,0,5,5,11,2,0,3,7,2,3,6,22,14,11,10,1,6,6,3,18,9,2,0,30,1,2,0,1,18,1,0,2,7,8,10,1,8,1,0,11,3,2,10,0,7,8,0,7,2,0,3,3,5,1,3,9,6,10,7,7,5,0,2,0,15,0,11,0,4,0,6,1,3,11,2,0,1,7,0,7,8,2,6,1,2,13,2,3,1,0,0,4
0,0,9,13,2,0,2,9,5,2,1,0,5,0,0,1,1,0,3,5,2,0,3,0,6,2,7,0,1,0,3,0,0,5,0,3,1,0,7,8,7,0,13,0,1,3,1,0,9,0,1,2,1,1,2,1,0,7,2,5,7,9,4,8,7,5,5,0,6,9,3,2,4,0,1,0,1,5,2,0,0,6,6,11,3,18,1,2,9,0,0,2,0,13,3,1,5,0,2,4,3,0,0,0,11,5,7,2,0,3,1,0,2,2,3,5,2,0,7,2,2,0,1,0,0,0,1,2,2,1,1,4,0,0,1,3,3,0,2,1,5
3,4,2,0,0,6,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,1,1,0,0,5,0,0,2,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,2,0,0,0,0,0,1,0,8,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,2,0,20,1,0,13,0,0,6,0,1,0,0,0,9,6,0,0,0,0,0,2,0,0,0,0,23,0,20,0,3,0,6,0,0,4,0,0,0,0,42,6,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0
