Ant4,Ant260,Ant52,Ant244,Ant397,Ant540,Ant6,Ant9,Ant26,Ant30,Ant60,Ant72,Ant74,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant329,Ant518,Ant604,Ant673,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant215,Ant219,Ant220,Ant229,Ant242,Ant243,Ant250,Ant251,Ant256,Ant264,Ant289,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant398,Ant475,Ant476,Ant482,Ant556,Ant560,Ant564,Ant576,Ant580,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
0,20,5,0,0,1,19,6,0,0,2,0,1,21,0,0,55,5,0,13,0,0,0,4,0,12,5,3,0,0,1,0,29,0,0,13,3,0,6,0,21,0,42,3,0,0,4,2,10,4,17,20,28,0,5,0,1,0,5,1,3,0,18,1,0,3,0,6,0,25,12,0,0,2,3,5,0,33,0,56,0,1,7,9,16,4,8,0,2,0,0,0,0,11,9,8
20,0,12,0,4,4,23,4,3,9,3,1,1,48,1,0,25,6,2,14,2,0,0,2,7,14,12,14,5,1,9,0,14,0,1,24,7,0,27,1,15,1,39,14,13,9,0,1,6,2,25,49,19,0,10,4,15,3,23,10,39,0,3,0,1,5,0,17,0,6,4,3,0,7,7,2,3,26,1,45,2,3,34,17,12,6,20,1,3,0,0,3,7,18,16,26
5,12,0,1,1,0,12,13,0,6,2,0,0,1,0,0,7,2,0,33,0,0,0,20,0,2,19,1,0,0,9,0,16,0,0,11,5,1,12,0,16,1,2,19,4,7,27,6,22,1,11,14,11,0,3,0,12,1,21,0,24,7,21,0,1,18,0,5,0,4,15,0,0,1,2,1,5,0,0,2,13,1,2,6,5,9,41,0,2,0,1,0,1,7,17,13
0,0,1,0,2,4,0,0,0,3,4,7,0,0,1,8,0,7,0,1,2,0,0,0,10,1,0,0,0,0,2,0,1,3,4,2,1,1,0,0,0,2,0,0,7,2,0,1,2,4,0,0,0,0,0,8,1,15,1,0,0,2,8,0,1,1,2,0,0,0,0,2,0,1,2,2,1,0,0,0,11,0,0,0,1,0,0,0,4,0,1,3,1,0,0,2
0,4,1,2,0,4,0,20,2,20,8,5,3,0,12,1,6,15,1,3,0,0,0,0,6,0,6,6,4,2,9,1,1,2,0,7,3,8,2,2,1,8,0,6,25,13,8,3,6,1,2,0,0,2,1,9,0,1,0,9,0,14,11,2,9,8,1,15,0,2,6,5,1,7,1,8,0,0,0,3,16,4,0,3,3,2,0,0,13,4,0,2,0,1,2,3
1,4,0,4,4,0,0,0,7,16,9,31,0,0,7,3,0,0,0,6,1,0,12,0,2,1,4,2,4,6,9,2,0,9,0,3,2,13,1,0,0,7,0,1,6,20,0,0,0,13,2,3,0,0,3,6,1,7,0,1,0,2,0,2,8,1,10,2,0,0,0,5,0,6,0,6,1,1,0,0,4,6,0,0,0,1,0,1,10,22,3,7,5,0,0,2
19,23,12,0,0,0,0,0,3,0,5,0,0,5,0,0,40,1,0,3,0,0,0,1,0,5,13,7,0,2,1,1,6,0,0,11,4,0,12,0,12,0,39,1,6,0,0,2,4,1,9,19,13,0,4,2,2,0,3,6,6,0,6,0,0,0,0,7,0,13,0,0,1,1,0,5,1,13,1,19,1,0,10,6,10,1,18,0,0,0,0,0,0,15,6,17
6,4,13,0,20,0,0,0,2,7,9,2,0,0,0,1,5,12,0,2,0,0,0,0,14,1,5,4,1,13,1,0,6,0,0,6,5,1,1,0,32,7,0,22,8,25,10,2,0,9,0,0,7,1,12,8,1,0,6,10,2,0,6,0,6,5,2,2,0,4,0,0,2,10,3,0,0,2,0,9,0,6,0,2,5,1,2,0,15,1,1,2,0,1,0,2
0,3,0,0,2,7,3,2,0,17,1,1,0,0,13,0,2,4,8,3,4,0,0,8,8,1,7,3,12,10,3,2,1,3,2,6,10,5,0,7,0,0,0,0,0,0,3,0,6,1,0,0,1,0,1,3,3,0,0,0,1,6,0,1,14,0,4,3,0,0,19,1,2,2,6,8,1,5,0,8,7,0,2,4,2,0,0,0,0,1,3,0,1,0,0,2
0,9,6,3,20,16,0,7,17,0,10,4,9,0,14,7,10,11,0,3,3,0,5,0,13,2,1,11,4,10,12,5,4,1,1,2,11,9,1,2,7,3,0,9,8,13,11,3,2,9,0,1,7,0,2,16,3,2,7,12,2,11,13,7,5,21,23,6,0,1,4,2,1,6,7,1,2,6,5,1,13,7,3,4,0,1,5,1,1,21,3,3,5,1,3,4
