Ant52,Ant65,Ant244,Ant2,Ant6,Ant15,Ant19,Ant60,Ant99,Ant102,Ant148,Ant202,Ant209,Ant227,Ant237,Ant268,Ant604,Ant673,Ant35,Ant50,Ant63,Ant96,Ant98,Ant126,Ant137,Ant140,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant232,Ant256,Ant262,Ant289,Ant296,Ant298,Ant324,Ant332,Ant356,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant592,Ant593,Ant599,Ant621,Ant638,Ant650
0,3,0,0,0,2,3,1,4,1,3,0,18,0,2,0,2,12,0,0,0,5,5,1,4,4,2,3,0,13,0,0,0,7,0,0,0,1,1,4,5,0,0,6,2,4,18,6,2,0,5,2,2,0,5,0,2,0,8
3,0,3,8,0,0,1,0,0,0,0,0,0,2,0,2,1,5,0,3,1,2,1,3,0,0,1,1,1,2,0,0,2,0,1,0,0,0,11,2,0,1,0,0,0,5,0,0,1,0,0,0,2,2,0,1,0,0,0
0,3,0,7,1,2,9,2,8,1,2,0,1,24,0,0,4,3,8,0,4,3,6,2,0,0,14,2,0,3,0,0,6,8,7,19,2,0,0,15,5,2,0,3,0,0,4,2,8,1,6,0,9,3,21,2,4,0,2
0,8,7,0,5,1,6,1,2,2,0,5,0,18,0,4,6,0,6,0,1,1,1,9,0,0,8,3,1,0,2,0,18,0,0,22,13,0,6,3,0,1,0,0,0,1,1,0,0,0,8,2,13,0,4,0,0,1,0
0,0,1,5,0,4,14,1,1,0,0,0,0,6,4,6,14,0,20,0,1,0,0,1,13,6,7,1,14,1,0,0,8,2,6,2,12,0,2,7,6,0,23,4,15,2,1,4,1,0,12,3,18,2,0,4,10,0,6
2,0,2,1,4,0,6,0,0,1,5,0,1,3,11,0,0,0,0,1,0,1,0,0,0,4,6,2,0,1,0,0,2,17,2,0,1,0,0,4,2,1,9,8,4,1,5,1,3,11,25,23,0,6,23,0,4,0,10
3,1,9,6,14,6,0,2,13,10,9,0,0,7,12,0,4,3,0,6,20,1,5,6,2,10,3,16,1,1,0,0,11,4,1,7,0,2,2,5,10,6,7,0,3,7,2,5,6,13,11,3,9,2,15,7,30,0,13
1,0,2,1,1,0,2,0,7,0,9,0,0,0,0,0,0,8,1,7,2,6,7,0,3,0,16,1,1,0,0,0,12,22,1,0,0,1,0,4,8,0,0,12,0,0,4,22,0,8,0,0,2,31,13,2,0,0,1
4,0,8,2,1,0,13,7,0,3,1,0,10,1,29,0,1,6,0,1,7,0,7,2,0,8,5,16,1,6,0,0,11,17,8,2,2,0,2,5,1,1,0,0,3,0,1,1,2,3,0,21,6,2,3,1,17,0,14
1,0,1,2,0,1,10,0,3,0,2,0,5,0,0,0,0,1,0,0,0,1,10,1,0,1,4,9,0,3,0,0,0,1,2,0,0,0,0,0,1,1,0,3,11,3,1,3,0,1,2,0,0,39,3,7,7,0,3
