Ant4,Ant260,Ant52,Ant244,Ant397,Ant540,Ant6,Ant9,Ant26,Ant30,Ant60,Ant72,Ant74,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant329,Ant518,Ant604,Ant673,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant215,Ant219,Ant220,Ant229,Ant242,Ant243,Ant250,Ant251,Ant256,Ant264,Ant289,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant398,Ant475,Ant476,Ant482,Ant556,Ant560,Ant564,Ant576,Ant580,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
0,20,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,3,0,7,2,0,0,0,0,0,8,0,0,14,0,0,5,0,0,0,28,0,0,0,5,0,2,0,4,24,19,0,0,0,0,0,2,0,15,0,1,0,0,3,0,6,0,18,0,0,0,0,0,0,0,24,0,76,0,0,6,0,3,0,4,0,0,0,0,0,0,36,12,4
20,0,15,0,7,0,1,11,1,2,16,0,1,0,8,2,14,9,0,27,0,0,0,22,0,3,25,0,0,1,7,0,17,1,0,29,31,0,17,0,13,1,40,0,4,2,22,4,15,2,17,15,70,0,0,27,3,0,21,0,24,0,6,0,4,13,0,13,0,11,1,0,0,0,0,6,0,44,0,38,0,0,21,7,20,10,11,0,2,0,0,2,1,22,33,29
0,15,0,0,4,2,1,11,7,8,8,0,1,0,4,3,17,11,2,7,0,0,0,6,12,9,32,5,4,19,16,0,11,4,1,3,9,7,10,8,35,3,11,7,6,6,25,7,18,7,9,0,34,0,3,12,1,0,8,6,8,0,15,12,11,13,2,18,0,0,4,5,0,5,5,10,0,10,0,0,8,2,10,6,8,18,16,2,3,1,1,8,2,6,22,10
0,0,0,0,1,1,0,0,3,0,2,1,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,1,1,18,2,0,0,2,5,0,0,3,0,2,1,0,5,4,2,7,1,0,0,19,0,0,0,1,0,10,1,1,0,0,0,3,0,4,4,0,4,0,0,0,2,18,1,3,1,0,8,6,2,0,0,0,0,1,0,1,3,4,5,10,3,3,2,0,2,4
0,7,4,1,0,8,0,12,2,3,3,10,1,0,0,9,0,15,0,2,2,0,0,3,3,7,18,13,4,2,3,1,3,1,1,6,14,8,3,1,9,17,11,15,13,9,15,0,9,3,4,0,8,0,1,9,8,2,2,9,0,4,3,6,3,9,11,10,0,0,3,4,5,24,2,11,0,6,0,0,8,9,1,0,5,3,0,0,8,1,0,6,7,6,10,5
0,0,2,1,8,0,0,1,0,9,1,8,15,0,5,10,0,2,0,2,24,0,2,0,4,3,2,4,9,1,5,1,2,15,22,0,2,43,0,6,1,2,1,6,6,11,0,1,1,9,0,0,1,15,12,3,0,1,0,2,0,1,3,4,11,1,13,1,0,0,0,21,2,3,0,1,1,2,0,0,0,23,1,0,2,0,1,2,2,6,10,37,6,0,0,3
3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,2,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,8,0,0,3,0,0,0,3,0,0,0,1,0,0,0,3,3,4,0,0,0,0,0,3,0,3,0,0,0,0,5,0,5,0,3,0,0,0,0,0,0,1,5,0,7,0,0,0,4,4,0,8,0,0,0,0,1,0,7,3,9
0,11,11,0,12,1,0,0,1,4,0,0,1,0,0,3,2,7,0,5,7,0,0,3,0,16,12,2,8,3,2,0,4,0,0,5,4,3,1,0,21,5,5,17,13,10,3,8,4,2,4,0,13,0,0,7,0,0,2,0,0,1,3,14,0,6,1,6,0,0,5,2,1,3,0,2,2,3,0,0,2,0,4,0,0,1,6,3,1,0,3,1,3,0,2,6
0,1,7,3,2,0,0,1,0,3,18,0,0,0,1,0,19,10,0,7,0,0,0,0,0,7,10,0,0,0,12,0,10,1,0,19,1,4,5,0,3,10,16,0,0,2,4,1,7,5,10,0,13,0,2,4,1,0,1,0,0,0,5,5,3,19,0,7,0,0,8,3,0,3,6,5,0,12,0,1,0,2,2,17,7,5,22,0,0,2,1,3,5,5,11,7
0,2,8,0,3,9,1,4,3,0,2,1,1,0,7,19,2,2,0,6,5,0,0,1,3,1,2,8,15,11,14,5,1,1,2,1,3,7,0,6,2,7,1,10,9,5,4,0,6,12,4,0,0,0,6,13,2,1,2,1,2,5,13,12,4,4,11,9,0,0,12,1,1,5,18,5,1,11,1,0,1,1,0,0,3,1,0,0,4,2,8,11,7,0,2,1
