Ant4,Ant57,Ant260,Ant52,Ant59,Ant65,Ant244,Ant397,Ant540,Ant2,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant161,Ant191,Ant196,Ant209,Ant227,Ant245,Ant252,Ant278,Ant308,Ant311,Ant329,Ant518,Ant534,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant28,Ant32,Ant35,Ant43,Ant44,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant66,Ant68,Ant70,Ant71,Ant81,Ant85,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant118,Ant124,Ant126,Ant127,Ant131,Ant137,Ant142,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant173,Ant175,Ant176,Ant178,Ant186,Ant190,Ant194,Ant198,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant218,Ant219,Ant220,Ant221,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant263,Ant264,Ant289,Ant296,Ant298,Ant299,Ant301,Ant313,Ant324,Ant331,Ant334,Ant342,Ant347,Ant356,Ant380,Ant390,Ant391,Ant394,Ant395,Ant398,Ant437,Ant458,Ant462,Ant475,Ant476,Ant482,Ant492,Ant501,Ant509,Ant530,Ant538,Ant556,Ant560,Ant564,Ant576,Ant580,Ant592,Ant599,Ant607,Ant610,Ant614,Ant621,Ant632,Ant638,Ant650,Ant663,Ant665
0,2,6,3,6,0,2,6,0,13,10,7,1,3,4,3,0,2,0,1,0,2,1,0,20,5,14,1,5,0,7,4,0,2,0,3,5,0,3,8,1,2,2,6,0,0,1,2,2,10,1,1,1,3,4,1,9,0,3,2,0,2,5,0,5,4,0,1,0,0,5,2,0,7,0,5,0,1,0,1,5,4,0,0,1,3,5,2,2,4,1,6,5,6,11,0,7,4,1,6,0,5,0,1,2,7,4,0,3,0,4,3,4,9,1,0,1,0,12,0,2,2,1,5,14,1,7,7,0,11,6,4,0,8,15,7,10,12,3,1,0,9,11,3,0,41,1,1,4,4,0,0,0,0,2,5,5,3,4,2
2,0,23,4,0,12,0,8,0,0,2,25,2,2,5,2,0,5,0,0,1,17,14,0,29,0,10,2,2,0,3,3,0,19,0,3,2,0,1,6,1,13,4,8,1,0,1,3,1,0,1,1,2,3,9,5,6,0,3,0,0,1,0,0,6,1,3,0,1,2,2,1,0,8,1,2,0,7,1,0,1,5,0,0,10,0,2,2,1,10,4,2,2,0,16,0,13,9,1,19,1,10,0,2,7,3,4,0,1,3,12,0,2,12,0,0,10,1,3,4,2,5,0,3,23,0,0,5,2,23,2,5,0,27,8,5,11,12,6,1,0,21,24,5,1,1,0,0,0,0,0,0,0,0,3,6,16,1,1,3
6,23,0,7,13,10,0,10,0,6,9,33,3,3,5,10,4,1,0,0,2,8,8,2,21,1,12,4,14,0,4,11,1,2,0,8,14,0,2,8,2,9,6,26,2,1,3,1,2,3,7,0,2,5,12,7,14,1,9,0,0,0,7,3,7,11,4,1,4,6,0,8,1,6,6,7,1,10,3,0,10,5,3,1,6,2,1,10,2,8,0,7,12,4,18,1,9,12,7,18,1,14,0,2,5,4,5,0,8,4,5,11,9,12,2,0,11,0,11,5,5,5,4,1,15,0,3,24,0,9,8,3,0,13,37,4,11,10,4,4,0,9,14,43,0,12,1,0,1,1,1,0,2,3,9,14,12,3,3,18
3,4,7,0,5,0,5,3,1,11,7,3,11,4,14,2,12,1,0,1,1,3,1,0,29,2,15,4,12,1,7,3,5,4,0,1,2,0,4,3,1,2,10,15,1,0,0,0,3,4,1,5,0,5,3,2,3,3,7,3,0,2,2,4,6,11,0,7,2,0,1,6,5,7,3,23,5,4,5,2,4,7,1,0,3,13,6,7,6,8,0,6,8,3,6,5,2,1,14,28,2,11,2,0,2,2,4,4,10,5,0,3,7,13,0,1,5,0,1,2,3,5,2,5,3,0,2,3,1,6,3,4,0,10,1,18,5,8,13,2,1,10,0,8,2,35,2,1,1,14,1,0,1,3,5,4,4,2,9,3
6,0,13,5,0,2,2,8,1,22,5,2,2,1,12,7,2,0,4,5,4,9,3,3,8,10,3,0,9,0,2,8,1,5,0,4,4,0,2,1,5,0,20,3,0,6,4,5,3,7,2,4,3,5,5,9,2,5,4,4,0,2,15,0,7,2,4,1,0,10,1,2,0,12,7,4,0,0,2,3,1,4,3,0,4,4,9,10,0,15,1,10,4,11,0,2,2,12,2,8,6,1,1,6,4,7,2,1,8,1,3,10,6,1,2,1,0,0,4,3,4,12,5,3,5,3,5,6,4,8,8,0,2,1,1,3,1,0,13,9,0,4,0,6,5,13,0,6,1,6,2,1,0,1,0,0,4,8,23,7
0,12,10,0,2,0,0,0,0,2,0,24,0,1,2,6,0,8,0,1,0,5,8,0,33,0,8,24,0,0,3,1,0,30,0,14,1,0,0,0,0,31,1,15,0,0,0,0,1,0,3,0,0,3,7,3,5,0,3,0,0,0,1,0,0,4,1,0,0,0,0,1,0,2,0,2,0,32,0,0,3,0,1,0,9,1,0,0,3,2,0,0,0,1,22,0,3,4,0,7,0,8,0,0,2,1,4,0,0,0,9,0,3,12,0,0,9,1,15,0,6,0,0,1,9,0,1,12,0,3,0,2,1,5,6,10,3,0,1,0,0,38,24,3,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0
2,0,0,5,2,0,0,0,2,9,0,0,1,2,4,1,5,0,7,7,4,0,0,22,0,7,5,0,4,0,0,1,14,1,7,0,6,14,5,3,3,0,2,1,6,18,1,4,0,0,4,0,2,0,1,5,0,2,1,0,0,13,1,1,0,2,2,7,0,3,5,1,5,2,9,6,2,0,2,6,2,1,1,4,0,0,17,2,0,0,2,5,1,4,0,8,1,2,15,0,1,3,5,9,0,5,9,9,4,1,0,0,0,0,9,4,0,0,1,0,3,3,3,10,1,21,6,2,3,3,2,0,11,2,2,0,0,0,2,9,12,0,1,3,6,1,6,7,5,0,10,8,3,28,0,0,0,0,6,3
6,8,10,3,8,0,0,0,0,3,2,5,3,3,7,3,0,2,0,0,1,9,17,11,21,4,19,4,25,0,13,0,0,2,0,9,12,0,2,0,20,4,7,11,2,12,2,1,7,14,3,2,5,5,2,3,4,1,12,4,0,0,5,1,8,5,0,0,1,6,5,4,4,15,5,4,2,6,0,6,5,11,1,2,9,4,6,17,12,10,0,2,5,4,5,0,12,3,3,11,1,5,6,4,6,6,1,0,6,2,4,9,9,11,3,0,6,4,1,0,3,4,12,1,10,0,1,3,0,17,6,11,0,2,1,11,6,1,6,2,0,6,4,2,0,7,1,0,0,1,2,0,0,0,12,5,22,4,5,7
0,0,0,1,1,0,2,0,0,1,0,0,2,2,0,2,2,0,44,7,4,0,0,7,0,4,0,0,6,0,0,1,3,0,4,1,1,4,3,1,9,0,1,2,4,13,12,2,0,3,0,15,4,0,0,0,3,24,2,5,0,12,0,1,1,0,4,65,21,4,2,1,7,6,0,1,1,0,9,1,1,0,0,0,0,1,12,4,8,0,10,0,1,1,0,20,0,0,8,8,5,0,42,0,0,14,1,3,0,0,0,2,0,0,8,5,0,3,0,3,3,1,1,1,0,9,0,0,22,0,6,0,6,0,0,1,0,0,0,6,9,0,0,1,9,1,3,7,36,1,28,2,11,7,0,0,0,0,8,0
13,0,6,11,22,2,9,3,1,0,2,0,4,5,0,0,10,0,4,3,9,1,0,6,3,3,1,0,12,1,0,3,18,0,1,1,6,6,13,8,5,0,4,10,4,7,4,10,1,2,0,1,6,1,9,1,3,4,4,2,0,2,13,10,12,6,8,22,5,13,3,4,7,13,1,5,0,1,6,3,5,0,1,0,0,17,5,4,15,1,0,6,11,8,1,10,0,13,10,24,8,8,1,3,0,13,0,0,17,1,0,12,9,3,0,2,0,8,4,12,1,18,8,8,0,1,5,0,7,3,10,2,4,0,4,2,1,0,7,5,8,0,0,1,12,24,7,5,4,15,7,1,4,4,1,0,0,4,18,6
