Ant57,Ant5,Ant52,Ant59,Ant25,Ant30,Ant148,Ant191,Ant196,Ant209,Ant245,Ant308,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant114,Ant126,Ant135,Ant139,Ant156,Ant159,Ant174,Ant195,Ant207,Ant218,Ant226,Ant242,Ant243,Ant250,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant353,Ant376,Ant387,Ant391,Ant492,Ant549,Ant580,Ant607,Ant614,Ant632,Ant638,Ant663
0,1,3,2,2,1,3,0,0,1,5,0,0,0,10,48,3,1,0,0,0,21,0,0,3,6,0,1,0,7,11,17,3,0,45,0,0,1,2,0,31,0,18,12,0,36,2,3,1,1,5,22,56,3,0,1,0,1,5,35,2,3,0,0,0,6
1,0,1,7,0,2,0,4,2,1,3,0,0,2,0,0,0,0,0,11,1,1,0,2,1,2,1,19,7,4,0,0,0,0,0,0,0,0,3,2,0,4,1,1,0,0,0,4,1,25,0,0,1,4,0,12,1,1,1,3,10,0,0,0,4,1
3,1,0,8,2,7,0,11,0,4,1,3,0,1,4,0,7,0,4,5,0,4,8,4,1,0,0,13,0,0,1,4,0,0,1,0,1,0,3,1,5,0,3,2,0,0,4,1,0,4,0,2,4,1,0,2,6,6,1,1,1,0,0,0,0,1
2,7,8,0,0,1,0,3,4,6,7,2,0,14,0,0,1,1,9,11,2,5,0,6,1,3,1,19,1,0,2,3,3,0,0,0,0,6,3,3,8,0,1,11,0,0,2,6,0,6,0,0,1,24,4,2,7,7,1,6,1,2,1,0,11,3
2,0,2,0,0,6,10,5,6,0,16,0,0,5,6,10,9,0,0,3,12,11,12,0,4,2,0,1,9,2,11,10,0,4,0,0,4,0,9,3,7,0,1,13,8,13,4,16,4,0,3,2,6,1,0,1,2,1,4,5,6,4,1,2,1,9
1,2,7,1,6,0,4,13,4,0,2,3,0,0,2,2,1,1,6,9,2,10,5,14,19,15,1,0,5,8,3,0,1,0,0,0,2,3,3,1,8,5,3,2,4,0,5,0,1,5,0,0,2,7,0,3,3,1,5,3,6,0,6,1,1,0
3,0,0,0,10,4,0,0,3,0,10,1,0,5,0,3,6,2,3,1,6,24,0,7,0,0,1,0,1,0,4,1,4,0,0,0,3,0,2,1,11,0,9,9,2,2,0,0,11,2,0,1,8,2,0,0,4,1,2,1,6,9,5,1,1,2
0,4,11,3,5,13,0,0,6,2,15,1,0,2,0,0,2,0,4,4,0,14,8,3,9,1,0,14,1,9,0,1,0,0,0,0,8,6,2,7,1,1,3,9,3,2,0,1,2,16,1,0,3,1,3,20,2,3,5,4,4,1,9,3,15,6
0,2,0,4,6,4,3,6,0,1,15,1,0,19,2,3,2,0,1,10,14,9,1,2,17,1,0,0,7,6,0,0,0,0,0,0,3,0,33,0,3,0,12,6,1,0,1,1,1,0,0,1,4,3,5,11,11,5,7,3,25,2,7,0,8,1
1,1,4,6,0,0,0,2,1,0,4,0,0,11,1,3,3,8,3,6,11,12,8,0,22,1,0,3,0,7,4,3,5,0,5,0,3,11,0,0,4,12,4,6,0,1,18,0,0,29,0,6,1,5,9,1,0,8,5,9,1,2,0,0,9,8
5,3,1,7,16,2,10,15,15,4,0,3,0,13,4,7,6,0,2,9,6,24,1,7,7,1,0,8,18,2,9,4,2,1,0,0,5,2,8,6,15,0,12,1,4,3,9,1,12,3,0,5,9,1,3,0,12,16,10,6,20,10,27,3,4,9
0,0,3,2,0,3,1,1,1,0,3,0,0,1,10,4,4,0,0,2,2,15,1,3,3,0,0,1,6,9,0,0,0,16,0,0,10,0,8,22,14,11,5,19,3,3,0,1,8,0,0,1,4,0,3,0,1,8,6,11,5,7,7,13,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,18,53,0,0,0,0,0,0,0,0,0,10,0,0,0,0,23,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,14,5,0,5,2,19,11,13,1,0,0,2,9,3,0,3,5,5,13,9,11,11,0,9,2,2,3,22,5,3,0,0,0,2,13,4,1,3,0,2,3,0,0,3,2,3,14,0,3,2,18,4,28,8,38,1,3,7,8,7,1,8,4
10,0,4,0,6,2,0,0,2,1,4,10,0,2,0,9,3,0,2,3,3,9,4,1,0,3,0,0,11,0,3,9,0,9,9,0,10,0,4,6,15,2,3,6,3,1,1,1,5,0,5,7,1,0,0,0,4,4,4,9,14,0,10,5,0,5
