Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant252,Ant954,Ant27,Ant44,Ant49,Ant51,Ant97,Ant117,Ant170,Ant176,Ant242,Ant256,Ant262,Ant263,Ant264,Ant299,Ant305,Ant356,Ant391,Ant475,Ant476,Ant502,Ant592,Ant593,Ant599,Ant638,Ant650
0,2,0,34,5,13,13,8,1,2,0,5,1,11,25,2,5,51,0,16,25,0,5,5,3,3,0,6,17,0,6,7,9,45,53
2,0,3,8,4,0,0,2,18,4,8,6,19,16,4,15,0,2,23,2,0,50,1,33,1,14,4,5,1,0,1,8,4,0,0
0,3,0,3,14,0,8,5,10,18,11,6,8,9,0,19,10,1,24,0,0,9,13,7,3,17,13,8,0,16,16,3,8,0,0
34,8,3,0,4,6,4,9,1,4,7,7,2,14,11,7,8,10,7,3,6,2,6,1,5,16,2,13,4,0,9,3,6,8,22
5,4,14,4,0,3,2,1,22,9,7,2,9,3,2,6,2,15,24,3,12,15,3,21,2,12,1,16,0,10,20,4,12,0,0
13,0,0,6,3,0,0,1,2,0,0,0,0,1,2,0,5,5,0,0,0,0,0,0,0,5,0,1,3,0,0,2,0,1,3
13,0,8,4,2,0,0,18,2,8,0,0,0,0,2,5,0,0,1,11,0,6,5,0,3,0,6,3,4,0,7,0,11,7,1
8,2,5,9,1,1,18,0,5,2,2,2,2,12,2,11,3,5,6,28,1,4,4,2,12,4,1,9,8,1,5,2,7,7,7
1,18,10,1,22,2,2,5,0,4,7,11,23,2,3,21,5,9,22,0,3,16,5,27,2,13,4,8,5,4,6,4,6,1,2
2,4,18,4,9,0,8,2,4,0,2,11,2,8,2,8,10,1,11,1,5,8,25,6,7,5,17,9,0,3,15,3,2,8,1
0,8,11,7,7,0,0,2,7,2,0,10,0,2,2,22,7,2,23,0,0,37,18,28,2,27,31,4,0,1,4,5,4,0,0
5,6,6,7,2,0,0,2,11,11,10,0,10,3,3,20,5,6,3,0,0,5,3,1,0,13,14,5,4,27,21,6,7,1,12
1,19,8,2,9,0,0,2,23,2,0,10,0,0,0,6,4,3,5,0,0,4,1,23,1,4,13,3,1,0,0,1,1,0,0
11,16,9,14,3,1,0,12,2,8,2,3,0,0,3,16,0,13,0,9,5,2,7,0,1,4,0,8,4,1,2,12,4,8,10
25,4,0,11,2,2,2,2,3,2,2,3,0,3,0,0,0,6,2,1,7,1,0,5,0,0,1,3,3,0,4,10,2,10,12
2,15,19,7,6,0,5,11,21,8,22,20,6,16,0,0,23,9,49,10,7,22,27,19,7,19,14,16,2,10,35,18,14,0,3
5,0,10,8,2,5,0,3,5,10,7,5,4,0,0,23,0,19,2,2,0,8,1,5,2,10,0,7,1,1,25,2,4,0,3
51,2,1,10,15,5,0,5,9,1,2,6,3,13,6,9,19,0,2,3,5,3,3,7,3,11,1,15,10,1,19,30,6,15,5
0,23,24,7,24,0,1,6,22,11,23,3,5,0,2,49,2,2,0,4,1,18,9,19,9,4,10,11,0,0,14,6,13,1,2
16,2,0,3,3,0,11,28,0,1,0,0,0,9,1,10,2,3,4,0,0,3,1,0,82,0,2,6,2,0,0,2,5,10,3
25,0,0,6,12,0,0,1,3,5,0,0,0,5,7,7,0,5,1,0,0,0,5,1,0,1,1,9,4,0,2,0,2,12,17
0,50,9,2,15,0,6,4,16,8,37,5,4,2,1,22,8,3,18,3,0,0,22,2,0,8,4,6,0,1,13,5,4,1,4
5,1,13,6,3,0,5,4,5,25,18,3,1,7,0,27,1,3,9,1,5,22,0,10,1,23,21,27,1,3,4,5,2,3,3
5,33,7,1,21,0,0,2,27,6,28,1,23,0,5,19,5,7,19,0,1,2,10,0,2,7,9,16,2,6,22,2,8,1,2
3,1,3,5,2,0,3,12,2,7,2,0,1,1,0,7,2,3,9,82,0,0,1,2,0,1,0,5,0,0,4,5,0,9,2
3,14,17,16,12,5,0,4,13,5,27,13,4,4,0,19,10,11,4,0,1,8,23,7,1,0,0,6,0,0,14,2,3,1,2
0,4,13,2,1,0,6,1,4,17,31,14,13,0,1,14,0,1,10,2,1,4,21,9,0,0,0,9,0,70,3,2,17,0,0
6,5,8,13,16,1,3,9,8,9,4,5,3,8,3,16,7,15,11,6,9,6,27,16,5,6,9,0,5,0,11,9,11,8,8
17,1,0,4,0,3,4,8,5,0,0,4,1,4,3,2,1,10,0,2,4,0,1,2,0,0,0,5,0,0,1,3,1,13,7
0,0,16,0,10,0,0,1,4,3,1,27,0,1,0,10,1,1,0,0,0,1,3,6,0,0,70,0,0,0,4,0,0,0,0
6,1,16,9,20,0,7,5,6,15,4,21,0,2,4,35,25,19,14,0,2,13,4,22,4,14,3,11,1,4,0,1,7,1,12
7,8,3,3,4,2,0,2,4,3,5,6,1,12,10,18,2,30,6,2,0,5,5,2,5,2,2,9,3,0,1,0,13,9,13
9,4,8,6,12,0,11,7,6,2,4,7,1,4,2,14,4,6,13,5,2,4,2,8,0,3,17,11,1,0,7,13,0,0,5
45,0,0,8,0,1,7,7,1,8,0,1,0,8,10,0,0,15,1,10,12,1,3,1,9,1,0,8,13,0,1,9,0,0,28
53,0,0,22,0,3,1,7,2,1,0,12,0,10,12,3,3,5,2,3,17,4,3,2,2,2,0,8,7,0,12,13,5,28,0
