colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
18,207,161.199,85,0,N,NA,NA,NA,58.4545,0.363636,23.0909,508.90909,185.72727,59.454545,3.182
18,209,183.469,99,0,N,N,N,N,429.636,0.454545,4.09091,721.18182,79.545455,17.090909,14.64
18,210,163.233,78,0,N,N,C,C,210.182,0.272727,85.1818,758.27273,192.63636,50,8.636
18,219,163.049,64,0,N,N,N,NA,131,0.0909091,1.09091,443.90909,92.909091,24.363636,11.82
18,237,150.841,211,0,N,N,N,N,124.455,2.36364,1.45455,436.09091,103.72727,34.363636,3.636
18,244,174.751,120,0,N,N,N,C,14.4545,2.27273,0.909091,470.54545,141.63636,52.363636,4
18,252,168.716,40,0,N,NA,NA,NA,50.9091,0,1.90909,456.09091,158.18182,46.818182,1.545
18,257,157.003,99,0,N,N,N,NA,11.6364,1.81818,2.45455,343.54545,89.272727,30.727273,3.182
18,260,152.735,0,0,N,N,NA,NA,150.455,0.818182,19.3636,814.18182,193.09091,49.090909,14
18,296,139.463,50,0,N,N,N,C,11.0909,0,0.454545,360.63636,133.36364,61.363636,0.9091
18,298,166.235,64,0,N,N,N,N,77.9091,1.72727,29.7273,712.09091,124.09091,27,8.636
18,299,157.051,40,0,N,NA,NA,NA,101.455,1,1,438.90909,83.909091,41.272727,4.636
18,301,173,40,0,N,N,NA,NA,158.727,0.636364,2.90909,769.63636,77.181818,13.727273,22.55
18,311,164.906,64,0,N,C,NA,NA,53.0909,17.9091,33.3636,664.54545,303.90909,115.45455,6.273
18,313,169.446,155,0,N,N,NA,NA,4.45455,0.545455,1.27273,411.09091,187.36364,77.181818,6.273
18,318,178.869,120,0,N,NA,NA,NA,41,0.727273,0.181818,534.27273,120.72727,50.818182,3.727
18,324,129.634,50,0,N,N,C,C,474.727,0.363636,0.545455,324.45455,108.18182,56.818182,2.545
18,332,153.805,64,0,N,N,N,N,101.545,0.181818,4.72727,545.27273,52.363636,14,10
18,342,141.209,40,0,N,N,C,NA,254.455,1.54545,3.81818,383,126.36364,50.909091,1.091
18,356,183.199,40,0,N,N,N,N,51,0.363636,0.909091,601.09091,67.272727,18.818182,26.45
18,394,177.882,78,0,N,NA,NA,NA,0.363636,1,0,508,263.63636,153.18182,2.182
18,395,207.183,139,0,N,C,C,NA,5.81818,3.81818,1.27273,339.27273,143.27273,64.818182,0.9091
18,400,181.571,78,0,N,N,N,N,38.8182,1.09091,7.45455,591.45455,169.36364,65.818182,8.091
18,433,156.16,78,0,N,NA,NA,NA,88.7273,4.36364,30.0909,445,108.63636,48,3.091
18,437,185.151,139,0,N,C,C,C,4.09091,3.54545,8.90909,391.27273,163.63636,60.727273,5
