Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant25,Ant26,Ant30,Ant38,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant91,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant149,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,0,7,2,12,17,9,5,4,0,2,1,2,0,6,1,5,0,0,2,0,12,0,0,14,16,4,14,8,0,0,1,15,0,0,4,1,14,1,3,4,19,10,1,0,1,14,18,41,0,7,1,4,0,0,1,11,2,0,0,3,2,8,2,0,3,0,9,0,0,2,1,0,0,1,0,0,0,6,1,3,0,9,0,4,0,0,31,0,0,10,3,0,6,2,0,1,0,0,0,0,0,0,2,0,0,4,0,21,0,0,0,0,1,0,1,0,0,0,0,17,0,0,1,2,0,0,0,3,12,0,2,7
0,0,2,3,0,1,3,2,1,0,4,56,18,0,1,0,1,16,0,1,3,1,2,47,1,6,13,1,0,60,43,16,1,11,2,0,3,6,23,0,0,1,7,9,4,10,7,0,2,7,14,19,3,26,0,1,10,4,45,5,19,12,8,0,0,20,20,13,0,0,9,4,1,25,5,2,40,0,0,0,14,6,8,9,4,4,0,4,23,14,6,2,13,0,37,13,7,0,20,16,4,9,46,0,11,1,0,13,0,36,0,5,13,3,3,12,1,5,8,0,1,6,20,8,21,21,5,2,8,2,16,0,4
7,2,0,2,8,4,7,2,27,0,15,5,2,1,1,1,2,4,0,8,2,3,19,1,0,11,5,15,7,1,2,39,11,2,0,12,4,3,15,2,0,7,5,1,9,0,6,6,10,0,16,0,21,0,7,5,7,8,8,0,2,9,7,36,0,3,3,20,0,0,1,29,2,0,15,1,5,0,19,1,1,1,3,17,3,7,0,9,1,2,26,0,0,3,18,5,4,1,3,12,0,6,8,1,9,0,0,0,1,0,0,0,3,5,0,3,0,0,0,0,11,0,4,3,8,0,1,1,24,3,0,0,3
2,3,2,0,1,32,5,16,13,0,8,0,3,0,4,0,3,0,0,3,0,9,6,0,3,2,2,8,4,0,0,2,7,0,0,3,0,1,0,6,5,4,0,0,0,0,0,3,3,0,17,0,0,2,2,1,1,6,2,0,0,2,7,9,0,0,0,2,0,0,1,3,3,0,9,1,1,1,9,0,10,0,2,1,12,12,0,21,0,0,10,1,0,3,0,0,11,0,1,2,4,2,0,15,0,6,2,0,0,0,0,0,1,2,0,2,1,0,0,1,10,0,2,9,1,1,0,2,17,6,0,5,12
12,0,8,1,0,1,0,3,7,1,0,3,2,0,4,2,3,0,1,1,0,9,1,4,0,2,4,6,6,2,0,1,6,1,0,1,0,11,0,7,0,0,0,4,0,0,9,12,4,0,2,0,3,0,5,0,15,9,3,0,0,1,28,0,1,0,2,0,0,0,0,0,2,1,7,2,0,2,4,0,4,2,2,1,0,2,0,2,0,0,4,7,0,2,1,1,0,0,1,0,1,11,0,0,1,0,4,0,14,0,0,0,0,1,0,2,5,0,0,0,0,0,0,6,0,2,0,0,4,2,0,2,5
17,1,4,32,1,0,21,2,14,1,13,3,2,3,19,3,8,1,0,3,0,2,7,0,5,7,0,20,3,0,0,3,4,0,0,10,5,6,1,24,3,22,5,7,1,0,0,5,9,0,4,0,5,0,52,4,32,8,0,0,3,5,4,14,0,0,0,1,0,0,0,8,0,0,8,2,2,0,16,0,1,0,12,1,16,12,0,8,0,0,6,10,0,5,2,0,14,0,0,1,7,1,0,4,6,12,7,0,16,0,0,0,0,8,0,1,4,0,1,0,9,0,1,4,5,0,2,3,4,13,1,1,18
9,3,7,5,0,21,0,6,15,1,10,1,2,0,11,0,4,0,0,0,0,18,1,1,9,6,4,13,5,1,0,7,4,1,0,10,4,12,1,1,41,12,4,5,3,0,6,22,5,0,15,0,11,0,35,0,8,0,3,0,1,4,17,15,0,1,0,1,0,0,2,4,0,1,3,2,4,0,11,0,3,0,2,1,6,3,1,15,0,2,17,0,0,15,6,0,7,0,0,2,13,1,0,0,0,3,19,0,41,0,0,0,1,0,0,2,3,0,3,0,1,0,1,11,11,2,0,0,8,18,0,3,1
5,2,2,16,3,2,6,0,4,4,22,6,9,0,10,0,15,2,1,6,1,10,6,3,5,7,6,10,11,1,8,34,12,0,10,7,11,5,1,0,22,9,17,3,4,0,11,8,18,0,19,0,2,0,3,0,16,14,3,7,0,8,28,8,1,0,1,10,0,0,11,11,4,2,9,2,2,1,22,13,26,1,5,5,6,6,2,1,2,1,26,8,0,19,8,1,13,0,1,6,0,3,1,1,10,3,9,2,4,2,0,0,1,16,0,3,12,1,1,0,18,3,3,31,7,12,3,2,5,10,3,17,10
4,1,27,13,7,14,15,4,0,0,14,3,1,0,8,1,6,0,0,2,2,12,0,1,0,0,1,6,5,0,1,13,1,0,0,0,0,1,0,10,2,26,0,1,2,1,9,8,18,0,17,0,3,1,20,3,6,3,2,0,0,1,1,13,0,0,0,5,0,0,0,5,1,0,28,0,0,0,14,0,1,0,8,0,10,5,0,9,0,0,12,2,0,3,0,0,5,0,0,0,11,0,0,3,0,16,3,0,18,0,0,0,0,0,0,0,2,0,0,6,1,0,1,8,0,1,0,0,22,2,4,0,10
0,0,0,0,1,1,1,4,0,0,7,4,11,1,1,13,1,1,6,1,4,1,13,1,7,5,26,7,10,0,10,1,0,0,1,5,4,1,0,0,0,3,5,11,1,1,0,1,1,1,1,4,2,0,0,14,9,4,21,0,6,5,0,0,9,2,5,3,0,0,15,6,6,6,0,29,5,19,4,0,6,1,1,2,4,0,32,0,0,1,5,0,5,1,2,5,1,0,5,2,0,6,8,1,13,0,0,2,0,2,0,5,10,15,1,5,79,0,0,0,11,7,3,1,1,19,1,13,1,4,3,1,0
