Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant76,Ant99,Ant102,Ant148,Ant158,Ant161,Ant191,Ant202,Ant209,Ant227,Ant237,Ant252,Ant268,Ant278,Ant311,Ant329,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant68,Ant80,Ant91,Ant96,Ant97,Ant98,Ant100,Ant105,Ant109,Ant112,Ant114,Ant126,Ant137,Ant140,Ant142,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant219,Ant220,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant332,Ant342,Ant356,Ant394,Ant395,Ant398,Ant400,Ant433,Ant437,Ant458,Ant476,Ant492,Ant502,Ant507,Ant509,Ant527,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant635,Ant638,Ant647,Ant650,Ant665
0,23,6,3,4,24,5,2,8,1,12,18,8,8,26,5,1,8,3,13,13,10,9,28,1,6,4,3,2,2,2,7,6,3,2,14,29,0,5,10,5,14,0,12,8,5,7,18,2,16,5,11,4,11,3,5,0,6,4,5,4,3,8,13,13,7,14,5,28,0,2,8,10,4,11,4,0,0,16,4,20,4,9,6,4,8,11,14,0,17,38,4,23,0,12,9,6,2,9,9,8,4,0,8,8,7,4,19,20,5,5,23,4,31,4,7,1,14,6,16,11,7,4,2,7,0,0,4,0,27,12
23,0,10,0,4,37,1,9,1,2,15,1,3,8,16,11,2,7,1,23,6,11,7,18,0,16,2,9,7,0,1,7,1,1,0,19,9,0,2,8,1,4,0,11,2,1,2,9,2,10,8,2,12,16,0,11,1,0,10,8,1,24,19,16,7,1,7,1,19,1,0,0,18,2,14,0,0,0,3,6,9,0,1,4,0,5,2,1,0,5,10,16,18,2,10,15,11,2,5,5,4,1,0,14,2,7,0,1,10,3,4,4,7,40,9,11,2,4,7,10,1,0,3,23,11,0,1,0,1,15,2
6,10,0,0,0,15,0,0,0,0,9,0,0,5,0,1,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,12,0,0,2,0,0,0,13,16,0,16,1,0,8,4,0,5,2,0,0,0,0,1,0,0,1,5,0,2,0,1,0,0,0,0,0,27,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,14,11,29,0,0,0,0,23,0,3,0,0,0,3,0,1,1,3,2,1,0,0,1,2,8,6,0,1,0,1,0,0,0,9,4,0,3,0,0,3,13
3,0,0,0,0,49,1,0,3,18,0,6,1,0,0,0,7,0,1,1,0,9,1,14,6,0,0,2,2,0,6,8,17,0,2,1,2,0,9,1,3,20,1,8,0,8,0,0,5,2,2,0,0,0,5,1,6,1,0,17,4,1,1,0,5,4,4,0,3,10,23,10,1,1,3,4,5,1,1,1,11,6,12,0,2,3,1,7,0,0,2,1,1,0,3,0,6,0,7,0,0,1,13,3,1,1,7,0,1,11,0,5,11,0,1,1,3,5,27,0,5,2,7,0,2,3,1,14,0,6,1
4,4,0,0,0,31,5,0,1,1,2,0,2,5,21,2,0,1,7,3,8,9,4,14,0,0,11,2,14,0,0,6,1,11,0,18,11,0,11,4,1,10,2,4,1,18,0,1,2,1,1,7,0,0,0,4,2,12,2,0,0,2,2,3,9,3,2,13,0,3,0,4,4,10,13,4,2,0,0,5,5,5,0,7,1,4,19,1,0,1,2,0,4,2,18,3,18,0,11,13,5,0,2,10,10,8,6,5,0,1,4,4,3,7,3,4,1,11,11,7,3,6,0,0,10,0,0,4,0,26,0
24,37,15,49,31,0,20,39,47,22,21,14,24,22,30,25,48,34,17,19,16,36,25,52,16,18,29,22,30,24,22,26,46,32,39,15,39,0,33,24,32,24,0,41,28,14,10,15,22,28,16,22,20,14,25,18,25,24,5,43,14,66,15,13,20,25,19,18,31,18,8,38,18,22,20,16,10,0,22,32,56,7,20,13,24,40,22,26,7,6,31,16,31,31,24,43,16,22,22,7,17,15,25,17,13,18,20,24,29,21,19,44,21,34,13,23,58,35,35,52,39,27,50,23,47,6,15,35,1,29,19
5,1,0,1,5,20,0,7,11,1,1,7,3,20,26,2,1,5,5,2,2,3,4,17,0,0,8,3,3,1,0,13,0,4,5,2,12,0,4,8,4,1,0,15,1,3,0,1,0,3,4,0,4,1,1,3,3,10,8,3,2,3,0,8,31,16,16,0,1,1,0,1,0,4,30,2,0,0,0,6,19,3,6,1,3,10,4,1,0,0,7,0,4,6,10,4,4,1,4,3,3,5,4,3,5,7,5,7,13,8,0,18,17,13,0,14,4,0,3,3,16,10,0,0,9,0,0,7,0,8,0
2,9,0,0,0,39,7,0,1,1,0,0,0,6,13,4,8,11,4,2,4,8,6,26,0,0,5,5,8,0,1,23,11,13,15,35,12,0,8,7,5,4,1,31,0,8,0,6,9,3,0,0,5,17,0,14,0,2,1,7,5,8,6,1,7,14,16,0,0,0,0,7,7,11,3,1,3,0,2,9,11,1,7,7,1,20,0,23,0,3,16,3,2,2,16,11,2,4,7,7,1,21,1,11,2,15,8,0,12,8,1,0,4,32,0,15,2,3,6,5,2,10,4,0,0,0,0,2,0,4,4
8,1,0,3,1,47,11,1,0,3,0,6,3,10,4,1,21,0,7,6,2,10,3,7,0,0,18,4,6,7,1,9,12,3,1,13,8,0,27,6,13,5,0,2,3,2,2,3,6,9,8,3,0,1,7,2,5,10,0,6,6,7,0,2,6,16,7,2,6,3,0,2,0,3,11,8,0,0,3,5,7,0,8,0,2,11,12,23,0,0,0,0,0,5,11,12,0,0,10,1,7,3,0,5,2,7,12,1,4,4,6,16,5,1,0,1,1,15,3,1,20,9,11,0,8,2,0,7,0,6,0
1,2,0,18,1,22,1,1,3,0,1,8,0,2,0,0,11,0,2,0,2,0,4,5,30,1,8,1,6,25,1,8,21,0,7,0,4,60,32,0,6,11,8,2,0,19,0,0,14,2,31,2,1,0,11,0,14,0,1,12,0,6,0,5,9,1,0,52,7,42,48,3,0,1,4,4,41,15,0,7,12,9,8,0,3,17,1,13,0,0,0,0,0,1,2,3,0,1,5,2,15,3,13,7,2,3,30,0,1,1,7,0,7,3,1,1,29,3,7,0,2,1,8,1,1,11,3,0,0,0,0
