Ant4,Ant260,Ant52,Ant65,Ant244,Ant397,Ant540,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant210,Ant215,Ant219,Ant220,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant501,Ant509,Ant556,Ant560,Ant564,Ant576,Ant580,Ant599,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
0,77,1,54,0,9,0,13,181,2,0,19,3,1,4,0,0,10,22,0,1,36,0,0,9,5,2,0,0,0,2,1,2,13,12,2,1,0,4,0,20,1,0,24,10,8,0,13,0,12,0,4,1,0,0,3,5,15,0,6,12,15,0,1,1,1,3,25,5,5,0,12,2,1,0,3,35,0,20,0,46,50,3,0,0,15,27,2,2,3,0,48,0,58,0,3,20,1,14,28,74,1,0,43,4,54,0,0,0,0,0,0,0,5,26,6
77,0,6,91,0,5,0,24,210,0,4,30,5,2,10,0,1,29,41,0,0,73,1,10,4,7,2,0,0,0,1,10,2,19,1,3,1,1,0,9,33,0,0,28,21,15,0,34,0,18,1,12,1,2,0,8,8,11,0,22,16,51,0,1,0,6,0,25,11,8,1,12,7,0,1,2,62,0,5,0,46,114,2,2,0,31,16,2,7,4,2,65,0,70,0,2,87,2,5,53,106,2,3,31,6,46,0,0,0,0,0,0,0,1,28,8
1,6,0,0,3,3,3,1,4,12,7,9,8,3,8,4,7,8,2,14,1,14,11,0,17,9,16,0,0,0,6,22,26,1,16,7,4,11,9,0,3,4,0,4,2,13,5,10,1,20,10,6,10,16,4,9,3,10,15,6,9,11,7,3,6,10,6,3,12,7,4,4,12,5,4,12,0,6,12,0,6,7,7,4,0,6,6,8,13,3,8,3,0,10,2,8,3,5,7,6,0,11,10,9,18,1,0,2,0,3,0,3,8,1,16,11
54,91,0,0,0,0,0,6,116,0,0,36,0,0,0,0,0,5,114,0,0,90,0,1,0,0,2,0,0,0,2,0,0,9,0,1,0,0,0,0,15,0,0,21,8,3,0,26,0,0,0,10,0,0,0,2,2,2,0,14,5,4,0,0,0,0,0,10,0,1,0,10,2,0,0,1,53,0,4,0,45,24,1,0,0,1,7,0,0,0,0,30,0,52,0,0,15,0,0,26,70,6,0,14,2,25,0,0,0,0,0,0,0,0,20,4
0,0,3,0,0,1,9,0,0,1,0,0,0,8,2,1,1,0,0,0,2,0,1,0,2,0,0,3,0,0,0,2,0,0,0,1,3,14,3,0,0,2,2,0,0,1,1,0,13,2,3,0,3,2,8,4,0,0,8,0,0,0,3,2,1,0,3,0,0,0,2,0,10,0,5,2,0,3,1,0,0,0,0,2,0,0,0,2,5,2,11,0,2,0,0,1,1,1,0,0,0,1,3,1,0,0,0,1,1,0,16,9,6,2,0,0
9,5,3,0,1,0,9,3,0,5,1,1,8,10,8,0,1,1,2,21,1,3,19,0,21,1,10,29,0,0,3,12,17,5,3,11,1,5,4,8,1,1,2,2,2,2,5,5,0,2,3,13,5,15,14,4,2,7,9,7,3,3,2,1,11,10,3,0,4,5,2,2,18,0,13,8,0,2,9,0,0,4,10,0,1,1,4,12,2,6,4,5,3,7,20,12,12,8,4,8,0,4,3,0,4,2,1,4,0,1,1,2,4,8,2,23
0,0,3,0,9,9,0,2,0,4,0,0,1,4,7,11,10,1,0,25,5,4,1,0,3,0,3,16,0,0,2,2,1,0,1,3,5,1,15,14,0,6,11,1,1,2,6,0,21,4,2,1,4,27,7,4,1,1,2,0,0,0,12,8,15,2,7,0,1,0,17,1,12,1,3,7,0,5,0,0,0,0,1,2,9,0,0,2,2,4,11,0,9,0,7,8,0,8,1,0,0,2,4,0,4,0,11,15,7,3,6,3,23,2,0,2
13,24,1,6,0,3,2,0,45,0,2,14,13,0,1,0,0,6,10,0,0,10,2,0,15,3,2,0,0,0,2,5,0,2,6,2,0,0,1,0,12,0,1,17,7,12,1,20,0,6,0,26,1,5,0,1,3,5,2,12,13,6,1,1,0,1,0,2,5,2,0,8,7,0,0,3,9,0,9,0,6,4,5,2,0,9,7,3,0,1,0,36,0,18,1,0,33,0,5,10,1,1,1,19,4,6,0,0,0,0,1,1,0,12,2,17
181,210,4,116,0,0,0,45,0,0,1,44,9,1,1,0,0,56,52,0,0,171,1,1,3,0,0,0,0,0,0,0,0,26,3,0,0,0,1,0,129,0,5,48,15,3,1,25,0,0,0,11,0,0,0,0,0,0,0,7,10,1,0,0,2,0,0,27,6,8,0,17,1,0,0,4,139,0,14,0,219,106,2,0,0,31,16,0,0,0,1,269,0,206,0,0,143,0,0,40,12,5,0,78,0,16,0,0,0,0,0,0,0,0,4,11
2,0,12,0,1,5,4,0,0,0,15,0,2,1,23,2,1,0,1,2,1,5,6,0,16,2,3,0,0,0,11,10,4,3,9,9,0,1,12,2,1,2,10,9,0,1,13,3,0,5,0,2,24,27,8,2,2,9,6,13,2,1,3,4,8,5,4,14,5,6,9,4,12,0,1,7,1,0,6,0,0,0,3,1,0,1,1,28,9,1,3,2,1,4,6,0,3,3,1,0,0,1,6,1,6,2,0,0,0,2,2,1,24,3,10,11
0,4,7,0,0,1,0,2,1,15,0,3,4,3,4,6,0,1,0,4,3,7,9,0,2,3,3,0,0,0,4,2,2,4,11,2,7,2,4,1,4,1,0,11,1,6,1,1,2,2,4,10,1,12,0,4,4,3,3,4,10,4,0,3,5,6,4,1,1,6,6,1,4,5,0,4,2,0,4,0,2,2,5,0,1,9,1,13,2,0,0,2,0,12,7,5,1,10,3,2,0,3,5,0,13,0,1,2,0,0,0,6,9,7,6,13
19,30,9,36,0,1,0,14,44,0,3,0,7,1,6,0,1,14,7,0,0,15,2,0,11,8,2,0,0,0,6,0,0,4,3,4,1,1,3,0,16,1,1,17,3,2,1,18,2,9,0,8,0,7,1,6,4,11,2,10,8,7,5,0,1,0,1,16,12,3,0,2,6,1,3,1,17,0,11,0,12,10,3,2,0,8,13,0,1,3,0,24,0,16,2,4,71,0,4,12,17,16,0,12,4,9,0,1,0,1,0,2,1,11,15,19
3,5,8,0,0,8,1,13,9,2,4,7,0,5,6,1,1,6,6,0,5,17,10,0,20,9,4,1,0,0,1,11,0,15,13,18,3,2,8,4,12,1,2,36,17,3,1,12,2,10,2,13,6,7,3,12,14,11,2,6,15,3,0,0,3,5,4,1,5,17,0,4,28,3,0,6,1,2,16,0,7,13,17,2,1,21,4,7,12,3,7,18,0,26,1,4,9,1,4,7,0,6,1,13,11,3,1,2,1,1,1,4,13,31,4,26
1,2,3,0,8,10,4,0,1,1,3,1,5,0,8,3,4,0,2,3,3,7,5,0,7,2,4,6,0,5,2,6,2,1,4,13,15,9,6,3,1,12,8,6,1,9,3,3,5,1,4,8,8,7,8,6,2,4,12,4,5,2,2,12,21,5,12,1,1,1,9,0,11,10,4,2,0,1,4,0,0,0,2,4,1,3,3,6,20,7,5,3,0,10,3,6,7,2,2,1,0,4,8,4,2,1,3,8,0,3,4,2,8,2,2,11
4,10,8,0,2,8,7,1,1,23,4,6,6,8,0,11,3,2,1,6,7,9,6,0,14,7,7,2,0,3,7,15,10,5,11,13,4,8,9,0,1,2,5,9,10,11,8,10,10,10,3,1,8,34,7,17,2,7,15,6,4,12,6,7,9,13,6,2,5,6,5,0,9,4,3,26,0,5,13,0,0,2,1,12,2,22,5,9,14,13,16,0,3,4,15,6,10,20,3,0,0,8,5,4,8,0,3,1,0,2,4,5,1,9,1,6
0,0,4,0,1,0,11,0,0,2,6,0,1,3,11,0,14,0,0,5,9,2,5,0,5,0,1,4,0,7,0,11,15,0,2,12,9,1,9,4,4,10,14,0,0,5,3,0,11,1,18,1,15,5,11,0,0,3,9,1,2,1,1,6,4,3,4,0,2,3,11,0,19,31,28,4,0,12,9,0,0,1,3,2,9,0,2,4,3,8,3,1,0,2,11,2,0,9,1,0,0,0,1,0,1,0,4,5,7,5,3,16,8,0,0,3
