Ant57,Ant260,Ant52,Ant397,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant190,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant229,Ant232,Ant242,Ant250,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant324,Ant326,Ant331,Ant332,Ant334,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant560,Ant576,Ant592,Ant593,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,0,8,1,12,0,1,4,5,3,7,1,12,0,1,0,5,6,14,43,37,17,2,1,4,2,12,16,0,1,9,7,6,15,0,25,3,2,4,5,0,6,0,1,0,38,7,2,0,0,0,11,18,0,1,8,2,13,7,0,13,36,3,5,3,0,0,1,6,2,2,0,0,6,17,6,0,0,3,0,0,13,2,27,0,3,0,1,8,1,6,0,7,7,10,2,20,0,13,19,12,7,4,3,10,6,1,0,0,0,1,4,1,2,0,0,7,21,13,0,0,4,0,0,0,0,1,0,5,0,0,0,0,10,0,6,4,3,5,3,0,1,3
0,0,0,20,0,2,7,14,0,3,1,5,1,7,5,24,1,0,0,0,2,1,40,21,0,8,0,2,4,7,1,0,4,3,26,0,4,1,7,0,24,6,0,7,12,0,5,22,5,13,36,0,0,22,0,1,7,0,4,2,3,0,19,1,0,13,36,0,1,1,1,4,19,5,0,3,19,20,0,14,4,1,18,0,30,0,0,0,7,8,0,19,1,1,0,0,0,18,3,0,0,5,1,5,0,2,5,1,11,2,42,4,6,0,24,0,3,0,0,4,19,2,4,15,13,8,0,2,0,16,5,1,10,0,22,24,6,50,0,1,13,11,2
8,0,0,4,16,8,2,1,8,0,15,0,11,0,0,0,0,1,0,2,8,1,9,0,2,4,35,5,18,1,1,12,13,25,0,8,3,8,3,1,0,3,13,6,0,12,9,6,0,1,2,7,33,0,0,5,0,1,15,13,3,11,44,11,10,4,0,2,0,5,18,10,1,15,2,3,4,8,3,0,0,23,4,0,0,4,10,0,12,4,6,0,12,6,1,11,3,0,3,10,11,13,1,3,5,2,1,1,0,0,1,3,4,7,4,0,7,4,3,3,0,0,1,20,2,0,6,14,4,0,2,8,0,11,1,1,5,2,10,10,2,3,10
1,20,4,0,0,8,31,1,2,10,1,12,0,0,2,2,1,2,0,4,4,1,24,0,0,12,2,3,8,11,5,0,5,1,3,15,4,4,5,0,3,5,9,10,4,6,10,51,4,9,3,1,1,7,2,13,2,3,2,0,3,0,17,1,0,13,2,0,6,1,0,2,7,3,0,8,2,8,0,13,0,6,10,1,6,5,3,0,7,8,5,0,2,2,10,3,5,31,4,3,5,6,5,8,0,12,12,29,0,28,12,5,21,1,19,1,3,1,0,18,1,2,3,10,8,0,2,2,5,0,12,3,1,0,3,36,5,24,0,0,16,25,0
12,0,16,0,0,1,5,1,2,9,34,1,13,0,0,0,7,9,4,18,11,9,2,1,2,12,47,19,4,0,8,12,15,32,0,16,1,2,1,0,0,5,2,1,0,11,13,0,0,0,0,23,22,0,4,9,0,28,5,17,11,22,10,14,23,2,0,19,8,4,10,12,0,4,4,1,0,0,6,3,1,0,0,30,0,10,5,0,3,0,2,0,1,3,10,40,15,0,29,16,35,26,0,1,2,1,1,0,1,0,0,10,6,8,2,0,9,19,20,2,0,15,0,2,0,0,12,46,6,0,0,8,1,6,0,2,9,1,2,3,0,0,26
0,2,8,8,1,0,2,3,1,3,1,2,3,0,1,3,2,4,0,1,2,3,4,0,3,15,5,0,7,3,4,6,21,6,1,8,2,6,4,0,0,36,8,11,11,1,27,23,0,8,2,3,20,1,1,3,1,22,8,14,4,4,45,3,0,3,0,0,2,3,40,5,1,10,0,8,10,4,1,2,2,24,4,5,1,5,9,3,10,1,2,0,5,0,33,7,2,6,10,5,6,18,2,6,0,13,0,3,0,5,16,12,7,2,15,0,7,2,4,10,0,9,1,35,7,0,4,24,7,0,2,13,0,27,5,6,11,7,2,1,0,7,4
1,7,2,31,5,2,0,1,1,5,0,3,2,0,29,9,0,2,0,0,0,4,48,12,4,3,2,1,0,5,1,1,3,1,0,2,8,0,8,0,0,1,3,6,2,2,12,22,4,11,10,0,1,9,2,7,13,0,6,3,5,6,7,2,0,14,7,0,6,1,4,0,26,20,0,9,3,5,0,10,3,9,11,0,26,0,0,26,16,6,2,1,0,1,0,1,0,1,1,4,0,1,0,10,0,9,29,2,8,10,10,4,25,2,24,0,4,1,3,5,7,0,13,4,3,0,0,0,2,2,20,1,19,3,0,12,15,5,0,0,5,4,3
4,14,1,1,1,3,1,0,0,1,0,2,1,9,4,27,0,2,0,0,0,0,20,13,0,0,0,0,1,4,0,1,1,0,10,0,0,1,4,0,25,0,0,3,13,1,9,4,4,15,8,0,0,0,0,5,0,0,1,1,8,2,10,1,0,8,8,0,1,0,0,1,16,4,0,1,16,2,0,6,15,0,1,0,7,0,0,1,0,1,1,23,0,0,0,0,0,11,0,0,0,4,0,3,0,4,3,7,16,7,3,2,3,2,4,2,2,0,1,2,12,0,8,7,19,8,0,6,0,12,0,0,1,3,33,0,3,15,1,4,5,0,1
5,0,8,2,2,1,1,0,0,5,10,0,24,0,0,0,5,7,2,15,15,12,0,0,14,1,10,1,13,2,3,14,6,7,0,6,0,7,0,10,0,2,1,3,0,8,5,1,2,0,0,17,6,0,1,7,2,1,1,7,11,19,4,13,7,1,0,30,7,1,23,8,0,18,0,1,0,1,24,2,0,21,1,11,0,16,7,2,12,1,7,0,29,6,3,28,10,0,2,3,10,14,7,3,14,1,1,1,0,1,2,18,5,32,1,0,9,2,26,1,0,17,0,7,0,0,24,32,9,1,2,19,1,5,0,7,5,0,10,4,1,1,25
3,3,0,10,9,3,5,1,5,0,3,5,1,0,5,0,1,4,0,0,0,5,4,1,1,31,3,2,1,4,17,9,13,4,0,0,1,1,9,2,0,6,12,1,2,3,8,6,2,0,6,4,6,5,1,1,4,2,13,2,7,2,5,8,8,1,4,0,5,3,8,0,2,16,2,7,3,2,1,4,0,10,1,6,6,0,1,2,9,0,10,1,3,4,4,10,3,3,0,9,2,12,5,12,2,4,0,0,1,3,6,2,7,3,9,0,4,13,5,2,0,0,2,3,1,0,0,1,0,2,4,0,5,3,0,6,15,0,0,1,1,11,2
7,1,15,1,34,1,0,0,10,3,0,0,2,0,0,0,14,4,0,2,3,0,1,0,6,1,12,14,22,0,3,2,5,12,0,17,0,3,2,4,0,7,6,1,1,0,30,1,0,0,0,1,2,0,7,1,0,3,22,13,11,2,27,3,10,2,0,2,2,4,22,27,0,6,0,2,2,1,0,5,0,3,0,0,0,0,44,0,9,0,12,1,0,4,12,30,11,0,6,6,9,11,1,0,26,0,1,0,0,0,0,10,23,0,0,0,16,2,3,2,0,8,0,14,0,0,31,53,3,0,1,15,0,2,0,2,3,0,4,12,1,12,3
