Ant4,Ant5,Ant59,Ant540,Ant929,Ant2,Ant6,Ant19,Ant24,Ant25,Ant73,Ant148,Ant158,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant838,Ant954,Ant1,Ant17,Ant27,Ant32,Ant44,Ant49,Ant51,Ant62,Ant71,Ant96,Ant97,Ant115,Ant117,Ant120,Ant140,Ant153,Ant170,Ant176,Ant210,Ant217,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant289,Ant298,Ant299,Ant305,Ant320,Ant326,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant507,Ant530,Ant564,Ant592,Ant593,Ant599,Ant607,Ant632,Ant638,Ant647,Ant650
0,3,1,8,7,2,12,16,0,3,3,0,11,0,0,2,11,10,8,1,8,3,8,0,4,11,2,8,1,1,3,18,4,0,2,8,1,0,0,6,1,0,8,0,2,0,4,1,1,5,4,17,3,1,3,0,15,0,2,2,0,20,1,6,11,0,0,1,0,4,4,0,0
3,0,9,9,1,18,3,1,5,2,5,4,7,3,6,0,1,11,1,2,9,0,2,6,1,6,6,1,2,11,15,1,21,8,1,6,8,19,2,1,9,1,0,8,0,13,1,0,2,0,12,3,11,19,11,9,3,3,4,1,0,2,7,0,1,1,1,0,7,1,6,0,5
1,9,0,8,3,7,8,3,17,3,7,1,3,0,0,2,8,12,13,15,10,13,18,0,8,31,6,32,5,6,10,17,4,4,3,30,0,6,12,6,9,3,6,13,6,1,1,10,6,4,12,11,11,6,11,1,34,13,6,3,0,12,2,11,23,4,9,10,1,7,0,4,5
8,9,8,0,2,19,5,2,3,10,12,7,5,0,0,8,5,17,18,8,13,7,6,3,0,8,31,13,1,17,31,4,10,6,3,17,6,2,3,2,15,4,11,0,3,0,6,4,5,4,8,3,15,8,2,18,1,9,1,11,8,4,1,0,1,8,12,13,14,10,14,9,8
7,1,3,2,0,4,10,7,1,1,4,0,3,0,0,7,4,0,0,3,0,5,1,1,1,4,7,14,1,6,0,5,2,1,3,3,0,1,1,0,4,5,2,3,5,0,7,0,0,2,3,4,4,3,3,1,6,3,3,6,0,8,1,1,3,7,9,0,1,0,2,2,2
2,18,7,19,4,0,1,0,0,20,32,21,14,0,3,1,3,3,1,0,13,1,4,3,2,5,12,5,0,5,26,1,14,56,1,5,33,11,16,2,20,25,0,0,1,2,4,3,0,1,32,4,3,31,10,58,3,1,1,12,2,1,15,1,3,3,11,0,12,20,38,32,42
12,3,8,5,10,1,0,3,4,7,12,0,15,0,0,2,6,6,12,0,5,5,8,0,9,1,6,18,0,3,5,13,1,0,14,6,2,0,1,6,9,2,10,3,6,0,2,8,4,9,2,9,3,1,2,5,14,2,3,15,1,37,1,0,22,9,6,0,0,1,4,0,4
16,1,3,2,7,0,3,0,9,13,7,2,7,0,0,1,7,11,2,8,7,4,1,0,9,21,0,4,2,0,3,2,3,0,0,11,6,1,2,3,3,1,0,21,4,0,0,0,3,1,1,0,10,1,8,4,2,12,14,9,1,2,0,6,5,2,1,13,1,3,0,1,1
0,5,17,3,1,0,4,9,0,9,4,3,8,0,0,8,6,22,6,9,13,10,1,0,8,32,0,3,22,4,8,1,8,0,9,18,1,0,19,8,1,1,0,23,5,1,0,3,7,0,2,6,16,4,23,0,7,4,49,0,0,0,0,22,12,0,0,8,0,5,4,0,3
3,2,3,10,1,20,7,13,9,0,12,5,2,0,0,1,14,11,3,2,4,4,4,0,0,16,6,3,37,0,16,3,4,13,2,11,11,6,17,3,20,3,8,17,1,3,5,8,7,3,10,5,8,5,17,18,1,1,15,11,2,4,8,25,5,7,18,10,8,8,13,16,14
