Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant252,Ant954,Ant27,Ant44,Ant49,Ant51,Ant97,Ant117,Ant170,Ant176,Ant242,Ant256,Ant262,Ant263,Ant264,Ant299,Ant305,Ant356,Ant391,Ant475,Ant476,Ant502,Ant592,Ant593,Ant599,Ant638,Ant650
0,16,0,35,12,5,0,19,1,1,1,2,0,52,21,5,7,5,5,11,26,1,5,0,4,4,0,15,9,2,3,26,18,54,16
16,0,7,8,16,0,0,2,5,31,5,24,24,7,1,12,5,2,39,8,2,9,4,6,11,1,13,12,1,0,5,1,6,5,2
0,7,0,0,17,0,0,1,23,7,35,11,3,0,0,5,4,0,2,4,14,30,9,23,0,7,8,5,0,9,6,0,1,0,0
35,8,0,0,11,4,0,7,2,11,1,6,3,6,14,7,4,7,3,4,4,0,6,4,19,5,0,10,4,1,4,11,11,36,12
12,16,17,11,0,4,0,2,25,41,19,31,7,9,0,9,11,6,13,8,11,14,23,29,6,18,9,12,0,7,20,13,4,5,4
5,0,0,4,4,0,0,0,1,0,0,1,0,9,6,0,1,2,0,16,0,1,0,1,2,0,0,4,2,0,0,2,4,4,0
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,19,0,0,0,21,0,0,0,0,0,0
19,2,1,7,2,0,5,0,1,0,3,11,2,15,7,5,4,9,1,9,2,0,1,1,2,0,1,1,9,1,1,5,6,4,26
1,5,23,2,25,1,0,1,0,22,8,76,29,1,1,28,2,3,7,4,9,4,3,36,7,22,45,4,0,2,39,3,6,0,3
1,31,7,11,41,0,0,0,22,0,29,42,15,5,1,13,13,7,26,3,2,11,16,6,4,11,17,14,1,3,14,7,10,2,4
1,5,35,1,19,0,0,3,8,29,0,34,3,4,0,7,2,3,6,2,3,19,21,20,3,10,33,1,0,2,8,3,4,0,0
2,24,11,6,31,1,0,11,76,42,34,0,30,8,4,52,12,15,57,13,6,11,64,13,0,62,31,11,4,9,58,23,8,12,20
0,24,3,3,7,0,0,2,29,15,3,30,0,0,0,13,1,15,25,0,0,17,9,13,1,3,12,3,2,3,0,8,4,0,0
52,7,0,6,9,9,0,15,1,5,4,8,0,0,3,3,1,1,1,17,8,0,7,3,0,3,1,24,9,0,3,14,22,15,11
21,1,0,14,0,6,0,7,1,1,0,4,0,3,0,3,6,1,0,0,4,1,4,0,7,3,0,3,6,0,2,2,12,11,10
5,12,5,7,9,0,0,5,28,13,7,52,13,3,3,0,14,15,19,11,20,1,18,17,5,15,7,9,1,23,68,20,8,1,6
7,5,4,4,11,1,0,4,2,13,2,12,1,1,6,14,0,8,8,2,3,3,5,7,5,7,7,8,3,2,9,8,4,0,4
5,2,0,7,6,2,0,9,3,7,3,15,15,1,1,15,8,0,24,3,8,2,2,1,0,2,2,5,1,2,12,15,8,2,36
5,39,2,3,13,0,0,1,7,26,6,57,25,1,0,19,8,24,0,1,7,6,11,3,1,8,6,13,1,2,7,6,6,1,1
11,8,4,4,8,16,3,9,4,3,2,13,0,17,0,11,2,3,1,0,1,2,3,0,8,2,6,10,14,0,3,2,1,2,14
26,2,14,4,11,0,0,2,9,2,3,6,0,8,4,20,3,8,7,1,0,0,2,3,2,6,0,12,1,4,3,17,5,7,5
1,9,30,0,14,1,0,0,4,11,19,11,17,0,1,1,3,2,6,2,0,0,4,3,0,7,9,8,0,4,26,1,2,3,1
5,4,9,6,23,0,0,1,3,16,21,64,9,7,4,18,5,2,11,3,2,4,0,19,2,16,4,5,0,36,38,2,6,0,3
0,6,23,4,29,1,0,1,36,6,20,13,13,3,0,17,7,1,3,0,3,3,19,0,3,6,16,2,0,7,18,8,3,0,0
4,11,0,19,6,2,19,2,7,4,3,0,1,0,7,5,5,0,1,8,2,0,2,3,0,7,2,4,1,0,3,9,2,5,7
4,1,7,5,18,0,0,0,22,11,10,62,3,3,3,15,7,2,8,2,6,7,16,6,7,0,1,4,4,1,16,5,0,5,8
0,13,8,0,9,0,0,1,45,17,33,31,12,1,0,7,7,2,6,6,0,9,4,16,2,1,0,4,1,6,1,0,10,0,1
15,12,5,10,12,4,0,1,4,14,1,11,3,24,3,9,8,5,13,10,12,8,5,2,4,4,4,0,7,6,17,13,32,9,3
9,1,0,4,0,2,21,9,0,1,0,4,2,9,6,1,3,1,1,14,1,0,0,0,1,4,1,7,0,0,0,5,4,8,5
2,0,9,1,7,0,0,1,2,3,2,9,3,0,0,23,2,2,2,0,4,4,36,7,0,1,6,6,0,0,0,3,0,0,2
3,5,6,4,20,0,0,1,39,14,8,58,0,3,2,68,9,12,7,3,3,26,38,18,3,16,1,17,0,0,0,19,7,1,10
26,1,0,11,13,2,0,5,3,7,3,23,8,14,2,20,8,15,6,2,17,1,2,8,9,5,0,13,5,3,19,0,5,27,17
18,6,1,11,4,4,0,6,6,10,4,8,4,22,12,8,4,8,6,1,5,2,6,3,2,0,10,32,4,0,7,5,0,9,5
54,5,0,36,5,4,0,4,0,2,0,12,0,15,11,1,0,2,1,2,7,3,0,0,5,5,0,9,8,0,1,27,9,0,38
16,2,0,12,4,0,0,26,3,4,0,20,0,11,10,6,4,36,1,14,5,1,3,0,7,8,1,3,5,2,10,17,5,38,0
