Ant4,Ant57,Ant260,Ant52,Ant59,Ant65,Ant244,Ant397,Ant540,Ant2,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant161,Ant191,Ant196,Ant209,Ant227,Ant245,Ant252,Ant278,Ant308,Ant311,Ant329,Ant518,Ant534,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant28,Ant32,Ant35,Ant43,Ant44,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant66,Ant68,Ant70,Ant71,Ant81,Ant85,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant118,Ant124,Ant126,Ant127,Ant131,Ant137,Ant142,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant173,Ant175,Ant176,Ant178,Ant186,Ant190,Ant194,Ant198,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant218,Ant219,Ant220,Ant221,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant263,Ant264,Ant289,Ant296,Ant298,Ant299,Ant301,Ant313,Ant324,Ant331,Ant334,Ant342,Ant347,Ant356,Ant380,Ant390,Ant391,Ant394,Ant395,Ant398,Ant437,Ant458,Ant462,Ant475,Ant476,Ant482,Ant492,Ant501,Ant509,Ant530,Ant538,Ant556,Ant560,Ant564,Ant576,Ant580,Ant592,Ant599,Ant607,Ant610,Ant614,Ant621,Ant632,Ant638,Ant650,Ant663,Ant665
3,1,6,12,3,5,3,15,4,6,0,1,0,0,6,10,3,7,2,2,0,2,1,9,8,3,18,3,5,0,4,2,2,2,0,7,8,0,3,4,1,1,9,7,3,2,9,2,0,0,5,0,2,5,7,0,0,4,4,7,1,0,4,0,8,6,0,4,1,7,0,5,1,5,11,8,0,5,1,3,25,3,1,1,5,15,3,7,0,6,1,4,5,6,6,1,14,4,2,11,2,1,2,15,4,7,5,0,1,0,4,0,1,13,1,3,1,3,6,3,2,5,4,0,26,0,0,0,0,8,2,6,0,23,5,1,9,4,3,2,0,4,0,7,0,17,3,0,0,0,0,1,0,0,5,3,7,3,0,2
2,6,35,3,5,23,1,0,4,0,1,0,0,0,1,4,0,1,2,0,0,56,33,3,5,2,12,1,3,0,22,2,4,11,0,22,5,0,0,5,0,48,3,3,1,4,0,1,0,0,0,0,0,5,12,0,1,1,0,0,1,2,2,0,0,7,0,0,3,2,0,3,0,11,11,0,0,6,0,0,0,3,0,1,31,0,2,3,0,16,2,0,4,3,43,1,27,0,0,34,1,16,0,0,1,1,13,0,1,2,30,1,3,7,0,2,0,2,28,4,4,2,0,0,3,1,0,1,0,4,0,7,0,3,64,0,8,16,0,1,2,23,22,0,0,2,0,1,0,2,0,0,0,0,0,31,36,3,1,2
1,4,1,1,4,0,23,6,10,2,0,0,0,12,0,1,5,0,18,1,5,0,2,4,0,14,2,0,11,0,2,0,4,0,7,0,1,6,4,11,6,0,5,2,15,38,2,1,0,20,1,11,19,1,1,3,0,28,0,4,7,15,2,2,0,3,9,37,2,7,0,2,23,1,1,8,0,0,14,14,3,3,3,10,2,0,9,6,10,1,3,0,7,5,0,16,0,2,5,0,4,3,18,3,1,2,0,14,2,11,1,0,0,0,10,8,0,5,0,15,0,11,5,15,2,1,7,0,11,2,0,0,10,1,2,8,4,0,1,13,14,0,0,3,12,2,6,10,19,6,18,13,22,21,3,0,0,2,17,2
4,0,1,2,3,1,3,5,5,3,0,0,12,0,1,0,9,0,13,0,11,0,0,9,0,18,3,1,6,0,5,0,2,0,5,0,1,2,2,1,3,0,0,0,14,25,5,2,3,3,1,9,22,1,4,0,1,9,0,1,4,7,0,7,1,1,7,18,8,8,0,2,14,1,1,1,6,0,3,9,0,1,1,0,0,0,5,5,9,0,2,1,0,1,0,3,1,1,21,0,2,0,6,11,1,6,1,15,1,6,0,1,1,2,4,0,0,2,0,1,1,4,2,11,1,9,8,0,2,0,2,0,17,1,1,4,2,0,3,9,9,0,0,4,11,0,1,8,7,2,30,2,8,10,1,0,0,0,9,6
2,1,11,11,2,7,1,6,0,1,6,1,0,1,0,12,2,24,1,0,4,3,1,3,2,2,12,3,3,0,7,1,3,0,0,3,13,0,3,6,6,5,11,11,4,7,10,0,2,0,5,0,1,8,8,2,3,1,1,1,1,1,8,4,4,2,0,1,1,9,2,10,2,3,4,6,9,3,3,3,5,6,1,3,1,9,0,1,2,10,1,6,8,22,3,0,3,2,1,10,0,0,2,3,2,4,1,0,3,2,2,3,0,9,2,1,0,0,8,2,0,0,2,2,10,4,2,5,0,12,1,3,0,5,5,5,12,5,5,0,0,3,1,6,1,9,0,2,1,0,0,1,1,1,3,7,3,10,3,5
5,4,6,10,0,46,0,2,5,2,10,4,1,0,12,0,0,5,2,0,6,13,1,1,10,1,29,6,6,0,8,0,0,4,0,16,10,0,5,2,8,8,3,8,0,9,7,0,1,0,8,1,1,3,11,0,1,1,2,2,2,0,5,1,7,5,1,0,1,4,0,0,7,12,12,1,1,1,2,2,7,13,13,0,31,1,0,3,0,28,0,5,3,7,20,1,24,2,2,59,1,18,0,6,5,1,22,0,0,10,18,1,2,6,0,0,13,5,19,1,1,1,1,0,26,3,2,3,3,17,0,8,0,17,8,5,5,13,0,1,0,16,1,10,0,32,0,1,0,8,0,1,1,0,1,4,10,2,2,3
1,0,0,0,20,0,7,4,34,4,3,0,5,9,2,0,0,2,15,2,6,1,0,13,2,4,3,3,21,1,5,2,8,0,6,0,1,2,7,6,14,0,6,0,10,26,10,2,8,3,1,7,4,0,2,2,8,10,4,1,8,2,5,5,8,2,8,8,7,8,6,9,10,5,3,6,8,0,3,21,3,1,2,9,3,2,3,3,4,0,2,11,6,3,0,1,3,6,30,2,7,0,12,6,1,8,1,2,14,2,0,0,2,1,4,0,5,8,2,9,5,7,1,10,4,5,1,2,2,2,2,1,6,0,4,12,0,0,9,8,5,0,0,1,6,6,6,1,7,12,15,12,6,7,1,1,2,3,10,10
6,1,5,11,0,6,0,8,1,3,7,1,0,0,24,5,2,0,0,0,1,8,4,1,6,0,28,2,5,0,9,2,1,0,0,7,12,0,6,0,5,0,6,5,0,2,0,0,1,2,10,1,0,11,12,0,0,3,5,2,2,0,1,0,4,0,0,0,0,1,1,5,2,9,5,1,0,7,0,0,14,5,0,0,2,6,1,4,1,12,0,0,3,4,5,0,12,2,0,16,0,9,0,3,8,0,12,0,1,2,6,2,0,5,0,0,7,1,12,0,7,1,0,0,28,2,1,4,0,19,1,21,0,17,2,15,7,5,0,0,0,2,2,38,1,12,0,1,1,0,1,0,0,1,7,9,5,4,2,2
0,0,0,1,6,1,17,0,23,1,2,2,18,13,1,2,15,0,0,2,12,0,1,25,0,8,3,0,3,0,3,0,3,0,35,0,0,4,8,7,4,0,4,0,9,42,8,7,0,10,0,17,15,0,6,3,0,24,1,13,3,9,9,9,1,3,2,32,9,9,0,6,18,0,5,8,1,0,19,26,0,0,0,5,1,0,16,9,17,1,5,5,2,3,1,11,0,0,22,0,24,0,20,8,0,6,0,28,4,2,0,1,0,0,9,5,0,4,0,22,5,7,3,22,1,16,15,0,7,0,4,1,17,0,2,11,0,0,2,15,22,0,0,1,6,1,18,18,12,10,16,20,15,24,2,0,0,0,15,8
0,0,2,1,4,0,8,0,0,13,2,0,1,0,0,0,2,0,2,0,0,0,0,12,0,5,0,1,5,1,2,1,6,0,0,0,1,78,3,5,21,0,1,1,2,6,12,3,0,4,0,1,3,0,3,0,4,2,1,8,1,0,0,3,0,5,13,1,10,15,7,1,3,1,4,8,3,0,1,5,0,0,2,8,0,0,4,0,0,0,32,5,0,1,0,79,0,3,0,0,18,0,8,1,0,1,0,0,4,3,1,2,7,2,2,10,2,8,0,6,1,2,2,2,0,9,0,1,18,0,5,0,0,0,1,3,0,0,7,3,7,0,0,0,3,3,2,0,0,2,1,9,5,2,0,0,0,2,3,3
