Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant76,Ant99,Ant102,Ant148,Ant158,Ant161,Ant191,Ant202,Ant209,Ant227,Ant237,Ant252,Ant268,Ant278,Ant311,Ant329,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant68,Ant80,Ant91,Ant96,Ant97,Ant98,Ant100,Ant105,Ant109,Ant112,Ant114,Ant126,Ant137,Ant140,Ant142,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant219,Ant220,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant332,Ant342,Ant356,Ant394,Ant395,Ant398,Ant400,Ant433,Ant437,Ant458,Ant476,Ant492,Ant502,Ant507,Ant509,Ant527,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant635,Ant638,Ant647,Ant650,Ant665
0,26,10,1,7,11,10,9,3,1,7,4,12,5,7,10,1,13,18,12,12,4,6,16,0,9,2,14,30,0,7,17,6,4,0,4,32,0,3,2,5,2,6,31,5,7,15,20,7,5,2,9,14,6,5,20,3,5,22,6,10,6,5,15,18,9,26,3,10,3,0,16,29,14,43,3,0,0,9,1,18,1,0,13,0,0,4,4,0,12,9,9,9,4,8,6,4,19,7,12,17,10,2,13,4,3,0,29,8,3,1,3,7,7,15,4,1,2,5,13,2,6,7,4,7,0,10,0,5,44,14
26,0,12,0,7,43,13,8,5,5,6,0,7,5,5,10,3,5,17,13,9,5,10,19,0,14,9,17,22,0,14,22,3,5,4,19,28,0,1,15,3,4,0,36,10,13,5,21,1,6,8,7,9,23,0,17,1,1,3,5,12,5,16,9,8,4,28,0,4,0,0,7,81,42,34,1,0,0,10,3,3,1,1,11,5,0,2,13,1,9,18,16,14,5,8,9,8,22,10,6,20,4,2,5,7,16,2,34,17,4,0,3,10,13,8,9,1,0,2,3,9,13,0,0,26,0,2,3,2,17,23
10,12,0,1,0,11,9,7,0,0,11,2,2,13,1,9,0,4,5,13,5,0,0,17,0,20,2,1,3,3,1,6,0,0,0,13,9,0,0,6,0,4,0,13,17,0,12,4,0,2,0,17,10,23,0,9,0,2,8,0,11,0,6,6,6,0,11,0,10,2,0,1,19,9,15,0,0,0,2,0,1,0,0,5,1,0,3,2,0,2,10,4,21,1,1,5,2,7,20,7,0,0,0,4,1,1,0,14,4,0,0,6,0,5,22,1,0,1,1,11,1,0,0,9,5,0,3,0,14,24,9
1,0,1,0,2,7,3,0,27,7,0,0,1,1,4,1,7,1,4,1,0,12,2,3,1,3,1,1,0,2,8,2,11,13,2,0,8,0,4,1,2,0,6,1,0,2,0,3,4,8,12,0,0,0,4,0,1,0,1,10,0,4,2,4,0,11,5,4,0,2,2,1,1,11,3,2,1,0,1,3,1,2,0,1,9,3,6,16,0,2,7,0,6,0,1,1,0,0,0,1,0,6,4,3,0,11,5,0,7,4,1,1,4,0,1,1,3,31,10,0,22,15,4,0,10,6,0,14,0,3,16
7,7,0,2,0,22,18,8,1,13,6,2,0,14,9,7,1,14,3,4,0,4,3,17,0,13,8,12,8,3,0,21,7,2,3,0,5,0,8,13,3,3,0,7,1,31,5,1,7,1,3,20,0,2,19,7,3,4,3,5,0,6,1,10,3,12,0,2,6,3,1,4,5,3,34,12,0,0,2,2,14,1,6,8,5,3,4,7,0,3,4,6,5,4,3,13,0,4,3,5,4,3,2,18,5,6,8,0,1,7,3,16,3,3,4,0,0,10,2,0,7,3,11,0,9,1,3,2,9,1,0
11,43,11,7,22,0,19,19,14,7,2,3,13,7,18,7,31,8,16,22,6,14,3,29,18,9,22,11,9,15,11,21,35,16,47,9,22,0,21,11,7,6,16,25,10,27,14,9,18,10,12,8,8,10,11,5,11,15,5,20,9,37,25,9,16,20,10,25,18,11,16,23,22,21,23,13,10,0,5,27,15,10,25,22,9,21,20,23,10,5,23,22,15,8,15,11,6,9,10,16,21,12,41,15,13,8,15,21,7,7,15,33,11,17,5,12,21,11,10,9,16,12,35,19,18,6,5,15,8,14,7
10,13,9,3,18,19,0,9,7,4,20,6,8,6,20,11,4,9,12,11,13,0,5,36,1,12,5,11,19,2,2,13,4,5,3,7,40,0,8,6,2,2,4,26,20,7,9,1,0,10,4,9,17,17,1,12,7,2,4,7,6,6,2,13,16,15,34,1,10,1,1,3,21,7,12,1,0,0,17,6,10,1,6,2,8,4,7,12,2,9,27,6,10,8,17,10,6,18,5,12,10,9,4,20,6,13,1,8,13,4,4,18,10,11,27,11,1,2,10,13,8,11,3,13,17,2,14,2,6,32,16
9,8,7,0,8,19,9,0,1,7,6,4,0,14,2,6,3,2,7,0,3,6,0,6,0,9,3,5,11,0,6,7,0,0,0,6,9,0,0,7,1,6,0,13,1,3,7,2,0,0,0,5,5,7,0,4,0,2,3,9,0,0,3,8,0,3,12,8,0,0,0,1,14,17,4,3,2,0,4,1,7,1,5,0,1,0,0,10,0,9,0,8,18,13,15,17,6,10,1,2,2,1,3,12,2,0,0,8,1,2,2,0,4,14,11,4,0,0,1,0,1,0,5,2,0,0,1,0,7,60,1
3,5,0,27,1,14,7,1,0,1,0,7,3,2,16,1,12,2,9,0,4,13,5,8,0,1,0,2,4,0,5,8,10,2,1,1,12,0,0,2,3,3,3,3,1,6,0,5,1,6,12,2,2,5,16,4,1,1,4,12,2,5,4,5,9,8,16,3,0,0,0,3,3,18,4,0,0,0,2,3,4,1,0,4,14,0,4,19,0,7,6,0,5,0,8,10,1,1,1,1,5,28,0,5,1,6,3,0,11,6,9,0,3,7,1,0,6,3,14,3,51,14,9,3,11,6,0,16,0,9,10
1,5,0,7,13,7,4,7,1,0,4,4,0,2,6,4,23,3,1,1,1,26,5,6,23,1,3,2,0,7,1,3,29,6,14,2,2,20,48,1,7,12,21,6,0,9,0,0,10,4,4,0,2,1,5,1,13,2,1,27,0,22,3,2,0,15,0,9,3,3,25,29,0,3,1,11,9,17,2,27,41,4,18,1,6,4,3,11,8,4,1,3,0,16,16,3,2,1,1,1,13,2,27,4,1,6,12,0,0,12,14,3,3,0,0,1,21,4,4,1,8,6,30,0,4,14,7,0,0,3,0
