Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant252,Ant954,Ant27,Ant44,Ant49,Ant51,Ant97,Ant117,Ant170,Ant176,Ant242,Ant256,Ant262,Ant263,Ant264,Ant299,Ant305,Ant356,Ant391,Ant475,Ant476,Ant502,Ant592,Ant593,Ant599,Ant638,Ant650
0,7,2,16,4,14,1,6,2,2,0,2,1,6,17,4,1,8,0,16,11,3,4,0,8,7,1,4,14,0,3,4,3,51,21
7,0,7,14,9,0,1,4,17,7,19,22,5,5,3,15,7,4,16,0,17,2,5,37,2,13,13,19,1,9,2,8,6,3,5
2,7,0,6,3,0,0,2,15,0,0,45,11,0,10,7,6,3,11,0,2,3,0,13,6,4,17,10,0,21,2,2,10,3,1
16,14,6,0,26,2,3,0,9,6,1,10,3,18,5,13,9,4,9,4,3,12,0,10,6,10,6,10,2,1,6,12,14,14,8
4,9,3,26,0,0,1,5,26,13,13,37,15,3,3,11,7,8,11,3,3,13,6,4,3,15,2,11,1,4,29,9,14,2,2
14,0,0,2,0,0,1,0,1,2,0,1,0,1,2,1,1,3,1,0,1,1,0,1,4,0,0,3,0,1,0,1,0,3,3
1,1,0,3,1,1,0,7,0,0,0,0,0,0,2,1,0,4,1,24,1,1,1,7,12,0,0,0,0,0,0,0,2,2,0
6,4,2,0,5,0,7,0,3,4,0,2,0,3,7,7,1,6,9,16,0,12,2,0,8,2,0,5,1,0,6,4,7,3,4
2,17,15,9,26,1,0,3,0,17,2,23,21,4,5,23,11,12,13,1,12,29,4,10,2,13,13,11,3,1,12,0,2,0,3
2,7,0,6,13,2,0,4,17,0,16,30,17,8,3,4,18,14,24,5,5,5,10,10,1,11,12,7,2,9,26,7,14,2,1
0,19,0,1,13,0,0,0,2,16,0,16,7,7,4,24,1,8,5,2,1,2,4,28,4,11,46,5,0,0,6,0,9,1,0
2,22,45,10,37,1,0,2,23,30,16,0,26,10,1,6,15,6,15,0,2,26,5,7,1,22,9,28,1,7,34,17,5,3,3
1,5,11,3,15,0,0,0,21,17,7,26,0,0,4,19,8,2,3,0,3,9,5,26,2,6,1,12,0,4,32,13,7,0,0
6,5,0,18,3,1,0,3,4,8,7,10,0,0,1,7,0,2,8,4,3,4,6,4,0,1,0,14,8,0,12,4,4,1,3
17,3,10,5,3,2,2,7,5,3,4,1,4,1,0,22,10,6,2,1,6,0,5,1,2,9,6,6,4,0,5,2,7,6,9
4,15,7,13,11,1,1,7,23,4,24,6,19,7,22,0,26,20,39,9,2,10,2,23,4,10,38,11,0,9,22,11,16,3,2
1,7,6,9,7,1,0,1,11,18,1,15,8,0,10,26,0,9,7,0,5,6,4,6,3,6,3,15,1,0,5,3,4,1,3
8,4,3,4,8,3,4,6,12,14,8,6,2,2,6,20,9,0,5,4,3,7,5,7,0,9,7,3,5,1,8,13,2,5,12
0,16,11,9,11,1,1,9,13,24,5,15,3,8,2,39,7,5,0,1,8,17,4,21,2,26,72,9,2,1,4,2,10,3,0
16,0,0,4,3,0,24,16,1,5,2,0,0,4,1,9,0,4,1,0,1,0,1,0,48,2,0,2,0,0,0,1,2,7,14
11,17,2,3,3,1,1,0,12,5,1,2,3,3,6,2,5,3,8,1,0,1,4,1,0,4,0,3,1,1,8,5,4,6,10
3,2,3,12,13,1,1,12,29,5,2,26,9,4,0,10,6,7,17,0,1,0,4,9,5,7,10,5,0,0,2,1,4,0,3
4,5,0,0,6,0,1,2,4,10,4,5,5,6,5,2,4,5,4,1,4,4,0,8,1,2,1,6,1,5,2,0,1,2,6
0,37,13,10,4,1,7,0,10,10,28,7,26,4,1,23,6,7,21,0,1,9,8,0,1,16,44,24,3,10,18,3,13,0,0
8,2,6,6,3,4,12,8,2,1,4,1,2,0,2,4,3,0,2,48,0,5,1,1,0,9,7,13,0,1,2,6,8,3,4
7,13,4,10,15,0,0,2,13,11,11,22,6,1,9,10,6,9,26,2,4,7,2,16,9,0,13,12,1,5,8,2,7,0,0
1,13,17,6,2,0,0,0,13,12,46,9,1,0,6,38,3,7,72,0,0,10,1,44,7,13,0,3,0,10,6,3,11,5,0
4,19,10,10,11,3,0,5,11,7,5,28,12,14,6,11,15,3,9,2,3,5,6,24,13,12,3,0,5,19,3,3,11,5,2
14,1,0,2,1,0,0,1,3,2,0,1,0,8,4,0,1,5,2,0,1,0,1,3,0,1,0,5,0,0,0,0,1,5,4
0,9,21,1,4,1,0,0,1,9,0,7,4,0,0,9,0,1,1,0,1,0,5,10,1,5,10,19,0,0,5,0,0,0,0
3,2,2,6,29,0,0,6,12,26,6,34,32,12,5,22,5,8,4,0,8,2,2,18,2,8,6,3,0,5,0,12,1,6,3
4,8,2,12,9,1,0,4,0,7,0,17,13,4,2,11,3,13,2,1,5,1,0,3,6,2,3,3,0,0,12,0,4,3,14
3,6,10,14,14,0,2,7,2,14,9,5,7,4,7,16,4,2,10,2,4,4,1,13,8,7,11,11,1,0,1,4,0,3,0
51,3,3,14,2,3,2,3,0,2,1,3,0,1,6,3,1,5,3,7,6,0,2,0,3,0,5,5,5,0,6,3,3,0,26
21,5,1,8,2,3,0,4,3,1,0,3,0,3,9,2,3,12,0,14,10,3,6,0,4,0,0,2,4,0,3,14,0,26,0
