Ant4,Ant5,Ant59,Ant540,Ant929,Ant2,Ant6,Ant19,Ant24,Ant25,Ant73,Ant148,Ant158,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant838,Ant954,Ant1,Ant17,Ant27,Ant32,Ant44,Ant49,Ant51,Ant62,Ant71,Ant96,Ant97,Ant115,Ant117,Ant120,Ant140,Ant153,Ant170,Ant176,Ant210,Ant217,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant289,Ant298,Ant299,Ant305,Ant320,Ant326,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant507,Ant530,Ant564,Ant592,Ant593,Ant599,Ant607,Ant632,Ant638,Ant647,Ant650
0,2,10,0,6,0,1,3,1,1,7,1,9,0,2,1,3,5,9,7,4,11,8,2,21,1,1,16,5,2,1,8,1,0,0,4,1,4,0,2,3,0,0,12,5,1,16,7,29,1,5,16,1,2,14,2,8,1,23,10,0,11,1,5,3,0,0,8,0,3,2,0,0
2,0,0,3,0,17,0,2,1,6,4,4,3,10,11,0,1,2,1,1,11,0,1,13,0,3,5,3,1,6,11,0,10,1,0,12,5,21,2,4,8,4,0,0,1,12,0,0,2,0,24,4,2,5,2,8,3,7,3,2,5,0,12,0,2,1,3,3,1,1,30,3,6
10,0,0,11,6,1,13,4,4,3,1,0,5,0,0,1,8,9,8,7,8,3,2,0,3,24,1,6,0,6,0,13,6,2,11,3,2,6,3,1,3,1,10,18,6,1,2,4,8,3,3,7,6,0,8,3,11,12,1,19,5,13,1,8,12,3,3,15,4,3,1,0,0
0,3,11,0,7,23,10,5,4,4,20,1,11,0,3,3,17,2,18,5,32,1,18,3,1,2,7,6,1,22,11,10,14,5,3,19,4,5,4,3,12,1,8,6,5,4,3,6,11,7,9,2,11,5,5,9,3,5,4,11,5,2,5,2,4,15,11,8,11,11,14,4,11
6,0,6,7,0,3,2,8,0,0,2,3,4,0,0,0,1,5,5,7,0,1,4,2,0,4,0,0,4,1,2,3,0,0,6,1,2,1,2,0,1,1,6,5,17,3,12,3,1,2,0,8,4,0,0,0,0,1,0,3,0,16,2,0,0,1,0,0,1,0,0,1,1
0,17,1,23,3,0,1,4,0,18,34,17,21,0,6,4,3,12,5,1,34,0,6,22,4,4,11,10,3,18,16,2,20,21,0,10,15,13,2,6,10,24,3,2,2,13,1,1,3,3,14,1,8,25,3,50,1,0,0,3,7,0,15,5,6,11,20,2,22,14,37,12,33
1,0,13,10,2,1,0,3,10,9,11,0,3,0,1,10,7,7,3,6,3,0,4,2,4,5,4,23,0,3,4,12,1,2,9,10,1,5,11,2,6,5,0,0,19,0,0,7,12,15,9,12,5,0,2,0,6,18,1,13,0,7,1,5,10,4,0,16,1,1,4,0,2
3,2,4,5,8,4,3,0,3,1,5,7,13,0,0,3,3,12,10,6,11,2,4,0,20,6,2,6,0,2,9,10,3,1,5,10,1,4,5,5,3,2,4,17,19,2,2,2,4,12,4,16,13,3,6,1,6,8,1,21,0,17,3,8,15,3,1,3,6,10,12,0,7
1,1,4,4,0,0,10,3,0,0,13,0,0,0,0,0,6,11,12,2,8,3,23,0,4,5,3,13,20,1,0,13,7,0,11,19,1,7,5,9,0,1,4,27,6,0,1,18,11,5,3,4,11,1,13,1,48,33,37,8,3,1,3,22,7,5,2,13,1,1,1,1,1
1,6,3,4,0,18,9,1,0,0,18,13,13,0,0,12,5,21,4,2,9,4,8,0,1,5,16,11,1,15,10,12,5,10,6,23,3,7,4,16,16,11,0,5,2,8,3,6,2,2,21,8,18,3,10,18,5,1,16,5,4,3,3,19,6,8,11,16,2,17,7,8,23
7,4,1,20,2,34,11,5,13,18,0,2,8,0,2,4,10,5,12,4,19,2,17,3,6,9,11,10,5,10,6,7,0,21,7,10,4,6,2,8,17,15,10,1,9,9,0,7,7,9,13,3,4,4,2,30,6,3,0,24,3,8,6,6,2,10,18,6,4,2,6,19,45
