Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant25,Ant26,Ant30,Ant38,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant91,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant149,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,0,0,3,3,2,10,19,14,0,2,0,17,0,1,0,0,0,0,3,0,2,0,0,3,1,0,6,0,1,0,6,4,0,0,0,1,10,0,10,6,1,3,0,4,0,14,2,30,0,9,0,0,0,46,0,3,1,1,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,2,4,3,5,0,0,0,25,16,0,0,0,0,0,0,0,0,6,0,0,30,1,5,16,0,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,11,0,1,0,6,0,0,0,1
0,0,1,0,2,3,1,0,0,44,1,60,4,0,3,13,0,28,6,0,1,2,0,34,3,1,6,0,7,54,17,21,1,4,6,4,3,2,2,0,3,4,29,0,2,6,2,0,0,8,3,7,3,4,0,9,1,2,41,9,1,3,12,1,0,24,8,0,20,0,0,0,7,42,0,9,5,0,1,0,7,26,0,3,1,0,50,7,0,0,0,2,3,8,3,27,0,0,11,2,0,14,19,1,7,1,0,12,0,0,0,0,21,5,7,15,0,1,11,0,2,2,2,9,2,11,2,1,0,3,17,0,0
0,1,0,0,4,3,4,16,1,0,17,1,3,0,4,4,16,23,2,6,1,0,18,0,24,19,13,6,4,1,1,15,1,1,3,9,1,0,1,18,0,8,2,0,4,2,2,3,19,0,2,1,25,0,1,0,13,11,0,1,0,3,33,24,0,3,0,5,3,0,9,5,7,2,0,0,0,2,11,0,1,2,4,0,8,21,4,4,0,0,2,9,0,3,0,0,15,0,1,0,0,3,1,1,8,7,8,3,1,0,0,0,0,9,0,12,0,2,0,1,10,1,1,6,6,0,14,0,4,14,1,2,0
3,0,0,0,1,4,5,6,22,1,0,0,6,0,1,0,7,0,0,4,0,10,1,0,2,2,0,4,1,1,0,2,19,0,0,1,1,1,0,2,6,8,2,0,2,0,7,2,4,0,0,0,13,0,9,0,4,0,0,0,0,1,2,11,0,0,0,3,0,0,1,1,0,1,15,0,0,0,23,0,0,0,7,6,1,16,5,14,0,0,4,10,0,0,0,0,6,0,1,1,9,1,0,11,6,1,7,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,3,0,1,20,3,0,0,3
3,2,4,1,0,0,0,9,2,1,7,1,11,0,5,1,1,2,0,3,0,1,2,0,4,11,0,2,17,1,0,6,3,0,3,9,1,3,1,1,2,3,8,3,7,0,12,2,12,0,2,0,2,0,0,0,12,5,5,0,4,4,2,0,0,1,0,0,3,0,0,1,7,6,0,11,0,0,2,0,7,2,2,1,6,1,0,5,0,0,5,0,0,3,0,0,8,0,0,1,0,0,0,1,2,1,3,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,12,4,3,0,0,7,21,0,1,2
2,3,3,4,0,0,5,21,16,5,2,0,0,0,14,0,15,0,0,3,6,8,2,0,3,0,4,10,2,0,1,9,24,0,1,5,4,1,2,1,15,5,6,0,2,0,0,15,2,0,9,0,5,1,16,0,1,4,0,0,0,2,7,15,0,0,1,19,1,0,1,3,6,0,16,10,0,0,9,0,16,0,13,2,1,8,0,16,0,0,2,25,0,9,0,0,2,0,0,0,3,1,0,33,4,16,24,2,0,0,0,0,2,3,0,2,0,0,2,0,5,0,0,5,3,2,0,5,1,5,2,0,7
10,1,4,5,0,5,0,33,32,3,2,8,6,0,9,2,10,0,0,0,0,6,1,1,2,4,16,2,0,5,0,7,0,11,1,19,5,0,2,10,5,6,12,0,2,5,5,3,6,0,22,0,4,5,15,2,15,4,2,0,0,0,6,9,1,6,0,1,1,0,0,8,2,10,7,0,2,0,2,1,3,0,21,3,4,0,5,23,0,0,5,5,1,2,1,7,11,0,1,1,1,2,0,20,2,2,10,0,5,0,0,0,1,12,0,8,2,0,0,0,4,0,3,0,5,3,1,0,2,0,3,1,16
19,0,16,6,9,21,33,0,22,8,6,1,9,0,20,0,19,4,0,1,0,7,3,1,3,8,2,7,5,0,0,12,5,4,0,13,1,2,1,3,23,6,6,1,3,0,3,7,9,0,22,0,7,1,42,6,11,0,1,1,2,10,10,8,0,3,0,8,3,0,0,2,3,1,11,4,1,0,4,0,3,0,26,3,3,5,3,17,0,0,0,23,0,7,0,0,11,0,0,0,4,3,0,3,6,0,5,0,1,0,0,0,2,0,2,12,0,0,0,0,11,1,0,3,9,2,1,2,3,3,0,2,1
14,0,1,22,2,16,32,22,0,5,9,0,0,0,12,0,13,0,0,0,0,7,1,0,0,1,1,2,1,1,0,22,6,0,0,2,2,1,0,10,9,7,6,0,1,0,9,0,3,0,8,0,6,0,20,3,6,0,3,0,0,2,17,3,0,0,1,6,1,0,1,1,4,0,11,3,0,0,13,0,2,0,48,3,6,5,1,7,0,0,4,5,0,4,0,0,7,0,0,1,2,1,0,7,2,1,2,0,3,0,0,0,2,2,0,2,0,0,1,0,6,0,1,0,6,11,4,0,0,14,0,0,2
0,44,0,1,1,5,3,8,5,0,4,13,7,0,5,11,6,7,14,2,3,4,7,14,7,7,30,6,6,20,2,28,4,2,8,22,9,3,4,0,0,8,31,6,3,4,21,2,2,1,1,4,3,5,0,16,9,5,28,5,2,21,12,4,8,11,1,22,8,0,5,2,13,3,0,11,3,16,0,2,21,1,6,10,7,1,8,2,6,0,0,4,6,11,3,5,2,0,32,2,2,26,3,3,10,3,7,2,1,0,0,5,7,4,5,24,23,0,10,1,12,4,9,11,1,19,1,23,1,1,2,7,7
