Ant4,Ant260,Ant52,Ant65,Ant244,Ant397,Ant540,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant210,Ant215,Ant219,Ant220,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant501,Ant509,Ant556,Ant560,Ant564,Ant576,Ant580,Ant599,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
0,17,5,22,0,2,0,11,37,0,3,22,1,3,1,0,0,20,11,0,0,11,6,0,6,1,0,0,0,0,2,2,0,7,2,5,0,1,2,0,9,0,0,6,10,3,0,17,0,6,0,10,3,4,0,3,1,6,4,3,8,15,0,2,1,3,0,8,1,6,0,9,20,0,1,2,9,1,7,0,10,12,7,1,0,15,6,1,0,0,1,19,0,13,0,0,29,0,5,1,18,1,0,19,5,36,0,1,0,0,0,0,0,7,20,3
17,0,9,18,0,16,0,31,6,5,12,10,10,1,6,0,0,12,13,0,2,21,1,0,21,23,5,0,0,0,13,35,1,12,9,14,4,5,1,5,18,0,1,28,3,5,2,26,6,0,3,33,8,9,3,7,3,16,9,5,9,36,0,4,4,3,4,15,6,15,1,4,27,0,1,11,1,3,17,0,0,16,27,3,2,23,20,13,1,14,8,28,2,16,2,5,13,0,29,4,10,11,0,11,12,14,1,0,0,2,1,0,7,19,33,16
5,9,0,0,0,6,1,6,0,4,10,6,1,21,15,0,2,5,7,0,2,7,8,0,7,4,3,0,0,0,1,10,0,1,23,12,1,10,7,2,10,1,1,9,0,20,5,8,0,6,1,8,19,16,9,22,0,4,10,3,0,7,0,8,5,12,3,7,0,14,1,4,3,1,8,5,4,0,10,0,0,4,4,2,12,10,5,7,5,5,1,2,0,4,0,2,0,1,0,7,6,7,0,2,15,3,1,4,1,12,0,5,3,11,17,14
22,18,0,0,0,0,0,10,53,0,0,15,0,3,0,0,0,15,10,0,0,11,0,0,2,0,2,0,0,0,0,0,0,11,0,7,0,0,0,0,5,0,0,2,45,0,0,5,0,0,0,23,1,0,0,0,1,0,0,16,21,8,0,3,0,0,1,0,1,3,0,12,7,0,0,0,12,0,12,0,8,24,12,1,0,8,10,2,1,0,0,20,0,22,0,0,21,0,0,12,11,1,0,14,2,25,0,0,0,0,0,0,0,2,0,2
0,0,0,0,0,1,6,0,0,1,1,0,0,12,1,3,0,0,0,0,36,2,3,0,3,3,0,2,0,2,0,0,0,1,0,3,0,0,2,3,1,3,2,0,0,14,8,0,0,0,2,2,0,1,4,1,0,0,11,0,0,0,4,3,4,3,4,0,1,0,1,0,0,0,1,3,0,3,1,0,0,3,1,0,0,0,0,2,25,1,3,0,0,0,4,2,3,5,0,0,0,0,10,0,0,0,1,2,1,0,0,2,5,0,0,0
2,16,6,0,1,0,1,5,0,11,7,1,0,4,10,4,0,19,9,1,0,11,3,0,11,4,23,2,0,0,9,2,0,2,8,4,0,1,2,0,14,1,1,6,0,0,4,0,0,5,0,1,3,7,12,4,6,11,6,3,0,19,0,0,2,0,2,3,5,1,3,13,5,1,1,2,4,1,15,0,0,1,3,3,0,3,10,3,2,2,1,1,0,8,27,7,9,0,9,0,0,4,12,5,24,2,0,9,5,0,0,4,6,2,1,8
0,0,1,0,6,1,0,0,0,1,1,0,0,5,2,2,3,3,0,7,5,2,1,0,2,0,1,1,0,3,0,0,3,0,1,3,3,0,10,3,0,7,4,2,0,3,9,0,2,0,2,0,1,10,13,0,0,2,2,4,0,0,6,1,12,0,27,6,0,0,2,0,3,3,4,1,4,1,2,0,0,0,1,10,4,1,0,4,3,3,2,0,8,1,2,6,0,1,0,0,1,1,22,0,1,0,10,1,2,0,25,10,9,0,0,7
11,31,6,10,0,5,0,0,46,0,2,22,7,2,1,0,0,12,4,0,0,9,1,0,15,4,10,0,0,0,2,8,0,8,3,4,0,0,1,0,12,0,0,23,2,4,0,11,0,4,0,14,2,1,0,1,2,6,1,3,12,13,0,0,1,1,0,14,1,4,0,5,11,0,2,1,2,0,7,0,1,21,19,0,0,9,11,2,4,2,0,20,0,27,0,0,4,0,8,2,27,1,0,38,4,10,0,0,0,0,0,2,3,16,44,9
37,6,0,53,0,0,0,46,0,0,0,15,0,0,0,0,0,39,22,0,0,41,0,4,1,0,0,0,0,0,0,4,0,20,3,0,0,0,0,0,36,0,0,10,13,0,0,16,0,0,0,27,0,0,0,0,0,0,0,1,8,6,0,0,0,0,0,0,0,1,0,5,0,0,0,0,60,0,5,0,27,161,0,0,0,20,6,0,0,0,0,102,0,78,0,0,28,0,0,3,7,0,0,46,0,3,0,3,0,0,0,0,0,1,30,6
0,5,4,0,1,11,1,0,0,0,4,2,18,1,11,1,0,3,6,0,1,4,6,0,8,6,17,1,0,0,2,9,0,1,10,3,5,2,0,2,6,1,3,3,0,0,0,1,4,0,5,3,18,5,7,24,11,3,5,2,11,7,2,3,7,0,3,1,1,11,15,0,5,2,4,5,6,0,4,0,0,2,2,3,0,4,3,2,23,1,9,3,0,8,6,0,3,3,3,0,4,4,4,2,6,0,0,0,0,2,0,1,0,2,0,19
