Ant4,Ant260,Ant52,Ant65,Ant244,Ant397,Ant540,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant210,Ant215,Ant219,Ant220,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant501,Ant509,Ant556,Ant560,Ant564,Ant576,Ant580,Ant599,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
17,17,3,8,0,0,0,4,20,3,1,0,1,2,1,0,0,2,10,1,0,9,0,1,6,3,5,1,0,0,7,1,4,12,3,4,0,1,1,0,3,0,0,1,9,3,2,10,1,2,0,23,0,7,4,1,9,3,1,17,8,4,0,5,0,0,0,13,0,10,3,13,0,0,1,6,16,1,14,0,9,7,4,1,0,4,7,1,1,0,0,21,2,13,3,1,21,0,3,5,10,2,3,9,0,21,0,2,0,0,0,1,0,11,16,16
9,34,19,3,0,3,2,6,0,2,4,1,0,3,1,0,0,14,10,0,2,28,9,0,0,4,5,0,0,0,9,5,2,3,12,4,2,2,0,0,12,0,1,15,5,2,1,5,0,5,0,12,5,9,5,11,1,12,3,9,10,29,0,3,8,3,0,5,0,1,0,4,16,2,17,13,6,15,4,0,2,18,5,1,0,4,7,1,1,5,0,4,0,50,10,2,7,3,2,30,0,0,0,23,17,0,0,0,0,0,3,0,4,8,1,12
3,5,4,1,3,2,2,0,0,3,1,2,3,0,9,8,5,1,1,5,3,2,3,0,3,12,1,0,0,3,1,1,29,2,3,3,6,7,13,6,2,3,10,5,7,5,1,2,8,11,3,1,3,11,7,7,0,3,4,2,0,7,8,7,15,3,6,0,1,0,0,0,2,8,1,8,0,12,4,0,0,0,3,8,9,0,0,5,10,5,7,4,0,3,9,4,1,1,6,4,0,1,12,6,2,0,6,0,0,5,11,2,3,5,2,8
0,9,0,3,5,14,1,1,0,15,2,1,1,9,0,9,3,0,3,5,2,2,4,0,3,6,9,5,0,0,0,3,9,0,30,6,7,24,15,7,3,5,1,8,1,16,13,3,6,3,10,2,18,16,8,10,3,1,15,27,9,7,3,5,11,32,9,2,8,2,12,3,2,4,3,11,2,5,19,0,12,4,5,9,3,2,5,11,11,7,3,3,0,3,9,11,2,4,6,2,0,3,5,5,0,0,5,7,2,7,2,8,9,3,11,12
0,2,0,0,1,3,0,0,0,1,7,0,0,8,9,0,5,0,0,16,5,1,5,0,3,1,9,2,0,0,0,5,5,1,2,6,13,6,18,2,0,9,36,3,0,4,4,1,3,0,1,2,5,10,13,6,18,0,15,1,1,3,5,0,5,1,5,1,2,4,1,4,6,3,6,6,1,18,6,0,0,1,2,4,1,2,0,5,1,1,4,2,1,2,5,1,3,3,1,0,0,1,2,1,3,0,4,0,2,5,14,2,3,0,0,7
0,0,0,0,7,5,0,0,0,0,0,0,0,5,3,5,0,0,0,29,56,1,5,0,0,0,0,7,0,0,0,4,4,0,0,1,4,4,6,0,0,18,0,0,0,4,3,3,1,0,3,0,0,6,11,3,0,0,15,0,0,0,5,2,3,2,1,3,0,0,9,0,6,4,20,2,1,12,1,0,2,0,2,0,15,0,0,0,0,5,10,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,2,8,3,15,5,1,0,0,5
21,18,11,5,0,12,0,11,30,5,3,2,14,1,0,0,0,0,10,0,0,11,6,0,12,3,1,0,0,0,11,16,0,8,8,6,1,0,0,0,8,0,0,16,7,5,0,11,1,16,0,13,0,2,0,8,3,10,0,4,14,9,0,2,0,5,0,8,4,6,0,0,0,0,1,0,8,0,8,0,6,10,0,0,0,12,14,1,0,2,0,10,0,35,0,1,23,1,0,11,10,2,0,8,3,8,0,0,0,0,0,0,1,8,14,5
9,34,4,15,0,3,2,6,30,1,0,10,10,1,3,0,0,10,0,1,0,16,3,0,1,4,2,0,0,0,5,1,1,6,4,12,0,0,1,1,6,0,0,20,2,3,0,8,3,9,0,10,2,6,2,2,4,6,0,5,11,27,0,4,0,1,0,6,4,8,0,6,2,0,0,4,11,0,4,0,13,35,7,0,0,16,16,4,1,2,1,17,0,15,5,1,11,0,1,6,33,4,0,18,11,4,0,0,0,0,0,0,2,7,3,9
2,5,3,0,1,10,10,1,0,7,31,1,0,5,5,16,29,0,1,0,5,2,1,0,8,2,3,0,1,1,3,3,2,7,0,10,30,3,6,3,1,30,6,3,0,5,8,1,4,3,4,2,5,3,5,14,6,6,12,3,0,0,30,8,2,1,7,0,0,0,2,0,6,8,3,16,0,20,3,0,0,2,2,3,2,0,5,13,10,10,1,1,8,1,3,5,2,15,3,1,0,0,1,3,7,0,7,9,1,5,2,2,6,4,0,4
3,2,1,0,3,2,11,2,0,0,6,0,2,3,2,5,56,0,0,5,0,0,6,0,1,3,3,3,0,1,1,6,2,1,1,7,10,0,14,1,4,2,7,2,0,7,3,0,3,4,5,0,2,3,3,4,7,0,7,0,5,0,4,1,10,4,0,2,2,2,3,0,5,7,5,6,0,11,5,0,2,0,2,5,2,0,2,0,4,10,2,0,30,0,17,5,2,3,2,0,0,0,0,2,1,0,22,1,1,11,6,0,2,4,0,7
