Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant76,Ant99,Ant102,Ant148,Ant158,Ant161,Ant191,Ant202,Ant209,Ant227,Ant237,Ant252,Ant268,Ant278,Ant311,Ant329,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant68,Ant80,Ant91,Ant96,Ant97,Ant98,Ant100,Ant105,Ant109,Ant112,Ant114,Ant126,Ant137,Ant140,Ant142,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant219,Ant220,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant332,Ant342,Ant356,Ant394,Ant395,Ant398,Ant400,Ant433,Ant437,Ant458,Ant476,Ant492,Ant502,Ant507,Ant509,Ant527,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant635,Ant638,Ant647,Ant650,Ant665
0,24,7,1,17,0,11,10,6,2,18,4,13,12,11,27,2,18,12,23,5,13,16,11,0,9,15,9,4,0,4,23,3,3,3,11,41,1,3,25,5,5,2,24,11,2,16,17,2,18,2,15,13,15,2,15,9,13,6,7,16,27,9,13,14,11,19,2,21,1,2,8,16,11,16,0,1,1,16,2,12,1,3,4,1,4,4,13,0,13,36,5,7,4,9,28,3,4,1,4,7,8,4,24,18,8,4,18,11,8,2,26,7,15,2,9,7,3,2,21,25,14,3,5,10,0,14,1,0,36,12
24,0,10,0,15,0,3,3,0,0,18,3,3,7,7,25,2,3,12,11,15,5,27,11,0,9,15,4,8,0,0,11,8,1,2,5,11,0,0,8,1,0,0,5,2,1,28,11,0,3,1,0,6,20,0,20,1,5,4,1,29,6,8,8,23,5,24,0,17,0,0,6,14,12,22,0,0,0,6,2,4,1,1,2,1,3,2,4,0,7,11,1,17,0,27,13,3,3,1,17,0,1,0,17,8,0,0,21,15,1,0,34,0,32,9,22,0,2,1,3,9,2,1,0,9,0,13,2,11,31,2
7,10,0,2,7,0,1,2,0,0,7,2,5,2,14,11,0,4,7,20,2,1,29,6,0,24,3,3,1,0,0,5,0,1,1,5,22,0,0,4,1,1,0,17,23,0,23,13,0,0,0,4,8,36,0,14,0,1,0,0,1,3,31,14,3,0,16,0,5,1,1,0,13,6,6,0,0,0,7,0,2,0,0,2,0,1,2,1,0,1,7,4,22,2,3,13,1,8,0,8,0,2,0,7,8,0,1,25,3,0,0,5,0,13,19,5,0,0,0,51,3,6,0,32,5,0,19,0,0,23,5
1,0,2,0,0,0,4,1,1,0,2,5,0,9,2,0,0,0,2,0,1,2,0,7,0,0,5,0,0,0,2,7,4,1,2,1,1,0,5,1,9,2,0,0,0,4,0,0,0,0,8,0,0,0,0,0,5,3,1,0,0,1,2,0,0,4,1,3,3,0,0,2,0,2,3,0,0,0,2,1,0,1,9,1,3,2,7,15,0,3,0,0,0,1,7,0,4,0,5,0,5,3,8,0,6,2,3,0,3,0,0,0,7,0,0,2,2,5,20,0,1,0,0,0,0,2,0,7,0,1,0
17,15,7,0,0,0,5,1,5,9,9,3,2,8,13,5,3,5,20,4,9,3,4,15,1,16,3,24,7,8,2,7,5,11,1,4,3,0,0,6,4,13,0,10,2,6,2,9,0,2,1,3,14,2,5,13,8,7,8,0,14,2,5,5,18,12,12,0,33,0,0,14,1,1,48,0,0,0,15,1,0,0,2,12,1,1,1,8,0,6,4,9,11,1,4,4,8,1,4,8,7,13,3,3,6,1,1,10,6,3,0,16,0,9,4,7,3,1,0,7,6,0,1,0,18,0,1,1,0,27,6
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,124,7,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,0,0,0,0,0,4,3,0,0,0,36,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,21,0,0,0,0,0
11,3,1,4,5,0,0,8,0,1,3,11,4,2,22,6,1,4,5,4,3,23,0,17,0,11,1,1,3,0,3,7,14,1,0,9,11,0,5,6,3,29,2,7,2,8,3,1,1,7,4,1,2,3,0,2,2,16,4,8,6,7,3,6,34,11,19,3,10,1,0,6,1,1,4,0,1,1,2,1,2,0,4,10,1,10,0,0,0,10,8,6,6,5,6,6,4,5,3,6,6,1,4,5,6,6,0,2,9,0,1,19,8,15,9,13,9,4,2,5,10,12,3,0,8,0,4,1,0,46,0
10,3,2,1,1,0,8,0,1,6,10,1,10,13,0,7,4,7,2,3,12,4,2,7,1,2,20,0,1,5,7,13,6,5,0,1,9,0,0,20,1,7,6,38,4,7,1,0,9,16,2,18,2,0,12,5,4,24,2,1,7,3,0,5,25,0,58,1,5,8,0,0,1,2,3,1,1,0,3,6,15,2,1,16,0,6,1,0,0,14,6,11,2,3,23,1,0,1,4,16,9,3,0,5,0,7,1,2,2,7,0,2,2,15,0,0,2,0,0,0,21,6,4,17,2,0,4,0,0,1,1
6,0,0,1,5,0,0,1,0,6,0,2,1,1,4,0,25,3,0,1,1,9,0,17,1,0,2,1,0,4,7,12,20,7,12,0,0,0,5,1,8,11,14,0,0,7,0,0,17,0,5,2,1,0,16,0,9,3,3,18,1,7,1,1,13,11,7,9,1,9,3,22,0,6,5,1,4,9,6,9,6,1,16,6,0,1,4,16,0,2,1,0,0,11,3,4,3,0,9,1,10,4,8,0,3,9,4,0,0,15,7,3,4,1,3,1,7,7,2,0,4,14,4,0,1,3,2,1,0,0,0
2,0,0,0,9,8,1,6,6,0,0,4,1,0,0,0,25,0,0,1,0,4,2,5,11,0,3,4,0,23,2,0,15,8,15,1,3,34,15,0,17,6,22,3,0,8,0,0,23,3,11,11,0,1,19,0,17,1,4,7,1,32,0,0,4,2,1,11,3,20,15,14,1,7,1,4,14,19,2,54,19,9,19,1,9,5,13,5,0,5,0,0,0,10,2,0,1,0,7,0,29,1,19,1,2,8,21,0,1,5,18,0,4,0,0,0,7,0,7,1,1,0,20,1,7,5,0,1,0,0,0
