Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant252,Ant954,Ant27,Ant44,Ant49,Ant51,Ant97,Ant117,Ant170,Ant176,Ant242,Ant256,Ant262,Ant263,Ant264,Ant299,Ant305,Ant356,Ant391,Ant475,Ant476,Ant502,Ant592,Ant593,Ant599,Ant638,Ant650
0,6,3,28,1,13,2,10,4,2,1,4,0,26,11,4,3,17,0,12,8,1,5,5,4,1,3,4,14,0,6,10,2,62,40
6,0,29,23,8,0,1,0,11,1,38,15,0,5,6,15,6,1,8,0,2,11,2,19,16,27,14,4,3,10,23,5,14,1,0
3,29,0,8,4,0,1,1,24,2,24,10,6,8,0,6,5,4,8,2,0,3,20,17,12,6,23,7,0,10,12,2,18,0,0
28,23,8,0,13,2,1,4,2,6,8,8,1,2,11,8,15,10,5,12,3,2,4,7,7,7,7,6,8,0,3,9,2,15,12
1,8,4,13,0,0,2,0,21,12,13,26,5,17,1,13,11,2,8,9,13,5,5,17,1,56,17,7,0,3,23,7,20,3,1
13,0,0,2,0,0,0,4,0,0,0,0,0,1,1,3,1,1,0,0,1,0,1,0,1,1,1,0,0,0,2,2,0,5,5
2,1,1,1,2,0,0,16,3,3,2,0,1,0,0,1,0,2,0,5,6,0,3,0,67,0,2,1,0,1,4,4,0,14,8
10,0,1,4,0,4,16,0,3,0,7,6,0,6,0,2,5,5,13,4,1,0,2,10,3,2,1,4,0,0,2,10,6,4,7
4,11,24,2,21,0,3,3,0,5,21,26,7,2,2,26,5,9,21,0,0,9,9,26,0,19,18,6,1,2,18,4,4,0,0
2,1,2,6,12,0,3,0,5,0,0,12,23,4,0,10,2,3,17,0,4,2,11,19,0,6,5,6,1,7,2,3,10,6,0
1,38,24,8,13,0,2,7,21,0,0,17,0,9,3,21,2,7,27,1,2,8,4,26,11,29,18,4,2,1,16,7,35,0,0
4,15,10,8,26,0,0,6,26,12,17,0,47,10,3,28,20,6,8,2,4,14,14,31,6,25,18,15,1,3,25,11,24,2,0
0,0,6,1,5,0,1,0,7,23,0,47,0,1,0,26,2,0,15,0,8,16,3,13,0,21,0,4,0,10,10,0,1,1,0
26,5,8,2,17,1,0,6,2,4,9,10,1,0,1,4,0,13,6,2,4,3,2,13,1,10,4,4,3,4,37,11,5,13,4
11,6,0,11,1,1,0,0,2,0,3,3,0,1,0,2,1,6,4,1,2,2,4,0,3,0,3,5,2,0,5,1,10,6,4
4,15,6,8,13,3,1,2,26,10,21,28,26,4,2,0,9,19,20,0,4,6,17,45,2,25,9,16,0,1,62,14,9,0,1
3,6,5,15,11,1,0,5,5,2,2,20,2,0,1,9,0,8,3,0,7,3,7,2,4,5,4,17,0,3,15,0,7,1,2
17,1,4,10,2,1,2,5,9,3,7,6,0,13,6,19,8,0,4,8,3,7,8,12,3,0,3,8,5,0,24,13,6,9,11
0,8,8,5,8,0,0,13,21,17,27,8,15,6,4,20,3,4,0,3,7,24,8,10,2,5,12,5,2,6,6,3,10,0,2
12,0,2,12,9,0,5,4,0,0,1,2,0,2,1,0,0,8,3,0,1,0,2,1,17,0,0,0,5,0,2,10,1,19,2
8,2,0,3,13,1,6,1,0,4,2,4,8,4,2,4,7,3,7,1,0,0,19,3,0,0,0,12,1,1,1,3,0,2,7
1,11,3,2,5,0,0,0,9,2,8,14,16,3,2,6,3,7,24,0,0,0,11,5,2,2,9,4,5,4,22,2,4,0,0
5,2,20,4,5,1,3,2,9,11,4,14,3,2,4,17,7,8,8,2,19,11,0,11,12,20,0,1,3,3,9,3,15,8,2
5,19,17,7,17,0,0,10,26,19,26,31,13,13,0,45,2,12,10,1,3,5,11,0,8,29,31,4,2,21,11,11,10,1,6
4,16,12,7,1,1,67,3,0,0,11,6,0,1,3,2,4,3,2,17,0,2,12,8,0,3,6,6,2,1,21,0,12,5,3
1,27,6,7,56,1,0,2,19,6,29,25,21,10,0,25,5,0,5,0,0,2,20,29,3,0,7,4,1,0,35,1,7,1,0
3,14,23,7,17,1,2,1,18,5,18,18,0,4,3,9,4,3,12,0,0,9,0,31,6,7,0,14,0,1,8,0,22,2,2
4,4,7,6,7,0,1,4,6,6,4,15,4,4,5,16,17,8,5,0,12,4,1,4,6,4,14,0,2,0,11,7,8,2,2
14,3,0,8,0,0,0,0,1,1,2,1,0,3,2,0,0,5,2,5,1,5,3,2,2,1,0,2,0,0,6,4,6,5,13
0,10,10,0,3,0,1,0,2,7,1,3,10,4,0,1,3,0,6,0,1,4,3,21,1,0,1,0,0,0,8,0,0,1,1
6,23,12,3,23,2,4,2,18,2,16,25,10,37,5,62,15,24,6,2,1,22,9,11,21,35,8,11,6,8,0,6,6,2,4
10,5,2,9,7,2,4,10,4,3,7,11,0,11,1,14,0,13,3,10,3,2,3,11,0,1,0,7,4,0,6,0,4,11,7
2,14,18,2,20,0,0,6,4,10,35,24,1,5,10,9,7,6,10,1,0,4,15,10,12,7,22,8,6,0,6,4,0,5,4
62,1,0,15,3,5,14,4,0,6,0,2,1,13,6,0,1,9,0,19,2,0,8,1,5,1,2,2,5,1,2,11,5,0,34
40,0,0,12,1,5,8,7,0,0,0,0,0,4,4,1,2,11,2,2,7,0,2,6,3,0,2,2,13,1,4,7,4,34,0
