Ant57,Ant260,Ant52,Ant929,Ant6,Ant7,Ant9,Ant19,Ant24,Ant26,Ant64,Ant74,Ant161,Ant196,Ant209,Ant227,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant673,Ant740,Ant838,Ant954,Ant0,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant49,Ant51,Ant54,Ant55,Ant62,Ant66,Ant70,Ant80,Ant91,Ant97,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant131,Ant135,Ant137,Ant140,Ant144,Ant149,Ant159,Ant169,Ant170,Ant174,Ant175,Ant190,Ant195,Ant206,Ant210,Ant232,Ant261,Ant262,Ant263,Ant299,Ant301,Ant313,Ant332,Ant376,Ant380,Ant433,Ant458,Ant492,Ant507,Ant509,Ant530,Ant576,Ant592,Ant593,Ant607,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,1,4,17,7,0,1,1,0,4,13,4,22,0,2,4,3,4,1,5,0,2,0,0,0,0,0,5,1,2,0,3,4,4,4,4,0,4,0,2,0,4,3,4,1,0,9,1,1,1,1,2,15,2,1,6,0,0,10,1,0,0,1,0,5,18,5,0,3,2,1,1,0,0,4,5,1,0,5,5,1,1,9,0,2,2,0,0,2,0,2
1,0,2,5,18,53,4,4,14,0,1,0,0,40,3,13,4,9,15,0,1,4,1,12,1,15,0,6,3,3,47,2,3,26,10,5,15,2,7,18,6,8,0,1,28,38,0,3,2,0,17,11,1,9,26,27,43,2,14,13,5,14,35,1,4,8,0,4,0,26,8,19,7,0,14,3,6,6,19,5,1,32,1,8,30,52,1,0,7,13,6
4,2,0,3,1,0,2,1,0,0,6,33,2,0,0,3,1,15,0,3,0,22,3,0,1,1,0,12,1,0,1,6,16,0,8,7,0,2,1,0,5,3,11,0,0,0,4,0,1,1,9,3,2,0,6,1,0,21,5,0,7,0,6,15,2,0,0,4,0,10,2,5,1,0,8,3,9,1,22,22,0,0,12,0,0,4,1,0,4,7,3
17,5,3,0,1,0,0,1,0,0,2,7,9,10,3,1,1,5,5,4,0,0,7,1,10,1,0,14,5,3,0,1,0,1,0,8,12,11,2,4,24,2,13,0,0,0,3,5,1,0,0,7,6,1,3,11,0,55,3,0,0,0,0,7,0,15,1,0,0,2,7,1,0,0,9,5,4,0,25,6,0,5,3,1,4,3,16,0,4,3,1
7,18,1,1,0,2,0,4,0,1,0,0,0,17,5,49,5,0,2,1,0,0,6,0,3,8,0,1,7,2,16,7,1,9,10,2,12,3,8,4,6,8,0,0,25,8,0,7,1,0,16,3,1,5,105,19,0,0,7,2,0,0,2,2,19,2,5,4,0,15,17,15,7,0,27,2,16,2,3,2,3,55,7,1,12,5,0,0,23,12,4
0,53,0,0,2,0,0,0,19,0,1,0,0,22,0,0,0,0,0,0,0,0,1,16,0,6,0,0,1,0,15,1,0,14,0,0,31,0,0,0,0,0,0,0,1,19,0,0,1,0,15,0,0,24,5,2,17,0,0,0,0,40,0,0,0,1,0,2,0,2,0,3,0,0,0,0,0,0,1,0,0,31,0,2,0,1,1,0,19,1,0
1,4,2,0,0,0,0,0,0,10,13,12,2,0,0,0,0,0,2,5,16,1,18,0,0,0,1,4,3,0,0,0,1,0,1,2,0,2,0,0,6,0,29,2,0,0,12,1,0,7,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,2,3,0,4,0,2,0,0,10,0,0,0,2,0,2,0,0,0,2,2,8,5,0,0,0
1,4,1,1,4,0,0,0,0,0,0,0,2,0,4,5,14,0,5,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,10,12,0,2,0,2,7,9,1,0,4,0,2,3,2,0,1,1,3,0,1,4,0,2,16,0,0,0,53,0,16,0,0,1,0,6,0,7,0,0,14,0,10,14,33,0,0,1,4,0,7,0,0,0,2,2,0
0,14,0,0,0,19,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,11,0,0,10,0,0,5,0,0,0,0,0,0,0,0,18,0,0,0,0,6,0,0,17,20,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,1,0,0
4,0,0,0,1,0,10,0,0,0,1,5,5,0,0,0,3,0,0,9,45,1,4,0,0,0,18,1,1,0,0,0,4,0,0,1,0,12,0,1,10,1,4,20,2,0,10,0,0,3,0,2,13,1,0,0,0,5,0,0,0,0,0,3,0,0,11,0,4,0,0,0,0,0,0,1,0,0,2,24,3,0,1,0,0,0,5,0,0,0,2
13,1,6,2,0,1,13,0,0,1,0,12,0,2,0,2,3,1,3,1,0,30,20,0,1,4,0,20,0,0,0,0,3,0,9,4,0,5,2,1,1,0,32,10,0,0,23,3,5,4,0,1,2,0,1,0,0,2,14,0,2,0,17,5,0,18,0,15,7,3,0,4,0,0,6,0,0,0,20,1,1,0,1,0,1,0,0,10,0,0,0
4,0,33,7,0,0,12,0,0,5,12,0,1,0,3,0,1,2,0,0,0,17,2,0,0,0,46,0,1,0,1,1,3,0,2,10,1,2,0,0,5,2,6,8,0,0,27,1,0,34,0,2,26,0,0,1,0,2,19,0,0,0,0,0,1,25,5,0,4,1,1,5,0,0,0,5,0,0,11,0,5,0,2,0,1,0,0,17,2,1,41
22,0,2,9,0,0,2,2,0,5,0,1,0,0,0,1,1,0,1,2,0,0,1,0,0,0,2,0,1,3,0,0,0,0,0,16,0,4,0,0,0,0,0,0,2,0,6,1,1,0,2,0,0,0,0,0,0,6,1,2,0,0,1,0,9,2,0,1,8,4,0,0,7,0,2,2,0,1,22,0,18,0,7,10,6,0,2,4,0,0,0
0,40,0,10,17,22,0,0,31,0,2,0,0,0,1,27,9,4,6,0,0,0,0,27,4,18,0,4,2,4,20,6,2,26,4,5,24,1,31,6,32,17,1,0,16,25,0,9,1,0,11,9,0,34,81,13,14,0,4,20,1,25,6,0,2,2,0,0,0,8,7,3,44,0,17,8,9,1,1,3,2,14,3,11,13,25,2,0,14,5,0
2,3,0,3,5,0,0,4,0,0,0,3,0,1,0,7,4,1,2,2,0,0,2,0,4,2,0,2,8,0,0,2,8,0,1,0,0,0,1,0,1,6,0,0,2,0,3,0,0,8,2,1,1,0,6,5,0,7,2,2,0,0,7,0,8,4,4,0,0,4,2,2,1,0,6,6,1,0,1,2,0,4,11,0,13,3,0,0,3,3,12
4,13,3,1,49,0,0,5,0,0,2,0,1,27,7,0,7,3,9,0,0,7,8,3,3,21,0,26,5,7,20,7,2,22,3,4,38,4,15,23,0,13,4,0,22,0,0,5,2,1,17,8,0,29,48,32,0,0,16,12,0,0,66,1,14,0,0,16,0,32,4,66,65,0,22,0,13,0,29,7,3,14,2,16,29,79,0,0,9,22,3
3,4,1,1,5,0,0,14,0,3,3,1,1,9,4,7,0,4,8,0,0,3,7,1,1,12,0,10,4,7,12,4,2,5,9,2,4,1,9,0,9,14,14,0,9,0,2,6,5,11,0,13,2,1,26,3,0,5,2,3,0,0,8,2,0,2,1,0,0,9,17,15,14,0,10,7,6,3,7,0,2,4,8,6,8,6,2,0,7,8,14
4,9,15,5,0,0,0,0,0,0,1,2,0,4,1,3,4,0,4,7,0,7,35,1,6,10,0,9,4,0,7,2,7,5,9,2,8,4,1,11,9,4,18,6,5,0,5,12,1,2,1,3,0,2,13,7,0,4,6,1,8,0,7,1,2,0,0,2,0,7,3,15,5,0,11,3,10,0,17,3,0,7,3,0,2,3,4,0,4,5,21
1,15,0,5,2,0,2,5,0,0,3,0,1,6,2,9,8,4,0,0,0,0,0,5,5,14,0,5,5,0,7,0,0,4,2,0,12,4,0,12,1,4,0,0,13,0,1,1,10,2,10,7,0,9,25,20,0,9,12,0,0,0,6,0,0,8,0,1,0,7,3,11,0,3,8,4,6,0,1,0,1,10,1,0,6,1,3,0,17,15,1
5,0,3,4,1,0,5,2,0,9,1,0,2,0,2,0,0,7,0,0,17,0,2,0,1,0,0,0,5,0,0,2,15,1,1,2,0,4,1,2,0,4,9,4,1,0,8,0,0,7,0,1,3,0,3,0,0,7,8,0,1,0,6,1,1,12,1,0,0,1,0,2,0,0,1,9,1,1,2,23,9,0,0,2,4,0,3,0,1,2,1
