Ant52,Ant65,Ant244,Ant2,Ant6,Ant15,Ant19,Ant60,Ant99,Ant102,Ant148,Ant202,Ant209,Ant227,Ant237,Ant268,Ant604,Ant673,Ant35,Ant50,Ant63,Ant96,Ant98,Ant126,Ant137,Ant140,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant232,Ant256,Ant262,Ant289,Ant296,Ant298,Ant324,Ant332,Ant356,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant592,Ant593,Ant599,Ant621,Ant638,Ant650
0,0,0,0,0,6,0,1,0,6,0,0,0,2,2,0,0,1,7,0,1,0,0,0,2,1,5,1,0,1,1,0,3,0,0,5,0,0,0,1,5,1,6,1,0,0,14,0,2,1,0,1,0,2,1,3,0,0,8
0,0,8,0,5,0,9,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,23,0,1,1,0,8,0,12,0,0,3,10,0,0,7,0,1,3,3,0,0,5,14,0,8,3,1,0,0,0,0,0,0,7,0,0
0,8,0,0,5,10,4,0,12,0,3,0,0,3,5,1,10,5,2,8,8,0,5,1,0,5,6,2,16,4,5,0,4,0,11,0,14,3,0,2,0,9,4,3,3,8,1,1,3,8,1,9,0,0,1,6,6,0,7
0,0,0,0,0,0,20,0,0,0,0,2,0,6,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,4,0
0,5,5,0,0,0,0,0,0,0,0,0,0,7,0,2,17,1,0,2,5,3,6,5,0,9,2,1,7,4,5,0,9,1,11,2,33,7,0,0,0,10,0,3,1,5,0,0,3,6,0,0,7,0,0,1,2,0,0
6,0,10,0,0,0,0,4,9,11,1,0,1,0,7,0,0,1,0,15,2,0,1,0,0,6,0,1,0,1,0,0,2,0,1,0,0,0,0,4,2,0,0,0,2,3,9,13,0,3,9,1,0,0,1,0,0,0,28
0,9,4,20,0,0,0,2,3,0,3,15,4,4,0,16,1,4,3,0,4,6,18,17,1,1,3,0,5,2,6,0,4,4,5,3,1,0,3,0,5,2,1,6,7,6,1,4,2,8,1,6,16,1,15,1,4,15,2
1,0,0,0,0,4,2,0,8,4,3,0,11,0,0,0,0,0,1,0,0,1,9,0,4,0,3,0,0,11,0,0,3,6,5,0,0,0,0,0,8,0,0,4,0,0,5,9,0,2,11,0,0,8,10,14,4,0,6
0,0,12,0,0,9,3,8,0,2,11,0,5,1,0,0,0,0,15,5,0,8,7,7,8,0,9,1,0,6,0,0,1,12,1,0,0,0,0,0,2,0,0,7,0,1,0,30,0,0,8,1,0,0,2,2,3,0,40
6,0,0,0,0,11,0,4,2,0,0,0,4,0,1,0,0,0,0,12,0,0,2,1,1,0,8,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,3,5,0,0,0,1,0,0,14,0,0,21,8,0,1,0,5
0,0,3,0,0,1,3,3,11,0,0,0,4,0,11,0,1,0,8,1,0,11,1,0,19,0,3,1,0,8,1,0,11,4,15,6,0,0,0,0,0,4,17,2,1,1,2,3,0,0,1,15,0,11,0,10,2,0,3
0,0,0,2,0,0,15,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
0,0,0,0,0,1,4,11,5,4,4,0,0,0,0,0,0,3,2,0,0,14,6,2,1,3,9,0,0,11,0,0,2,16,2,1,0,0,0,8,21,0,0,11,1,2,0,7,0,0,7,0,0,5,12,2,4,0,14
