Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant99,Ant102,Ant148,Ant158,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant311,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant97,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant212,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant301,Ant305,Ant313,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant507,Ant509,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
0,2,0,4,3,16,10,2,14,10,0,8,3,2,0,0,2,7,1,4,7,5,7,0,13,5,4,7,12,5,2,8,7,9,1,1,3,2,0,7,1,0,2,4,7,3,0,1,7,6,1,1,4,7,0,5,4,5,4,6,3,7,3,6,31,4,6,4,3,9,0,1,3,3,19,5,2,1,2,15,2,9,5,18,1,5,7,4,7,6,4,4,4,10,1,4,5,10,12,4,1,7,4,1,7,12,2,2,0,0,1
2,0,10,0,11,0,13,4,3,0,11,10,3,9,7,4,1,4,16,8,0,9,0,7,2,2,1,1,4,1,0,12,0,0,16,0,0,1,9,3,0,5,11,9,2,9,2,1,8,4,3,4,5,9,28,4,1,27,0,0,1,8,15,0,8,0,5,2,0,0,0,0,0,5,0,0,9,7,11,1,4,0,3,12,16,2,0,3,4,10,8,1,2,12,1,6,1,0,5,4,17,11,7,0,5,7,0,0,0,35,19
0,10,0,0,8,0,0,1,0,0,6,1,1,0,2,3,0,2,5,4,0,0,0,9,1,6,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,11,2,10,1,4,0,0,1,0,1,2,0,0,1,0,0,2,0,0,0,19,2,0,1,0,1,0,0,0,3,0,0,0,0,0,2,13,2,0,1,1,3,1,7,0,0,0,0,13,3,0,0,4,0,0,5,0,1,0,2,13,1,0,0,2,0,0,0,27,10
4,0,0,0,0,0,2,0,16,3,0,2,0,12,0,0,6,0,2,0,0,4,0,0,4,0,4,2,3,6,6,12,0,0,0,3,0,6,0,0,0,0,0,1,0,0,0,9,1,4,0,0,4,4,7,0,6,0,1,14,0,4,4,0,5,0,0,3,0,0,0,19,6,4,3,2,0,2,0,6,1,1,1,3,0,10,7,0,4,5,0,0,1,0,0,0,0,1,5,11,0,0,1,0,2,0,0,0,0,0,0
3,11,8,0,0,0,3,11,6,1,3,19,3,23,2,2,1,4,20,12,0,18,0,8,10,0,0,1,0,0,6,25,0,0,7,0,0,1,14,0,1,6,17,4,3,7,0,2,3,2,0,1,18,3,7,7,1,11,0,2,5,13,21,0,0,0,12,0,0,0,1,0,0,3,1,0,6,39,0,2,14,1,17,5,2,1,0,12,10,17,13,0,1,3,5,2,5,0,9,1,5,8,2,0,21,2,0,0,0,8,3
16,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,7,0,0,0,43,0,25,0,0,0,6,6,11,0,0,0,7,23,0,0,25,24,0,0,11,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,19,4,0,0,0,7,36,12,0,0,21,28,0,0,6,2,14,10,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,6,13,0,0,0,0,15,0,4,0,0,0,23,0,0,0,16,0,0,0
10,13,0,2,3,0,0,7,27,3,0,8,3,17,5,0,5,1,2,3,0,5,0,2,8,1,1,13,2,6,0,5,0,0,0,4,0,3,11,1,5,0,0,1,4,1,1,7,1,15,1,3,4,1,2,4,5,11,1,11,7,5,3,2,0,0,4,8,0,0,1,6,1,3,3,0,2,2,3,2,2,5,1,0,0,6,6,0,8,5,3,4,5,1,4,2,0,2,12,2,2,13,4,1,6,6,0,0,0,2,1
2,4,1,0,11,0,7,0,3,0,18,7,4,2,6,0,1,8,4,10,1,7,0,5,1,38,0,5,11,3,7,5,0,1,10,7,0,6,12,3,2,6,4,3,10,23,7,4,0,8,5,0,1,4,3,32,2,0,0,2,13,1,16,3,3,0,1,8,0,0,3,8,0,3,6,0,0,11,3,1,6,0,13,1,2,1,1,1,20,0,5,4,10,17,11,12,2,1,0,10,2,5,4,0,6,12,0,0,0,15,1
14,3,0,16,6,0,27,3,0,1,0,4,3,12,2,2,11,6,1,0,0,5,0,1,17,4,1,19,19,13,2,8,0,3,0,10,0,5,3,0,3,3,1,2,1,4,0,11,5,5,1,2,1,2,3,0,3,2,21,7,6,5,3,1,4,0,2,16,0,0,1,3,7,0,24,4,8,4,2,17,11,3,6,21,1,2,4,1,1,1,0,0,2,1,1,0,4,0,22,5,0,3,4,5,3,33,0,0,0,2,1
10,0,0,3,1,18,3,0,1,0,0,0,0,0,2,0,26,0,0,0,16,1,11,0,1,0,26,10,12,7,0,0,26,34,0,5,7,23,0,1,16,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,3,0,11,5,1,0,4,12,70,15,1,6,15,21,0,1,9,9,7,12,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,2,19,0,0,0,1,10,0,4,0,2,1,16,0,2,1,22,0,0,0
