Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant76,Ant99,Ant102,Ant148,Ant158,Ant161,Ant191,Ant202,Ant209,Ant227,Ant237,Ant252,Ant268,Ant278,Ant311,Ant329,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant68,Ant80,Ant91,Ant96,Ant97,Ant98,Ant100,Ant105,Ant109,Ant112,Ant114,Ant126,Ant137,Ant140,Ant142,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant219,Ant220,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant332,Ant342,Ant356,Ant394,Ant395,Ant398,Ant400,Ant433,Ant437,Ant458,Ant476,Ant492,Ant502,Ant507,Ant509,Ant527,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant635,Ant638,Ant647,Ant650,Ant665
14,4,2,4,2,22,6,2,8,5,6,4,1,6,14,2,2,1,10,1,3,0,0,6,0,6,1,10,3,0,2,6,15,7,0,1,15,0,5,0,2,4,2,3,2,16,0,5,0,7,1,6,2,0,3,1,5,7,2,7,5,15,0,1,3,7,11,1,5,6,1,4,0,2,6,0,2,0,0,3,17,0,6,0,0,0,4,8,0,2,3,4,3,5,1,1,6,4,0,1,4,4,5,11,4,4,3,0,1,7,0,6,1,11,3,4,7,6,7,0,9,4,14,0,7,0,0,0,0,6,1
3,5,4,9,24,21,4,6,7,8,7,11,0,3,9,0,9,4,5,0,1,0,8,15,3,4,5,1,3,11,3,10,8,13,12,1,4,3,10,2,5,7,15,9,1,3,1,2,6,1,2,14,0,3,3,0,7,16,7,24,1,11,0,0,19,14,2,10,6,3,1,9,0,14,3,9,5,0,1,2,20,1,9,0,0,0,3,21,14,4,0,6,4,2,8,2,1,0,0,3,30,11,35,8,2,4,2,3,0,5,12,7,4,2,0,6,11,4,18,0,5,4,12,2,6,1,12,6,4,7,0
6,0,3,7,3,31,2,1,24,9,0,0,1,6,2,0,6,4,1,0,1,0,7,11,0,2,13,0,18,0,1,7,13,12,10,0,5,3,9,1,5,0,0,4,0,8,3,0,1,1,3,0,0,0,13,0,1,1,0,7,1,13,0,6,2,1,2,0,2,7,0,12,0,0,10,9,14,0,0,6,11,5,1,0,4,3,0,21,0,0,3,0,0,2,8,0,1,0,0,2,11,33,10,1,5,2,5,1,3,6,9,15,15,7,0,3,13,40,23,0,6,3,8,0,3,1,0,1,1,13,1
13,4,4,11,7,34,3,1,26,28,2,5,0,3,12,2,10,3,8,0,4,0,6,12,2,2,17,0,21,12,5,14,21,18,14,2,8,20,8,0,12,6,9,3,1,14,0,2,5,3,8,2,0,1,9,5,12,8,9,11,4,22,2,1,9,14,9,7,4,11,21,31,2,11,7,4,7,0,4,2,12,14,19,4,8,21,21,0,5,2,2,6,1,7,12,2,0,5,0,4,19,25,11,9,9,13,5,4,7,8,17,15,5,2,7,12,5,16,19,0,10,21,50,0,18,8,0,14,2,6,1
0,0,0,0,3,8,1,0,0,12,0,10,0,1,0,0,14,0,0,0,0,26,0,18,25,0,3,0,0,6,0,0,8,2,6,0,0,9,26,0,2,5,6,0,0,11,0,0,6,0,0,0,2,0,16,0,20,1,0,13,0,3,0,0,0,0,0,29,0,4,21,1,0,0,0,10,18,12,0,5,1,10,12,0,0,14,0,5,0,0,0,0,1,0,1,0,0,0,1,0,0,2,14,0,0,0,3,0,0,1,51,0,3,0,0,2,25,0,5,0,0,4,7,0,0,14,4,0,0,0,0
4,9,0,0,9,20,3,3,2,4,17,21,1,5,2,2,8,3,4,2,12,0,3,7,3,5,1,1,6,3,3,0,10,11,13,10,2,1,7,18,0,13,7,13,2,11,1,3,4,4,0,9,1,10,2,3,7,1,2,17,0,0,0,1,0,3,6,6,8,16,1,0,7,10,15,4,6,0,0,7,15,8,10,0,2,4,0,2,0,0,0,6,12,4,8,14,3,5,9,4,1,9,1,3,1,14,5,6,1,3,19,9,1,7,4,8,3,0,6,0,2,1,2,0,4,0,0,2,2,10,3
20,22,11,1,13,19,19,9,0,2,20,0,4,28,1,24,0,6,4,30,2,0,0,8,0,14,4,32,13,0,2,11,2,0,0,7,23,0,0,13,2,2,1,43,8,2,9,28,0,2,0,1,22,7,0,9,2,4,13,0,15,4,4,28,7,1,16,0,10,1,0,3,12,29,20,0,0,0,19,0,4,0,1,0,3,0,3,2,0,0,0,6,66,14,0,9,8,29,0,21,0,2,1,11,36,8,5,2,27,0,0,4,1,17,18,2,0,1,4,8,4,10,0,0,4,0,24,2,12,8,28
18,10,12,0,7,20,20,6,4,1,8,0,9,17,6,11,2,16,6,1,9,0,4,8,0,17,1,2,10,0,1,7,0,6,5,1,43,1,0,5,2,1,0,16,9,6,0,6,1,25,2,15,1,8,5,13,0,21,2,1,19,6,3,6,3,6,14,0,21,9,0,4,15,10,35,0,0,0,12,1,9,0,0,1,4,6,0,6,0,6,6,0,17,0,4,4,9,7,2,16,10,0,5,2,8,3,0,10,5,2,0,28,1,2,3,9,1,5,12,7,8,7,5,0,11,0,0,1,3,28,0
9,31,18,1,7,49,13,14,0,1,16,3,3,32,1,9,1,11,10,21,6,0,2,9,0,17,1,12,4,0,2,3,0,3,0,13,65,0,0,28,2,1,0,25,6,3,7,48,1,9,0,18,25,8,0,22,1,7,10,0,6,1,10,3,6,9,35,0,18,0,0,0,25,7,10,1,1,0,2,2,11,1,0,6,3,4,0,1,1,12,66,17,0,6,0,17,3,16,0,17,4,0,1,1,3,4,1,8,18,0,4,5,2,1,8,9,0,0,4,47,6,2,0,26,3,0,13,2,12,26,18
8,28,1,0,9,27,3,11,6,1,1,1,3,20,17,4,2,10,2,6,12,0,14,10,0,8,6,1,8,3,3,19,7,4,7,3,16,0,1,2,2,0,1,5,4,6,1,4,4,4,1,0,2,6,4,2,11,16,9,1,7,18,1,5,8,5,2,0,14,0,0,2,1,3,7,0,0,0,2,0,7,0,4,0,5,2,2,7,0,4,14,0,6,0,9,1,2,6,2,2,6,13,7,8,6,3,4,14,1,1,0,8,9,12,8,4,4,4,10,6,11,5,4,0,23,1,9,0,10,13,1
8,12,4,3,0,13,18,2,7,1,5,0,1,6,6,4,2,1,32,0,9,0,20,14,0,4,13,1,19,0,10,5,26,10,4,4,7,0,5,5,3,2,4,12,1,15,0,4,3,2,2,0,1,7,3,9,6,3,1,5,18,6,5,13,15,12,5,0,26,7,0,19,1,12,12,0,0,0,6,4,21,0,7,1,1,8,8,12,1,8,0,4,0,9,0,8,5,3,1,4,18,5,7,6,6,9,4,2,5,2,6,28,10,2,6,8,4,16,20,16,13,9,8,0,15,0,0,7,2,13,4
14,14,15,1,0,26,19,8,1,0,14,0,6,5,7,3,2,0,9,12,4,0,7,4,0,6,6,4,7,0,1,14,1,2,2,12,26,6,1,12,2,0,1,15,15,5,5,1,0,18,4,8,27,13,0,26,0,5,6,0,7,0,5,19,13,12,10,4,9,5,0,5,15,21,9,0,1,0,6,1,12,3,1,9,1,2,0,2,0,14,9,4,17,1,8,0,10,14,16,19,19,1,0,4,7,7,2,2,0,2,1,7,5,0,2,1,2,4,4,4,5,16,2,34,16,1,5,4,27,5,9
