Ant52,Ant65,Ant244,Ant2,Ant6,Ant15,Ant19,Ant60,Ant99,Ant102,Ant148,Ant202,Ant209,Ant227,Ant237,Ant268,Ant604,Ant673,Ant35,Ant50,Ant63,Ant96,Ant98,Ant126,Ant137,Ant140,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant232,Ant256,Ant262,Ant289,Ant296,Ant298,Ant324,Ant332,Ant356,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant592,Ant593,Ant599,Ant621,Ant638,Ant650
0,1,1,0,0,0,0,0,0,13,4,0,14,0,0,0,0,3,0,6,0,0,0,0,4,1,2,0,3,0,0,0,1,1,1,0,0,0,0,3,5,1,0,1,1,0,5,5,1,0,0,0,0,0,0,2,0,0,0
1,0,7,0,0,1,4,0,4,2,0,0,0,3,7,3,13,0,2,0,1,0,1,10,3,0,4,3,4,0,0,0,8,1,11,9,0,1,2,0,10,5,0,0,0,4,0,0,3,2,0,6,16,0,2,4,2,0,1
1,7,0,0,3,0,3,6,3,0,14,0,2,5,3,1,14,6,2,3,0,1,1,2,18,0,0,9,15,0,0,0,3,2,13,8,1,3,0,8,3,0,3,4,2,2,4,2,2,8,0,0,3,0,25,18,1,0,10
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,3,0,0,25,13,4,8,1,2,0,7,1,25,1,4,3,0,2,7,22,6,2,0,2,3,2,2,2,0,0,6,6,12,7,0,3,4,7,9,0,1,2,0,22,0,8,5,0,11,0,11,1,18,6,0,0,2
0,1,0,0,25,0,7,9,4,0,5,0,0,0,16,1,1,5,0,20,10,9,6,0,0,5,20,8,1,1,0,0,5,24,2,3,0,0,0,0,8,1,1,0,4,1,3,11,6,5,10,5,0,9,9,0,9,0,5
0,4,3,0,13,7,0,1,9,0,7,0,5,9,8,2,3,4,6,4,20,13,9,7,3,3,20,10,6,5,0,0,5,13,7,4,3,3,8,3,10,5,15,0,9,8,15,11,0,1,3,12,5,1,9,2,7,2,15
0,0,6,0,4,9,1,0,10,2,3,0,11,2,25,0,0,0,2,9,29,5,4,0,12,2,2,5,0,1,0,0,5,2,9,4,2,0,0,6,12,5,0,0,4,3,10,8,16,12,22,5,0,38,3,2,6,0,5
0,4,3,0,8,4,9,10,0,4,6,0,6,15,12,2,2,7,2,1,5,15,1,4,0,8,6,5,2,5,0,0,3,8,3,7,7,1,3,1,11,1,30,0,2,8,12,4,8,6,0,2,5,3,5,2,10,0,5
13,2,0,0,1,0,0,2,4,0,12,0,2,0,1,0,2,0,0,39,0,2,2,0,2,1,0,3,0,3,0,0,0,6,4,1,0,0,0,0,6,0,0,0,0,0,1,0,2,3,1,0,0,2,0,0,0,0,2
4,0,14,0,2,5,7,3,6,12,0,0,4,1,8,0,0,12,0,1,0,0,9,8,19,0,0,3,1,0,0,0,3,10,13,1,6,0,1,5,7,1,8,9,11,1,18,2,1,16,0,0,0,0,4,13,6,0,4
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,7,0,0,0,0,0,0,33,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0
14,0,2,0,7,0,5,11,6,2,4,0,0,1,0,0,0,10,1,2,0,1,2,0,7,2,8,8,0,0,0,0,10,37,7,2,0,0,0,2,11,2,2,22,8,0,27,6,2,1,1,8,1,0,9,5,4,0,4
0,3,5,0,1,0,9,2,15,0,1,0,1,0,5,2,23,5,6,0,2,0,2,35,0,4,5,9,7,10,0,0,10,2,9,20,12,13,13,3,0,5,12,0,0,15,1,2,7,1,0,5,25,1,6,3,4,0,7
0,7,3,0,25,16,8,25,12,1,8,0,0,5,0,3,5,1,0,5,43,3,6,5,1,5,6,2,5,1,0,0,11,4,9,8,0,0,1,1,1,2,1,2,7,2,2,0,3,3,13,3,12,1,10,2,5,0,14
0,3,1,3,1,1,2,0,2,0,0,21,0,2,3,0,2,0,10,0,2,0,3,17,0,0,0,0,4,0,10,0,1,1,0,8,50,11,2,0,3,9,9,0,2,22,0,0,1,0,0,3,18,0,0,0,0,35,1
0,13,14,0,4,1,3,0,2,2,0,0,0,23,5,2,0,1,14,3,2,5,0,86,1,1,3,5,29,7,0,0,12,2,27,23,22,5,4,7,4,6,2,0,0,16,2,4,8,8,5,5,20,0,10,7,28,0,7
3,0,6,0,3,5,4,0,7,0,12,0,10,5,1,0,1,0,2,4,0,0,3,13,0,0,15,11,3,0,0,0,12,5,6,4,0,2,0,18,10,1,1,8,4,3,6,0,11,15,0,0,9,0,4,11,4,0,15
0,2,2,0,0,0,6,2,2,0,0,0,1,6,0,10,14,2,0,0,0,4,0,52,0,0,12,5,2,6,0,0,3,0,2,4,2,5,2,1,1,10,1,2,0,9,2,3,3,1,1,2,15,0,2,5,6,0,3
6,0,3,0,2,20,4,9,1,39,1,0,2,0,5,0,3,4,0,0,0,0,2,5,10,0,2,3,0,0,0,0,4,1,15,0,0,0,0,8,21,4,0,0,0,1,7,3,1,0,0,0,0,3,1,9,1,0,1
0,1,0,0,7,10,20,29,5,0,0,0,0,2,43,2,2,0,0,0,0,9,22,2,0,1,19,0,0,9,0,0,0,11,0,2,0,0,0,0,3,1,0,0,4,1,0,4,2,0,31,6,1,0,19,0,3,0,4
0,0,1,0,22,9,13,5,15,2,0,0,1,0,3,0,5,0,4,0,9,0,2,5,0,0,10,5,3,3,0,0,6,8,9,1,0,2,0,0,3,4,7,9,4,0,1,1,0,0,12,25,9,0,1,19,10,0,7
0,1,1,0,6,6,9,4,1,2,9,0,2,2,6,3,0,3,0,2,22,2,0,5,7,0,2,2,3,6,0,0,4,19,2,1,0,0,5,2,9,0,0,6,34,2,21,6,0,12,9,1,0,6,0,5,0,0,30
0,10,2,0,2,0,7,0,4,0,8,7,0,35,5,17,86,13,52,5,2,5,5,0,6,2,12,3,25,6,0,0,14,0,4,17,28,4,12,6,2,3,6,2,7,14,1,6,15,3,0,5,11,0,14,7,27,0,12
4,3,18,0,0,0,3,12,0,2,19,0,7,0,1,0,1,0,0,10,0,0,7,6,0,0,0,3,5,1,0,0,5,3,13,1,2,0,1,4,12,0,0,19,0,1,9,8,0,17,0,0,0,0,9,25,0,0,6
1,0,0,0,2,5,3,2,8,1,0,0,2,4,5,0,1,0,0,0,1,0,0,2,0,0,0,1,0,24,0,0,9,1,0,23,8,0,12,0,0,7,8,4,6,0,5,13,1,0,7,2,0,0,1,0,17,0,3
2,4,0,0,3,20,20,2,6,0,0,0,8,5,6,0,3,15,12,2,19,10,2,12,0,0,0,2,3,4,0,0,5,12,5,1,2,0,5,1,4,8,11,1,3,0,2,2,1,2,10,25,2,1,1,1,19,0,15
0,3,9,0,2,8,10,5,5,3,3,0,8,9,2,0,5,11,5,3,0,5,2,3,3,1,2,0,10,2,0,0,8,12,2,4,7,8,5,5,5,2,10,13,1,6,4,16,1,2,3,10,12,0,10,27,4,0,18
3,4,15,0,2,1,6,0,2,0,1,0,0,7,5,4,29,3,2,0,0,3,3,25,5,0,3,10,0,3,0,0,20,1,4,21,34,0,3,8,6,0,3,1,0,11,2,5,1,6,0,0,18,1,0,3,13,0,8
0,0,0,0,2,1,5,1,5,3,0,0,0,10,1,0,7,0,6,0,9,3,6,6,1,24,4,2,3,0,0,0,0,10,0,0,0,0,1,0,7,3,11,0,15,0,24,3,5,0,10,24,2,8,13,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,3,0,6,5,5,5,3,0,3,0,10,10,11,1,12,12,3,4,0,6,4,14,5,9,5,8,20,0,0,0,0,6,22,4,1,1,8,6,4,15,1,5,1,5,7,4,10,9,0,8,11,1,11,12,21,0,29
1,1,2,0,6,24,13,2,8,6,10,0,37,2,4,1,2,5,0,1,11,8,19,0,3,1,12,12,1,10,0,0,6,0,2,1,0,0,0,1,36,0,2,23,24,1,37,41,1,7,3,8,0,3,18,2,3,0,20
1,11,13,0,12,2,7,9,3,4,13,0,7,9,9,0,27,6,2,15,0,9,2,4,13,0,5,2,4,0,0,0,22,2,0,0,2,1,0,4,12,12,4,4,10,6,7,14,10,3,2,2,7,0,19,33,34,0,19
0,9,8,0,7,3,4,4,7,1,1,0,2,20,8,8,23,4,4,0,2,1,1,17,1,23,1,4,21,0,0,0,4,1,0,0,11,2,6,0,0,3,4,0,11,23,3,0,5,0,14,0,16,0,5,1,1,0,7
