Ant57,Ant5,Ant52,Ant59,Ant25,Ant30,Ant148,Ant191,Ant196,Ant209,Ant245,Ant308,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant114,Ant126,Ant135,Ant139,Ant156,Ant159,Ant174,Ant195,Ant207,Ant218,Ant226,Ant242,Ant243,Ant250,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant353,Ant376,Ant387,Ant391,Ant492,Ant549,Ant580,Ant607,Ant614,Ant632,Ant638,Ant663
0,0,0,1,20,1,2,0,1,14,3,4,0,1,12,38,4,0,1,1,3,10,0,3,1,1,1,1,2,18,0,4,4,2,0,0,6,2,3,11,29,0,51,26,5,17,1,7,12,0,4,5,15,3,0,0,4,2,2,29,3,3,7,7,0,3
0,0,3,6,0,7,3,6,0,0,6,0,0,1,0,0,5,1,3,0,0,1,8,1,9,11,26,18,1,3,1,1,1,0,0,0,2,1,2,3,2,3,0,2,0,0,3,0,0,2,0,0,1,2,5,1,0,1,0,3,0,7,0,0,10,0
0,3,0,4,2,1,2,17,1,0,6,1,0,17,1,0,2,0,5,0,0,0,0,4,8,5,24,10,0,7,0,0,1,0,0,0,0,0,0,0,2,10,1,1,0,0,11,0,1,7,0,0,1,5,2,4,0,4,0,2,0,4,0,0,18,0
1,6,4,0,3,22,5,17,2,5,2,1,0,9,0,0,2,3,0,5,1,2,0,7,4,0,5,22,0,6,3,4,7,0,0,0,1,10,1,7,2,0,0,6,0,0,1,1,0,12,0,0,0,12,1,1,11,10,0,1,4,10,0,1,2,0
20,0,2,3,0,0,6,10,4,10,2,4,0,8,1,21,9,7,1,11,1,11,0,0,3,0,0,7,0,6,1,13,9,2,0,0,3,5,4,8,14,3,7,6,4,7,5,1,2,2,3,0,4,5,0,4,3,3,2,20,5,1,2,2,1,22
1,7,1,22,0,0,1,7,8,4,6,3,0,3,1,1,3,2,4,6,0,1,0,2,1,0,1,15,0,5,1,4,1,0,0,0,2,6,3,8,1,4,3,5,1,0,2,1,7,0,0,0,2,1,1,0,1,1,1,3,2,7,4,1,1,2
2,3,2,5,6,1,0,1,25,0,9,2,0,2,5,4,5,1,3,4,1,0,0,0,6,0,0,0,0,2,8,5,4,0,0,0,9,1,6,1,7,10,3,2,7,1,2,0,8,0,2,0,0,8,0,2,0,0,0,6,2,1,6,0,0,0
0,6,17,17,10,7,1,0,10,1,5,5,0,20,3,6,2,5,2,3,0,7,0,6,7,1,12,45,0,12,5,10,15,0,0,0,1,1,0,10,3,0,1,1,0,1,14,6,4,8,2,0,1,3,3,3,12,16,3,6,10,9,2,0,1,2
1,0,1,2,4,8,25,10,0,7,8,16,0,12,2,2,4,3,3,6,0,3,0,6,10,2,0,0,1,3,8,2,5,0,0,0,5,3,5,5,4,5,3,1,2,2,0,1,2,6,2,0,2,0,0,2,1,13,1,9,9,2,4,2,0,14
14,0,0,5,10,4,0,1,7,0,7,5,0,11,2,6,1,0,9,26,3,3,0,7,3,0,0,4,0,17,0,4,5,0,0,0,6,1,17,2,6,1,2,24,1,2,1,1,10,0,0,0,4,1,0,3,8,0,1,3,6,0,6,1,0,1
