Ant57,Ant260,Ant52,Ant397,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant190,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant229,Ant232,Ant242,Ant250,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant324,Ant326,Ant331,Ant332,Ant334,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant560,Ant576,Ant592,Ant593,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,0,11,2,16,10,3,0,3,1,1,2,8,0,2,0,3,8,2,46,18,8,1,1,14,2,13,2,10,10,31,11,10,8,0,6,0,5,1,0,2,3,8,2,0,11,6,0,0,0,1,31,7,0,9,3,0,14,1,4,3,25,22,13,12,0,0,8,4,1,2,3,3,7,32,2,1,1,5,17,1,16,0,13,0,14,3,0,14,2,6,0,8,6,12,11,10,0,33,15,5,14,8,2,5,0,0,0,0,0,4,3,0,11,3,0,3,5,20,11,0,28,2,2,1,0,4,22,8,0,0,0,0,8,0,1,3,0,16,21,1,0,67
0,0,1,15,0,11,12,18,3,2,5,8,3,6,15,18,0,0,1,1,0,1,20,11,4,3,0,1,4,3,3,0,3,0,19,0,1,1,9,0,40,8,0,6,25,2,2,93,27,30,16,1,4,35,0,1,8,0,3,0,6,0,16,0,0,9,26,0,8,2,3,5,20,0,4,1,71,16,1,3,14,0,5,5,21,0,0,13,9,5,0,14,0,0,6,0,1,13,0,0,0,0,2,12,0,9,6,4,26,16,8,11,5,0,23,0,2,0,1,3,13,1,16,12,26,5,0,1,0,39,21,2,10,1,11,15,5,20,0,0,13,13,0
11,1,0,0,18,4,3,0,11,6,12,4,7,0,0,0,18,3,5,7,14,6,4,1,9,11,29,25,3,0,0,1,5,17,0,5,0,0,3,2,0,11,10,0,0,2,7,0,1,1,0,17,0,0,3,1,0,15,0,2,5,12,9,31,15,0,3,5,1,0,4,8,0,9,14,2,0,0,7,1,0,3,0,7,0,5,4,0,7,0,0,0,2,6,7,22,7,0,10,12,13,17,9,4,10,0,2,0,0,0,0,0,2,15,0,1,1,16,9,2,0,8,1,7,0,0,3,17,5,1,0,4,0,9,0,3,4,2,0,3,0,2,4
2,15,0,0,0,16,33,3,1,21,1,9,1,0,9,11,0,4,0,1,0,2,11,9,1,7,1,6,2,14,1,7,2,2,12,1,15,10,20,0,16,1,0,13,11,2,7,5,15,19,3,4,8,8,4,2,6,1,2,0,10,2,0,1,0,22,1,0,18,0,2,1,1,1,4,15,22,16,1,6,15,4,1,1,9,0,1,7,14,23,1,3,2,0,0,3,1,5,0,0,0,4,3,10,0,11,24,2,5,11,3,6,6,1,31,0,7,2,0,12,17,1,6,11,0,0,4,14,1,15,5,3,15,11,13,14,4,22,0,0,9,27,2
16,0,18,0,0,9,2,0,6,3,4,0,12,0,0,1,5,16,0,16,1,12,10,1,11,1,21,3,3,4,7,18,35,0,2,15,0,3,4,0,5,2,3,4,3,11,8,0,4,5,3,15,12,0,7,3,1,10,6,5,8,23,11,4,10,1,5,4,0,1,3,2,0,21,1,2,0,5,2,13,1,17,0,16,0,14,0,1,8,7,5,0,5,10,1,2,11,0,6,4,6,13,24,3,2,4,3,0,1,2,8,1,3,1,1,0,7,19,11,15,2,9,3,5,0,0,0,22,12,2,0,4,1,19,2,3,4,0,5,9,0,10,11
10,11,4,16,9,0,3,0,1,9,4,3,3,0,1,2,8,8,0,6,0,2,13,5,9,8,11,9,13,2,2,3,9,0,2,2,0,6,8,0,4,8,0,3,1,6,9,0,3,8,1,3,12,0,1,2,1,2,11,1,12,2,28,2,4,0,1,0,1,2,11,34,0,13,0,12,4,0,7,13,4,5,3,8,0,0,1,6,2,17,2,0,1,1,26,2,2,3,11,0,1,0,6,17,1,2,7,2,6,3,0,7,16,1,2,0,3,9,0,11,2,8,3,0,12,0,3,3,19,6,4,2,3,7,3,4,5,7,0,2,1,8,3
3,12,3,33,2,3,0,11,0,5,1,12,1,0,21,7,2,2,0,3,1,0,22,6,0,3,6,2,5,4,5,1,4,2,7,2,11,4,37,0,2,0,0,19,0,5,1,0,12,5,22,2,3,1,0,3,10,5,12,0,14,1,0,3,1,15,40,0,4,1,10,0,3,0,0,8,10,11,2,7,20,6,0,4,9,1,2,10,3,0,0,3,2,0,0,0,1,0,0,0,1,2,2,14,0,5,8,0,3,8,19,5,0,0,21,0,7,6,0,9,5,0,0,8,7,0,1,6,0,8,7,13,18,4,4,1,12,13,4,1,8,3,1
0,18,0,3,0,0,11,0,0,1,0,4,0,0,8,11,0,0,0,0,0,0,19,2,2,1,1,1,0,0,0,0,0,0,17,0,0,0,4,0,42,0,0,2,4,0,3,25,21,14,4,0,0,10,0,1,3,0,0,0,1,1,0,0,0,0,6,0,0,0,2,0,13,1,0,0,51,29,0,1,17,0,10,0,14,0,0,16,0,1,0,8,1,0,0,0,0,21,0,0,0,1,0,23,0,25,4,1,31,6,11,2,8,0,13,0,3,0,0,3,28,0,1,0,11,8,0,0,0,28,16,0,7,2,4,5,0,4,0,0,7,1,1
3,3,11,1,6,1,0,0,0,1,7,0,3,0,1,2,10,6,50,18,18,13,0,0,5,4,9,15,0,0,7,7,10,24,1,3,0,0,0,4,0,6,27,1,0,32,1,0,1,0,1,24,11,0,4,1,0,10,0,9,5,15,24,22,24,1,0,2,2,0,0,14,0,13,4,0,1,0,38,0,0,6,0,19,0,28,12,0,1,2,11,0,11,10,8,19,6,0,7,4,16,8,2,4,14,0,6,0,0,0,1,0,2,28,1,0,0,3,7,7,0,14,0,0,0,0,3,16,3,0,0,0,0,8,0,7,4,1,5,8,0,1,12
1,2,6,21,3,9,5,1,1,0,0,0,1,0,7,4,2,13,0,11,1,5,6,7,7,5,9,0,4,5,2,7,2,4,9,7,5,2,10,0,0,1,0,3,3,3,9,2,7,16,4,9,4,0,3,2,6,7,4,5,4,4,0,11,0,3,3,0,14,0,2,5,3,8,4,11,5,2,0,18,5,4,0,5,3,6,1,3,15,2,0,0,3,1,1,2,2,0,2,2,0,3,3,6,0,3,1,5,0,2,8,2,6,3,4,0,15,11,1,7,6,4,5,6,0,0,0,3,0,0,1,3,3,6,2,3,16,0,1,3,3,16,5
