Ant57,Ant5,Ant52,Ant59,Ant929,Ant6,Ant25,Ant26,Ant30,Ant74,Ant99,Ant102,Ant148,Ant191,Ant196,Ant209,Ant245,Ant268,Ant308,Ant620,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant111,Ant113,Ant114,Ant126,Ant135,Ant139,Ant142,Ant156,Ant159,Ant169,Ant170,Ant174,Ant195,Ant198,Ant207,Ant218,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant376,Ant387,Ant391,Ant437,Ant492,Ant549,Ant580,Ant592,Ant607,Ant614,Ant632,Ant638,Ant650,Ant663,Ant665
0,1,0,0,9,24,2,16,4,7,13,63,5,3,1,1,8,22,2,0,0,6,3,31,0,2,5,2,0,13,0,1,0,0,11,2,1,7,9,0,42,27,1,0,1,8,22,0,0,4,22,6,4,20,5,20,3,12,29,0,3,0,31,2,0,3,0,5,46,43,3,49,0,0,1,6,1,3,3,22,6,22,9,5,16,2,59,14,0
1,0,2,9,3,0,0,0,3,5,2,1,4,13,0,2,11,0,0,0,0,18,0,1,0,2,9,3,0,3,0,7,1,11,1,3,8,0,1,1,10,0,0,4,0,0,13,0,1,0,0,1,0,0,0,2,0,1,4,2,0,0,0,3,8,1,15,0,0,1,1,3,0,7,5,11,0,1,0,0,3,1,6,2,3,13,0,1,38
0,2,0,1,2,0,0,0,0,8,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,7,1,2,7,0,22,0,0,4,2,0,1,0,0,0,0,0,0,0,0,17,0,3,1,0,23,3,0,8,0,1,0,17,1,0,24,0,0,0,0,1,0,2,0,0,9,0,0,0,0,0,31,0,0,0,0,0,0
0,9,1,0,2,1,6,0,13,19,3,0,3,10,0,7,5,0,6,0,0,10,1,4,1,14,10,13,1,3,0,23,21,15,0,7,28,1,5,0,1,1,7,49,0,0,7,0,1,10,0,3,0,0,2,4,9,3,3,18,2,9,0,9,21,2,7,0,0,3,0,5,0,12,29,18,1,0,4,5,2,6,1,1,0,15,0,7,12
9,3,2,2,0,1,21,34,8,7,5,7,1,2,19,13,11,25,16,0,1,2,11,11,22,5,3,4,40,24,0,6,2,3,0,9,1,71,28,3,52,35,48,12,8,11,4,0,16,9,19,5,5,12,173,24,3,18,9,9,26,1,11,1,3,5,8,3,8,13,1,24,0,1,7,2,7,21,4,46,8,28,11,39,21,13,39,95,10
24,0,0,1,1,0,1,8,1,0,13,13,0,0,0,2,2,6,1,14,44,2,13,1,1,0,2,0,1,11,8,0,0,1,0,0,0,0,1,2,7,12,1,2,2,11,5,0,3,3,3,0,6,0,1,7,0,3,4,0,18,0,3,0,3,0,0,5,1,15,0,5,9,0,1,3,0,12,3,4,0,20,0,5,5,0,16,2,0
2,0,0,6,21,1,0,2,6,1,2,0,4,0,3,11,8,8,15,0,0,8,5,3,5,2,6,2,10,5,0,1,8,13,7,2,3,1,12,2,11,8,12,8,8,0,0,0,7,11,4,2,2,1,10,5,6,4,9,15,2,9,1,1,5,2,2,0,6,1,3,4,0,0,3,2,4,4,4,12,10,5,1,4,13,2,21,1,8
16,0,0,0,34,8,2,0,1,1,32,27,2,1,3,7,4,1,1,40,5,1,6,10,5,5,1,1,12,13,0,1,3,3,6,3,0,37,16,3,15,25,32,0,22,20,10,0,7,1,32,3,6,8,35,12,0,2,19,0,21,5,10,5,0,3,0,13,5,24,5,20,30,1,6,4,0,18,8,24,3,68,4,20,20,0,21,26,0
4,3,0,13,8,1,6,1,0,1,0,3,6,8,11,16,25,2,10,0,0,12,2,4,4,5,10,24,3,4,0,0,3,22,0,9,0,1,7,2,3,3,8,7,1,0,0,0,4,3,4,3,1,0,17,6,1,2,9,0,2,8,2,7,12,3,5,0,0,5,1,1,0,5,7,1,7,1,1,3,5,2,2,6,4,10,1,7,23
7,5,8,19,7,0,1,1,1,0,3,0,2,0,4,17,11,0,1,0,0,13,0,0,0,9,9,9,0,2,0,57,6,10,11,0,14,1,2,0,0,2,3,1,0,0,0,0,1,1,3,21,2,2,3,11,3,6,4,2,7,8,0,19,4,0,18,1,5,1,9,9,0,33,16,1,0,0,0,0,0,0,19,0,0,9,3,0,10
13,2,1,3,5,13,2,32,0,3,0,18,0,1,1,5,0,0,0,10,24,1,1,15,0,1,0,3,4,6,2,4,0,0,3,7,2,14,0,2,10,16,0,0,1,2,13,0,0,3,31,1,1,32,1,19,2,1,5,0,6,4,11,1,2,0,1,0,0,26,14,26,15,1,1,3,2,2,2,18,0,14,0,0,0,1,2,12,0
63,1,0,0,7,13,0,27,3,0,18,0,0,5,2,1,4,1,1,10,4,3,6,6,1,1,0,0,3,6,2,0,0,1,2,0,0,0,14,1,7,16,12,0,23,4,16,0,0,6,6,0,3,11,1,15,0,8,7,6,19,0,15,2,0,2,0,2,7,13,0,37,6,1,2,0,1,8,5,10,2,7,4,8,3,1,30,18,3
5,4,0,3,1,0,4,2,6,2,0,0,0,2,8,5,18,2,2,0,0,18,0,9,5,0,5,1,2,10,0,0,5,22,0,6,0,1,2,6,5,3,2,1,2,0,1,0,6,5,0,2,2,0,1,13,3,0,12,1,4,1,1,0,2,13,5,3,0,1,2,22,0,0,2,1,0,4,9,7,9,0,1,3,6,1,4,5,11
3,13,1,10,2,0,0,1,8,0,1,5,2,0,6,4,27,1,5,0,0,45,2,8,5,9,6,8,6,26,0,8,2,10,11,13,17,3,23,9,7,1,9,4,0,0,8,0,3,25,1,10,3,0,2,31,6,2,18,8,2,16,1,1,18,7,9,1,0,2,17,7,0,0,9,5,3,2,17,0,13,0,0,3,2,11,3,8,35
1,0,0,0,19,0,3,3,11,4,1,2,8,6,0,1,8,2,2,0,0,9,5,10,6,10,7,9,4,20,0,0,0,6,0,3,3,5,15,0,14,16,2,8,0,0,1,0,5,5,27,4,4,0,0,10,1,2,4,4,9,4,6,0,3,6,8,0,1,2,6,8,0,0,18,9,2,2,12,10,16,7,0,1,7,10,6,11,0
1,2,0,7,13,2,11,7,16,17,5,1,5,4,1,0,25,2,9,0,0,28,2,6,5,10,0,19,7,10,0,1,4,13,21,8,1,7,2,3,13,9,2,31,0,2,0,0,3,0,3,2,1,4,6,5,0,2,10,4,0,0,1,2,5,0,1,4,0,7,0,11,0,2,4,7,10,10,2,5,7,3,3,4,2,4,6,20,21
8,11,0,5,11,2,8,4,25,11,0,4,18,27,8,25,0,4,22,0,0,16,7,8,7,2,14,27,8,33,0,8,5,21,0,5,8,8,24,8,10,5,20,7,0,1,2,0,3,6,11,7,4,1,8,13,5,16,12,16,4,16,2,0,13,33,2,0,1,11,3,8,0,3,11,4,5,16,6,5,22,7,2,16,9,16,11,7,29
22,0,0,0,25,6,8,1,2,0,0,1,2,1,2,2,4,0,5,0,0,2,15,21,1,0,2,1,7,11,0,0,1,3,1,3,0,11,11,0,35,15,16,8,27,2,0,0,6,4,2,0,10,4,12,22,0,5,13,6,9,1,3,1,0,2,1,9,11,15,1,9,1,0,0,0,2,7,6,5,9,4,0,9,18,11,14,11,2
2,0,3,6,16,1,15,1,10,1,0,1,2,5,2,9,22,5,0,0,0,1,2,15,7,2,1,4,0,15,0,0,3,7,5,2,1,22,10,8,15,13,9,2,5,0,0,0,13,4,1,1,1,1,15,11,3,1,20,1,4,4,3,1,1,7,0,2,1,4,0,4,0,1,11,0,5,15,3,17,10,5,7,7,13,0,5,13,6
0,0,0,0,0,14,0,40,0,0,10,10,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,1,0,0,0,12,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,7,40,5,0,0,31,0,0,0,0,0,0,0,0,44,0,0,0,0,1,0,0
0,0,0,0,1,44,0,5,0,0,24,4,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,0,0,5,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,17,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0
