Ant57,Ant5,Ant52,Ant59,Ant929,Ant6,Ant25,Ant26,Ant30,Ant74,Ant99,Ant102,Ant148,Ant191,Ant196,Ant209,Ant245,Ant268,Ant308,Ant620,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant111,Ant113,Ant114,Ant126,Ant135,Ant139,Ant142,Ant156,Ant159,Ant169,Ant170,Ant174,Ant195,Ant198,Ant207,Ant218,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant376,Ant387,Ant391,Ant437,Ant492,Ant549,Ant580,Ant592,Ant607,Ant614,Ant632,Ant638,Ant650,Ant663,Ant665
0,0,1,0,29,5,13,15,3,4,0,30,9,15,3,3,0,18,15,0,21,3,5,38,3,0,0,4,5,11,0,2,1,0,0,1,1,17,11,2,78,10,29,3,2,10,3,0,5,5,8,0,2,19,21,23,2,11,19,7,5,0,2,2,0,5,3,1,0,44,4,55,0,0,0,0,2,29,6,2,4,3,1,1,8,4,47,6,0
0,0,0,5,1,0,4,0,7,4,0,0,4,1,2,4,3,1,3,0,1,1,1,3,8,7,1,0,0,1,0,16,11,4,12,21,12,0,4,0,0,2,0,0,0,0,3,0,4,9,2,7,0,1,1,0,0,0,1,8,0,3,0,2,3,0,11,0,0,0,2,0,0,1,1,7,5,0,0,1,1,0,0,0,0,2,1,0,2
1,0,0,8,7,0,13,0,4,18,0,3,0,9,0,1,4,3,19,0,35,2,2,1,3,3,16,0,4,1,0,11,4,13,3,0,12,0,28,4,4,7,1,0,0,0,0,0,3,7,5,4,0,2,2,2,9,17,6,11,0,1,0,9,2,0,17,0,0,1,0,11,0,11,0,1,14,0,0,0,0,0,1,0,0,5,4,1,2
0,5,8,0,3,0,8,3,1,11,0,0,0,8,5,3,0,2,2,0,9,11,4,4,1,10,0,3,0,0,0,46,3,17,4,5,28,3,16,1,1,2,3,6,0,0,4,0,5,1,2,16,0,7,0,5,4,1,0,3,2,7,0,6,5,0,3,0,0,1,8,1,0,0,1,13,4,0,1,0,0,3,4,2,0,13,0,0,12
29,1,7,3,0,4,8,12,12,5,0,0,1,6,13,9,29,28,10,0,6,3,16,15,1,4,2,3,23,19,0,8,0,0,0,4,6,76,31,0,38,8,104,2,44,1,2,0,13,6,11,2,27,11,118,17,5,6,6,8,35,5,6,0,10,6,6,0,1,9,2,9,0,1,3,4,12,12,5,28,12,19,14,72,40,16,20,96,13
5,0,0,0,4,0,2,8,3,0,0,3,3,2,1,1,3,2,2,11,2,2,3,3,1,0,0,0,1,10,8,0,0,2,0,0,0,14,2,0,9,1,5,0,15,5,1,3,1,1,3,0,11,5,1,4,0,9,0,0,2,0,9,0,1,1,0,1,8,7,0,4,10,0,2,0,0,2,0,4,5,10,1,4,4,2,12,2,0
13,4,13,8,8,2,0,0,8,11,0,1,1,6,4,5,4,5,16,0,13,15,0,14,6,14,10,0,0,12,0,8,4,18,28,0,0,7,14,1,22,8,0,3,6,0,2,0,15,10,5,1,0,2,9,30,7,8,16,5,0,9,0,0,15,0,1,0,0,3,13,29,0,1,2,9,15,7,1,0,8,3,2,5,0,2,21,6,26
15,0,0,3,12,8,0,0,0,2,12,20,0,2,0,0,7,1,7,67,6,0,3,1,0,2,0,0,5,6,3,0,0,1,0,0,1,5,4,0,1,1,38,0,12,1,0,5,8,0,3,0,2,5,1,0,0,7,0,0,3,2,20,0,2,0,0,19,37,60,1,1,3,0,1,0,7,3,4,10,0,26,1,4,2,0,17,2,3
3,7,4,1,12,3,8,0,0,9,0,0,3,5,14,4,13,2,19,0,4,7,2,1,1,3,5,2,2,5,0,3,0,1,5,2,4,6,12,0,3,0,4,6,0,0,0,0,0,8,2,0,2,0,2,4,1,4,2,16,0,6,0,0,16,10,3,0,0,1,12,6,0,8,2,9,27,0,6,0,6,2,3,4,2,3,7,12,4
4,4,18,11,5,0,11,2,9,0,0,0,2,10,23,1,3,3,23,0,27,10,0,5,15,13,33,2,7,10,0,37,1,15,14,5,13,11,7,1,3,6,1,2,0,0,11,0,2,3,1,7,3,0,2,2,0,6,5,12,0,12,0,5,2,2,0,0,0,2,14,5,0,1,17,13,25,0,0,1,9,1,6,0,0,6,8,0,14
