Ant4,Ant57,Ant260,Ant52,Ant59,Ant65,Ant244,Ant397,Ant540,Ant2,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant534,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant32,Ant35,Ant43,Ant44,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant68,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant118,Ant124,Ant126,Ant127,Ant131,Ant137,Ant149,Ant159,Ant169,Ant172,Ant175,Ant176,Ant178,Ant186,Ant190,Ant194,Ant198,Ant206,Ant207,Ant210,Ant215,Ant218,Ant219,Ant220,Ant221,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant298,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant391,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant492,Ant501,Ant509,Ant538,Ant556,Ant560,Ant564,Ant576,Ant580,Ant592,Ant599,Ant607,Ant610,Ant614,Ant621,Ant632,Ant638,Ant650,Ant663
0,0,5,0,0,7,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,1,0,0,9,0,0,13,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,7,0,0,6,0,0,0,0,6,0,2,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0
0,0,5,0,0,13,0,1,0,0,1,22,0,0,6,14,0,4,0,0,0,6,2,0,1,12,1,0,16,1,1,0,9,0,0,0,2,1,25,2,6,0,2,0,0,1,0,0,2,1,12,0,2,1,2,0,1,0,0,5,9,0,0,2,1,3,0,7,0,1,1,15,0,0,10,0,7,0,0,4,0,5,1,0,20,0,6,1,6,9,0,2,1,1,8,0,2,0,5,2,1,0,0,7,0,13,0,2,2,0,12,0,5,2,10,0,7,0,1,6,4,0,0,0,16,4,0,2,0,0,0,0,0,0,0,0,2,7,4,12,2
5,5,0,25,3,5,1,9,3,6,5,8,5,3,10,7,4,0,0,0,2,6,10,2,4,9,5,0,16,2,3,6,11,1,0,4,10,3,22,11,6,0,8,1,8,4,3,0,9,9,16,3,20,1,8,1,0,8,10,10,3,11,3,9,5,1,2,10,5,4,2,12,1,4,4,1,13,5,3,12,0,7,4,4,15,3,23,4,10,9,2,3,4,2,5,0,11,0,6,3,12,4,2,11,3,8,1,10,8,1,15,0,1,1,9,8,12,2,16,8,9,2,0,0,22,6,0,17,1,0,1,0,0,1,0,3,0,12,5,9,4
0,0,25,0,23,2,1,16,0,13,16,0,7,2,0,11,10,1,2,1,0,1,0,4,4,10,7,1,6,4,1,5,0,5,0,5,8,16,4,20,17,7,1,1,2,2,0,0,9,1,1,1,7,4,10,3,7,6,7,0,0,16,1,9,0,8,3,15,5,5,0,1,2,1,4,1,1,3,5,0,0,9,8,14,15,1,0,15,7,0,4,1,12,4,4,5,23,0,0,10,0,1,0,1,17,4,3,4,11,0,3,0,6,6,0,4,1,0,10,6,10,7,1,1,1,3,0,20,0,1,1,15,4,0,7,2,0,3,5,4,4
0,0,3,23,0,4,0,17,0,18,2,0,7,3,0,2,6,2,1,0,1,1,1,5,5,8,11,0,4,9,8,4,4,22,0,3,18,13,25,9,13,2,8,2,5,17,2,0,11,4,2,9,10,1,2,1,4,20,1,5,2,9,1,8,6,15,3,4,1,2,9,8,1,5,4,0,1,1,1,0,0,6,1,14,1,0,1,1,4,1,5,13,1,4,1,0,17,5,0,8,3,0,2,2,5,5,8,9,3,0,1,1,7,3,15,5,5,4,4,9,2,7,0,4,0,9,5,35,1,0,1,9,1,0,3,0,13,3,1,6,7
7,13,5,2,4,0,1,6,0,0,4,51,0,0,4,2,3,8,0,0,0,8,7,0,0,19,2,0,12,2,0,0,9,1,0,0,3,0,19,1,7,0,0,2,0,0,1,0,1,2,13,0,0,1,1,0,0,0,0,1,0,0,0,3,0,2,0,2,0,0,0,9,0,0,2,0,6,0,0,7,0,1,2,0,19,0,24,0,4,4,0,0,4,1,7,0,0,0,6,0,1,0,0,8,0,3,2,0,0,0,13,0,1,0,12,0,4,1,14,0,8,0,0,0,20,2,1,0,0,0,0,0,2,0,0,0,1,6,10,7,4
0,0,1,1,0,1,0,0,2,1,2,0,7,0,1,0,5,0,1,25,1,0,0,1,10,0,4,0,1,1,12,0,0,0,1,4,5,2,2,9,9,4,10,9,17,2,5,1,12,0,0,0,2,3,1,16,2,1,0,2,2,4,3,8,1,3,2,1,1,2,0,0,1,1,0,0,0,21,8,0,22,0,0,1,0,5,1,1,3,0,2,18,2,3,0,3,1,0,0,1,1,2,0,0,3,5,15,0,4,2,1,9,0,3,0,1,0,0,0,0,0,1,0,5,0,1,0,0,0,2,1,0,8,4,0,0,1,0,0,0,6
0,1,9,16,17,6,0,0,0,38,1,0,2,3,3,8,10,1,2,1,2,0,1,3,0,13,2,1,2,10,13,3,3,8,0,8,9,11,7,10,5,2,11,3,0,1,1,0,15,4,0,4,11,6,6,7,11,7,5,6,12,15,5,4,3,27,4,13,4,4,4,1,2,3,0,0,0,7,2,0,1,8,1,22,8,13,0,18,7,2,1,16,6,13,2,2,20,0,0,2,2,1,1,3,11,2,2,7,1,1,14,0,6,8,8,11,5,10,11,6,4,4,3,2,0,7,8,43,1,1,0,27,5,0,4,3,4,0,2,3,8
0,0,3,0,0,0,2,0,0,3,1,0,1,1,0,0,4,0,21,17,5,0,0,5,5,0,7,0,0,0,2,22,0,0,20,5,1,5,1,4,6,3,1,9,1,0,1,5,4,0,0,1,1,9,1,1,19,0,8,0,6,8,10,10,0,1,12,0,0,3,0,0,0,16,0,13,0,9,8,0,4,0,1,0,1,2,0,1,2,0,6,2,1,1,0,12,3,0,0,0,1,7,1,0,3,0,1,0,5,3,0,14,1,7,1,4,3,0,0,0,1,2,27,10,0,2,4,0,0,4,7,0,4,7,5,0,0,0,1,1,2
0,0,6,13,18,0,1,38,3,0,1,0,4,6,0,2,7,1,0,2,0,2,0,2,4,0,15,0,3,4,5,10,0,2,2,5,3,9,2,1,6,2,13,10,5,2,3,0,12,5,3,4,5,0,1,3,3,3,2,3,3,13,1,1,5,6,2,13,2,11,11,0,0,2,0,1,1,5,8,0,5,13,6,9,2,4,1,7,4,0,2,4,1,13,2,0,19,10,0,6,1,2,2,1,21,2,1,16,2,4,7,0,2,6,1,2,1,3,3,3,2,7,5,3,0,1,8,58,2,4,1,8,4,6,3,1,1,0,0,2,12
