Ant57,Ant260,Ant52,Ant397,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant190,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant229,Ant232,Ant242,Ant250,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant324,Ant326,Ant331,Ant332,Ant334,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant560,Ant576,Ant592,Ant593,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,2,13,4,6,4,4,2,11,1,0,1,2,0,8,1,6,40,4,18,15,8,4,3,4,7,30,10,10,10,5,12,24,11,0,7,1,13,3,11,4,3,19,14,0,8,18,2,0,1,3,27,4,0,6,13,1,11,15,5,12,8,15,9,4,4,0,3,7,5,1,0,3,15,12,3,0,3,24,11,1,26,0,24,0,1,1,0,11,0,6,0,4,1,7,6,2,0,4,11,4,6,10,6,15,3,4,0,1,0,7,3,0,4,0,0,10,32,2,0,0,8,2,1,0,0,2,1,3,1,0,11,4,3,0,9,3,3,4,8,0,9,8
2,0,0,13,0,1,10,17,0,11,0,4,0,2,11,23,0,4,0,0,3,0,20,11,0,0,0,0,2,2,1,3,2,0,18,0,6,0,11,2,31,1,11,3,23,2,14,74,28,36,7,0,4,19,1,5,3,1,7,0,5,4,0,0,0,17,25,0,3,0,4,0,14,21,0,6,55,30,1,16,15,2,1,4,25,0,0,7,18,12,4,7,0,1,0,0,0,30,3,5,0,6,1,5,0,5,10,3,2,13,11,6,10,0,21,1,1,1,0,4,15,0,6,5,33,6,0,0,0,13,25,0,5,1,23,12,20,35,5,3,12,4,2
13,0,0,0,4,2,0,0,6,0,0,0,0,0,0,0,0,4,21,23,4,39,3,0,17,0,8,3,0,4,4,3,3,11,0,13,3,11,0,0,4,5,5,7,0,0,1,0,0,0,3,0,11,0,3,0,3,0,0,0,1,12,16,3,1,0,0,0,4,0,0,4,0,10,4,0,0,2,42,3,0,19,2,5,0,10,3,0,1,0,6,13,12,2,6,0,1,0,9,5,13,3,0,0,1,2,0,0,0,0,1,0,0,11,0,0,1,2,22,1,0,22,1,9,0,0,4,14,8,0,0,31,0,6,0,1,0,3,0,13,0,1,4
4,13,0,0,1,2,17,7,0,5,1,14,1,24,12,12,0,0,2,0,1,0,15,12,2,13,0,1,2,4,3,1,1,0,20,0,3,3,24,0,33,1,4,12,3,4,5,37,8,7,6,0,7,10,0,4,6,0,5,0,2,0,3,0,0,4,13,0,2,3,0,4,7,5,0,6,14,23,0,13,32,3,0,0,6,0,0,8,12,3,4,2,0,0,0,0,2,3,0,0,0,4,0,15,0,38,15,10,17,8,9,8,14,1,10,0,12,1,0,0,17,0,23,5,4,0,0,1,0,11,3,0,12,4,15,8,12,39,0,0,17,30,4
6,0,4,1,0,3,2,0,0,5,0,0,7,0,0,1,0,4,0,0,29,2,23,0,5,0,20,1,8,5,19,4,27,25,0,6,2,4,4,0,13,0,15,2,0,2,11,9,8,0,1,0,12,0,0,1,8,3,1,9,10,11,33,3,0,0,0,0,7,3,19,1,2,7,2,2,5,5,18,5,1,26,1,4,0,2,4,0,5,16,7,1,4,0,5,0,11,0,11,6,9,3,9,1,0,4,12,0,1,0,4,2,0,7,1,0,1,3,37,3,0,2,5,3,1,2,0,1,8,1,0,13,0,11,0,7,0,6,1,7,0,11,14
4,1,2,2,3,0,0,0,1,8,4,0,11,0,5,0,3,3,3,1,4,8,15,0,31,0,4,1,1,1,37,7,9,8,0,2,14,8,16,2,11,4,14,0,0,3,7,2,6,3,12,4,22,0,0,2,1,6,9,4,25,5,42,3,0,17,0,6,11,6,14,5,3,12,0,0,6,5,5,59,0,9,0,24,0,3,0,0,2,10,20,2,8,2,3,8,1,5,6,18,1,5,6,12,10,5,9,1,0,1,2,1,0,9,1,0,6,10,2,2,0,5,7,8,0,0,0,11,12,3,0,52,0,16,0,18,5,7,7,17,0,11,13
4,10,0,17,2,0,0,6,0,7,2,25,0,0,14,12,0,1,0,0,0,0,13,6,0,8,0,0,0,10,1,1,3,2,9,0,18,3,24,0,61,2,0,10,1,7,10,20,16,5,3,1,0,6,1,4,13,0,6,0,13,0,0,1,0,16,27,0,4,0,1,0,7,0,0,15,35,4,4,0,6,4,0,0,1,0,0,19,1,11,0,2,0,0,0,0,1,1,0,0,0,2,3,7,0,7,8,0,3,9,19,20,1,0,21,0,7,0,0,7,2,1,1,13,0,0,0,0,1,6,0,8,22,0,3,10,3,11,3,1,5,7,1
2,17,0,7,0,0,6,0,0,4,0,4,0,1,14,38,0,0,0,0,0,0,10,11,0,1,0,0,2,3,0,0,1,0,26,1,0,1,11,0,44,1,0,0,12,3,0,16,20,29,5,0,1,14,0,3,2,0,3,0,4,0,0,1,0,16,9,0,4,2,12,0,13,4,0,8,32,16,0,2,17,5,0,0,18,1,0,39,1,1,1,18,0,0,0,0,0,13,1,0,0,1,1,16,0,1,3,6,8,7,4,13,10,1,11,0,1,0,0,3,34,1,14,5,5,0,0,0,0,6,26,0,1,2,46,4,9,12,0,0,13,1,5
11,0,6,0,0,1,0,0,0,0,18,1,7,0,0,0,3,1,92,11,7,2,4,0,0,0,1,4,0,3,2,1,0,16,0,13,0,9,0,1,2,0,10,2,0,0,9,0,0,0,3,15,6,0,1,0,0,9,0,2,1,7,11,19,4,0,0,0,0,1,0,0,0,3,4,0,1,1,15,11,0,0,0,1,0,4,0,0,3,0,11,1,28,3,24,10,8,0,6,1,9,2,0,0,6,3,0,0,0,0,1,0,0,13,1,0,0,1,17,1,0,3,0,0,0,1,2,41,9,0,0,2,0,14,0,0,0,3,3,3,0,1,10
1,11,0,5,5,8,7,4,0,0,6,10,1,0,3,2,0,1,2,0,3,0,16,4,0,10,2,1,0,6,1,4,1,2,1,0,1,0,11,1,10,3,0,4,0,9,2,8,2,4,4,0,4,0,1,5,1,0,3,0,11,6,4,0,0,15,8,0,6,0,13,3,7,5,0,32,4,6,1,21,4,7,0,0,0,1,1,4,7,12,5,4,0,1,0,0,1,6,2,3,0,1,4,8,2,13,4,1,0,1,7,2,3,5,2,0,13,3,0,4,3,1,23,9,5,0,0,0,0,0,0,0,12,3,0,21,11,4,4,0,0,20,3
