Ant4,Ant260,Ant52,Ant65,Ant244,Ant397,Ant540,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant210,Ant215,Ant219,Ant220,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant501,Ant509,Ant556,Ant560,Ant564,Ant576,Ant580,Ant599,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
0,27,5,23,0,4,0,5,146,0,0,7,2,2,7,3,0,14,69,2,0,20,4,0,4,2,1,0,0,0,2,5,1,7,10,4,1,0,3,5,31,2,0,12,3,0,1,13,2,2,2,9,0,2,1,5,4,2,1,4,20,9,0,0,0,2,4,13,7,11,0,8,6,0,3,3,18,3,13,0,30,11,10,0,0,5,11,0,1,0,1,30,0,47,0,3,17,0,3,13,21,1,0,44,2,21,1,5,0,0,0,0,1,19,36,15
27,0,24,5,1,23,0,18,56,12,3,19,42,15,10,5,8,23,27,15,2,20,19,0,8,13,5,2,0,1,5,57,15,28,10,48,1,1,0,2,19,0,2,20,16,39,0,14,7,17,0,27,8,22,3,17,9,6,8,20,40,33,1,1,6,16,1,46,13,21,0,9,36,8,1,24,11,2,18,0,14,21,72,1,0,23,22,5,2,8,4,37,0,27,5,4,37,4,28,18,1,22,0,18,5,4,0,3,0,1,1,2,18,19,1,22
5,24,0,0,3,5,5,4,1,7,5,1,2,4,1,15,5,3,6,16,7,11,17,0,4,1,6,0,0,0,0,23,12,3,19,7,1,0,4,2,4,3,0,11,2,10,3,5,0,8,3,3,20,12,11,16,0,9,21,8,15,5,1,0,9,5,6,1,4,17,3,9,5,0,1,22,1,17,5,0,2,5,19,1,9,4,3,5,1,3,0,14,0,6,4,7,12,4,3,6,0,3,3,10,6,0,0,6,1,4,1,1,3,2,0,18
23,5,0,0,0,0,0,2,7,0,0,11,1,0,0,0,0,10,18,0,0,10,0,0,9,0,3,0,0,0,0,0,0,3,0,2,0,0,0,0,22,0,0,27,1,2,0,2,0,1,0,15,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,4,0,29,7,0,0,0,0,8,0,0,0,0,31,0,22,0,0,32,0,0,1,29,1,0,6,1,17,0,0,0,0,0,0,0,4,1,2
0,1,3,0,0,1,12,0,0,0,0,0,1,9,7,11,7,0,0,1,1,0,0,0,0,0,1,11,0,1,0,0,2,0,0,3,4,21,7,1,0,2,16,1,0,2,5,0,1,0,9,0,0,2,3,0,1,0,9,0,0,0,0,9,6,0,12,0,0,0,11,0,6,9,2,5,0,14,0,0,1,0,0,4,0,0,0,0,4,0,0,1,2,2,3,0,1,11,0,0,0,0,18,0,0,0,1,12,2,1,2,1,0,0,0,2
4,23,5,0,1,0,9,1,0,4,5,1,9,9,17,6,14,3,1,4,6,4,18,0,5,7,9,2,0,0,2,7,7,0,18,19,9,1,8,1,0,4,36,2,1,11,0,4,15,2,6,2,9,4,8,12,2,0,6,6,2,1,0,2,17,2,2,0,1,4,3,0,14,7,9,13,1,3,6,0,3,4,3,0,3,3,1,8,10,10,1,5,0,23,2,2,3,6,7,1,0,3,1,5,6,6,11,5,0,2,1,11,5,0,0,18
0,0,5,0,12,9,0,1,0,2,7,1,4,3,2,6,2,0,0,2,9,1,2,0,1,0,0,5,0,46,0,7,1,0,3,0,0,25,3,9,3,7,10,0,3,8,8,1,3,2,1,0,0,3,11,2,4,0,19,0,2,5,15,0,8,1,5,3,3,1,24,0,4,3,3,2,1,20,1,0,2,1,3,3,16,0,0,1,2,2,6,2,12,1,13,6,1,0,1,2,0,6,3,1,1,0,12,8,9,6,12,6,5,1,0,2
5,18,4,2,0,1,1,0,45,0,0,4,16,0,0,0,0,8,3,0,3,14,0,0,10,3,4,0,0,0,0,8,1,10,3,8,0,0,1,0,8,0,0,21,7,0,0,2,0,8,0,9,1,2,2,0,0,3,1,9,2,3,0,0,1,0,0,7,9,14,0,7,1,0,1,1,2,0,14,0,14,11,2,1,0,8,5,1,1,1,1,23,0,31,0,0,31,0,2,4,6,10,0,29,2,0,0,1,0,0,0,0,0,2,0,3
146,56,1,7,0,0,0,45,0,0,0,32,0,0,1,0,0,32,122,0,0,131,0,0,10,1,0,0,0,0,0,7,0,29,7,2,0,0,0,0,186,0,0,32,5,4,1,19,0,0,0,13,0,3,0,0,0,4,0,3,7,5,0,0,0,0,0,0,0,6,0,10,0,0,0,1,74,0,3,0,90,36,0,0,0,11,28,0,0,2,0,112,0,124,0,0,208,0,0,4,19,8,0,84,0,24,0,0,2,0,0,1,0,2,17,14
0,12,7,0,0,4,2,0,0,0,1,1,16,4,13,0,0,1,0,2,3,4,10,0,2,4,5,5,0,0,1,6,3,3,6,15,0,0,6,0,0,6,1,4,0,3,2,7,0,5,4,4,7,4,1,20,5,7,23,9,11,7,0,8,10,9,5,4,9,15,2,0,15,8,10,6,0,2,13,0,0,1,2,2,3,2,2,8,3,8,4,3,1,1,1,1,6,2,2,2,0,0,0,0,3,4,3,1,0,3,1,5,6,5,0,10
