Ant4,Ant260,Ant52,Ant65,Ant244,Ant397,Ant540,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant210,Ant215,Ant219,Ant220,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant501,Ant509,Ant556,Ant560,Ant564,Ant576,Ant580,Ant599,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
0,4,0,23,0,0,0,3,35,0,0,5,0,0,0,0,0,7,1,0,0,15,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,11,0,0,1,0,0,0,8,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,1,0,6,2,0,0,0,0,26,0,0,0,0,14,0,33,0,0,7,0,0,0,15,0,0,18,0,15,0,0,0,0,0,0,0,0,3,0
4,0,3,22,1,7,2,15,23,15,1,9,3,2,0,0,0,14,14,0,1,22,4,0,6,5,4,1,0,0,3,2,1,14,23,2,1,0,0,2,27,1,0,16,12,3,0,16,0,1,0,27,0,1,2,1,1,5,1,14,13,6,0,0,1,0,0,10,5,8,4,2,3,0,0,0,15,1,9,0,5,8,6,0,0,8,24,1,2,1,0,33,0,53,0,1,26,0,14,12,12,3,1,24,5,8,0,2,0,0,1,2,5,4,4,4
0,3,0,0,1,1,5,2,6,4,3,1,10,29,5,0,0,2,8,1,10,3,16,0,0,14,18,0,0,0,7,11,7,3,27,19,14,2,7,0,11,9,1,4,2,9,3,4,0,2,2,7,10,30,2,29,3,6,9,8,7,3,5,8,3,10,1,1,9,1,16,3,36,4,9,13,0,0,8,0,0,3,3,0,9,5,2,4,5,9,4,1,2,3,1,3,9,3,4,4,2,2,2,2,2,0,1,7,0,0,2,4,1,3,0,9
23,22,0,0,0,0,0,15,101,0,0,19,2,3,1,0,0,15,34,0,0,17,1,2,5,0,1,0,0,0,1,0,0,7,6,0,0,0,0,0,24,0,0,31,21,0,0,16,0,1,0,14,3,1,0,0,0,2,0,0,6,3,0,0,1,0,0,9,1,4,0,18,2,0,0,4,45,0,1,0,29,11,0,0,0,3,3,0,0,0,0,8,0,66,0,3,1,0,1,2,33,1,0,68,1,46,0,0,0,0,0,0,0,1,16,1
0,1,1,0,0,0,5,1,1,3,1,0,0,0,9,4,11,0,0,3,5,0,5,0,0,0,1,0,0,0,3,4,4,1,4,8,15,6,5,11,0,0,7,1,0,2,1,1,1,0,2,0,2,7,0,2,1,0,12,1,0,1,0,1,8,5,22,0,1,0,0,0,3,1,1,2,1,1,0,0,1,0,0,0,1,0,0,2,3,1,0,0,0,0,4,1,0,2,0,2,0,1,3,0,0,0,2,0,1,1,1,1,1,0,0,3
0,7,1,0,0,0,0,2,1,11,1,0,1,1,5,2,0,11,2,14,3,17,3,0,9,0,6,0,0,0,1,5,6,9,13,5,0,0,1,0,6,0,0,18,1,2,2,0,10,8,0,7,12,3,6,13,11,15,6,11,6,22,3,1,3,6,5,3,11,3,3,0,9,0,1,3,1,0,3,0,8,13,0,2,0,10,10,1,0,12,2,2,0,2,6,0,14,3,2,10,6,3,1,11,4,0,0,0,0,0,0,0,5,9,8,14
0,2,5,0,5,0,0,2,0,3,8,0,0,1,1,3,9,1,0,24,8,0,7,0,0,5,1,0,1,9,0,4,6,0,2,8,14,3,13,8,0,7,11,7,0,2,5,0,2,0,13,0,1,23,11,4,3,2,20,4,0,1,26,3,5,1,4,0,1,3,19,0,6,12,35,2,0,14,5,0,0,1,1,9,18,1,0,2,4,3,1,1,4,0,3,2,2,3,1,0,0,0,10,1,2,0,5,15,3,9,2,14,5,1,1,3
3,15,2,15,1,2,2,0,32,0,0,2,8,1,3,0,0,16,5,0,0,27,2,0,13,5,3,0,0,0,0,1,5,6,11,0,0,0,0,0,7,0,0,12,7,6,0,15,0,9,0,17,5,0,0,3,0,5,6,8,8,3,0,0,1,0,0,5,1,0,0,0,2,0,5,6,6,0,12,0,11,16,6,0,0,10,9,2,0,1,1,40,0,27,6,2,21,0,3,3,8,3,0,46,2,5,0,0,0,0,0,1,1,14,6,8
35,23,6,101,1,1,0,32,0,0,0,25,0,2,0,1,0,59,144,0,0,38,6,2,13,2,1,0,0,0,0,9,1,20,3,1,0,2,1,0,32,0,0,48,28,28,5,34,0,0,0,20,3,0,1,2,1,0,1,7,11,4,0,0,3,2,0,10,0,5,6,2,29,0,1,9,30,0,12,0,22,56,12,0,0,31,13,4,0,0,0,46,0,204,2,0,95,2,0,0,2,5,0,157,1,7,0,0,0,1,0,0,0,12,10,1
0,15,4,0,3,11,3,0,0,0,2,0,2,4,6,3,0,3,2,18,31,13,6,0,1,11,11,0,0,0,3,17,1,3,11,14,1,3,1,0,4,0,2,0,0,16,0,3,2,13,0,14,9,6,2,12,8,15,14,5,8,15,1,0,3,3,0,1,8,4,2,7,6,1,16,8,0,2,1,0,2,4,8,0,6,1,10,8,6,3,3,6,4,0,9,6,4,1,16,10,2,3,1,6,5,0,0,0,8,2,4,4,8,3,1,29
