Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant252,Ant954,Ant27,Ant44,Ant49,Ant51,Ant97,Ant117,Ant170,Ant176,Ant242,Ant256,Ant262,Ant263,Ant264,Ant299,Ant305,Ant356,Ant391,Ant475,Ant476,Ant502,Ant592,Ant593,Ant599,Ant638,Ant650
0,7,2,38,1,22,8,1,22,4,0,6,0,5,19,12,3,5,2,2,6,2,0,3,10,3,1,17,10,0,2,13,5,50,38
7,0,11,9,9,0,0,0,13,15,7,13,7,2,2,26,5,7,6,1,2,20,8,29,1,15,18,1,1,16,12,7,7,6,10
2,11,0,3,21,0,0,2,19,7,30,38,16,0,0,20,10,0,10,0,3,26,21,10,1,11,11,4,0,15,18,4,10,1,1
38,9,3,0,6,7,3,5,1,6,5,2,2,5,16,4,3,7,3,4,1,6,3,6,8,1,1,5,8,0,6,8,4,22,9
1,9,21,6,0,0,0,0,16,6,25,33,18,3,1,15,6,3,33,3,8,21,9,17,1,12,15,16,3,6,14,6,10,3,2
22,0,0,7,0,0,1,1,0,1,0,0,0,2,5,1,0,4,0,1,0,0,1,0,1,0,0,3,4,0,0,3,0,6,2
8,0,0,3,0,1,0,5,0,3,0,0,0,0,2,0,0,0,1,11,1,0,2,0,3,0,2,0,0,1,0,3,0,3,5
1,0,2,5,0,1,5,0,0,1,0,4,1,1,6,6,0,4,3,23,0,0,0,5,12,5,0,4,0,0,1,17,12,2,1
22,13,19,1,16,0,0,0,0,12,33,18,10,7,0,18,7,4,7,0,8,9,29,25,2,23,28,8,0,1,16,2,9,1,3
4,15,7,6,6,1,3,1,12,0,6,1,2,4,1,20,8,9,7,1,1,8,4,3,6,14,13,5,0,5,1,8,9,0,4
0,7,30,5,25,0,0,0,33,6,0,28,17,5,0,12,27,5,42,0,4,21,30,24,1,5,12,7,0,5,23,8,9,2,1
6,13,38,2,33,0,0,4,18,1,28,0,8,18,0,3,11,1,13,0,1,27,6,14,0,8,1,5,0,13,30,2,8,3,4
0,7,16,2,18,0,0,1,10,2,17,8,0,0,0,10,20,1,3,0,3,4,21,13,4,22,37,9,0,6,8,3,8,1,0
5,2,0,5,3,2,0,1,7,4,5,18,0,0,8,15,3,8,1,0,13,1,1,2,5,5,0,16,9,2,4,7,2,8,2
19,2,0,16,1,5,2,6,0,1,0,0,0,8,0,0,3,4,2,23,1,0,2,8,3,4,1,11,4,0,3,4,11,8,11
12,26,20,4,15,1,0,6,18,20,12,3,10,15,0,0,3,20,24,1,6,20,41,6,9,30,11,31,4,9,17,13,10,2,1
3,5,10,3,6,0,0,0,7,8,27,11,20,3,3,3,0,6,12,1,9,9,4,5,1,1,2,18,1,0,8,6,6,4,1
5,7,0,7,3,4,0,4,4,9,5,1,1,8,4,20,6,0,3,2,4,1,4,4,2,2,1,14,2,3,2,27,7,5,17
2,6,10,3,33,0,1,3,7,7,42,13,3,1,2,24,12,3,0,0,2,19,13,32,1,25,3,7,0,9,11,3,8,0,0
2,1,0,4,3,1,11,23,0,1,0,0,0,0,23,1,1,2,0,0,0,0,0,0,29,4,6,3,0,0,2,1,3,3,16
6,2,3,1,8,0,1,0,8,1,4,1,3,13,1,6,9,4,2,0,0,2,1,6,3,4,3,15,1,6,11,5,0,7,3
2,20,26,6,21,0,0,0,9,8,21,27,4,1,0,20,9,1,19,0,2,0,3,33,1,22,14,7,0,6,14,4,11,2,0
0,8,21,3,9,1,2,0,29,4,30,6,21,1,2,41,4,4,13,0,1,3,0,2,1,25,9,7,0,15,26,5,5,3,3
3,29,10,6,17,0,0,5,25,3,24,14,13,2,8,6,5,4,32,0,6,33,2,0,1,9,7,10,0,17,16,8,7,3,0
10,1,1,8,1,1,3,12,2,6,1,0,4,5,3,9,1,2,1,29,3,1,1,1,0,5,2,4,2,0,11,9,6,2,0
3,15,11,1,12,0,0,5,23,14,5,8,22,5,4,30,1,2,25,4,4,22,25,9,5,0,21,9,0,1,15,4,17,1,4
1,18,11,1,15,0,2,0,28,13,12,1,37,0,1,11,2,1,3,6,3,14,9,7,2,21,0,21,0,7,14,5,16,2,0
17,1,4,5,16,3,0,4,8,5,7,5,9,16,11,31,18,14,7,3,15,7,7,10,4,9,21,0,5,0,4,18,9,3,12
10,1,0,8,3,4,0,0,0,0,0,0,0,9,4,4,1,2,0,0,1,0,0,0,2,0,0,5,0,0,4,5,1,5,3
0,16,15,0,6,0,1,0,1,5,5,13,6,2,0,9,0,3,9,0,6,6,15,17,0,1,7,0,0,0,0,0,0,1,0
2,12,18,6,14,0,0,1,16,1,23,30,8,4,3,17,8,2,11,2,11,14,26,16,11,15,14,4,4,0,0,4,3,3,7
13,7,4,8,6,3,3,17,2,8,8,2,3,7,4,13,6,27,3,1,5,4,5,8,9,4,5,18,5,0,4,0,9,10,21
5,7,10,4,10,0,0,12,9,9,9,8,8,2,11,10,6,7,8,3,0,11,5,7,6,17,16,9,1,0,3,9,0,0,3
50,6,1,22,3,6,3,2,1,0,2,3,1,8,8,2,4,5,0,3,7,2,3,3,2,1,2,3,5,1,3,10,0,0,32
38,10,1,9,2,2,5,1,3,4,1,4,0,2,11,1,1,17,0,16,3,0,3,0,0,4,0,12,3,0,7,21,3,32,0
