Ant59,Ant540,Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant954,Ant1,Ant17,Ant27,Ant44,Ant49,Ant51,Ant71,Ant97,Ant115,Ant117,Ant120,Ant153,Ant170,Ant176,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant298,Ant299,Ant305,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant564,Ant592,Ant593,Ant599,Ant607,Ant638,Ant647,Ant650
0,4,4,6,8,10,15,0,0,5,0,16,15,5,8,10,4,0,6,29,11,10,1,9,3,8,3,2,5,2,6,27,4,1,14,3,6,2,11,5,4,18,15,16,6,2,3,4,12,8,0,2,2,2,5
4,0,31,1,21,9,10,5,0,3,6,9,5,8,1,8,11,3,11,9,12,8,9,6,12,7,6,14,15,12,27,0,3,12,1,2,4,5,11,7,17,11,5,2,21,6,1,3,8,13,2,9,16,13,12
4,31,0,8,2,12,16,14,0,3,6,4,0,2,0,43,8,8,4,3,4,3,17,7,18,3,6,16,5,2,17,3,5,17,3,1,3,3,1,11,49,11,1,2,3,4,0,1,6,24,10,13,52,42,19
6,1,8,0,1,6,17,2,0,5,6,17,14,14,3,8,19,0,0,9,4,10,4,3,4,10,27,10,2,4,7,0,2,2,0,17,5,12,6,0,1,5,6,3,10,2,8,0,22,11,9,7,7,1,2
8,21,2,1,0,3,0,0,0,2,1,2,17,1,6,4,1,0,6,16,6,22,0,2,13,0,6,0,0,1,6,47,4,1,2,3,0,2,25,5,2,18,16,33,15,1,0,2,1,8,21,0,0,2,3
10,9,12,6,3,0,13,3,0,0,9,2,9,0,2,18,8,1,4,4,0,13,15,0,3,7,13,4,12,1,5,0,2,3,4,9,3,6,1,4,13,0,2,0,9,2,3,1,12,9,2,2,8,12,12
15,10,16,17,0,13,0,2,0,2,8,22,6,1,9,11,14,1,8,1,12,5,1,9,13,5,13,6,8,7,4,2,4,1,10,4,2,2,7,12,18,3,1,0,14,5,3,2,24,6,4,7,11,7,7
0,5,14,2,0,3,2,0,0,2,1,1,1,0,0,4,1,0,0,0,0,0,0,0,2,0,0,7,2,0,0,2,1,1,0,0,0,0,0,1,7,0,0,0,0,2,0,0,2,1,1,0,4,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,3,5,2,0,2,2,2,0,0,4,2,0,1,9,12,2,3,5,1,2,7,3,1,4,14,10,10,4,2,0,2,13,0,2,1,16,1,3,5,3,0,0,12,2,0,0,7,7,2,18,7,7,2
0,6,6,6,1,9,8,1,0,0,0,6,0,5,2,7,1,0,5,14,16,8,7,2,6,2,4,3,6,4,3,2,3,2,2,0,11,1,1,2,6,7,2,4,6,3,2,2,0,3,1,0,5,4,7
16,9,4,17,2,2,22,1,0,4,6,0,22,5,10,3,18,0,12,1,26,7,0,10,1,2,19,5,7,6,4,3,11,6,6,7,12,4,5,3,0,20,28,2,9,1,19,2,6,8,11,0,5,1,2
15,5,0,14,17,9,6,1,0,2,0,22,0,2,7,9,6,2,25,23,10,16,2,15,3,3,7,6,10,4,5,60,16,4,4,10,0,8,8,14,3,18,13,37,11,1,0,7,0,2,24,5,0,1,0
5,8,2,14,1,0,1,0,0,0,5,5,2,0,7,3,5,0,13,7,24,13,2,2,3,6,9,3,4,4,6,5,4,2,10,6,17,9,8,1,2,6,10,8,3,0,3,13,10,0,8,0,3,1,6
8,1,0,3,6,2,9,0,0,1,2,10,7,7,0,2,6,0,10,2,26,8,6,1,6,5,5,1,3,7,6,19,6,0,6,8,4,1,21,10,1,13,8,8,5,0,5,10,3,2,6,0,1,0,1
10,8,43,8,4,18,11,4,0,9,7,3,9,3,2,0,8,3,2,5,22,14,9,4,21,6,2,8,16,8,13,2,14,8,0,2,7,2,4,15,20,2,6,1,8,2,1,1,7,13,6,5,17,19,16
4,11,8,19,1,8,14,1,0,12,1,18,6,5,6,8,0,0,1,0,7,7,7,12,4,5,7,8,9,8,4,16,3,3,3,13,8,5,3,1,2,6,20,12,10,1,7,4,12,8,1,2,0,3,0
