Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant24,Ant25,Ant26,Ant30,Ant38,Ant73,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant1,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant44,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant85,Ant91,Ant96,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant144,Ant147,Ant149,Ant153,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant176,Ant178,Ant186,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant220,Ant221,Ant226,Ant229,Ant232,Ant238,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant398,Ant433,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant593,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,0,28,1,5,17,0,2,12,0,3,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,1,0,1,0,1,0,0,11,3,0,0,0,3,2,0,0,10,17,17,0,1,0,16,0,10,4,13,0,18,0,5,0,0,1,5,0,7,1,0,0,19,0,1,3,0,8,0,5,1,0,0,4,0,3,19,2,0,4,9,0,0,3,0,0,3,0,0,0,23,17,10,0,21,14,3,8,0,15,0,0,0,0,0,4,0,0,34,0,3,20,26,0,0,7,0,0,14,0,9,0,0,10,0,0,0,0,0,2,0,0,0,3,3,0,0,0,12,4,0,1,0,2,0,4,0,6
0,0,1,1,0,0,1,0,2,8,0,12,0,9,5,2,17,3,5,8,6,0,3,7,6,4,3,0,3,24,2,11,9,0,2,13,6,24,2,6,0,1,0,0,0,0,2,1,10,0,0,1,0,11,0,6,3,10,3,0,12,36,0,2,27,0,0,9,1,3,48,2,18,0,0,9,0,2,1,1,0,11,7,0,0,2,1,3,27,16,0,7,4,7,1,0,0,1,0,8,2,3,18,1,12,13,4,1,11,1,6,12,1,2,6,3,0,12,6,0,4,0,3,45,8,4,6,0,4,5,4,8,0,13,1,7,4,3,5,12,0,0,3,0,3,0,12,0,1,12,5,4
28,1,0,8,3,1,0,4,1,3,25,3,0,4,0,5,0,0,2,0,0,0,0,7,0,1,11,0,2,0,0,0,0,4,2,0,0,0,5,2,0,0,12,15,8,1,0,1,3,0,1,0,38,2,45,0,0,0,0,14,4,2,21,9,1,0,10,0,1,2,0,10,0,14,9,5,3,0,0,0,10,2,6,14,21,0,0,2,1,3,0,0,6,0,3,24,0,1,35,18,6,7,0,8,1,2,3,6,0,33,1,1,18,0,0,3,3,0,0,7,8,2,10,0,33,0,2,20,1,6,0,5,0,2,2,4,8,1,1,1,0,4,12,0,0,2,7,32,2,5,0,0
1,1,8,0,7,17,23,7,35,2,20,0,0,8,2,2,2,0,19,0,0,0,10,10,2,4,15,12,3,1,3,4,0,3,3,2,0,0,17,5,9,0,12,25,10,16,4,9,2,0,16,18,0,2,29,0,10,6,7,13,1,4,2,10,3,0,5,6,2,49,2,11,2,2,29,4,1,12,0,1,3,9,1,21,4,2,0,2,3,7,7,1,5,1,7,4,15,2,13,6,0,12,0,12,6,4,10,0,3,4,1,0,3,1,1,14,11,1,1,9,8,30,4,2,1,0,1,5,0,2,1,1,1,2,15,2,1,8,8,2,0,4,1,2,0,3,1,12,1,9,3,19
5,0,3,7,0,0,4,3,0,5,1,4,0,12,4,2,0,2,4,2,2,14,1,4,7,0,1,3,12,1,7,6,0,9,12,0,1,0,10,3,1,0,8,3,0,5,0,3,8,0,3,0,3,0,14,0,3,1,0,19,0,2,14,22,3,0,0,0,5,6,0,15,0,0,1,4,7,1,0,4,0,0,0,6,0,3,1,2,1,2,11,0,0,0,2,3,5,4,27,1,2,4,1,14,0,11,9,0,0,0,0,1,9,0,0,7,13,1,0,6,11,7,11,2,4,0,4,8,1,2,2,17,1,5,0,0,0,17,9,2,0,1,2,8,1,0,1,7,10,3,7,7
17,0,1,17,0,0,1,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,10,2,0,15,0,0,25,5,0,0,0,5,0,3,1,26,4,6,3,4,0,12,0,6,11,24,0,16,5,12,0,0,17,3,0,34,0,0,0,19,0,1,0,0,9,1,4,29,1,3,6,0,4,23,8,0,4,12,0,4,1,1,0,2,1,0,0,14,16,37,0,2,3,1,0,0,44,2,1,1,0,0,1,0,8,26,0,0,0,13,0,1,11,15,0,0,1,4,1,0,10,0,9,0,0,2,0,4,2,1,1,4,0,0,1,7,20,0,1,9,5,0,10,5,11
0,1,0,23,4,1,0,8,10,2,11,0,1,2,10,1,2,0,14,0,1,7,3,15,2,1,4,3,1,3,33,1,0,4,16,1,0,0,51,1,6,0,3,7,3,0,1,0,11,0,32,9,27,3,3,0,9,0,0,7,0,1,1,5,0,0,0,1,1,35,1,10,0,0,29,2,0,21,0,6,8,9,2,6,8,1,0,1,0,3,10,0,0,0,14,1,15,1,24,12,12,8,0,12,0,1,4,2,0,13,3,2,12,1,9,1,6,2,1,19,14,8,8,0,10,0,1,6,0,0,0,3,0,7,2,0,0,2,54,2,0,3,1,2,1,1,2,13,3,1,0,19
2,0,4,7,3,1,8,0,1,4,18,0,2,0,0,0,0,5,1,0,0,4,10,10,2,0,11,32,3,0,13,7,0,8,2,0,1,0,3,1,10,1,1,12,4,12,4,5,4,1,13,11,0,0,0,2,17,1,0,0,8,0,6,0,1,1,8,0,3,23,0,9,6,16,8,2,1,3,0,3,0,6,0,23,10,0,0,3,0,1,0,1,9,11,0,21,13,2,0,21,1,3,0,9,2,0,7,10,0,0,0,0,1,0,0,1,19,0,1,1,3,6,0,1,2,1,0,17,0,0,1,1,0,1,25,2,1,21,2,6,0,11,2,14,0,2,1,29,11,6,0,5
12,2,1,35,0,0,10,1,0,1,0,0,0,7,0,17,0,0,33,0,0,1,8,14,2,0,3,9,2,0,4,3,0,0,9,1,0,1,20,3,9,0,3,9,4,1,2,1,4,0,9,10,0,0,0,1,8,0,0,0,0,0,1,3,1,0,0,11,8,20,0,16,8,3,5,2,2,0,0,0,0,1,1,10,1,0,0,2,1,3,3,0,6,0,14,0,0,7,1,2,4,11,0,16,0,5,6,6,0,2,2,0,6,6,1,6,2,1,0,11,18,17,0,1,1,0,4,1,0,3,0,2,0,3,7,4,1,9,4,0,0,0,0,0,0,7,1,1,3,7,0,5
0,8,3,2,5,0,2,4,1,0,8,4,0,5,14,4,4,6,4,5,1,9,3,9,6,6,1,7,22,13,15,19,13,0,10,1,1,6,7,5,10,1,2,6,5,1,5,7,7,7,6,1,0,11,5,5,2,2,5,33,1,6,5,0,4,2,1,12,7,7,6,16,9,2,6,5,2,8,1,4,0,1,7,0,3,1,5,12,2,28,1,2,14,6,0,1,0,11,3,34,2,2,9,8,4,4,18,3,3,3,4,1,0,1,10,8,0,2,6,1,17,10,2,7,0,7,2,5,1,19,19,7,7,27,21,10,4,8,4,17,0,11,0,11,9,3,6,13,3,8,5,7
3,0,25,20,1,3,11,18,0,8,0,0,0,0,0,12,0,0,3,0,0,12,0,9,3,0,7,9,0,0,3,2,0,3,4,0,0,0,10,2,5,0,5,10,13,0,0,4,22,0,27,10,14,0,16,0,2,0,1,50,1,0,22,4,0,0,6,1,9,14,0,9,1,5,10,2,0,32,0,1,19,9,0,8,3,0,2,2,1,0,12,0,4,0,34,12,6,1,17,0,1,3,0,2,0,0,8,1,0,3,0,0,9,0,2,3,13,0,0,16,1,11,5,0,2,1,0,2,0,0,0,0,1,1,4,0,0,1,6,2,0,4,5,0,0,1,0,17,2,2,0,19
0,12,3,0,4,0,0,0,0,4,0,0,19,0,5,1,10,5,9,15,5,1,7,0,8,13,1,1,4,5,12,16,11,5,1,12,5,5,1,5,0,26,0,0,1,11,15,19,9,16,0,0,0,4,0,6,1,16,1,0,39,15,0,0,30,48,9,20,5,7,9,6,9,8,1,36,7,1,3,11,0,0,6,0,0,8,31,3,25,11,0,12,5,14,0,0,0,6,0,4,0,2,22,0,9,11,1,0,11,1,25,10,0,1,2,4,0,11,28,0,1,1,0,23,0,21,1,4,20,13,18,6,26,2,2,9,26,2,9,34,0,31,4,15,94,11,9,11,2,13,11,4
0,0,0,0,0,0,1,2,0,0,0,19,0,0,1,0,0,13,0,0,0,0,12,0,0,28,0,12,1,0,6,31,3,2,2,5,6,0,1,1,0,17,0,0,0,1,0,9,1,11,0,0,0,0,0,14,5,17,1,0,49,0,11,0,2,28,6,0,14,1,0,14,4,6,0,116,6,0,14,0,0,2,15,0,0,33,56,1,8,0,0,8,0,5,0,6,2,3,0,0,0,1,0,0,1,2,0,3,0,0,35,21,0,3,1,0,0,0,20,0,0,0,0,1,1,63,0,0,34,0,2,0,14,1,3,1,25,7,0,10,11,36,7,8,8,4,3,2,3,6,1,3
0,9,4,8,12,0,2,0,7,5,0,0,0,0,3,22,31,1,4,7,9,7,4,22,6,0,2,21,22,15,15,9,5,0,4,10,0,4,1,9,4,0,0,0,3,4,13,6,12,0,11,3,0,4,0,2,0,2,2,3,3,6,1,3,13,0,1,12,3,3,3,17,4,0,0,1,3,7,0,6,2,5,3,2,19,2,0,20,1,13,5,1,14,1,1,0,0,2,9,34,13,30,6,2,9,4,10,10,3,0,2,2,3,11,7,10,0,4,3,1,7,6,2,4,1,0,24,4,0,2,5,5,0,8,11,0,3,4,8,5,0,0,5,1,8,16,7,0,18,6,5,9
0,5,0,2,4,0,10,0,0,14,0,5,1,3,0,2,6,5,5,7,0,12,18,3,15,12,1,6,1,6,3,12,7,1,4,6,6,4,4,8,3,2,0,0,0,2,0,7,2,3,20,0,0,2,0,7,3,6,0,0,5,6,11,1,3,14,1,13,6,12,6,11,25,2,3,4,1,2,0,2,0,5,4,0,8,2,11,10,7,16,8,1,13,11,1,0,2,1,7,10,0,12,1,3,2,7,6,2,0,4,1,3,0,3,5,10,0,0,4,0,3,0,0,16,4,2,7,1,3,6,19,2,6,3,2,6,8,5,28,10,0,6,5,0,12,3,1,7,5,6,8,9
1,2,5,2,2,0,1,0,17,4,12,1,0,22,2,0,5,0,4,1,0,2,10,11,5,1,3,8,7,2,6,0,2,0,17,5,0,1,2,5,0,0,0,0,2,1,12,2,4,0,10,1,1,0,0,0,3,2,1,13,0,0,2,3,1,0,7,9,7,8,0,5,4,9,0,1,2,0,0,1,4,2,2,1,6,0,0,6,0,6,3,0,4,0,1,5,0,4,10,7,8,6,9,16,1,3,7,0,0,10,0,0,6,5,4,17,6,1,0,1,4,10,6,1,12,0,6,0,0,6,0,5,0,5,17,1,1,12,5,2,0,1,4,6,0,1,3,0,5,6,5,8
0,17,0,2,0,1,2,0,0,4,0,10,0,31,6,5,0,0,2,14,12,2,2,5,3,0,1,0,7,32,4,7,9,0,1,3,0,17,2,4,0,6,0,0,2,1,9,7,7,1,1,0,0,5,0,0,1,9,2,3,3,23,0,0,20,0,0,8,0,9,35,13,9,0,1,5,4,0,0,5,0,0,13,0,1,4,0,2,9,12,0,0,17,5,1,0,3,0,0,21,3,6,7,2,6,9,3,1,17,1,1,6,1,6,3,5,0,8,5,0,7,1,0,19,1,2,6,6,1,12,3,5,5,15,0,4,4,1,3,8,0,0,0,0,9,3,13,1,0,11,6,1
0,3,0,0,2,0,0,5,0,6,0,5,13,1,5,0,0,0,4,2,0,0,6,1,5,28,5,1,4,1,2,14,10,3,1,8,33,1,0,2,0,9,0,0,3,1,1,8,7,22,1,0,0,0,0,57,2,7,0,0,27,2,1,6,1,14,11,3,7,0,9,1,19,6,1,89,4,2,29,1,0,5,3,0,1,58,16,2,4,0,0,8,3,32,0,4,0,0,1,3,0,1,5,1,7,1,1,1,2,0,28,24,0,3,2,0,0,4,20,0,3,0,0,5,0,21,2,0,45,1,4,1,25,1,7,0,14,6,0,9,16,10,4,12,26,5,2,11,4,4,2,0
1,5,2,19,4,1,14,1,33,4,3,9,0,4,5,4,2,4,0,7,1,2,7,6,7,0,2,15,8,8,7,7,1,0,10,2,0,5,12,3,3,2,8,8,10,4,4,3,11,2,1,9,2,2,1,0,19,0,0,1,4,2,3,2,1,3,4,17,11,14,4,9,5,0,7,1,2,9,0,27,4,1,1,22,2,3,0,21,7,4,0,2,13,3,0,0,8,3,0,6,8,10,1,0,5,8,18,11,1,2,2,3,3,2,5,22,0,7,4,0,24,6,2,1,3,10,2,3,0,7,1,16,2,11,11,3,1,7,17,8,0,8,0,3,2,5,15,0,1,14,14,7
0,8,0,0,2,0,0,0,0,5,0,15,0,7,7,1,14,2,7,0,12,3,3,4,1,4,4,3,2,58,2,4,7,0,4,12,1,11,0,4,1,0,0,0,0,0,3,1,4,0,1,0,0,9,0,4,5,4,0,0,3,12,4,0,22,2,1,8,6,2,22,8,9,0,0,5,2,0,0,4,0,1,4,0,1,7,0,0,11,9,0,3,5,0,0,0,0,0,0,4,0,2,19,0,6,15,1,2,7,0,0,1,1,0,6,5,0,8,9,0,10,3,0,26,0,3,13,0,2,2,7,7,0,13,3,15,11,0,4,17,0,0,6,0,3,1,17,0,1,5,6,0
0,6,0,0,2,0,1,0,0,1,0,5,0,9,0,0,12,0,1,12,0,0,6,0,0,0,1,0,6,20,1,3,4,0,0,4,0,3,6,3,0,0,1,0,0,0,7,0,0,0,0,0,0,8,0,3,1,3,0,0,0,4,0,8,11,0,4,5,0,1,13,2,11,0,0,3,0,0,0,1,0,1,5,1,0,0,1,9,2,5,0,0,6,2,0,0,0,1,0,4,1,1,4,0,2,6,0,3,2,0,0,1,1,0,2,4,0,2,1,0,4,4,0,16,0,0,6,0,0,5,1,2,0,9,0,0,6,0,0,5,0,0,2,0,3,0,12,0,0,0,0,0
0,0,0,0,14,0,7,4,1,9,12,1,0,7,12,2,2,0,2,3,0,0,0,4,0,0,0,6,0,7,12,1,5,26,6,0,1,0,12,4,3,0,2,1,7,0,1,0,2,0,9,1,6,1,14,3,1,4,0,30,0,2,0,3,2,1,0,0,8,3,6,10,0,0,12,4,3,17,0,18,10,4,0,3,2,1,0,2,0,0,16,3,10,0,0,1,0,5,28,30,0,9,2,3,0,0,22,3,0,2,0,1,3,0,6,16,0,1,0,3,0,4,5,1,11,0,7,5,7,5,6,0,0,2,4,8,0,9,3,2,0,0,7,3,2,2,1,18,27,5,5,11
2,3,0,10,1,0,3,10,8,3,0,7,12,4,18,10,2,6,7,3,6,0,0,4,8,8,8,3,1,1,7,22,0,6,4,2,3,1,2,1,1,0,3,3,4,8,4,0,3,0,1,2,0,13,0,10,8,6,10,2,8,5,0,1,4,3,10,4,14,1,3,4,9,12,0,11,10,0,1,4,0,2,6,0,3,4,5,8,7,16,0,0,20,7,0,0,6,11,0,1,4,3,0,0,5,11,0,11,0,4,3,2,4,0,4,0,0,6,0,0,0,1,0,5,2,8,5,0,4,2,2,6,8,5,15,8,4,1,4,31,0,3,8,6,2,13,8,2,2,9,8,8
2,7,7,10,4,0,15,10,14,9,9,0,0,22,3,11,5,1,6,4,0,4,4,0,14,0,10,21,5,2,0,7,1,9,25,1,0,2,0,19,4,2,9,16,0,1,8,4,13,0,32,9,0,1,0,0,24,0,3,10,1,1,7,9,3,1,10,14,3,17,0,9,2,3,7,1,0,0,0,3,0,4,6,5,11,1,2,6,1,15,7,0,6,0,7,4,2,1,13,22,11,5,2,1,2,5,16,3,1,8,4,3,4,2,3,5,8,4,1,9,14,11,7,0,1,0,8,5,0,3,0,4,2,5,1,3,0,6,6,0,0,4,21,3,2,4,2,7,20,3,0,9
0,6,0,2,7,1,2,2,2,6,3,8,0,6,15,5,3,5,7,1,0,0,8,14,0,8,22,3,4,0,8,40,9,4,3,7,0,1,4,15,0,0,6,1,8,11,4,0,3,0,0,1,0,3,0,8,7,7,3,0,9,3,4,1,5,11,14,1,13,16,9,10,25,10,2,1,4,0,2,3,0,0,2,2,0,3,3,12,4,11,0,0,6,16,0,0,1,3,10,4,0,10,0,0,2,9,1,3,3,3,0,1,2,0,0,2,0,2,13,4,6,3,3,4,4,12,4,1,6,3,21,5,4,6,24,2,7,2,8,20,0,4,15,4,4,5,7,2,12,10,6,6
0,4,1,4,0,0,1,0,0,6,0,13,28,0,12,1,0,28,0,4,0,0,8,0,8,0,1,5,0,1,0,31,13,0,7,7,87,1,0,0,5,18,0,3,1,1,0,24,0,34,1,0,0,0,3,58,5,15,0,0,28,0,0,0,4,28,10,0,3,1,1,5,20,7,0,82,4,0,29,0,0,0,18,0,3,26,28,4,5,2,1,12,6,17,0,4,0,3,0,0,0,1,6,1,7,4,0,0,0,1,40,21,1,0,0,0,0,0,6,0,0,0,0,15,1,49,0,0,65,0,27,4,37,0,11,5,27,3,3,30,20,39,0,11,18,2,2,1,9,19,3,0
1,3,11,15,1,1,4,11,3,1,7,1,0,2,1,3,1,5,2,4,1,0,8,10,22,1,0,7,6,2,0,18,3,0,1,4,0,3,13,15,4,0,22,10,6,2,4,0,0,0,9,0,0,3,0,1,2,7,3,0,4,1,1,2,4,0,1,1,2,6,2,6,7,7,16,1,1,1,1,4,0,4,6,5,15,2,2,30,1,8,0,0,14,0,2,0,5,3,18,2,3,17,1,4,5,10,9,2,0,9,1,2,12,1,2,5,3,1,1,7,7,1,0,1,6,9,5,1,0,12,6,12,3,7,4,1,3,5,13,3,0,2,15,4,4,5,5,5,0,6,0,7
