Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant25,Ant26,Ant30,Ant38,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant91,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant149,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,0,0,6,9,14,2,5,12,0,2,0,18,0,8,0,0,0,0,0,0,4,0,0,1,0,0,1,8,0,0,0,1,1,0,0,0,14,0,4,0,3,2,0,0,0,6,29,6,0,12,0,0,0,26,1,0,5,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,23,0,0,0,2,1,0,0,0,0,8,3,0,4,0,0,5,15,0,0,0,0,0,0,0,0,5,0,0,0,0,12,1,0,25,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,4,8,0,0,2
0,0,9,1,2,0,4,8,0,7,6,38,0,0,5,9,2,72,1,0,5,4,2,30,2,3,2,7,3,36,4,25,1,15,9,4,9,4,7,0,2,7,7,7,1,1,4,1,2,2,3,28,0,8,3,0,5,0,30,22,31,12,12,0,0,17,13,1,0,3,1,0,11,18,0,2,4,0,7,4,4,4,2,17,12,4,2,0,31,0,1,0,6,1,0,46,0,2,5,8,1,3,17,3,8,0,2,11,0,6,0,10,14,0,2,14,2,6,10,0,2,13,9,8,21,19,0,18,0,1,53,23,0
0,9,0,2,4,16,17,23,0,1,4,4,0,0,2,2,16,24,0,1,4,18,0,0,0,10,1,8,0,0,1,100,1,1,1,8,5,5,20,12,1,27,12,0,3,2,12,41,10,0,7,0,0,0,8,0,18,6,1,0,14,3,39,17,0,1,2,12,0,0,0,16,12,2,11,5,0,0,38,0,8,0,0,18,1,20,4,10,1,0,3,0,1,5,0,9,14,4,4,0,35,0,0,8,0,1,1,1,6,0,0,0,3,10,0,2,0,1,1,0,0,0,0,19,17,0,1,6,25,12,2,1,8
6,1,2,0,19,13,4,19,6,0,0,1,7,0,10,1,3,0,0,1,0,28,2,0,0,1,0,5,0,2,0,0,14,0,0,0,1,9,0,1,4,2,9,0,0,0,0,7,11,0,5,0,12,0,79,0,6,3,0,0,3,5,2,5,0,0,0,4,0,0,1,2,5,0,11,0,0,0,3,0,1,0,9,0,1,4,1,10,0,0,9,6,0,3,0,0,10,1,0,0,5,1,0,2,0,1,10,0,1,0,0,0,0,1,0,0,1,0,1,2,1,0,0,11,4,0,0,1,11,7,0,5,2
9,2,4,19,0,1,22,2,6,0,3,3,0,0,17,0,4,1,0,5,1,13,0,2,15,3,0,5,4,4,0,1,1,0,0,0,3,0,0,9,1,7,2,0,0,0,5,12,1,0,0,0,2,0,5,2,4,2,2,0,0,5,0,2,0,0,1,0,0,0,0,0,3,0,23,1,0,1,11,0,8,0,4,0,1,2,1,8,0,0,15,2,0,3,0,1,6,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,15,2,0,3
14,0,16,13,1,0,3,12,10,1,24,0,16,0,3,0,2,3,1,6,0,18,2,1,24,4,2,9,7,0,1,13,0,0,0,0,0,15,0,14,0,6,4,0,4,0,29,9,5,0,11,0,0,0,27,0,1,10,0,0,0,1,14,31,0,0,1,10,0,0,0,1,3,1,26,0,1,0,0,0,4,0,17,3,1,7,0,11,0,0,4,8,1,2,0,1,22,3,0,0,29,3,0,1,0,10,3,0,39,1,0,1,0,2,0,0,2,2,1,0,0,0,0,20,4,0,0,2,5,3,1,1,7
2,4,17,4,22,3,0,34,3,1,17,0,1,0,1,0,2,0,0,0,0,20,7,0,23,7,0,10,12,0,0,12,6,1,0,3,1,3,2,5,12,14,4,5,30,0,2,10,12,0,2,0,2,0,10,0,9,0,0,0,0,0,14,16,1,0,1,7,0,0,4,6,1,0,5,2,0,0,42,0,0,2,2,16,1,5,0,24,0,0,14,0,0,6,0,13,1,0,1,1,11,3,0,16,3,10,3,0,0,0,0,3,0,0,0,0,3,0,1,0,5,1,0,3,7,0,1,3,19,15,2,0,1
5,8,23,19,2,12,34,0,4,2,2,7,0,0,11,2,16,12,0,7,1,4,4,1,6,12,7,20,15,5,0,19,2,3,1,19,3,6,4,1,12,9,9,1,1,0,0,10,13,0,21,0,0,0,17,10,12,4,0,1,5,10,40,12,0,0,6,13,0,0,5,31,11,0,20,3,0,1,14,1,0,1,20,16,5,6,4,14,1,0,5,0,0,12,0,10,12,4,0,0,11,15,0,4,9,14,14,0,0,0,0,0,3,4,0,0,0,4,1,2,9,2,1,23,17,4,0,2,12,3,5,26,10
12,0,0,6,6,10,3,4,0,3,1,2,1,0,2,0,0,0,0,9,1,12,2,0,13,7,0,13,10,3,0,0,16,0,0,1,4,0,0,1,4,5,17,3,5,0,0,2,2,0,0,0,7,0,12,0,4,7,0,1,1,0,2,0,1,0,1,2,0,0,3,0,1,0,9,11,1,2,0,0,1,0,7,0,8,0,0,18,0,0,2,4,0,3,0,1,28,3,1,4,10,0,0,7,2,5,16,0,1,0,0,1,0,2,0,2,1,1,0,4,7,1,0,2,9,2,2,1,5,1,0,0,12
0,7,1,0,0,1,1,2,3,0,2,7,2,0,1,15,9,18,0,7,2,5,16,3,3,4,13,4,25,1,11,13,2,1,12,3,1,1,1,0,3,5,9,9,1,0,8,1,3,2,1,0,6,1,0,20,5,2,10,0,6,15,2,3,9,1,2,0,0,0,4,1,24,0,1,24,5,11,0,1,18,0,0,4,0,2,9,0,7,0,6,0,4,7,0,10,1,4,18,4,0,9,3,4,18,0,3,1,0,1,0,8,8,14,0,0,32,0,0,0,6,5,2,4,1,16,4,12,1,0,6,5,5
