Ant57,Ant260,Ant52,Ant397,Ant929,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant60,Ant64,Ant74,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant159,Ant169,Ant170,Ant174,Ant175,Ant190,Ant195,Ant206,Ant210,Ant229,Ant232,Ant242,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant326,Ant331,Ant332,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant458,Ant492,Ant501,Ant507,Ant509,Ant530,Ant576,Ant592,Ant593,Ant607,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,1,7,3,9,6,0,1,4,11,0,6,2,1,4,14,1,5,14,5,8,3,3,2,3,19,21,3,1,3,5,2,1,4,6,0,3,7,20,14,3,3,0,11,17,2,3,5,9,11,3,22,2,8,17,13,0,0,5,9,0,20,0,17,9,5,0,9,8,0,19,16,2,14,0,8,11,15,1,18,0,2,6,3,1,14,4,0,5,14,2,0,0,1,1,3,0,0,2,5,7,1,2,0,2,4,11,10,5,6,4,6,13,17,1,0,3,8
1,0,1,11,1,2,31,4,4,4,8,6,37,37,0,1,1,0,13,20,0,1,0,0,3,0,1,0,0,21,0,7,1,68,1,4,0,18,3,3,25,29,40,4,0,17,6,5,0,4,3,0,0,10,0,2,22,16,3,2,2,3,6,2,1,2,54,53,14,30,1,2,20,0,63,24,0,0,1,0,19,1,0,0,3,1,31,1,19,35,36,38,53,44,0,11,0,8,0,1,13,1,14,9,0,14,0,0,17,2,3,9,40,2,2,8,10,0
7,1,0,0,3,0,3,8,0,5,2,20,0,0,6,2,4,14,1,3,2,3,7,2,0,2,26,7,5,1,0,1,2,1,1,0,0,0,4,3,0,2,0,0,14,0,9,5,4,2,2,2,3,12,5,4,2,0,14,1,4,10,3,5,4,0,0,3,6,0,10,13,3,2,0,2,0,16,11,10,0,6,1,13,6,3,2,27,4,6,4,1,0,0,0,0,0,0,4,7,2,12,4,0,4,13,4,4,1,15,0,4,3,13,0,0,0,2
3,11,0,0,2,5,11,0,0,0,1,2,26,6,0,0,0,0,9,12,0,5,4,5,0,1,0,5,0,10,0,15,0,5,1,5,1,1,1,0,16,9,2,1,2,12,0,7,0,3,0,1,1,0,0,0,3,66,0,0,0,0,8,0,0,12,11,37,8,11,1,3,7,0,0,0,0,1,0,0,19,0,1,1,4,1,7,0,7,14,22,10,1,2,0,6,0,0,2,0,11,0,5,15,0,0,1,0,5,0,1,10,9,0,0,10,0,0
9,1,3,2,0,2,1,8,3,13,0,6,0,0,16,10,12,11,7,4,2,6,4,3,7,24,14,4,15,0,18,2,0,0,7,9,0,1,15,8,4,4,0,5,5,11,15,8,7,1,2,6,12,5,16,16,1,4,11,8,1,7,0,29,1,0,2,3,6,0,9,10,0,9,0,9,3,2,0,30,3,7,4,1,10,1,5,0,3,12,1,0,0,0,0,2,0,2,18,7,12,2,1,0,6,5,7,24,4,10,4,4,8,4,1,0,4,5
6,2,0,5,2,0,4,0,11,1,10,0,1,0,5,0,3,5,74,7,6,16,7,11,0,1,3,0,0,8,1,18,0,0,11,2,41,1,8,13,19,19,16,3,12,3,0,21,11,12,3,16,4,1,2,2,0,15,0,0,0,7,10,5,0,6,0,14,27,0,5,8,0,0,0,21,4,3,1,1,1,2,2,2,7,28,19,0,20,14,12,0,0,0,0,25,0,3,5,1,13,4,8,0,0,1,6,0,28,2,5,9,20,1,2,13,4,12
0,31,3,11,1,4,0,1,0,1,12,2,35,27,0,0,0,1,8,35,3,0,1,10,0,1,2,5,0,10,1,4,1,43,6,3,1,22,0,1,16,42,69,0,0,37,1,0,0,5,0,2,1,11,0,1,33,12,1,0,3,0,14,3,0,7,27,44,9,31,1,2,20,0,98,11,0,2,2,0,18,0,1,0,3,0,21,0,6,10,25,30,72,39,0,4,0,4,0,2,3,0,4,4,0,8,0,4,21,1,1,25,20,1,1,21,12,0
1,4,8,0,8,0,1,0,5,1,1,9,2,0,10,5,6,2,3,3,4,5,2,6,2,15,9,4,15,2,0,2,50,0,11,6,2,5,4,51,3,1,0,1,14,0,38,0,5,4,9,12,17,27,9,17,1,0,8,2,4,5,1,9,9,1,1,9,3,0,11,0,1,9,0,10,18,4,3,6,0,15,30,7,3,11,9,6,0,5,0,0,0,0,7,2,0,0,2,11,3,5,2,0,0,22,14,9,0,7,1,6,11,25,17,0,3,13
4,4,0,0,3,11,0,5,0,1,1,0,1,0,2,0,0,1,26,9,0,6,6,2,5,1,8,2,4,4,1,48,0,3,4,1,8,2,9,11,9,9,1,0,7,2,1,4,6,4,16,6,4,2,1,5,5,0,2,1,5,1,13,4,0,2,2,5,6,0,0,5,2,0,0,2,0,2,1,0,13,1,1,4,5,5,7,0,2,20,3,4,0,4,0,8,0,7,2,0,5,2,12,0,0,4,2,0,10,2,10,9,11,2,0,5,13,6
11,4,5,0,13,1,1,1,1,0,0,3,0,0,6,4,5,13,5,1,0,3,4,0,0,9,40,0,4,0,1,5,0,4,0,2,2,1,20,0,2,1,0,2,13,1,0,0,6,2,1,6,0,9,13,8,2,1,47,2,1,7,1,9,0,1,1,2,15,1,7,12,3,1,0,2,5,18,2,13,0,0,3,17,7,6,3,4,2,8,1,1,0,0,0,4,0,4,6,11,9,0,2,0,2,13,0,0,9,4,3,1,7,2,0,3,0,3
0,8,2,1,0,10,12,1,1,0,0,0,1,3,14,0,0,6,17,19,11,3,2,4,0,0,1,2,1,10,0,18,0,17,3,3,6,6,7,1,43,25,14,1,1,9,0,8,0,1,0,0,0,1,0,0,5,1,0,0,3,0,7,1,2,5,15,11,8,1,2,0,16,4,0,4,0,0,1,0,5,0,0,2,3,1,9,0,16,6,9,2,0,1,1,43,0,1,3,0,11,2,8,0,0,3,0,0,17,4,15,13,4,0,0,10,7,6
6,6,20,2,6,0,2,9,0,3,0,0,0,0,2,3,4,1,0,1,1,1,0,3,0,0,9,12,1,2,0,1,2,2,0,0,0,7,0,3,0,1,0,1,3,1,0,3,0,1,3,0,26,11,0,32,1,0,8,0,0,6,0,0,2,0,0,7,0,0,21,0,4,0,0,0,0,8,1,13,2,3,1,6,5,0,0,32,2,5,2,0,0,2,8,0,0,0,0,32,2,6,1,0,0,36,13,2,0,1,2,3,6,2,72,0,2,12
2,37,0,26,0,1,35,2,1,0,1,0,0,44,1,0,0,0,13,15,0,0,0,6,0,1,0,0,1,19,1,3,0,42,2,1,1,10,0,2,4,17,43,1,0,7,0,1,0,3,0,3,1,0,0,1,28,21,0,2,1,0,1,2,0,5,32,40,2,35,0,1,16,0,87,6,0,1,0,0,25,0,1,0,2,2,7,0,4,3,21,13,36,23,0,4,0,0,0,1,2,1,4,12,0,0,2,5,3,0,0,5,2,0,2,7,0,0
1,37,0,6,0,0,27,0,0,0,3,0,44,0,0,0,1,0,9,14,2,1,0,0,0,0,1,0,1,3,0,4,0,35,0,3,3,20,0,0,3,23,27,2,0,17,0,5,0,4,3,1,0,0,0,2,7,14,0,1,3,0,10,0,0,3,25,38,12,16,0,0,24,0,11,0,0,0,0,0,28,0,0,0,1,1,0,0,18,29,27,6,16,22,0,5,0,1,0,0,1,0,15,8,0,0,2,0,7,1,0,3,4,0,0,39,6,0
4,0,6,0,16,5,0,10,2,6,14,2,1,0,0,14,15,3,0,6,5,2,0,4,0,13,12,1,22,0,9,1,1,0,3,10,0,0,19,13,1,1,0,9,8,0,9,0,12,2,8,0,9,3,7,2,1,0,7,1,0,1,1,3,6,1,0,3,2,0,19,12,0,7,0,11,4,4,4,10,0,11,0,4,1,0,3,0,2,4,0,0,0,1,0,3,0,0,7,5,1,4,1,0,0,19,12,11,0,13,0,0,2,9,0,3,3,16
14,1,2,0,10,0,0,5,0,4,0,3,0,0,14,0,14,5,0,0,6,0,1,0,0,7,1,0,5,0,3,0,0,0,1,1,0,0,16,1,0,2,0,15,8,0,3,0,6,4,93,5,17,1,18,15,0,0,62,1,0,15,0,10,31,0,0,3,0,0,10,0,0,1,0,1,4,7,3,5,0,18,1,9,21,0,7,5,1,0,0,0,0,0,5,1,0,0,7,16,1,2,0,0,8,9,1,5,0,2,0,5,2,19,14,0,0,3
1,1,4,0,12,3,0,6,0,5,0,4,0,1,15,14,0,10,2,1,0,7,0,0,0,0,3,9,25,0,4,0,0,1,4,0,0,3,2,2,3,0,0,4,9,2,5,2,5,1,5,0,7,11,3,0,1,0,9,0,3,4,0,5,0,0,0,1,8,0,13,13,0,1,0,3,2,1,2,6,0,5,1,1,6,5,3,0,1,3,1,0,0,0,0,3,0,0,5,9,3,12,8,0,0,9,1,12,2,0,0,2,3,2,2,0,2,2
5,0,14,0,11,5,1,2,1,13,6,1,0,0,3,5,10,0,11,2,1,18,6,1,1,10,4,3,11,4,5,13,3,0,6,2,2,5,5,8,7,6,1,2,10,1,6,2,14,1,6,3,4,10,7,4,0,1,2,5,0,9,2,7,4,4,1,9,12,1,14,4,5,1,0,14,7,5,104,8,0,7,1,4,7,9,10,5,10,6,2,1,0,0,1,2,0,6,8,0,11,8,5,0,9,2,3,0,4,5,4,6,5,1,3,0,7,14
14,13,1,9,7,74,8,3,26,5,17,0,13,9,0,0,2,11,0,48,10,19,16,31,22,5,16,7,6,11,5,70,1,5,7,5,45,14,6,10,53,28,20,4,9,37,1,145,7,8,5,18,11,30,3,17,17,16,0,24,2,10,29,26,1,18,21,8,17,16,3,17,25,4,11,26,10,11,7,0,9,2,3,1,24,23,43,0,34,29,21,9,10,8,0,30,0,3,6,2,11,8,36,0,5,21,9,4,36,23,26,18,38,4,5,33,13,18
5,20,3,12,4,7,35,3,9,1,19,1,15,14,6,0,1,2,48,0,3,23,1,15,1,2,3,1,0,3,5,20,0,30,9,0,1,20,2,4,19,38,4,0,1,16,0,13,3,12,0,1,3,3,2,0,22,11,1,5,1,2,6,2,0,25,17,19,9,5,0,1,14,1,13,6,0,3,6,1,7,0,0,3,0,9,34,0,23,52,20,3,29,29,0,24,0,2,1,2,7,0,22,2,3,1,5,2,20,5,18,23,19,11,0,8,7,12
8,0,2,0,2,6,3,4,0,0,11,1,0,2,5,6,0,1,10,3,0,10,7,2,4,5,8,2,1,2,6,4,0,5,8,3,5,3,20,5,2,4,1,5,2,4,7,8,2,7,1,5,2,12,7,0,4,0,3,20,0,13,1,8,1,1,0,0,4,0,7,3,2,1,0,1,4,2,3,4,1,6,1,4,8,14,3,0,8,7,2,0,0,1,0,3,0,1,23,3,5,2,8,0,0,4,4,2,11,21,0,7,5,15,0,2,12,8
3,1,3,5,6,16,0,5,6,3,3,1,0,1,2,0,7,18,19,23,10,0,3,5,7,3,11,11,3,8,2,10,1,11,0,5,26,3,10,4,13,26,11,6,5,6,0,22,4,20,4,15,0,0,3,2,3,7,2,5,5,2,15,8,3,20,2,6,14,0,2,4,19,9,0,3,10,1,19,4,3,8,10,0,5,17,16,1,6,5,10,2,0,2,0,15,1,13,4,0,16,3,9,0,1,3,6,8,23,21,24,11,7,2,1,5,16,5
3,0,7,4,4,7,1,2,6,4,2,0,0,0,0,1,0,6,16,1,7,3,0,2,5,4,3,7,1,3,5,7,4,2,4,5,7,4,13,6,5,9,6,8,4,4,0,2,5,7,0,3,6,5,4,3,2,1,1,3,0,5,13,4,5,3,7,3,11,0,0,6,2,7,0,13,1,5,0,4,0,8,8,1,8,6,17,1,5,13,8,1,0,1,0,5,0,1,0,0,7,2,6,0,0,12,6,0,9,7,5,11,14,2,0,4,3,0
