Ant4,Ant5,Ant59,Ant65,Ant397,Ant540,Ant929,Ant2,Ant6,Ant14,Ant19,Ant24,Ant25,Ant26,Ant73,Ant148,Ant158,Ant191,Ant192,Ant202,Ant227,Ant237,Ant245,Ant252,Ant311,Ant518,Ant534,Ant646,Ant740,Ant838,Ant954,Ant0,Ant1,Ant17,Ant23,Ant27,Ant32,Ant44,Ant49,Ant51,Ant62,Ant71,Ant96,Ant97,Ant114,Ant115,Ant117,Ant120,Ant126,Ant140,Ant149,Ant153,Ant170,Ant172,Ant173,Ant176,Ant186,Ant210,Ant217,Ant220,Ant221,Ant242,Ant250,Ant251,Ant255,Ant256,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant298,Ant299,Ant305,Ant320,Ant326,Ant332,Ant334,Ant353,Ant356,Ant387,Ant391,Ant433,Ant475,Ant476,Ant482,Ant501,Ant502,Ant507,Ant530,Ant564,Ant592,Ant593,Ant599,Ant607,Ant610,Ant614,Ant632,Ant638,Ant647,Ant650
0,0,10,0,0,18,2,0,5,1,8,4,0,0,8,2,6,0,1,0,1,1,0,11,7,1,1,9,23,4,0,11,0,8,1,6,6,16,8,3,11,14,1,10,0,11,3,4,0,4,4,3,8,1,0,0,1,2,2,1,3,7,2,0,0,0,0,1,4,8,0,7,22,2,1,1,9,0,3,0,23,1,13,11,4,0,1,2,0,3,7,5,4,1,1,2,0,0,4,1,0,5
0,0,5,2,2,3,0,26,1,5,0,2,15,0,0,1,1,0,11,11,21,1,0,2,0,16,0,1,1,3,1,3,6,0,1,18,17,1,2,1,1,6,23,0,1,1,3,4,10,2,23,2,1,3,0,6,13,3,2,9,0,1,2,0,3,1,7,3,5,0,5,0,2,5,3,10,2,7,9,22,2,6,1,1,4,2,3,4,0,2,1,3,0,2,13,0,7,2,2,5,6,56
10,5,0,0,13,4,8,2,5,0,0,4,1,0,26,4,10,0,1,0,0,8,0,6,7,0,8,10,1,1,0,1,0,12,0,1,0,29,3,3,2,12,0,12,0,10,2,4,0,7,1,9,17,29,0,4,1,0,1,1,3,6,15,0,0,0,0,6,6,7,9,7,7,13,8,0,6,1,2,1,8,0,31,5,1,2,1,0,34,7,4,21,5,9,1,0,0,0,7,0,1,0
0,2,0,0,4,13,0,5,1,1,4,0,9,0,1,3,1,0,1,13,9,0,1,7,2,5,0,0,0,2,3,1,1,0,18,3,15,0,0,3,1,2,3,3,2,3,2,2,2,11,3,4,1,0,0,2,9,3,0,3,1,1,2,5,7,2,6,0,4,7,0,4,1,12,0,7,0,18,3,13,0,4,0,0,1,1,5,0,0,2,3,1,3,1,4,0,0,14,0,6,9,0
0,2,13,4,0,15,1,2,3,3,1,5,0,0,2,5,6,0,0,0,0,2,0,7,8,4,2,1,0,4,3,2,1,2,13,2,11,5,2,4,2,2,2,2,8,0,24,12,3,16,7,3,2,5,0,5,1,5,1,0,5,1,4,9,2,3,0,0,4,3,7,5,3,20,3,1,1,4,1,8,2,0,2,1,9,1,0,0,3,6,3,0,10,19,0,5,1,0,12,3,3,6
18,3,4,13,15,0,3,5,14,9,10,1,6,0,1,4,2,0,1,0,2,4,0,4,16,1,12,3,16,2,8,4,0,2,3,6,5,9,14,9,0,6,0,3,6,9,5,7,0,13,10,6,18,8,0,6,0,12,8,2,7,8,8,0,5,0,0,5,2,6,0,49,36,18,5,6,3,2,3,4,3,0,0,0,21,3,0,0,5,9,5,3,0,21,2,10,7,0,2,10,4,0
2,0,8,0,1,3,0,3,21,2,1,6,0,0,16,10,3,0,1,0,0,3,0,11,3,0,3,11,1,2,2,16,0,18,0,1,2,17,1,4,5,9,0,15,0,8,2,3,0,3,0,5,7,8,0,5,0,2,26,2,2,3,5,0,1,0,0,0,2,26,5,6,1,11,0,1,7,1,2,0,9,0,5,1,8,2,1,3,16,1,3,4,3,1,0,0,1,0,7,3,1,2
0,26,2,5,2,5,3,0,0,23,5,1,11,0,0,8,3,0,5,13,39,6,5,0,0,39,6,4,8,1,6,6,35,0,12,24,11,6,2,6,2,4,33,4,4,4,28,16,20,9,14,12,1,1,0,25,38,4,0,29,7,14,2,17,9,8,6,9,2,6,0,8,7,3,10,20,1,14,3,3,3,11,0,6,5,1,18,5,1,8,2,4,3,1,17,2,23,0,1,10,46,19
5,1,5,1,3,14,21,0,0,0,1,4,3,0,3,9,29,0,1,1,1,1,0,7,6,0,0,2,3,3,10,11,0,2,4,0,0,4,8,2,3,6,0,4,1,6,4,17,0,6,2,4,4,6,0,2,0,1,14,3,0,4,9,6,1,0,2,3,9,18,5,6,14,28,6,1,1,1,13,2,28,0,3,1,9,9,0,1,25,2,15,1,1,2,4,2,0,0,5,3,0,0
1,5,0,1,3,9,2,23,0,0,3,0,5,5,0,1,1,6,6,9,8,1,12,0,0,8,2,3,1,3,2,1,2,1,4,15,8,1,4,1,0,0,11,0,2,0,0,3,12,5,2,6,3,1,1,5,18,1,0,30,0,0,2,2,23,9,5,6,0,2,0,5,10,0,3,3,1,11,2,8,4,6,0,0,2,0,2,0,2,0,0,0,1,2,6,0,4,9,0,5,9,12
