Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant99,Ant102,Ant148,Ant158,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant311,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant97,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant212,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant301,Ant305,Ant313,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant507,Ant509,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
0,24,9,1,6,0,7,2,2,1,0,12,14,7,14,8,2,14,18,3,6,9,0,1,6,13,2,7,6,1,18,24,0,2,21,1,0,0,19,11,0,7,5,6,7,4,9,5,2,3,7,4,4,14,6,6,1,8,0,0,2,5,6,0,0,0,3,4,0,4,4,3,7,1,1,0,4,12,11,2,12,0,21,11,3,9,5,5,9,2,10,1,1,7,6,28,5,9,2,3,12,14,7,2,0,9,0,8,0,33,8
24,0,10,0,27,0,3,4,6,0,12,1,2,3,3,8,1,6,0,6,0,1,0,5,2,10,1,6,0,0,2,7,0,0,13,0,0,0,12,6,0,0,0,5,0,9,13,0,1,2,13,0,6,17,11,21,1,12,3,0,0,17,0,0,0,0,0,5,0,0,11,0,0,0,0,0,8,4,2,3,1,0,10,14,28,0,1,6,0,1,3,0,5,14,14,0,15,1,0,0,0,18,0,3,13,0,0,0,0,2,27
9,10,0,0,3,0,1,1,1,0,6,0,6,7,2,16,0,1,2,1,1,0,0,5,2,1,0,0,0,0,4,10,0,0,3,0,0,1,16,2,1,15,7,0,2,9,3,0,2,0,1,0,2,12,0,1,0,6,0,0,2,1,1,0,0,0,3,3,0,2,4,0,1,2,0,0,2,24,2,0,0,1,4,10,1,0,0,1,0,9,4,0,0,6,4,1,6,0,0,0,18,1,0,0,1,1,0,0,0,0,1
1,0,0,0,0,0,0,1,10,0,0,1,0,0,0,1,10,0,0,1,9,1,2,0,1,0,0,7,7,12,2,6,0,1,1,2,3,0,6,0,1,0,2,4,0,0,1,4,1,7,1,1,3,2,5,4,0,0,1,0,6,1,4,0,4,0,2,0,1,3,0,10,5,4,6,1,1,0,1,8,0,1,2,1,0,0,5,1,0,0,3,9,0,0,2,0,0,0,5,6,0,0,29,7,0,2,1,15,0,0,0
6,27,3,0,0,0,0,5,2,0,8,1,2,6,1,5,0,6,1,13,0,0,0,0,5,3,0,8,1,0,0,11,0,4,14,0,6,1,9,4,1,1,7,5,0,1,7,0,0,0,18,2,6,14,0,9,5,0,0,0,0,0,3,0,0,0,2,10,0,7,0,0,8,0,0,0,4,1,2,1,0,3,0,2,1,5,0,3,0,0,2,0,1,30,10,0,7,1,0,3,2,0,0,0,14,1,0,0,0,34,10
0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,12,8,0,0,12,21,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,28,0,0,0,1,7,14,0,0,3,10,0,0,9,0,0,47,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,13,0,0,6,2,0,0,0
7,3,1,0,0,0,0,10,6,0,0,2,0,0,11,1,4,4,1,5,4,16,0,5,2,0,0,8,4,6,4,12,0,2,16,8,0,9,14,1,4,2,6,2,6,0,3,9,1,11,1,5,8,3,6,5,0,6,2,0,11,10,10,0,0,0,12,4,0,0,8,2,1,2,7,0,7,2,2,1,12,9,9,1,0,0,1,4,9,0,6,2,0,14,4,4,6,5,3,8,0,13,23,4,0,0,0,0,0,12,5
2,4,1,1,5,0,10,0,1,5,0,5,0,5,26,5,6,1,1,1,8,3,2,2,1,11,6,10,3,1,19,28,0,1,5,1,1,15,19,11,4,5,2,2,2,1,0,9,14,6,2,17,7,8,4,7,2,7,1,0,15,9,17,0,0,0,7,6,0,19,2,5,24,2,6,4,2,3,2,6,6,4,9,4,2,1,6,4,2,5,3,4,9,0,0,0,0,0,4,3,22,11,11,5,2,5,0,2,0,9,1
2,6,1,10,2,0,6,1,0,0,0,1,0,5,0,0,3,0,0,0,18,7,0,1,1,3,1,14,22,7,1,10,0,2,4,1,4,3,5,1,9,0,0,0,4,2,1,7,1,13,1,1,5,9,4,5,11,3,2,0,10,6,12,1,2,0,0,1,1,0,5,5,8,15,1,1,2,4,2,9,6,1,17,0,0,1,5,3,1,0,2,2,4,5,2,0,2,1,16,2,2,13,6,7,0,6,0,2,0,11,0
1,0,0,0,0,34,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,2,17,0,4,0,0,4,34,11,0,5,0,18,2,0,27,0,0,0,0,0,0,0,0,9,0,16,1,0,0,11,1,0,3,4,3,1,0,1,5,2,0,3,12,19,0,0,11,0,13,12,0,0,0,3,13,0,0,0,0,2,9,0,0,0,0,11,3,0,2,0,0,4,0,0,0,0,0,9,5,25,2,0,0,0,0
