Ant59,Ant540,Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant954,Ant1,Ant17,Ant27,Ant44,Ant49,Ant51,Ant71,Ant97,Ant115,Ant117,Ant120,Ant153,Ant170,Ant176,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant298,Ant299,Ant305,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant564,Ant592,Ant593,Ant599,Ant607,Ant638,Ant647,Ant650
0,16,0,8,6,4,18,0,0,1,5,3,12,10,0,5,21,3,17,15,33,4,8,7,5,7,16,5,5,2,8,8,9,0,5,4,9,1,42,12,2,11,14,8,20,0,11,24,17,6,17,2,2,1,4
16,0,22,9,3,20,4,8,0,6,3,6,12,11,1,13,6,3,5,2,14,4,14,4,7,3,9,14,2,5,6,0,1,13,12,2,3,6,8,9,12,7,2,6,7,5,0,4,4,8,2,4,11,3,11
0,22,0,0,0,22,12,9,0,4,33,2,3,1,0,20,6,1,0,0,2,4,12,0,19,1,6,8,9,8,18,3,5,36,14,2,0,2,1,7,46,2,7,0,1,14,1,1,3,14,2,15,52,36,18
8,9,0,0,6,0,8,0,0,5,2,12,11,15,22,4,8,4,13,5,12,11,6,4,10,3,4,4,4,7,7,14,11,2,2,9,1,6,19,4,2,23,2,18,9,2,0,19,6,3,8,0,5,0,0
6,3,0,6,0,3,17,1,0,3,0,24,13,21,21,4,2,0,23,27,20,2,7,6,0,23,21,3,7,3,3,6,18,0,5,21,20,0,10,15,1,7,17,31,9,1,4,33,0,2,17,0,0,0,0
4,20,22,0,3,0,4,0,0,1,8,5,26,3,9,12,8,3,3,6,2,5,5,0,12,8,7,5,11,1,10,1,3,16,8,2,2,4,9,11,26,4,1,15,11,6,0,9,7,6,0,3,19,12,10
18,4,12,8,17,4,0,2,0,3,11,3,7,8,6,16,15,1,2,17,15,6,20,10,2,3,12,0,13,8,7,2,6,8,6,6,9,3,6,9,12,10,12,13,13,3,10,7,18,12,3,10,2,3,3
0,8,9,0,1,0,2,0,0,0,1,0,0,1,0,12,2,1,0,0,0,2,1,0,4,0,1,2,1,2,1,0,0,0,0,0,3,2,0,1,4,1,0,0,0,0,0,0,0,8,2,5,0,0,5
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,4,5,3,1,3,0,1,0,0,0,2,1,0,5,10,2,2,0,4,7,11,2,0,4,20,17,3,4,3,2,1,10,0,4,0,18,1,0,6,0,3,0,1,0,1,4,12,15,1,3,5,2,3
5,3,33,2,0,8,11,1,0,0,0,0,0,4,0,10,5,1,2,0,4,4,6,0,5,3,3,6,2,3,14,0,0,0,4,2,1,3,2,2,18,1,1,2,7,3,8,0,5,5,1,1,6,5,5
3,6,2,12,24,5,3,0,0,0,0,0,6,20,4,4,1,0,15,23,32,11,22,7,0,8,4,1,5,17,2,21,9,0,4,9,34,0,13,7,1,6,4,14,18,0,0,6,1,3,0,5,0,0,0
12,12,3,11,13,26,7,0,0,2,0,6,0,2,32,2,9,0,26,8,4,3,3,0,1,21,15,3,3,21,6,11,7,7,5,7,19,9,29,29,2,13,18,59,11,1,4,18,25,1,8,3,4,0,1
10,11,1,15,21,3,8,1,0,1,4,20,2,0,16,5,3,0,15,16,15,18,6,1,1,16,13,6,3,2,3,1,10,2,7,8,10,4,11,3,0,6,3,1,12,0,0,12,15,4,6,2,2,3,2
0,1,0,22,21,9,6,0,0,0,0,4,32,16,0,2,5,2,7,42,7,3,0,7,1,1,17,1,1,1,3,4,7,2,2,6,0,2,5,11,0,20,2,60,9,0,6,6,4,0,8,4,4,0,0
5,13,20,4,4,12,16,12,0,5,10,4,2,5,2,0,10,3,22,5,24,16,26,0,16,1,17,6,5,4,12,1,6,2,13,4,5,3,3,2,13,8,5,0,7,7,8,4,2,7,4,12,11,12,10
21,6,6,8,2,8,15,2,0,10,5,1,9,3,5,10,0,1,8,28,12,12,3,5,22,33,13,8,2,8,5,15,5,4,3,0,0,6,4,12,2,23,33,42,14,0,5,5,17,7,2,0,2,3,6
3,3,1,4,0,3,1,1,5,2,1,0,0,0,2,3,1,0,0,3,0,0,4,2,0,0,5,2,1,0,9,0,2,0,0,1,1,6,0,6,0,4,0,1,3,0,0,0,0,5,0,0,1,0,0
17,5,0,13,23,3,2,0,0,2,2,15,26,15,7,22,8,0,0,27,10,1,16,7,1,13,24,1,4,8,5,13,11,10,3,10,12,4,9,9,0,18,8,36,24,1,0,22,0,4,5,3,1,0,1
15,2,0,5,27,6,17,0,0,0,0,23,8,16,42,5,28,3,27,0,20,2,3,5,0,19,20,4,13,3,2,11,24,4,0,35,7,0,9,10,1,19,8,43,19,3,3,4,2,2,1,2,0,0,1
33,14,2,12,20,2,15,0,0,4,4,32,4,15,7,24,12,0,10,20,0,28,6,2,7,15,31,4,5,26,7,23,19,9,15,6,19,9,7,11,2,24,6,3,15,1,4,57,25,4,17,6,0,0,2
4,4,4,11,2,5,6,2,0,7,4,11,3,18,3,16,12,0,1,2,28,0,0,9,4,5,4,8,1,4,3,2,15,3,2,3,2,2,1,7,4,8,2,1,6,4,0,6,26,12,26,8,5,1,10
8,14,12,6,7,5,20,1,0,11,6,22,3,6,0,26,3,4,16,3,6,0,0,7,2,1,12,15,12,4,35,0,5,10,3,13,1,4,10,18,9,3,0,5,42,4,3,15,1,18,3,6,4,2,6
7,4,0,4,6,0,10,0,0,2,0,7,0,1,7,0,5,2,7,5,2,9,7,0,4,2,5,1,3,3,4,1,0,3,0,2,0,1,1,2,1,2,3,15,5,0,0,1,7,1,0,4,0,0,2
5,7,19,10,0,12,2,4,0,0,5,0,1,1,1,16,22,0,1,0,7,4,2,4,0,0,16,12,1,13,3,1,1,7,3,2,1,4,6,7,25,4,0,4,3,3,0,1,5,5,7,3,2,11,6
7,3,1,3,23,8,3,0,0,4,3,8,21,16,1,1,33,0,13,19,15,5,1,2,0,0,1,4,3,0,18,4,8,4,6,5,11,0,3,2,1,4,18,17,6,1,0,5,3,30,1,6,0,1,0
16,9,6,4,21,7,12,1,0,20,3,4,15,13,17,17,13,5,24,20,31,4,12,5,16,1,0,11,14,10,16,22,11,7,9,16,6,9,23,26,3,17,1,36,25,0,12,29,28,19,13,6,10,4,8
5,14,8,4,3,5,0,2,15,17,6,1,3,6,1,6,8,2,1,4,4,8,15,1,12,4,11,0,1,2,6,0,4,20,3,1,1,55,11,19,16,4,1,4,1,0,0,1,1,2,7,18,15,3,4
5,2,9,4,7,11,13,1,0,3,2,5,3,3,1,5,2,1,4,13,5,1,12,3,1,3,14,1,0,3,2,0,0,0,4,4,10,4,10,1,10,0,6,10,6,1,1,3,2,5,0,3,4,2,7
2,5,8,7,3,1,8,2,0,4,3,17,21,2,1,4,8,0,8,3,26,4,4,3,13,0,10,2,3,0,6,14,2,4,1,5,9,3,1,4,1,7,9,38,8,0,4,11,4,7,7,2,1,2,2
8,6,18,7,3,10,7,1,0,3,14,2,6,3,3,12,5,9,5,2,7,3,35,4,3,18,16,6,2,6,0,8,12,12,5,7,2,11,5,10,19,3,2,12,2,3,0,14,5,10,9,10,1,3,21
