Ant57,Ant260,Ant52,Ant397,Ant540,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant237,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant29,Ant35,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant82,Ant91,Ant96,Ant97,Ant98,Ant100,Ant109,Ant113,Ant115,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant139,Ant140,Ant144,Ant147,Ant149,Ant153,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant186,Ant190,Ant195,Ant198,Ant206,Ant207,Ant210,Ant212,Ant215,Ant219,Ant229,Ant232,Ant242,Ant250,Ant255,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant326,Ant331,Ant332,Ant334,Ant342,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant476,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant552,Ant560,Ant564,Ant576,Ant592,Ant593,Ant599,Ant600,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,0,12,0,8,7,10,0,0,14,7,22,2,16,0,1,1,5,5,13,6,12,25,2,0,0,10,0,23,12,5,8,6,7,11,7,0,13,4,3,2,2,0,1,14,0,0,1,27,9,1,0,2,2,3,8,10,2,23,1,1,10,5,19,1,28,20,15,7,1,11,7,4,2,11,10,11,8,17,2,7,42,20,7,0,1,36,7,8,2,25,1,2,0,1,2,0,20,0,0,4,7,0,4,6,16,14,9,27,5,0,14,24,13,4,4,2,11,15,13,0,16,0,0,0,0,0,1,2,17,1,0,3,3,7,1,0,10,1,6,5,2,0,5,17,34,1,2,1,18,12,8,12,10,10,0,9,4,6,12,22,2,3,10
0,0,0,32,4,0,0,12,29,0,1,0,8,2,13,2,19,0,0,0,0,0,0,8,21,0,0,25,0,1,1,4,0,0,0,0,33,1,2,0,5,0,31,1,0,5,0,23,0,1,24,22,31,20,23,0,1,74,0,6,15,0,0,2,5,1,2,1,0,2,0,14,3,25,0,0,0,0,0,9,6,3,0,4,23,38,3,0,4,23,0,11,0,12,0,27,0,1,23,19,3,0,7,0,4,3,0,0,1,1,3,0,1,0,2,3,2,0,8,0,3,0,0,19,18,8,2,15,2,0,5,0,0,0,0,2,30,1,3,0,3,23,3,0,0,0,11,7,17,0,0,2,0,9,2,15,4,2,23,0,0,15,0,0
12,0,0,0,5,21,1,0,0,6,7,23,0,6,0,0,2,1,5,68,22,9,30,1,1,6,5,1,9,10,0,1,4,13,5,7,4,0,1,6,11,8,0,0,7,0,27,1,11,7,0,0,3,2,0,19,6,0,4,5,3,7,5,3,4,9,9,10,16,6,18,5,1,2,1,2,12,4,10,4,2,10,5,7,0,0,3,10,3,0,4,0,20,0,7,0,5,4,4,9,9,24,0,15,6,4,0,6,12,1,2,5,15,18,3,4,3,27,0,10,1,3,1,0,4,2,2,0,3,12,3,0,3,10,10,11,0,9,0,4,36,1,0,7,11,6,1,1,0,8,4,0,7,1,5,0,3,5,1,20,46,0,4,23
0,32,0,0,4,2,1,12,24,0,11,0,1,0,8,18,9,0,0,0,6,0,0,36,16,1,1,41,1,1,2,3,5,4,0,1,12,2,1,0,9,3,37,0,1,12,0,15,9,10,19,23,12,35,14,0,1,14,0,4,36,0,0,0,9,1,0,8,0,2,0,19,17,24,0,0,0,0,3,7,9,3,0,2,24,37,5,0,7,23,2,44,0,13,0,14,0,14,33,2,10,16,19,4,2,3,3,0,0,14,9,0,1,0,4,0,6,0,11,0,14,2,0,21,18,16,19,11,17,0,29,0,0,2,1,4,40,4,4,0,2,20,11,0,0,0,38,1,8,0,0,3,0,34,5,21,10,9,15,0,1,21,17,1
8,4,5,4,0,16,12,0,1,7,2,18,0,24,2,2,3,14,8,0,21,23,37,1,3,13,6,0,8,15,4,4,14,13,19,15,0,13,14,3,10,4,0,7,4,0,6,6,24,6,1,3,1,4,2,0,20,2,8,3,11,20,21,7,7,5,4,5,11,9,8,14,13,4,15,12,2,6,20,4,16,17,4,41,0,0,5,15,14,0,14,2,3,1,1,3,17,16,1,1,11,0,1,6,21,11,20,21,5,4,0,14,9,23,6,28,9,20,14,7,35,6,13,4,9,6,16,0,3,13,5,0,16,5,8,24,8,8,0,13,25,11,0,10,4,17,0,8,3,2,25,5,23,5,5,1,24,8,2,2,19,4,12,8
7,0,21,2,16,0,3,1,0,0,3,13,1,15,0,0,2,0,20,0,33,14,20,2,9,0,4,0,5,26,3,11,18,7,4,9,0,7,3,14,18,2,0,5,7,0,16,0,38,9,0,1,2,0,0,4,21,4,6,6,3,2,14,4,5,2,5,5,16,15,15,4,5,0,13,6,23,3,8,7,1,3,6,24,0,2,10,16,15,0,1,4,1,7,12,8,7,14,1,7,10,7,4,13,14,5,29,35,5,0,0,10,8,24,9,9,9,2,16,2,5,8,0,1,0,11,26,0,0,12,0,0,14,3,17,12,1,1,2,2,0,3,0,1,10,7,0,3,1,5,6,5,21,4,10,0,8,25,1,3,14,0,10,6
10,0,1,1,12,3,0,0,6,2,2,7,3,3,0,5,5,11,7,0,4,3,2,18,13,1,10,0,1,5,0,12,8,5,4,29,1,1,4,3,7,2,0,9,3,6,9,0,5,9,5,4,0,10,5,0,7,6,7,8,6,1,4,15,2,9,3,3,0,3,5,1,1,3,0,10,0,4,2,2,5,7,1,2,0,1,3,0,5,0,22,2,0,12,8,0,0,8,5,0,14,0,0,5,6,6,1,8,2,0,0,5,4,3,1,0,5,0,4,0,1,1,1,7,0,7,11,0,4,10,0,0,5,4,0,12,1,1,1,2,2,1,0,0,12,1,2,4,2,2,0,8,7,1,13,1,9,2,1,5,8,8,0,4
0,12,0,12,0,1,0,0,1,0,6,1,7,0,3,13,5,0,1,0,1,0,0,11,21,0,0,8,0,9,1,7,1,1,0,2,12,0,2,0,10,1,0,0,1,3,6,4,0,6,10,22,9,8,17,0,0,4,1,9,15,0,2,1,6,2,0,2,0,6,1,3,6,9,0,1,0,0,0,9,3,0,0,1,8,2,3,0,0,3,2,23,0,9,1,32,0,5,8,6,13,1,13,0,11,2,0,1,2,1,10,0,1,3,3,0,12,0,12,3,6,1,0,3,12,5,8,1,3,0,16,0,2,1,0,6,9,1,19,3,0,4,0,0,2,0,27,7,5,2,1,2,2,23,4,2,0,3,11,0,0,4,1,0
0,29,0,24,1,0,6,1,0,0,3,0,3,1,23,12,8,0,0,0,0,0,0,19,17,0,1,6,0,0,0,0,0,0,0,0,11,0,1,0,3,0,16,0,0,13,8,14,0,0,8,4,3,8,3,0,0,5,3,0,8,0,0,0,2,2,0,0,0,3,0,2,4,19,0,2,0,0,0,0,0,3,2,0,8,26,6,0,3,14,1,21,0,11,0,28,0,5,8,10,4,3,14,0,1,0,0,0,1,2,3,0,0,0,0,0,10,0,3,0,2,0,0,19,5,2,2,12,18,0,13,0,1,0,0,0,15,0,2,0,4,12,4,0,0,0,20,1,3,0,0,6,0,1,1,23,0,5,1,0,1,9,7,0
14,0,6,0,7,0,2,0,0,0,6,6,1,20,0,0,0,5,19,13,16,15,38,3,0,36,1,0,67,17,1,1,0,3,4,19,0,0,0,10,5,9,0,2,9,0,21,2,6,7,0,0,0,0,4,41,32,2,3,7,2,44,4,19,3,11,7,3,26,6,21,5,1,2,10,2,8,4,26,0,10,32,31,5,0,1,25,10,19,0,10,0,46,0,22,0,13,8,0,1,6,9,0,22,3,0,0,0,16,0,0,4,2,11,0,1,7,25,0,14,8,6,13,0,0,3,4,0,2,26,0,0,0,20,8,6,0,17,0,11,5,0,0,1,3,13,2,2,0,13,13,0,0,1,8,0,0,3,0,12,8,0,2,9
7,1,7,11,2,3,2,6,3,6,0,7,0,1,0,0,1,1,0,2,4,2,2,7,2,3,6,0,15,5,0,7,6,6,10,5,5,3,4,2,14,2,0,1,2,1,0,7,3,1,5,3,0,14,5,3,7,3,3,3,15,3,4,5,9,16,2,6,3,5,3,11,4,6,0,0,0,0,6,2,3,21,2,1,0,1,8,0,0,0,9,7,9,20,1,6,0,5,1,24,10,20,3,7,11,1,3,3,2,2,3,3,8,1,10,0,20,0,11,3,9,6,1,3,2,4,14,3,11,13,14,0,0,11,1,10,6,6,4,6,13,6,0,2,2,0,4,4,3,2,1,3,0,1,9,0,19,4,3,3,4,0,14,4
22,0,23,0,18,13,7,1,0,6,7,0,0,4,0,1,4,7,3,3,14,14,13,7,2,0,7,0,6,24,19,12,12,5,8,11,8,2,9,2,17,7,0,7,3,0,1,7,22,6,1,0,0,4,1,10,13,0,10,4,1,0,11,21,0,5,3,4,2,4,2,9,8,3,1,7,10,5,2,2,9,15,5,18,0,1,5,5,22,0,20,3,8,2,6,0,0,1,0,9,2,19,0,9,6,8,2,0,6,5,1,27,0,7,14,9,8,0,7,8,15,14,15,0,1,12,23,0,7,2,1,0,12,3,13,13,2,17,1,0,9,9,0,11,20,5,2,4,1,5,9,0,8,2,7,1,33,11,5,9,14,2,13,16
2,8,0,1,0,1,3,7,3,1,0,0,0,0,2,6,25,0,0,1,11,1,1,10,2,0,4,8,0,0,4,1,1,0,0,0,13,2,14,0,10,2,0,3,0,2,1,5,0,13,8,12,6,16,12,0,1,5,0,10,12,0,0,4,8,2,0,7,1,7,1,3,5,6,0,2,0,1,1,19,3,3,0,0,2,16,0,5,2,10,0,2,0,17,0,7,0,4,4,2,11,4,5,0,3,0,1,0,0,11,1,0,2,1,9,3,18,0,6,0,9,1,0,1,14,2,11,0,2,0,2,0,4,3,0,9,0,2,0,2,0,3,0,0,9,0,3,20,3,2,0,3,0,15,3,10,4,16,6,1,0,0,1,0
