Ant59,Ant540,Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant954,Ant1,Ant17,Ant27,Ant44,Ant49,Ant51,Ant71,Ant97,Ant115,Ant117,Ant120,Ant153,Ant170,Ant176,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant298,Ant299,Ant305,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant564,Ant592,Ant593,Ant599,Ant607,Ant638,Ant647,Ant650
0,24,100,10,5,17,5,1,1,3,12,19,6,22,15,25,7,3,3,8,5,18,28,6,16,16,22,12,7,18,41,11,3,9,11,16,17,13,18,26,104,4,10,2,21,9,5,6,13,33,23,6,81,27,86
24,0,17,2,4,5,7,1,5,6,3,3,7,3,1,6,5,3,3,8,2,12,2,10,7,3,10,5,17,1,13,13,3,10,6,1,8,5,7,11,8,2,16,1,3,3,1,5,3,3,8,2,8,2,6
100,17,0,5,3,13,3,18,2,1,33,1,0,10,2,59,10,9,8,2,0,7,9,4,33,2,16,7,11,3,15,5,4,5,3,2,3,15,5,4,65,1,1,2,7,5,0,6,5,32,5,31,39,39,46
10,2,5,0,6,1,10,0,4,1,2,10,4,9,1,4,5,0,2,0,0,18,4,3,0,9,5,3,4,8,6,9,7,1,0,10,5,1,6,5,1,19,5,7,2,2,2,5,10,5,15,2,2,0,1
5,4,3,6,0,4,24,1,0,0,2,44,34,6,17,0,11,0,11,34,23,8,2,10,2,19,31,0,2,9,2,6,7,0,1,11,14,3,7,5,1,1,19,9,5,1,14,3,6,4,1,1,7,0,1
17,5,13,1,4,0,3,0,1,5,5,12,8,4,7,10,16,0,2,10,5,9,5,5,8,3,18,5,19,7,18,19,3,6,2,11,4,16,16,25,4,11,12,4,6,3,0,6,9,21,5,1,5,6,10
5,7,3,10,24,3,0,0,0,0,1,14,12,0,7,2,34,0,9,7,4,14,6,8,6,4,16,1,8,5,3,33,10,0,1,20,13,3,10,2,4,29,16,23,4,2,6,3,5,7,12,3,1,0,3
1,1,18,0,1,0,0,0,1,0,2,0,0,6,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,4,0,0,0,0,0,0,2,0,1,3,1,1,1,0,1,1,0,0,1,0,1,1,6,0
1,5,2,4,0,1,0,1,0,9,2,1,1,2,1,3,0,2,0,0,0,2,13,6,4,3,5,17,4,4,8,0,7,12,2,0,0,7,0,8,2,1,7,0,2,2,0,0,12,1,1,1,1,18,0
3,6,1,1,0,5,0,0,9,0,0,1,0,2,1,0,1,4,0,9,1,3,2,0,4,1,5,19,4,0,9,0,4,7,1,0,0,4,1,8,1,0,7,9,1,0,0,1,4,4,1,3,1,13,4
12,3,33,2,2,5,1,2,2,0,0,2,1,5,0,7,1,1,1,0,0,5,17,5,6,1,16,0,3,4,10,1,0,5,1,3,8,2,4,3,8,1,1,1,9,0,0,2,5,4,1,3,8,7,7
19,3,1,10,44,12,14,0,1,1,2,0,7,16,5,4,23,0,13,23,1,22,4,6,4,22,12,3,3,11,1,12,13,0,35,14,71,4,20,7,0,19,9,4,4,0,0,4,23,12,20,0,2,2,1
6,7,0,4,34,8,12,0,1,0,1,7,0,6,12,2,1,0,2,64,3,6,4,9,2,6,13,1,2,4,28,21,5,18,0,29,27,7,29,15,0,35,21,47,4,0,10,45,5,2,5,0,1,0,0
22,3,10,9,6,4,0,6,2,2,5,16,6,0,5,5,7,0,5,6,0,4,21,15,3,16,8,1,2,24,10,10,8,9,0,2,4,11,5,6,3,5,18,1,14,0,0,6,6,6,9,8,6,4,4
15,1,2,1,17,7,7,0,1,1,0,5,12,5,0,1,12,0,5,16,2,20,13,1,2,13,18,2,2,5,2,5,16,3,1,1,4,4,4,1,2,4,18,13,18,0,0,14,19,3,19,3,0,0,1
25,6,59,4,0,10,2,0,3,0,7,4,2,5,1,0,6,0,7,3,1,1,5,7,29,4,2,4,6,3,8,5,0,6,4,3,3,3,4,1,36,0,3,1,9,8,3,2,13,7,4,3,25,18,21
7,5,10,5,11,16,34,0,0,1,1,23,1,7,12,6,0,0,2,11,4,10,8,5,4,7,15,1,10,9,9,27,11,3,8,13,6,8,15,2,2,4,14,4,20,3,3,5,3,14,13,0,5,2,1
3,3,9,0,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,12,0,0,0,6,0,6,8,0,0,0,0,1,0,0,0,0,2,0,5,2,2
3,3,8,2,11,2,9,0,0,0,1,13,2,5,5,7,2,0,0,11,3,7,2,2,1,2,6,0,4,10,4,4,0,0,3,2,0,1,7,2,5,0,11,4,8,0,22,6,28,2,3,0,3,3,2
8,8,2,0,34,10,7,1,0,9,0,23,64,6,16,3,11,0,11,0,7,42,0,5,1,11,20,0,1,9,24,4,14,2,0,19,14,10,17,5,0,22,43,70,10,3,3,29,6,7,29,0,10,0,0
5,2,0,0,23,5,4,0,0,1,0,1,3,0,2,1,4,0,3,7,0,17,2,5,0,1,12,0,2,4,1,11,16,2,0,3,4,1,7,7,2,40,13,33,19,0,3,11,3,3,1,0,1,0,0
18,12,7,18,8,9,14,1,2,3,5,22,6,4,20,1,10,0,7,42,17,0,8,5,2,4,30,2,2,4,5,21,20,4,21,7,22,9,20,14,0,25,16,40,5,1,1,11,12,24,6,0,3,0,1
28,2,9,4,2,5,6,0,13,2,17,4,4,21,13,5,8,0,2,0,2,8,0,11,8,5,4,2,9,2,4,9,2,23,17,6,9,6,7,1,20,3,13,2,10,3,1,19,4,6,9,18,26,9,18
6,10,4,3,10,5,8,0,6,0,5,6,9,15,1,7,5,2,2,5,5,5,11,0,2,20,9,0,3,4,2,15,0,5,0,12,3,6,10,6,12,5,15,1,9,1,1,1,12,5,1,2,2,6,10
16,7,33,0,2,8,6,1,4,4,6,4,2,3,2,29,4,0,1,1,0,2,8,2,0,0,5,3,8,4,15,2,1,5,0,3,1,7,0,6,17,0,5,0,0,3,0,2,2,10,8,0,6,5,8
16,3,2,9,19,3,4,0,3,1,1,22,6,16,13,4,7,0,2,11,1,4,5,20,0,0,10,3,2,3,7,7,4,6,0,10,13,11,9,4,0,6,3,7,6,1,0,4,3,5,3,1,2,5,1
22,10,16,5,31,18,16,1,5,5,16,12,13,8,18,2,15,0,6,20,12,30,4,9,5,10,0,6,14,11,9,15,9,10,6,20,17,18,23,16,6,14,14,27,12,5,2,15,36,5,15,0,3,2,8
12,5,7,3,0,5,1,1,17,19,0,3,1,1,2,4,1,2,0,0,0,2,2,0,3,3,6,0,24,7,7,0,3,16,2,3,1,11,0,11,15,0,1,1,0,1,0,3,0,5,6,1,12,6,2
7,17,11,4,2,19,8,1,4,4,3,3,2,2,2,6,10,0,4,1,2,2,9,3,8,2,14,24,0,3,18,5,4,19,1,5,11,7,16,11,5,5,6,3,1,3,0,8,4,6,9,20,10,13,9
18,1,3,8,9,7,5,0,4,0,4,11,4,24,5,3,9,0,10,9,4,4,2,4,4,3,11,7,3,0,8,12,4,0,3,6,2,11,8,4,10,2,6,4,5,1,0,3,5,6,6,2,4,0,0
41,13,15,6,2,18,3,4,8,9,10,1,28,10,2,8,9,0,4,24,1,5,4,2,15,7,9,7,18,8,0,12,3,15,5,13,5,11,3,25,13,13,17,9,28,5,0,21,13,22,6,3,15,4,9
11,13,5,9,6,19,33,0,0,0,1,12,21,10,5,5,27,1,4,4,11,21,9,15,2,7,15,0,5,12,12,0,8,0,0,18,9,5,22,12,2,34,9,20,10,1,1,19,11,7,24,0,2,0,0
3,3,4,7,7,3,10,0,7,4,0,13,5,8,16,0,11,0,0,14,16,20,2,0,1,4,9,3,4,4,3,8,0,0,3,5,7,2,2,8,0,2,4,4,3,0,3,1,6,2,7,0,4,1,2
9,10,5,1,0,6,0,0,12,7,5,0,18,9,3,6,3,12,0,2,2,4,23,5,5,6,10,16,19,0,15,0,0,0,0,3,1,11,0,9,5,0,6,5,0,6,0,4,1,10,1,2,14,9,4
11,6,3,0,1,2,1,0,2,1,1,35,0,0,1,4,8,0,3,0,0,21,17,0,0,0,6,2,1,3,5,0,3,0,0,2,4,1,1,3,2,0,0,1,5,0,1,2,8,5,2,2,4,1,6
16,1,2,10,11,11,20,0,0,0,3,14,29,2,1,3,13,0,2,19,3,7,6,12,3,10,20,3,5,6,13,18,5,3,2,0,15,13,10,11,0,8,13,19,4,0,2,7,7,8,3,5,0,3,1
17,8,3,5,14,4,13,0,0,0,8,71,27,4,4,3,6,0,0,14,4,22,9,3,1,13,17,1,11,2,5,9,7,1,4,15,0,7,14,5,0,22,14,15,1,1,9,17,4,0,6,5,1,1,0
13,5,15,1,3,16,3,2,7,4,2,4,7,11,4,3,8,6,1,10,1,9,6,6,7,11,18,11,7,11,11,5,2,11,1,13,7,0,7,9,11,12,5,7,5,3,0,5,10,6,1,2,10,4,11
18,7,5,6,7,16,10,0,0,1,4,20,29,5,4,4,15,0,7,17,7,20,7,10,0,9,23,0,16,8,3,22,2,0,1,10,14,7,0,16,2,27,23,4,22,0,10,13,12,7,22,1,0,0,2
26,11,4,5,5,25,2,1,8,8,3,7,15,6,1,1,2,6,2,5,7,14,1,6,6,4,16,11,11,4,25,12,8,9,3,11,5,9,16,0,6,12,19,6,3,2,0,6,7,17,14,4,16,4,0
104,8,65,1,1,4,4,3,2,1,8,0,0,3,2,36,2,8,5,0,2,0,20,12,17,0,6,15,5,10,13,2,0,5,2,0,0,11,2,6,0,0,8,1,4,17,2,2,3,15,9,15,43,59,50
4,2,1,19,1,11,29,1,1,0,1,19,35,5,4,0,4,0,0,22,40,25,3,5,0,6,14,0,5,2,13,34,2,0,0,8,22,12,27,12,0,0,26,22,12,0,8,13,8,2,8,1,1,0,0
10,16,1,5,19,12,16,1,7,7,1,9,21,18,18,3,14,0,11,43,13,16,13,15,5,3,14,1,6,6,17,9,4,6,0,13,14,5,23,19,8,26,0,38,20,0,1,20,6,10,9,3,5,6,0
2,1,2,7,9,4,23,1,0,9,1,4,47,1,13,1,4,0,4,70,33,40,2,1,0,7,27,1,3,4,9,20,4,5,1,19,15,7,4,6,1,22,38,0,3,0,2,20,7,8,10,0,1,0,0
21,3,7,2,5,6,4,0,2,1,9,4,4,14,18,9,20,0,8,10,19,5,10,9,0,6,12,0,1,5,28,10,3,0,5,4,1,5,22,3,4,12,20,3,0,0,4,7,17,3,17,5,4,1,2
9,3,5,2,1,3,2,1,2,0,0,0,0,0,0,8,3,1,0,3,0,1,3,1,3,1,5,1,3,1,5,1,0,6,0,0,1,3,0,2,17,0,0,0,0,0,0,1,2,5,1,2,5,2,11
5,1,0,2,14,0,6,1,0,0,0,0,10,0,0,3,3,0,22,3,3,1,1,1,0,0,2,0,0,0,0,1,3,0,1,2,9,0,10,0,2,8,1,2,4,0,0,1,0,0,0,1,2,1,2
